"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Propanoate metabolism",1,1,1,32,0,""
"D-Arginine and D-ornithine metabolism",1,1,1,1,0,""
"Maturity onset diabetes of the young",1,1,1,26,0,""
"Pantothenate and CoA biosynthesis",1,1,1,18,0,""
"Aldosterone-regulated sodium reabsorption",1,1,1,37,0,""
"Glycosphingolipid biosynthesis - ganglio series",1,1,1,15,0,""
"Sulfur relay system",1,1,1,8,0,""
"Vitamin B6 metabolism",1,1,1,6,0,""
"Biotin metabolism",1,1,1,3,0,""
"Synthesis and degradation of ketone bodies",1,1,1,10,0,""
