"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"17","mTOR signaling pathway",0.001,0.02,0.335,145,13,1,"Seh1l","Prr5, Dvl2, Ins1, Pdpk1, Pik3ca, Slc7a5, Wnt9b, Sesn2, Atp6v1g3, Telo2, Strada, Pik3cb",0.083
"18","VEGF signaling pathway",0.003,0.043,0.776,57,7,1,"Pla2g4f","Nos3, Pik3ca, Ppp3r1, Vegfa, Mapk13, Pik3cb",0.133
"19","Cytokine-cytokine receptor interaction",0.004,0.051,0.986,243,17,1,"Tnfrsf1b","Cxcr4, Ifna5, Ifna6, Ifnab, Il10ra, Il13, Il1a, Xcl1, Ngfr, Cd27, Tnfsf12, Cd70, Vegfa, Vegfb, Tnfrsf12a, Ppbp",0.064
"20","Longevity regulating pathway - multiple species",0.004,0.051,1,60,7,1,"Hspa8","Ins1, Pik3ca, Prkaca, Prkag1, Foxo3, Pik3cb",0.13
"21","FoxO signaling pathway",0.004,0.051,1,128,11,1,"Foxo4","Plk3, Ins1, Pdpk1, Pik3ca, Plk1, Prkag1, Mapk13, Ep300, Foxo3, Pik3cb",0.088
"22","Purine metabolism",0.006,0.068,1,154,12,5,"Polr2a, Polr2b, Polr2d, Polr2f, Cant1","Ppat, Nme6, Nme4, Polr2g, Ak8, Nme3, Allc",0.247
"23","Protein export",0.006,0.068,1,22,4,2,"Srp68, Sec61a1","Sec11a, Sec61a2",0.341
"24","cGMP-PKG signaling pathway",0.007,0.068,1,156,12,1,"Adra1b","Adra2b, Myh7, Ins1, Kcnma1, Mef2b, Mef2c, Nos3, Prkce, Ppp3r1, Creb3l3, Creb3l4",0.08
"25","Fc epsilon RI signaling pathway",0.007,0.068,1,65,7,1,"Pla2g4f","Fyn, Il13, Pdpk1, Pik3ca, Mapk13, Pik3cb",0.125
"26","AGE-RAGE signaling pathway in diabetic complications",0.007,0.068,1,100,9,0,"","Il1a, Nos3, Pik3ca, Prkce, Vegfa, Vegfb, Mapk13, Nox4, Pik3cb",0.045
"27","Adipocytokine signaling pathway",0.008,0.074,1,68,7,2,"Ikbkg, Tnfrsf1b","Cpt1a, Prkag1, Rxrg, Acsl6, Adipor1",0.194
"28","Focal adhesion",0.008,0.074,1,179,13,0,"","Cav3, Col2a1, Fyn, Itga5, Itga7, Itgav, Myl2, Pdpk1, Pik3ca, Vegfa, Vegfb, Pik3cb, Tnxb",0.036
"29","Regulation of lipolysis in adipocytes",0.009,0.078,1,53,6,0,"","Fabp4, Ins1, Pik3ca, Prkaca, Pnpla2, Pik3cb",0.057
"30","Progesterone-mediated oocyte maturation",0.01,0.08,1,87,8,0,"","Ins1, Mad1l1, Pik3ca, Prkaca, Plk1, Cpeb2, Mapk13, Pik3cb",0.046
"31","TNF signaling pathway",0.01,0.082,1,106,9,3,"Cebpb, Ikbkg, Tnfrsf1b","Pik3ca, Creb3l3, Mapk13, Tab1, Pik3cb, Creb3l4",0.209
"32","Vasopressin-regulated water reabsorption",0.014,0.107,1,42,5,0,"","Arhgdig, Prkaca, Creb3l3, Dync1li1, Creb3l4",0.06
"33","MAPK signaling pathway",0.015,0.115,1,236,15,3,"Hspa8, Ikbkg, Pla2g4f","Fgf12, Il1a, Jund, Mef2c, Prkaca, Ppp3r1, Ppp5c, Ptprr, Rasgrp4, Mapk13, Tab1, Cacng8",0.132
"34","Vascular smooth muscle contraction",0.017,0.12,1,115,9,2,"Adra1b, Pla2g4f","Kcnma1, Prkaca, Prkce, Pla2g1b, Avpr1b, Cyp4a12a, Pla2g12b",0.15
"35","Ras signaling pathway",0.017,0.12,1,217,14,3,"Ikbkg, Pla2g4f, Foxo4","Fgf12, Ins1, Ngfr, Pik3ca, Prkaca, Pla2g1b, Vegfa, Vegfb, Rasgrp4, Pla2g12b, Pik3cb",0.139
"36","Neurotrophin signaling pathway",0.018,0.12,1,116,9,2,"Irak2, Irak4","Arhgdig, Ngfr, Pdpk1, Pik3ca, Mapk13, Foxo3, Pik3cb",0.15
"37","HIF-1 signaling pathway",0.018,0.12,1,97,8,1,"Aldoa","Arnt, Ins1, Nos3, Pik3ca, Vegfa, Ep300, Pik3cb",0.104
"38","Glucagon signaling pathway",0.019,0.123,1,98,8,0,"","Cpt1a, Pfkfb1, Prkaca, Ppp3r1, Prkag1, Creb3l3, Ep300, Creb3l4",0.041
"39","Oxytocin signaling pathway",0.025,0.158,1,143,10,1,"Pla2g4f","Gnao1, Kcnj5, Mef2c, Nos3, Prkaca, Ppp3r1, Prkag1, Camk1g, Cacng8",0.085
"40","Natural killer cell mediated cytotoxicity",0.03,0.187,1,107,8,0,"","Fyn, Ifna5, Ifna6, Ifnab, Itgb2l, Pik3ca, Ppp3r1, Pik3cb",0.037
"41","Cytosolic DNA-sensing pathway",0.032,0.193,1,52,5,2,"Ikbkg, Polr2f","Ifna5, Ifna6, Ifnab",0.248
"42","Aldosterone-regulated sodium reabsorption",0.034,0.199,1,36,4,0,"","Ins1, Pdpk1, Pik3ca, Pik3cb",0.056
"43","Cholinergic synapse",0.035,0.201,1,110,8,0,"","Chrm4, Fyn, Gnao1, Pik3ca, Prkaca, Creb3l3, Pik3cb, Creb3l4",0.036
"44","Thyroid hormone signaling pathway",0.038,0.215,1,112,8,0,"","Kat2a, Itgav, Pdpk1, Pik3ca, Prkaca, Rxrg, Ep300, Pik3cb",0.036
"45","ECM-receptor interaction",0.043,0.238,1,75,6,0,"","Col2a1, Itga5, Itga7, Itgav, Sdc4, Tnxb",0.04
"46","Platelet activation",0.045,0.243,1,116,8,2,"Tbxa2r, Pla2g4f","Fyn, Nos3, Pik3ca, Prkaca, Mapk13, Pik3cb",0.159
"47","Rap1 signaling pathway",0.046,0.243,1,203,12,0,"","Arap3, Fgf12, Gnao1, Ins1, Itgb2l, Ngfr, Pik3ca, Vegfa, Vegfb, Mapk13, Lpar3, Pik3cb",0.03
"48","alpha-Linolenic acid metabolism",0.047,0.246,1,24,3,1,"Pla2g4f","Pla2g1b, Pla2g12b",0.229
"49","Adrenergic signaling in cardiomyocytes",0.049,0.248,1,139,9,1,"Adra1b","Myh7, Myl2, Prkaca, Creb3l3, Tpm1, Mapk13, Creb3l4, Cacng8",0.088
