name,imports,weights,datasource,Confidence,Color
Novel.CCNE1,Proteasome.PSMD2,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMC5,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMD12,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMB5,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMA7,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMB2,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMB9,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMA1,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMA4,900,database,Medium,green
Novel.CLTC,Thyroid hormone synthesis.ATP1A3,417,experimental,Medium,green
Novel.CLTC,Thyroid hormone synthesis.HSP90B1,417,experimental,Medium,green
Novel.DLD,Thyroid hormone synthesis.ATP1B3,417,experimental,Medium,green
Novel.EIF4A1,Proteasome.PSMC4,900,database,Medium,green
Novel.EIF4A1,Thyroid hormone synthesis.HSPA5,434,experimental,Medium,green
Novel.EXOSC4,Proteasome.PSMA1,417,experimental,Medium,green
Novel.EXOSC4,Proteasome.PSMA4,417,experimental,Medium,green
Novel.EXOSC4,Proteasome.PSMA3,417,experimental,Medium,green
Novel.EXOSC4,Proteasome.PSMA6,417,experimental,Medium,green
Novel.EXOSC4,Proteasome.PSMA5,417,experimental,Medium,green
Novel.EXOSC5,Proteasome.PSMA2,417,experimental,Medium,green
Novel.EXOSC5,Proteasome.PSMA6,600,experimental,Medium,green
Novel.EXOSC5,Proteasome.PSMA5,417,experimental,Medium,green
Novel.EXOSC5,Proteasome.PSMA1,417,experimental,Medium,green
Novel.EXOSC5,Proteasome.PSMA4,417,experimental,Medium,green
Novel.EXOSC5,Proteasome.PSMA3,476,experimental,Medium,green
Novel.GMNN,Proteasome.PSMF1,900,database,Medium,green
Novel.GMNN,Proteasome.PSMC4,900,database,Medium,green
Novel.GMNN,Proteasome.PSMA3,900,database,Medium,green
Novel.GMNN,Proteasome.PSMD7,900,database,Medium,green
Novel.GMNN,Proteasome.PSMC1,900,database,Medium,green
Novel.GMNN,Proteasome.PSMA6,900,database,Medium,green
Novel.GMNN,Proteasome.PSMD11,900,database,Medium,green
Novel.GMNN,Proteasome.PSMB1,900,database,Medium,green
Novel.GMNN,Proteasome.PSMD3,900,database,Medium,green
Novel.GMNN,Proteasome.PSMA5,900,database,Medium,green
Novel.GMNN,Proteasome.PSMB4,900,database,Medium,green
Novel.GMNN,Proteasome.PSMC2,900,database,Medium,green
Novel.GMNN,Proteasome.PSMD6,900,database,Medium,green
Novel.GMNN,Proteasome.PSMD1,900,database,Medium,green
Novel.GMNN,Proteasome.PSMD2,900,database,Medium,green
Novel.GMNN,Proteasome.PSMC5,900,database,Medium,green
Novel.GMNN,Proteasome.PSMD12,900,database,Medium,green
Novel.GMNN,Proteasome.PSMB5,900,database,Medium,green
Novel.GMNN,Proteasome.PSMA7,900,database,Medium,green
Novel.GMNN,Proteasome.PSMB2,900,database,Medium,green
Novel.GMNN,Proteasome.PSMB9,900,database,Medium,green
Novel.GMNN,Proteasome.PSMA1,900,database,Medium,green
Novel.GMNN,Proteasome.PSMA4,900,database,Medium,green
Novel.GSTA1,Thyroid hormone synthesis.GPX3,900,database,Medium,green
Novel.GSTA1,Thyroid hormone synthesis.GPX1,900,database,Medium,green
Novel.GSTA3,Thyroid hormone synthesis.GPX3,900,database,Medium,green
Novel.GSTA3,Thyroid hormone synthesis.GPX1,900,database,Medium,green
Novel.GSTO1,Thyroid hormone synthesis.GPX3,900,database,Medium,green
Novel.GSTO1,Thyroid hormone synthesis.GPX1,900,database,Medium,green
Novel.GSTP1,Thyroid hormone synthesis.GPX3,900,database,Medium,green
Novel.GSTP1,Thyroid hormone synthesis.GPX1,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMF1,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMC4,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMA3,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMD7,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMC1,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMA6,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMD11,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMB1,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMD3,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMA5,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMB4,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMC2,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMD6,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMD1,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMD2,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMC5,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMD12,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMB5,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMA7,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMB2,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMB9,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMA1,900,database,Medium,green
Novel.GTSE1,Proteasome.PSMA4,900,database,Medium,green
Novel.LDHB,Proteasome.PSMC2,417,experimental,Medium,green
Novel.MGST1,Thyroid hormone synthesis.GPX3,900,database,Medium,green
Novel.MGST1,Thyroid hormone synthesis.GPX1,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMF1,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMC4,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMA3,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMD7,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMC1,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMA6,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMD11,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMB1,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMD3,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMA5,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMB4,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMC2,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMD6,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMD1,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMD2,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMC5,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMD12,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMB5,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMA7,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMB2,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMB9,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMA1,900,database,Medium,green
Novel.NFKBIB,Proteasome.PSMA4,900,database,Medium,green
Novel.NFYB,Thyroid hormone synthesis.HSPA5,900,database,Medium,green
Novel.P4HB,Thyroid hormone synthesis.HSPA5,548,experimental,High,green
Novel.P4HB,Proteasome.PSMA7,417,experimental,High,green
Novel.P4HB,Thyroid hormone synthesis.HSP90B1,774,experimental,High,green
Novel.PLK1,Proteasome.PSMF1,900,database,Medium,green
Novel.PLK1,Proteasome.PSMC4,900,database,Medium,green
Novel.PLK1,Proteasome.PSMA3,900,database,Medium,green
Novel.PLK1,Proteasome.PSMD7,900,database,Medium,green
Novel.PLK1,Proteasome.PSMC1,900,database,Medium,green
Novel.PLK1,Proteasome.PSMA6,900,database,Medium,green
Novel.PLK1,Proteasome.PSMD11,900,database,Medium,green
Novel.PLK1,Proteasome.PSMB1,900,database,Medium,green
Novel.PLK1,Proteasome.PSMD3,900,database,Medium,green
Novel.PLK1,Proteasome.PSMA5,900,database,Medium,green
Novel.PLK1,Proteasome.PSMB4,900,database,Medium,green
Novel.PLK1,Proteasome.PSMC2,900,database,Medium,green
Novel.PLK1,Proteasome.PSMD6,900,database,Medium,green
Novel.PLK1,Proteasome.PSMD1,900,database,Medium,green
Novel.PLK1,Proteasome.PSMD2,900,database,Medium,green
Novel.PLK1,Proteasome.PSMC5,900,database,Medium,green
Novel.PLK1,Proteasome.PSMD12,900,database,Medium,green
Novel.PLK1,Proteasome.PSMB5,900,database,Medium,green
Novel.PLK1,Proteasome.PSMA7,900,database,Medium,green
Novel.PLK1,Proteasome.PSMB2,900,database,Medium,green
Novel.PLK1,Proteasome.PSMB9,900,database,Medium,green
Novel.PLK1,Proteasome.PSMA1,900,database,Medium,green
Novel.PLK1,Proteasome.PSMA4,900,database,Medium,green
Novel.PPP2CB,Proteasome.PSMF1,900,database,High,green
Novel.PPP2CB,Proteasome.PSMC4,900,database,High,green
Novel.PPP2CB,Proteasome.PSMA3,900,database,High,green
Novel.PPP2CB,Proteasome.PSMD7,900,database,High,green
Novel.PPP2CB,Proteasome.PSMC1,900,database,High,green
Novel.PPP2CB,Proteasome.PSMA6,900,database,High,green
Novel.PPP2CB,Proteasome.PSMD11,900,database,High,green
Novel.PPP2CB,Proteasome.PSMB1,900,database,High,green
Novel.PPP2CB,Proteasome.PSMD3,900,database,High,green
Novel.PPP2CB,Proteasome.PSMA5,900,database,High,green
Novel.PPP2CB,Proteasome.PSMB4,900,database,High,green
Novel.PPP2CB,Proteasome.PSMC2,900,database,High,green
Novel.PPP2CB,Proteasome.PSMD6,900,database,High,green
Novel.PPP2CB,Proteasome.PSMD1,900,database,High,green
Novel.PPP2CB,Proteasome.PSMD2,900,database,High,green
Novel.PPP2CB,Proteasome.PSMC5,900,database,High,green
Novel.PPP2CB,Proteasome.PSMD12,900,database,High,green
Novel.PPP2CB,Proteasome.PSMB5,900,database,High,green
Novel.PPP2CB,Proteasome.PSMA7,900,database,High,green
Novel.PPP2CB,Proteasome.PSMB2,900,database,High,green
Novel.PPP2CB,Proteasome.PSMB9,900,database,High,green
Novel.PPP2CB,Proteasome.PSMA1,900,database,High,green
Novel.PPP2CB,Proteasome.PSMA4,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMC4,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMA3,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMD7,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMC1,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMA6,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMD11,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMB1,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMD3,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMA5,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMB4,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMC2,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMD6,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMD1,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMD2,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMC5,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMD12,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMB5,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMA7,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMB2,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMB9,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMA1,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMA4,900,database,High,green
Novel.PPP2R5E,Proteasome.PSMF1,900,database,High,green
Novel.PTBP1,Thyroid hormone synthesis.HSPA5,417,experimental,Medium,green
Novel.RAE1,Thyroid hormone synthesis.HSPA5,900,database,Medium,green
Novel.RANBP2,Thyroid hormone synthesis.HSPA5,900,database,Medium,green
Novel.RELA,Proteasome.PSMF1,900,database,Medium,green
Novel.RELA,Proteasome.PSMC4,900,database,Medium,green
Novel.RELA,Proteasome.PSMA3,900,database,Medium,green
Novel.RELA,Proteasome.PSMD7,900,database,Medium,green
Novel.RELA,Proteasome.PSMC1,900,database,Medium,green
Novel.RELA,Proteasome.PSMA6,900,database,Medium,green
Novel.RELA,Proteasome.PSMD11,900,database,Medium,green
Novel.RELA,Proteasome.PSMB1,900,database,Medium,green
Novel.RELA,Proteasome.PSMD3,900,database,Medium,green
Novel.RELA,Proteasome.PSMA5,900,database,Medium,green
Novel.RELA,Proteasome.PSMB4,900,database,Medium,green
Novel.RELA,Proteasome.PSMC2,900,database,Medium,green
Novel.RELA,Proteasome.PSMD6,900,database,Medium,green
Novel.RELA,Proteasome.PSMD1,900,database,Medium,green
Novel.RELA,Proteasome.PSMD2,900,database,Medium,green
Novel.RELA,Proteasome.PSMC5,900,database,Medium,green
Novel.RELA,Proteasome.PSMD12,900,database,Medium,green
Novel.RELA,Proteasome.PSMB5,900,database,Medium,green
Novel.RELA,Proteasome.PSMA7,900,database,Medium,green
Novel.RELA,Proteasome.PSMB2,900,database,Medium,green
Novel.RELA,Proteasome.PSMB9,900,database,Medium,green
Novel.RELA,Proteasome.PSMA1,900,database,Medium,green
Novel.RELA,Proteasome.PSMA4,900,database,Medium,green
Novel.RPLP2,Thyroid hormone synthesis.ATP1B2,417,experimental,High,green
Novel.RPLP2,Thyroid hormone synthesis.ATP1B3,417,experimental,High,green
Novel.RPS27A,Proteasome.PSMF1,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMC4,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMA3,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMD7,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMC1,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMA6,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMD11,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMB1,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMD3,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMA5,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMB4,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMC2,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMD6,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMD1,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMD2,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMC5,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMD12,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMB5,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMA7,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMB2,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMB9,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMA1,900,database,Medium,green
Novel.RPS27A,Proteasome.PSMA4,900,database,Medium,green
Novel.RPS8,Thyroid hormone synthesis.ATP1B2,417,experimental,Medium,green
Novel.RPS8,Thyroid hormone synthesis.ATP1B3,417,experimental,Medium,green
Novel.RTN4,Thyroid hormone synthesis.ATP1B3,417,experimental,High,green
Novel.SMAD4,Thyroid hormone synthesis.ATP1B4,900,database,High,green
Novel.SNW1,Thyroid hormone synthesis.ATP1B4,900,database,High,green
Novel.SUFU,Proteasome.PSMF1,900,database,High,green
Novel.SUFU,Proteasome.PSMC4,900,database,High,green
Novel.SUFU,Proteasome.PSMA3,900,database,High,green
Novel.SUFU,Proteasome.PSMD7,900,database,High,green
Novel.SUFU,Proteasome.PSMC1,900,database,High,green
Novel.SUFU,Proteasome.PSMA6,900,database,High,green
Novel.SUFU,Proteasome.PSMD11,900,database,High,green
Novel.SUFU,Proteasome.PSMB1,900,database,High,green
Novel.SUFU,Proteasome.PSMD3,900,database,High,green
Novel.SUFU,Proteasome.PSMA5,900,database,High,green
Novel.SUFU,Proteasome.PSMB4,900,database,High,green
Novel.SUFU,Proteasome.PSMC2,900,database,High,green
Novel.SUFU,Proteasome.PSMD6,900,database,High,green
Novel.SUFU,Proteasome.PSMD1,900,database,High,green
Novel.SUFU,Proteasome.PSMD2,900,database,High,green
Novel.SUFU,Proteasome.PSMC5,900,database,High,green
Novel.SUFU,Proteasome.PSMD12,900,database,High,green
Novel.SUFU,Proteasome.PSMB5,900,database,High,green
Novel.SUFU,Proteasome.PSMA7,900,database,High,green
Novel.SUFU,Proteasome.PSMB2,900,database,High,green
Novel.SUFU,Proteasome.PSMB9,900,database,High,green
Novel.SUFU,Proteasome.PSMA1,900,database,High,green
Novel.SUFU,Proteasome.PSMA4,900,database,High,green
Novel.UBB,Proteasome.PSMF1,900,database,High,green
Novel.UBB,Proteasome.PSMC4,900,database,High,green
Novel.UBB,Proteasome.PSMA3,900,database,High,green
Novel.UBB,Proteasome.PSMD7,900,database,High,green
Novel.UBB,Proteasome.PSMC1,900,database,High,green
Novel.UBB,Proteasome.PSMA6,900,database,High,green
Novel.UBB,Proteasome.PSMD11,900,database,High,green
Novel.UBB,Proteasome.PSMB1,900,database,High,green
Novel.UBB,Proteasome.PSMD3,900,database,High,green
Novel.UBB,Proteasome.PSMA5,900,database,High,green
Novel.UBB,Proteasome.PSMB4,900,database,High,green
Novel.UBB,Proteasome.PSMC2,900,database,High,green
Novel.UBB,Proteasome.PSMD6,900,database,High,green
Novel.UBB,Proteasome.PSMD1,900,database,High,green
Novel.UBB,Proteasome.PSMD2,900,database,High,green
Novel.UBB,Proteasome.PSMC5,900,database,High,green
Novel.UBB,Proteasome.PSMD12,900,database,High,green
Novel.UBB,Proteasome.PSMB5,900,database,High,green
Novel.UBB,Proteasome.PSMA7,900,database,High,green
Novel.UBB,Proteasome.PSMB2,900,database,High,green
Novel.UBB,Proteasome.PSMB9,900,database,High,green
Novel.UBB,Proteasome.PSMA1,900,database,High,green
Novel.UBB,Proteasome.PSMA4,900,database,High,green
Novel.UBL7,Thyroid hormone synthesis.HSPA5,417,experimental,Medium,green
Novel.VCP,Thyroid hormone synthesis.HSP90B1,417,experimental,High,green
Novel.VCP,Proteasome.PSMA4,503,experimental,High,green
Novel.VCP,Proteasome.PSMA3,417,experimental,High,green
Novel.VCP,Proteasome.PSMA2,503,experimental,High,green
Novel.VCP,Proteasome.PSMC1,900,database,High,green
Novel.YBX1,Proteasome.PSMB2,437,experimental,Medium,green
Novel.YBX1,Proteasome.PSMA4,424,experimental,Medium,green
Novel.YBX1,Thyroid hormone synthesis.HSPA5,439,experimental,Medium,green
Novel.YBX1,Proteasome.PSMC4,432,experimental,Medium,green
Novel.YBX1,Proteasome.PSMA2,424,experimental,Medium,green
Novel.YBX1,Proteasome.PSMB4,424,experimental,Medium,green
Novel.YBX1,Proteasome.PSMC2,439,experimental,Medium,green
Novel.YBX1,Proteasome.PSMB5,427,experimental,Medium,green
Novel.ZC3H4,Proteasome.PSMA2,503,experimental,Medium,green
Proteasome.POMP,Novel.CD2BP2,503,experimental,High,blue
Proteasome.PSMA1,Novel.PPP2CB,900,database,Medium,blue
Proteasome.PSMA1,Novel.RPS27A,900,database,Medium,blue
Proteasome.PSMA1,Novel.UBB,900,database,Medium,blue
Proteasome.PSMA1,Novel.NFKBIB,900,database,Medium,blue
Proteasome.PSMA1,Novel.SRSF2,424,experimental,Medium,blue
Proteasome.PSMA1,Novel.RELA,900,database,Medium,blue
Proteasome.PSMA1,Novel.PLK1,900,database,Medium,blue
Proteasome.PSMA1,Novel.PTMA,503,experimental,Medium,blue
Proteasome.PSMA1,Novel.CCNE1,900,database,Medium,blue
Proteasome.PSMA1,Novel.GTSE1,900,database,Medium,blue
Proteasome.PSMA1,Novel.SUFU,900,database,Medium,blue
Proteasome.PSMA1,Novel.BUB1B,900,database,Medium,blue
Proteasome.PSMA1,Novel.GMNN,900,database,Medium,blue
Proteasome.PSMA1,Novel.UBC,900,database,Medium,blue
Proteasome.PSMA1,Novel.PPP2R5A,900,database,Medium,blue
Proteasome.PSMA1,Novel.CFTR,900,database,Medium,blue
Proteasome.PSMA1,Novel.NFKBIE,900,database,Medium,blue
Proteasome.PSMA1,Novel.SPRED2,900,database,Medium,blue
Proteasome.PSMA1,Novel.PPIL3,503,experimental,Medium,blue
Proteasome.PSMA1,Novel.PPL,417,experimental,Medium,blue
Proteasome.PSMA1,Novel.ZRANB2,432,experimental,Medium,blue
Proteasome.PSMA1,Novel.ZNF526,503,experimental,Medium,blue
Proteasome.PSMA1,Novel.TNFRSF11A,900,database,Medium,blue
Proteasome.PSMA1,Novel.PRICKLE1,900,database,Medium,blue
Proteasome.PSMA1,Novel.SPOP,900,database,Medium,blue
Proteasome.PSMA1,Novel.HECW1,900,database,Medium,blue
Proteasome.PSMA1,Novel.OAZ3,900,database,Medium,blue
Proteasome.PSMA1,Novel.PPP2R5E,900,database,Medium,blue
Proteasome.PSMA1,Novel.EXOSC5,417,experimental,Medium,blue
Proteasome.PSMA1,Novel.EXOSC4,417,experimental,Medium,blue
Proteasome.PSMA2,Novel.YBX1,424,experimental,High,blue
Proteasome.PSMA2,Novel.VCP,503,experimental,High,blue
Proteasome.PSMA2,Novel.DYNC1I2,417,experimental,High,blue
Proteasome.PSMA2,Novel.IKBKAP,417,experimental,High,blue
Proteasome.PSMA2,Novel.ZNF24,503,experimental,High,blue
Proteasome.PSMA2,Novel.ZC3H4,503,experimental,High,blue
Proteasome.PSMA2,Novel.EXOSC5,417,experimental,High,blue
Proteasome.PSMA3,Novel.EXOSC5,476,experimental,Medium,blue
Proteasome.PSMA3,Novel.EXOSC4,417,experimental,Medium,blue
Proteasome.PSMA3,Novel.VCP,417,experimental,Medium,blue
Proteasome.PSMA3,Novel.PPP2CB,900,database,Medium,blue
Proteasome.PSMA3,Novel.RPS27A,900,database,Medium,blue
Proteasome.PSMA3,Novel.UBB,900,database,Medium,blue
Proteasome.PSMA3,Novel.NFKBIB,900,database,Medium,blue
Proteasome.PSMA3,Novel.RELA,900,database,Medium,blue
Proteasome.PSMA3,Novel.PLK1,900,database,Medium,blue
Proteasome.PSMA3,Novel.CCNE1,900,database,Medium,blue
Proteasome.PSMA3,Novel.GTSE1,900,database,Medium,blue
Proteasome.PSMA3,Novel.SUFU,900,database,Medium,blue
Proteasome.PSMA3,Novel.BUB1B,900,database,Medium,blue
Proteasome.PSMA3,Novel.GMNN,900,database,Medium,blue
Proteasome.PSMA3,Novel.UBC,900,database,Medium,blue
Proteasome.PSMA3,Novel.PPP2R5A,900,database,Medium,blue
Proteasome.PSMA3,Novel.CFTR,900,database,Medium,blue
Proteasome.PSMA3,Novel.BIRC5,900,database,Medium,blue
Proteasome.PSMA3,Novel.NFKBIE,900,database,Medium,blue
Proteasome.PSMA3,Novel.SPRED2,900,database,Medium,blue
Proteasome.PSMA3,Novel.CDCA8,900,database,Medium,blue
Proteasome.PSMA3,Novel.TNFRSF11A,900,database,Medium,blue
Proteasome.PSMA3,Novel.PRICKLE1,900,database,Medium,blue
Proteasome.PSMA3,Novel.SPOP,900,database,Medium,blue
Proteasome.PSMA3,Novel.HECW1,900,database,Medium,blue
Proteasome.PSMA3,Novel.OAZ3,900,database,Medium,blue
Proteasome.PSMA3,Novel.PPP2R5E,900,database,Medium,blue
Proteasome.PSMA4,Novel.PPP2CB,900,database,High,blue
Proteasome.PSMA4,Novel.RPS27A,900,database,High,blue
Proteasome.PSMA4,Novel.UBB,900,database,High,blue
Proteasome.PSMA4,Novel.NFKBIB,900,database,High,blue
Proteasome.PSMA4,Novel.RELA,900,database,High,blue
Proteasome.PSMA4,Novel.PLK1,900,database,High,blue
Proteasome.PSMA4,Novel.CCNE1,900,database,High,blue
Proteasome.PSMA4,Novel.GTSE1,900,database,High,blue
Proteasome.PSMA4,Novel.SUFU,900,database,High,blue
Proteasome.PSMA4,Novel.BUB1B,900,database,High,blue
Proteasome.PSMA4,Novel.GMNN,900,database,High,blue
Proteasome.PSMA4,Novel.UBC,900,database,High,blue
Proteasome.PSMA4,Novel.PPP2R5A,900,database,High,blue
Proteasome.PSMA4,Novel.CFTR,900,database,High,blue
Proteasome.PSMA4,Novel.NFKBIE,900,database,High,blue
Proteasome.PSMA4,Novel.SPRED2,900,database,High,blue
Proteasome.PSMA4,Novel.TNFRSF11A,900,database,High,blue
Proteasome.PSMA4,Novel.PRICKLE1,900,database,High,blue
Proteasome.PSMA4,Novel.SPOP,900,database,High,blue
Proteasome.PSMA4,Novel.HECW1,900,database,High,blue
Proteasome.PSMA4,Novel.OAZ3,900,database,High,blue
Proteasome.PSMA4,Novel.PPP2R5E,900,database,High,blue
Proteasome.PSMA4,Novel.EXOSC5,417,experimental,High,blue
Proteasome.PSMA4,Novel.YBX1,424,experimental,High,blue
Proteasome.PSMA4,Novel.EXOSC4,417,experimental,High,blue
Proteasome.PSMA4,Novel.VCP,503,experimental,High,blue
