Pathway,pVal,pValFDR,pValBonferroni,Genes,HitGenes,HighScoreGenes,HighScoreGenesNames,MedScoreGenesNames,EnrichScore
MAPK signaling pathway,0.003,0.054,0.69,255,41,0,"","RASGRP1, RASGRP2, MAPK14, DAXX, GADD45A, DDIT3, ELK1, FGFR2, MAPK8IP3, FLNC, RASGRP3, CACNG5, HSPB1, MYC, GADD45B, ATF4, NFATC1, NFKB2, NRAS, NTF4, PPP3R1, PRKCA, PRKCB, MAPK11, MAPK9, MAP2K2, MAP2K5, MAP4K2, RAC1, RAC3, CACNG6, RPS6KA2, TGFB3, TGFBR2, CACNA1A, CACNB2, IL1R2, DUSP16, FGF18, CACNA2D4, MAP4K4",0.08
Purine metabolism,0.003,0.054,0.731,172,30,0,"","POLR3F, POLR3C, ADCY3, ADCY9, NT5C3B, ADK, PRPS1L1, AK5, GUCY1A2, GUCY2F, ENTPD8, ATIC, PNP, NPR2, RRM2B, PDE2A, PDE3A, PDE4B, PDE6G, PDE8A, PKM, NUDT9, POLD2, POLR2E, POLR3B, PRPS2, POLE4, ENTPD1, POLR1C, ENTPD6",0.087
Rap1 signaling pathway,0.003,0.054,0.755,210,35,0,"","RASGRP2, RGS14, ADCY3, ADCY9, CNR1, MAPK14, EFNA3, FGFR2, PRKD3, RASGRP3, MAGI3, RAPGEF1, GRIN2B, HGF, ITGB2, PFN4, NRAS, P2RY1, PIK3CD, APBB1IP, PRKCA, PRKCB, MAPK11, MAP2K2, RAC1, RAC3, RAP1GAP, THBS1, VASP, VEGFA, FGF18, KRIT1, LPAR2, BCAR1",0.083
cAMP signaling pathway,0.004,0.062,0.98,198,33,0,"","ADCY3, ADCY9, CNGA3, ADORA1, CREB3L4, ADRB1, FSHR, GHSR, GLI1, GLI3, GRIN2B, HTR1E, LIPE, PPP1R12A, NFATC1, NFKBIA, ATP1A4, ATP2B1, PDE3A, PDE4B, PIK3CD, PPP1CA, MAPK9, MAP2K2, RAC1, RAC3, HCN2, SOX9, CAMK2D, CAMK2G, PPP1R1B, HCAR3, GABBR2",0.083
PI3K-Akt signaling pathway,0.004,0.062,1,340,51,0,"","LAMC3, GNB5, CDC37, COL4A4, COL6A2, COL9A2, CSH2, CREB3L4, EFNA3, FGFR2, FOXO3, GNB1, GNGT1, HGF, HSP90AA1, IFNA5, IFNA6, IL2RA, IL4R, ITGA6, ITGB4, MYC, ATF4, NRAS, PCK1, PIK3CD, DDIT4, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R5C, PRKAA1, PRKCA, MAP2K2, RAC1, CCND1, BCL2, RPS6, RPS6KB1, BRCA1, THBS1, VEGFA, YWHAE, TCL1A, CASP9, ITGA10, FGF18, LPAR2, OSMR",0.075
Retinol metabolism,0.004,0.062,1,63,14,0,"","ADH1A, ADH6, ADH7, CYP1A1, CYP2C9, CYP4A11, CYP26A1, CYP2S1, UGT1A10, UGT2B17, PNPLA4, HSD17B6, DGAT1, DHRS3",0.111
B cell receptor signaling pathway,0.005,0.062,1,70,15,0,"","CR2, RASGRP3, INPPL1, NFATC1, NFKBIA, NRAS, PIK3CD, PPP3R1, PRKCB, MAP2K2, RAC1, RAC3, CD79A, CD79B, CD81",0.107
mRNA surveillance pathway,0.005,0.062,1,90,18,0,"","ALYREF, HBS1L, CSTF1, CSTF3, SMG5, NCBP1, PPP1CA, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R5C, PAPOLG, UPF3A, CPSF7, PABPN1, EIF4A3, SMG7",0.1
Th17 cell differentiation,0.006,0.08,1,107,20,0,"","MAPK14, HLA-DMB, HLA-DPA1, HSP90AA1, IFNG, IL2RA, IL4R, IL6ST, NFATC1, NFKBIA, IL23A, IL17D, PPP3R1, MAPK11, MAPK9, RORC, STAT6, TGFBR2, ZAP70, CD3E",0.093
Ribosome,0.008,0.09,1,131,23,1,MRPS10,"MRPL18, MRPL22, MRPL35, RPL8, RPL9, RPL13, RPL26, RPL28, RPL29, RPL34, RPL37A, RPL36A, MRPL12, RPS3, RPS4X, RPS5, RPS6, RPS11, RPS12, RPS24, MRPS15, MRPL33",0.11
Tyrosine metabolism,0.008,0.09,1,35,9,0,"","ADH1A, ADH6, ADH7, COMT, DBH, ALDH3A1, AOC2, MAOB, AOC3",0.129
Aldosterone synthesis and secretion,0.009,0.1,1,82,16,1,ITPR2,"ADCY3, ADCY9, CREB3L4, PRKD3, LIPE, ATF1, ATF4, NR4A2, PDE2A, PRKCA, PRKCB, STAR, CAMK2D, CAMK2G, SCARB1",0.129
AMPK signaling pathway,0.011,0.106,1,120,21,0,"","RAB10, CPT1A, CREB3L4, EEF2, FOXO3, TBC1D1, SIRT1, LIPE, PCK1, PFKL, PIK3CD, PPARG, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R5C, PRKAA1, CCND1, RPS6KB1, ADIPOQ",0.088
Natural killer cell mediated cytotoxicity,0.011,0.106,1,127,22,1,TNFRSF10B,"RAET1E, FCGR3A, HLA-A, ICAM2, IFNA5, IFNA6, IFNG, ITGB2, KLRC1, MICB, NFATC1, NRAS, PIK3CD, PPP3R1, PRKCA, PRKCB, MAP2K2, RAC1, RAC3, ZAP70, CD48",0.109
AGE-RAGE signaling pathway in diabetic complications,0.012,0.106,1,99,18,0,"","COL4A4, MAPK14, NFATC1, NRAS, NOX4, PIK3CD, PLCD1, PRKCA, PRKCB, MAPK11, MAPK9, RAC1, CCND1, BCL2, TGFB3, TGFBR2, VEGFA",0.091
Vascular smooth muscle contraction,0.012,0.106,1,121,21,1,ITPR2,"CALCRL, MRVI1, ADCY3, ADCY9, ADRA1D, ADRA1B, CYP4A11, ARHGEF12, KCNMB3, KCNMB4, CYP4A22, GUCY1A2, PPP1R12A, NPR2, PPP1CA, PRKCA, PRKCB, PRKCH, MAP2K2, ARHGEF1",0.111
Oocyte meiosis,0.012,0.106,1,121,21,1,ITPR2,"ADCY3, ADCY9, FBXO5, SPDYE1, PGR, PPP1CA, PPP2CA, PPP2R1A, PPP2R1B, PPP2R5C, PPP3R1, RPS6KA2, YWHAE, CAMK2D, CAMK2G, SMC1A, BTRC, SMC3, CDC20, RBX1",0.111
Oxytocin signaling pathway,0.013,0.106,1,152,25,2,"ITPR2, KCNJ5","ADCY3, ADCY9, EEF2, ELK1, CACNG5, GUCY1A2, PPP1R12A, NFATC1, NPR2, NRAS, PPP1CA, PPP3R1, PRKAA1, PRKCA, PRKCB, MAP2K2, MAP2K5, CACNG6, CCND1, CACNB2, CAMK2D, CAMK2G, CACNA2D4",0.122
Fatty acid degradation,0.013,0.106,1,44,10,0,"","ADH1A, ADH6, ADH7, CPT1A, CYP4A11, ACSBG1, CYP4A22, ACADS, ACAT1, ACAT2",0.114
Th1 and Th2 cell differentiation,0.013,0.106,1,92,17,0,"","DLL3, MAPK14, HLA-DMB, HLA-DPA1, IFNG, IL2RA, IL4R, IL5, NFATC1, NFKBIA, PPP3R1, MAML3, MAPK11, MAPK9, STAT6, ZAP70, CD3E",0.092
Pyrimidine metabolism,0.014,0.107,1,100,18,0,"","POLR3F, POLR3C, NT5C3B, DHODH, DPYD, DUT, ENTPD8, PNP, RRM2B, POLD2, POLR2E, POLR3B, POLE4, TK2, UPP1, ENTPD1, POLR1C, ENTPD6",0.09
Apoptosis,0.015,0.111,1,138,23,2,"ITPR2, TNFRSF10B","TUBA3D, PARP4, CTSO, DAXX, GADD45A, DDIT3, BBC3, HTRA2, BIRC2, GADD45B, ATF4, NFKBIA, NRAS, PIK3CD, CYCS, MAPK9, MAP2K2, BAK1, BCL2, CAPN1, CASP9",0.127
Pyruvate metabolism,0.016,0.12,1,39,9,0,"","GLO1, HAGH, ACAT1, ACAT2, MDH2, PCK1, PDHB, PKM, GRHPR",0.115
Long-term depression,0.019,0.127,1,60,12,1,ITPR2,"GNAZ, GRID2, GUCY1A2, NRAS, PPP2CA, PPP2R1A, PPP2R1B, PRKCA, PRKCB, MAP2K2, CACNA1A",0.142
Glycolysis / Gluconeogenesis,0.019,0.127,1,67,13,0,"","ADH1A, ADH6, ADH7, ALDH3A1, ALDOB, PCK1, PDHB, PFKL, PGK2, PKM, BPGM, TPI1, ADPGK",0.097
Long-term potentiation,0.019,0.127,1,67,13,1,ITPR2,"GRIN2B, ATF4, NRAS, PPP1CA, PPP1R1A, PPP3R1, PRKCA, PRKCB, MAP2K2, RPS6KA2, CAMK2D, CAMK2G",0.135
Osteoclast differentiation,0.021,0.135,1,127,21,0,"","LILRB2, LILRB4, MAPK14, CYBA, FCGR1A, FCGR3A, IFNG, JUNB, NFATC1, NFKB2, NFKBIA, TNFRSF11B, PIK3CD, PPARG, PPP3R1, MAPK11, MAPK9, RAC1, TGFBR2, SQSTM1, FCGR2C",0.083
p53 signaling pathway,0.021,0.135,1,68,13,1,TNFRSF10B,"CHEK1, GADD45A, BBC3, SESN1, CD82, GADD45B, RRM2B, CYCS, CCND1, THBS1, CASP9",0.134
HIF-1 signaling pathway,0.025,0.151,1,99,17,0,"","IFNG, PDHB, PFKL, PIK3CD, EGLN1, PRKCA, PRKCB, MAP2K2, BCL2, RPS6, RPS6KB1, TCEB2, TIMP1, VEGFA, CAMK2D, CAMK2G, RBX1",0.086
FoxO signaling pathway,0.026,0.151,1,130,21,0,"","CDKN2D, PLK2, AGAP2, MAPK14, GADD45A, FOXO3, SIRT1, GABARAPL1, GADD45B, NRAS, PCK1, PIK3CD, PRKAA1, MAPK11, MAPK9, MAP2K2, CCND1, TGFB3, TGFBR2, CAT, ATG12",0.081
Relaxin signaling pathway,0.026,0.151,1,130,21,0,"","GNB5, ADCY3, ADCY9, COL4A4, MAPK14, CREB3L4, GNB1, GNGT1, MMP13, ATF4, NFKBIA, NRAS, PIK3CD, PRKCA, MAPK11, MAPK9, MAP2K2, RLN1, TGFBR2, VEGFA",0.081
Phenylalanine metabolism,0.026,0.151,1,17,5,0,"","GLYAT, ALDH3A1, AOC2, MAOB, AOC3",0.147
Cytosolic DNA-sensing pathway,0.027,0.151,1,63,12,0,"","POLR3F, POLR3C, RIPK3, PYCARD, IFNA5, IFNA6, NFKBIA, POLR2E, POLR3B, ZBP1, AIM2, POLR1C",0.095
ErbB signaling pathway,0.028,0.151,1,85,15,0,"","NRG3, ELK1, ABL1, NRG1, MYC, NCK1, NRAS, PIK3CD, PRKCA, PRKCB, MAPK9, MAP2K2, RPS6KB1, CAMK2D, CAMK2G",0.088
Platelet activation,0.028,0.151,1,123,20,1,ITPR2,"RASGRP1, RASGRP2, ADCY3, ADCY9, MAPK14, ARHGEF12, GP5, GUCY1A2, PPP1R12A, P2RY1, PIK3CD, APBB1IP, PPP1CA, MAPK11, PTGS1, STIM1, VASP, SNAP23, ARHGEF1",0.106
Retrograde endocannabinoid signaling,0.029,0.154,1,147,23,2,"ITPR2, KCNJ5","GNB5, ADCY3, ADCY9, CNR1, MAPK14, FAAH, RIMS1, GNB1, GNGT1, NDUFA9, NDUFB1, NDUFS2, NDUFS5, NDUFS8, PRKCA, PRKCB, MAPK11, MAPK9, NDUFA4L2, SLC17A7, CACNA1A",0.122
T cell receptor signaling pathway,0.033,0.17,1,102,17,0,"","RASGRP1, MAPK14, IFNG, IL5, NCK1, NFATC1, NFKBIA, NRAS, PDCD1, PIK3CD, PPP3R1, MAPK11, MAPK9, MAP2K2, ZAP70, CD3E, CD8A",0.083
Sphingolipid signaling pathway,0.034,0.172,1,118,19,0,"","ADORA1, MAPK14, FCER1A, ABCC1, NRAS, PIK3CD, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R5C, PRKCA, PRKCB, MAPK11, MAPK9, MAP2K2, RAC1, RAC3, BCL2",0.081
Vasopressin-regulated water reabsorption,0.034,0.172,1,44,9,0,"","ADCY3, ADCY9, DYNLL2, CREB3L4, DCTN1, AVP, AVPR2, RAB5C, STX4",0.102
Non-homologous end-joining,0.039,0.188,1,13,4,0,"","POLL, PRKDC, XRCC4, NHEJ1",0.154
Longevity regulating pathway,0.04,0.19,1,89,15,0,"","ADCY3, ADCY9, CREB3L4, FOXO3, SIRT1, APPL1, SESN1, ATF4, NRAS, PIK3CD, PPARG, PRKAA1, RPS6KB1, CAT, ADIPOQ",0.084
Nucleotide excision repair,0.044,0.208,1,46,9,0,"","ERCC8, ERCC3, ERCC5, POLD2, POLE4, RFC5, RPA1, XPC, RBX1",0.098
