"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"11","Insulin signaling pathway",0,0.001,0.012,136,67,67,"AKT3, FLOT1, SORBS1, PPARGC1A, SOCS4, EIF4E, EIF4EBP1, AKT2, FASN, FBP1, FLOT2, EXOC7, RHOQ, G6PC, SHC2, GSK3B, GYS1, HK1, HK2, ACACB, IKBKB, INS, IRS1, PCK2, PDE3B, PDPK1, INPP5K, CALML5, PHKA1, PHKB, PHKG1, PIK3R2, PKLR, SHC3, PRKAG3, PPP1CC, PPP1R3C, PPP1R3D, PRKAB1, PRKACB, PRKACG, PRKAG1, PRKAR2A, PRKAR2B, MAPK1, MAPK8, MAP2K1, BAD, PTPRF, PYGM, RAF1, RHEB, SHC1, SLC2A4, SOS1, BRAF, TSC2, CALM1, CALM2, CALM3, IRS4, SOCS1, CBLB, SOCS2, PPP1R3F, CALML4, EIF4E2","",0.746
"12","TNF signaling pathway",0,0.001,0.018,108,55,55,"AKT3, TAB1, CREB3, CEBPB, CHUK, MAP3K8, ATF2, ATF6B, CSF1, CSF2, DAB2IP, EDN1, PGAM5, AKT2, TAB3, CXCL2, IKBKB, IL1B, IL6, IL15, CXCL10, LIF, LTA, MAP3K5, MMP3, NFKB1, PIK3R2, MAPK1, MAPK8, MAPK13, MAP2K1, MAP2K6, PTGS2, RELA, BCL3, MAPK12, CCL2, CX3CL1, SELE, TNFAIP3, TNFRSF1B, TRAF1, TRAF2, TRAF3, TRAF5, VEGFC, CASP7, CASP8, CREB3L3, IKBKG, RIPK1, RPS6KA4, CREB3L1, BAG4, CREB5","",0.755
"13","Olfactory transduction",0,0.002,0.027,399,166,165,"OR52J3, OR51L1, OR51S1, OR51F2, OR4C46, OR52M1, OR52K2, OR5P2, OR2D3, OR56A4, OR56A1, OR11H6, CNGB1, OR10H4, OR2M5, OR2M3, OR2T34, OR2T10, OR2T4, OR2T11, OR10Z1, OR9A4, OR2Y1, OR2A14, OR13C4, OR1L8, OR1N2, OR1Q1, OR7D2, OR56B4, OR4C16, OR4S2, OR5D14, OR5AS1, OR8J1, OR5M3, OR8B12, OR6T1, OR6Q1, OR5A2, OR52A1, OR6C74, OR6C3, OR2T6, OR52B2, OR4C3, OR4S1, OR2M4, OR2L2, OR8G2, OR12D2, OR10H2, OR10H1, OR4F3, OR4E2, OR4D1, OR2W1, OR2T1, OR2J2, OR1L3, OR1J2, OR51B5, OR10AG1, OR5J2, OR4C12, OR51V1, OR8B4, OR10A4, OR6C6, OR2L13, OR2V2, GUCY2D, OR8D4, OR2AG2, OR2AT4, OR10A2, OR6C4, OR6F1, OR2W3, OR2T3, OR56B1, OR51B6, OR51Q1, OR51I2, OR52D1, OR52H1, OR52N4, OR52N5, OR52E4, OR4X1, OR5D16, OR5W2, OR5T3, OR5M10, OR9G1, OR5B2, OR10V1, OR6X1, OR8A1, OR6C1, OR6C76, OR6C70, OR4N2, OR4K17, OR11G2, OR5AU1, OR4F15, OR7G2, OR7A10, OR10K2, OR11L1, OR2L8, OR2AK2, OR2L3, OR2M2, OR2M7, OR2A25, OR13J1, OR51T1, OR51A4, OR51A2, OR2T2, OR2T5, OR5K2, OR2A42, OR5H14, OR5H15, OR5K3, OR6C68, ARRB2, OR11H12, OR4F21, OR5B3, OR3A1, OR3A2, OR8U9, OR9G9, PDE1B, CALML5, PRKACB, PRKACG, PRKG1, PRKG2, SLC8A2, OR13A1, OR51B4, OR51B2, OR52N1, OR4F5, CALM1, CALM2, CALM3, OR11H1, OR4F17, OR4P4, OR10W1, OR5V1, OR2B2, OR1D5, OR1E1, OR1E2, OR3A3, NCALD, OR6A2, CALML4","",0.705
"14","NF-kappa B signaling pathway",0,0.002,0.033,93,48,48,"TAB1, TNFSF13B, CHUK, PARP1, CSNK2A1, TICAM1, DDX58, TAB3, LAT, CXCL2, XIAP, TICAM2, IKBKB, IL1B, CXCL8, IRAK1, LBP, LCK, LTA, LTB, ATM, NFKB1, PIAS4, PLAU, PLCG1, PIDD1, PRKCQ, PTGS2, RELA, RELB, CCL4, CCL13, SYK, BTK, TNFAIP3, TRAF1, TRAF2, TRAF3, TRAF5, UBE2I, TRIM25, CARD11, IKBKG, RIPK1, TNFRSF11A, BCL10, CCL4L2, CD40LG","",0.758
"15","Renin secretion",0,0.002,0.036,65,36,36,"ADCYAP1R1, CLCA1, CTSB, ADRB3, ACE, AGT, CLCA4, GNAI1, GNAI2, GNAI3, GNAS, GUCY1A3, GUCY1B3, KCNJ2, KCNMA1, PDE3B, PDE1B, CALML5, PLCB2, PLCB3, PLCB4, PPP3CA, PPP3CC, PPP3R2, PRKACB, PRKACG, PRKG2, PTGER2, CACNA1D, CACNA1S, CALM1, CALM2, CALM3, ORAI1, CALML4, CLCA2","",0.777
"16","Gap junction",0,0.003,0.05,87,45,45,"TUBA1B, TUBB3, TUBB4A, ADCY1, MAP3K2, TUBA3E, DRD1, DRD2, LPAR1, EGFR, GNA11, GNAI1, GNAI2, GNAI3, GNAS, GRM1, GRM5, GUCY1A3, GUCY1B3, HTR2C, TUBB8, TUBB2B, PDGFA, PDGFB, PDGFRA, PLCB2, PLCB3, PLCB4, PRKACB, PRKACG, PRKCG, PRKG1, PRKG2, MAPK1, MAP2K1, GJD2, RAF1, SOS1, TJP1, TUBA4A, TUBAL3, PDGFD, TUBB6, TUBA1C, CDK1","",0.759
"17","Cytokine-cytokine receptor interaction",0,0.003,0.052,266,115,115,"CXCL13, TNFSF13B, CCR9, EDAR, CCR3, CCR6, CNTFR, CSF1, CSF2, CSF2RB, IL23R, CX3CR1, EDA, EGFR, EPO, FLT3, FLT3LG, GH2, AMHR2, IL17C, IL17B, IFNL3, XCR1, CXCR3, CXCL2, IL19, IFNA2, IFNA7, IFNA8, IFNA13, IFNA14, IFNA16, IFNA17, IFNB1, IL1A, IL1B, IL2, FASLG, IL2RB, IL4, IL6, IL6R, IL7, IL7R, CXCL8, IL9, CXCR2, IL10, IL10RA, IL10RB, IL11, IL12RB2, IL15, IL15RA, TNFRSF9, INHBB, CXCL10, KIT, LEPR, LIF, LTA, LTB, CCL3L3, MET, KITLG, CXCL9, IL20, IL21R, IL22, PDGFA, PDGFB, PDGFRA, PF4, IL20RA, TNFRSF19, IL26, PRL, CCL28, CXCL16, TNFRSF17, CCL2, CCL3, CCL4, CCL11, CCL13, CCL15, CCL18, CCL22, CCL24, CXCL11, CX3CL1, CXCR5, XCL2, TGFB2, TGFBR1, TNFRSF1B, VEGFC, INHBE, IL17RC, TSLP, TNFSF12, TNFRSF14, TNFRSF11A, TNFRSF10C, TNFRSF10A, TNFSF18, ACVR1B, ACVR2A, ACVR2B, CD27, TNFRSF8, TNFSF8, CXCL14, CCL4L2, CD40LG","",0.716
"18","PI3K-Akt signaling pathway",0,0.003,0.056,336,141,141,"AKT3, BCL2L11, SGK2, LPAR6, CDKN1A, CDKN1B, CREB3, CHRM2, CHUK, COL1A1, COL4A2, COL4A3, COL6A1, COL9A1, COL9A3, ATF2, ATF6B, CSF1, LPAR1, EFNA2, EGFR, EPHA2, EIF4B, EIF4E, EIF4EBP1, EPO, AKT2, FGF6, FGF8, FGF11, FGF12, FGF13, FGF14, FGFR1, FGFR4, ITGA11, PHLPP1, LPAR3, SGK3, G6PC, COL6A5, GH2, GNB3, GNG3, GNGT2, LAMA1, LPAR4, GSK3B, GYS1, TNC, IFNA2, IFNA7, IFNA8, IFNA13, IFNA14, IFNA16, IFNA17, IFNB1, IGF1, IGF1R, IKBKB, IL2, FASLG, IL2RB, IL4, IL6, IL6R, IL7, IL7R, INS, IRS1, ITGA1, ITGA2B, ITGA5, ITGAV, ITGB1, ITGB6, ITGB7, KIT, LAMA2, LAMA4, LAMA5, LAMB3, LAMC1, MCL1, MET, KITLG, MYB, NFKB1, NGF, NOS3, PCK2, PDGFA, PDGFB, PDGFRA, PDPK1, PIK3CG, PIK3R2, PPP2R2B, PPP2R5A, PPP2R5B, PKN1, PKN2, MAPK1, MAP2K1, PRL, RELN, BAD, PTEN, RAF1, GNB4, RELA, RHEB, TNN, SGK1, SOS1, STK11, SYK, THBS3, THBS4, TNR, TNXB, TP53, TSC2, VEGFC, VTN, VWF, YWHAH, YWHAZ, PDGFD, FGF23, CREB3L3, ITGA8, IKBKG, FGF17, CCNE1, CREB3L1, GNG8, EIF4E2, CREB5, TCL1B","",0.71
"19","Melanogenesis",0,0.004,0.067,100,50,50,"CREB3, ADCY1, CREBBP, CTNNB1, DCT, DVL1, EDN1, EDNRB, EP300, GNAI1, GNAI2, GNAI3, GNAO1, GNAS, GSK3B, KIT, MC1R, KITLG, MITF, ASIP, LEF1, CALML5, PLCB2, PLCB3, PLCB4, PRKACB, PRKACG, PRKCG, MAPK1, MAP2K1, RAF1, TCF7, TCF7L2, WNT2, WNT5A, WNT7B, WNT8B, WNT10B, WNT9A, FZD5, CALM1, WNT10A, CALM2, CALM3, FZD7, TCF7L1, CREB3L3, WNT3A, CREB3L1, CALML4","",0.75
"20","Calcium signaling pathway",0,0.004,0.071,181,82,82,"ADCY1, CHRM2, PLCD3, CHRNA7, ADORA2A, ADRB3, DRD1, DRD5, EDNRB, EGFR, ERBB4, P2RX2, GNA11, GNA15, GNAS, GRIN2A, GRIN2C, GRIN2D, GRM1, GRM5, GRPR, HTR2C, HTR4, HTR5A, HTR7, ITPKA, MYLK, NOS2, NOS3, ATP2A1, ATP2A2, ATP2A3, ATP2B3, ATP2B4, OXTR, P2RX4, PDE1B, PDGFRA, CALML5, PHKA1, PHKB, PHKG1, PLCB2, PLCB3, PLCB4, PLCG1, PLN, AVPR1A, AVPR1B, PPP3CA, PPP3CC, PPP3R2, PRKACB, PRKACG, PRKCG, LTB4R2, SPHK2, CYSLTR2, PTAFR, STIM2, BDKRB1, BDKRB2, RYR1, RYR2, SLC8A2, TACR2, TACR3, TBXA2R, TRHR, VDAC2, VDAC3, CACNA1D, CACNA1S, CALM1, CALM2, CALM3, PLCD4, ORAI1, SPHK1, CACNA1I, CALML4, GNA14","",0.727
"21","Ether lipid metabolism",0.001,0.007,0.14,43,25,24,"PLD4, PLA2G4E, PLD3, PLA2G4F, PLA2G2D, PLA2G4D, PLA2G2E, PAFAH1B2, PAFAH1B3, PAFAH2, ENPP2, PLA2G1B, PLA2G2A, PLA2G4A, PLA2G5, PLD1, LPCAT2, CHPT1, PLA2G2F, PLA2G7, LPCAT1, PLA2G12A, PLA2G6, GAL3ST1","",0.771
"22","Serotonergic synapse",0.001,0.008,0.186,111,53,53,"TPH2, PLA2G4E, CYP2C19, CYP2C8, CYP2J2, DDC, HTR3C, DUSP1, HTR3D, ALOX5, ALOX15, PLA2G4F, GABRB1, GABRB3, GNAI1, GNAI2, GNAI3, GNAO1, GNAS, GNB3, GNG3, GNGT2, PLA2G4D, HTR3E, HTR1F, HTR2C, HTR3A, HTR4, HTR5A, HTR7, APP, KCNJ3, KCNJ6, KCNJ9, MAOA, PLA2G4A, PLCB2, PLCB3, PLCB4, PRKACB, PRKACG, PRKCG, MAPK1, MAP2K1, PTGS2, RAF1, GNB4, SLC18A2, BRAF, CACNA1D, CACNA1S, HTR3B, GNG8","",0.739
"23","Vascular smooth muscle contraction",0.001,0.009,0.209,119,56,56,"KCNMB2, RAMP2, RAMP3, MYL9, GNA13, ADCY1, PLA2G4E, ADORA2A, KCNU1, PLA2G4F, PLA2G2D, GNA11, GNA12, GNAS, PLA2G4D, GUCY1A3, GUCY1B3, PLA2G2E, KCNMA1, MYH11, MYL6, MYLK, PPP1R12B, CALML5, PLA2G1B, PLA2G2A, PLA2G4A, PLA2G5, PLCB2, PLCB3, PLCB4, PPP1R12C, PPP1CC, AVPR1A, AVPR1B, PRKACB, PRKACG, PRKCG, PRKCQ, PRKG1, MAPK1, MAP2K1, PTGIR, RAF1, ROCK1, PLA2G2F, BRAF, CACNA1D, CACNA1S, CALM1, CALM2, CALM3, PLA2G12A, PLA2G6, CALML4, ROCK2","",0.735
"24","Oxytocin signaling pathway",0.001,0.012,0.279,151,68,68,"CDKN1A, CACNG3, CACNG2, MYL9, CAMKK2, ADCY1, PLA2G4E, RCAN1, EGFR, PLA2G4F, CACNG4, GNAI1, GNAI2, GNAI3, GNAO1, GNAS, PLA2G4D, GUCY1A3, GUCY1B3, KCNJ2, KCNJ3, KCNJ4, KCNJ6, KCNJ9, KCNJ12, MEF2C, MYL6, MYLK, PPP1R12B, NFATC4, NOS3, OXTR, CALML5, PIK3CG, PLA2G4A, PLCB2, PLCB3, PLCB4, PRKAG3, PPP1R12C, PPP1CC, PPP3CA, PPP3CC, PPP3R2, PRKAB1, PRKACB, PRKACG, PRKAG1, CACNA2D3, PRKCG, MAPK1, MAP2K1, CAMK1D, PTGS2, RAF1, ROCK1, RYR1, RYR2, ACTG1, CACNA1D, CACNA1S, CALM1, CALM2, CALM3, CAMK1, CALML4, CACNA2D2, ROCK2","",0.725
"25","Fc gamma R-mediated phagocytosis",0.001,0.012,0.32,88,43,42,"AKT3, ARPC3, ARPC1B, ARPC1A, CFL2, PLA2G4E, DOCK2, AKT2, FCGR2B, PIP5K1C, PLA2G4F, LAT, AMPH, BIN1, PLA2G4D, INPP5D, ARF6, LIMK2, MYO10, ASAP1, PIK3R2, PLA2G4A, PLCG1, PLD1, ASAP3, PRKCG, MAPK1, MAP2K1, SPHK2, PTPRC, RAF1, MARCKSL1, SYK, VAV2, ARPC5L, PIP5K1B, PLA2G6, SCIN, ASAP2, SPHK1, GAB2, CDC42","",0.733
"26","Estrogen signaling pathway",0.001,0.012,0.323,98,47,47,"AKT3, CREB3, ADCY1, ATF2, ATF6B, HBEGF, EGFR, AKT2, FKBP4, FKBP5, SHC2, GNAI1, GNAI2, GNAI3, GNAO1, GNAS, GPER1, GRM1, HSPA1L, HSPA2, HSPA6, HSPA8, KCNJ3, KCNJ6, KCNJ9, NOS3, OPRM1, CALML5, PIK3R2, PLCB2, PLCB3, PLCB4, SHC3, PRKACB, PRKACG, MAPK1, MAP2K1, RAF1, SHC1, SOS1, CALM1, CALM2, CALM3, CREB3L3, CREB3L1, CALML4, CREB5","",0.74
"27","RNA degradation",0.001,0.013,0.351,76,38,38,"TOB1, EXOSC8, DIS3L, EXOSC6, PABPC5, DDX6, DCP2, DHX36, XRN2, EXOSC2, LSM5, CNOT6L, PAN3, LSM4, PABPC1, LSM1, LSM3, DCPS, CNOT7, HSPD1, PABPC1L2A, CNOT3, PABPC3, PARN, EXOSC3, EXOSC9, EXOSC10, XRN1, EXOSC4, EXOSC5, LSM2, PABPC1L2B, SKIV2L, BTG2, ZCCHC7, PNPT1, PABPC4, TTC37","",0.75
"28","mTOR signaling pathway",0.001,0.013,0.36,147,66,66,"AKT3, LAMTOR5, NPRL2, RRAGA, CHUK, ATP6V1G3, DVL1, EIF4B, EIF4E, EIF4EBP1, FLCN, AKT2, GRB10, GSK3B, IGF1, IGF1R, IKBKB, INS, IRS1, LRP5, ATP6V1H, PDPK1, CAB39, ATP6V1A, ATP6V1C1, PIK3R2, STRADB, PRKCG, MAPK1, MAP2K1, PTEN, RAF1, RHEB, RPS6KA1, CLIP1, SEC13, SGK1, SKP2, SLC3A2, SOS1, BRAF, STK11, TSC2, WNT2, WNT5A, WNT7B, WNT8B, WNT10B, WNT9A, FZD5, WDR59, WNT10A, NPRL3, SLC7A5, CAB39L, SEH1L, FZD7, SESN2, ULK1, WNT3A, STRADA, ATP6V1F, EIF4E2, ATP6V1G1, DEPDC5, ULK2","",0.724
"29","cAMP signaling pathway",0.001,0.013,0.364,197,85,84,"AKT3, MYL9, CREB3, ADCY1, CFTR, CHRM2, GRIN3A, GRIN3B, ADCYAP1R1, CNGB1, CNGA1, ADORA2A, CREBBP, DRD1, DRD2, DRD5, EP300, AKT2, ATP1B4, FSHB, GIPR, GLP1R, GNAI1, GNAI2, GNAI3, GNAS, GRIN2A, GRIN2C, GRIN2D, HTR1F, HTR4, HCAR2, MC2R, ATP1A1, NFKB1, ATP1B2, NPY, FXYD2, ATP2A2, NPY1R, ATP2B3, ATP2B4, OXTR, ACOX1, PDE3B, PDE4A, PDE4D, CALML5, PIK3R2, PLD1, FXYD1, PLN, CNGB3, PPP1CC, PRKACB, PRKACG, MAPK1, MAPK8, MAP2K1, BAD, PTCH1, PTGER2, RAF1, RELA, ROCK1, RYR2, HHIP, BRAF, SSTR1, SSTR5, TNNI3, VAV2, VIPR2, CACNA1D, CACNA1S, CALM1, CALM2, CALM3, CREB3L3, ORAI1, CREB3L1, CALML4, ROCK2, CREB5","",0.71
