"GeneSymbol","Zscore","EntrezID","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","Pathway"
"244",-1.643,244,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"245914",1.762,245914,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"255352",0.384,255352,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"283135",0.959,283135,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"283294",0.497,283294,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"283331",0.746,283331,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"284944",0.347,284944,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"285135",2.149,285135,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"285754",0.844,285754,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"3-Mar",1.075,115123,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"3-Sep",0.493,55964,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"339010",-0.707,339010,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"339457",0.773,339457,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"340843",-0.181,340843,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"349236",0.801,349236,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"374467",0.055,374467,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"375347",0.108,375347,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"378465",-0.84,378465,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"387054",0.305,387054,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"387851",-0.451,387851,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"389832",0.006,389832,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"392395",-2.105,392395,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"4-Mar",-0.917,57574,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"4-Sep",-0.787,5414,"HighConf","No","MedConf","No","MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Apoptosis"
"400077",0.635,400077,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"400223",-0.371,400223,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"400509",0.638,400509,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"401271",0.465,401271,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"401940",1.504,401940,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"402164",-2.098,402164,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"414308",2.398,414308,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"4197",2.438,4197,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"4276",-0.543,4276,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"440321",0.266,440321,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"440673",-0.782,440673,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"441140",-0.196,441140,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"4950",-0.615,4950,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"5-Mar",-0.229,54708,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"5-Sep",-0.713,5413,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"51402",-2.897,51402,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"54530",0.752,54530,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"55849",1.402,55849,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"56959",-0.263,56959,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"57714",-2.166,57714,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"6-Mar",-0.081,10299,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"6-Sep",-0.848,23157,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"641522",0.511,641522,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"641559",0.138,641559,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"64163",1.423,64163,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"64173",-0.246,64173,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"642219",1.303,642219,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"642265",0.622,642265,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"642678",0.168,642678,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"6435",0.449,6435,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"6436",-0.631,6436,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"64694",1.519,64694,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"649055",-0.321,649055,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"649853",-0.601,649853,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"650137",0.161,650137,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"650662",0.535,650662,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"651503",-0.259,651503,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"652433",-0.396,652433,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"652436",-0.475,652436,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"652591",-0.177,652591,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"652759",0.307,652759,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"652859",1.07,652859,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"652919",1.17,652919,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"653111",-0.029,653111,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"653129",-0.018,653129,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"653401",0.66,653401,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"653573",-0.616,653573,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"653978",1.427,653978,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"654341",0.638,654341,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"7-Mar",1.642,64844,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"7-Sep",0.738,989,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"728404",-0.234,728404,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"728461",1.087,728461,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"728919",1.988,728919,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"751867",-0.444,751867,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"768329",1.084,768329,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"79614",0.677,79614,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"8-Mar",0.926,220972,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"8385",0.801,8385,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"83954",0.689,83954,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"84127",-0.063,84127,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"84663",-0.021,84663,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"85282",-0.975,85282,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"85287",1.559,85287,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"85411",-0.764,85411,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"9-Mar",1.846,92979,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"9-Sep",0.414,10801,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"90462",-0.822,90462,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"91431",-1.225,91431,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"934",-0.048,934,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"9503",0.193,9503,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"9598",-2.215,9598,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A1BG",-0.543,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"A1CF",0.587,29974,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M",-1.982,2,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A2ML1",-0.147,144568,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"A3GALT2",0.566,127550,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GALT",1.63,53947,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GNT",-0.811,51146,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"AAAS",-0.29,8086,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","RNA transport"
"AACS",-0.136,65985,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"AADAC",0.273,13,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",-0.012,344752,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"AADACL4",-0.511,343066,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"AADAT",-0.722,51166,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"AAED1",0.959,195827,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",1.244,79719,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAK1",-2.384,22848,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",1.913,28971,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMP",0.904,14,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AANAT",-0.91,15,"HighConf","No","MedConf","No","MedConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf",NA
"AAR2",-0.275,25980,"HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf",NA
"AARD",-0.053,441376,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"AARS",0.423,16,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AARS2",-0.104,57505,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"AARSD1",0.038,80755,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDH",-0.042,132949,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"AASDHPPT",0.895,60496,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AASS",-0.864,10157,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"AATF",1.158,26574,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AATK",0.078,9625,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABAT",-2.138,18,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA1",-0.552,19,"HighConf","No","MedConf","No","MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Fat digestion and absorption"
"ABCA10",0,10349,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA12",-2.279,26154,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA13",-0.274,154664,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCA2",-1.002,20,"HighConf","No","MedConf","No","MedConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf",NA
"ABCA3",1.069,21,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA4",-0.162,24,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCA5",-0.393,23461,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCA6",-0.522,23460,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCA7",0.923,10347,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA8",0.308,10351,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA9",0.869,10350,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB1",0.39,5243,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB10",-1.19,23456,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCB11",-0.936,8647,"HighConf","No","MedConf","No","MedConf","Yes","HighConf","No","HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCB4",0.834,5244,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB5",-0.511,340273,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCB6",-0.897,10058,"HighConf","No","MedConf","No","MedConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf",NA
"ABCB7",0.847,22,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB8",0.03,11194,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB9",0.462,23457,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC1",1.7,4363,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABCC10",-1.652,89845,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCC11",0.802,85320,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC12",-0.387,94160,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCC2",1.205,1244,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC3",-0.147,8714,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCC4",0.657,10257,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABCC5",1.197,10057,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC6",-0.9,368,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCC8",-0.592,6833,"HighConf","No","MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf",NA
"ABCC9",-0.211,10060,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCD1",1.144,215,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD2",-0.067,225,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCD3",-0.917,5825,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCD4",-0.217,5826,"HighConf","No","MedConf","No","MedConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf",NA
"ABCE1",0.386,6059,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF1",0.613,23,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF2",0.841,10061,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF3",0.982,55324,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
