EntrezID,GeneSymbol,InputCategory,Group,TRIAGEpathways,Total.Network.Hits,All.Network.Hits
10533,ATG7,HighConf,Novel,Autophagy - animal,20,"ATG12, GABARAPL2, UBE2G2, DCAF1, RNF25, FBXL12, HERC6, FBXO21, UBE2J2, FBXW11, BTRC, UBE2D1, MAP1LC3A, ANAPC11, HUWE1, UBE2V2, CUL5, KBTBD7, UBA6, RNF126"
535,ATP6V0A1,HighConf,Novel,,3,"ATP6V1E2, RPS18, ATP6V1H"
90423,ATP6V1E2,MedConf,Novel,mTOR signaling pathway,3,"LHPP, ATP6V1H, ATP6V0A1"
51606,ATP6V1H,MedConf,Novel,mTOR signaling pathway,5,"MRPL1, CDC42, ATP6V0A1, ATP6V1E2, LHPP"
22893,BAHD1,HighConf,Novel,,2,"HDAC1, SUV39H1"
607,BCL9,HighConf,Novel,,1,HDAC1
7862,BRPF1,MedConf,Novel,,3,"HDAC1, AKT1, EP300"
8945,BTRC,MedConf,Novel,,4,"RELA, ATG7, HNRNPU, HDAC1"
718,C3,MedConf,Novel,,4,"GNG2, LPAR1, CHRM2, RXFP3"
728,C5AR1,MedConf,Novel,,4,"LPAR1, CHRM2, RXFP3, GNG2"
786,CACNG1,HighConf,Novel,MAPK signaling pathway,3,"PKD1L1, CATSPERD, PPP2R2A"
8536,CAMK1,MedConf,Novel,,1,CREB5
257062,CATSPERD,MedConf,Novel,,1,CACNG1
858,CAV2,HighConf,Novel,Focal adhesion,1,EGFR
904,CCNT1,HighConf,Novel,,3,"POLR2J, NCBP2, TGFBR2"
7203,CCT3,MedConf,Novel,,6,"NOP56, PPP2R2A, PC, GNG2, SPHK1, ARF1"
947,CD34,MedConf,Novel,,1,NUP62
920,CD4,HighConf,Novel,T cell receptor signaling pathway,14,"GAPVD1, AP2M1, SH3GL3, EGF, LCP2, DVL2, CHRM2, ARHGEF12, CTTN, HIP1R, ARPC1A, ARPC5, EGFR, CD8B"
961,CD47,MedConf,Novel,,1,COL4A4
926,CD8B,MedConf,Novel,T cell receptor signaling pathway,3,"CD4, LCP2, RSKR"
978,CDA,MedConf,Novel,Pyrimidine metabolism,2,"XPO1, TIMM8A"
998,CDC42,MedConf,Novel,"Focal adhesion, Ras signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, T cell receptor signaling pathway, Rap1 signaling pathway",43,"ARPC1A, ZWILCH, NUP85, AHCTF1, NUP160, ARPC5, ACTA1, EGFR, ITGB3BP, RAP1B, PAK2, EPS8, RPS6KB1, EGF, GNG2, LCP2, CXCR4, TIAM1, MEF2C, ARHGEF2, TAOK1, ABLIM2, ARAP1, TIAM2, ARHGEF19, ARHGAP36, ARHGAP32, STARD13, ARHGAP9, RANBP2, RANGAP1, RPS27, ATP6V1H, CLASP1, NUP107, NUP133, XPO1, MTOR, ARHGEF12, CTTN, RAB1B, CENPQ, PARD6B"
1003,CDH5,MedConf,Novel,,1,PAK2
8621,CDK13,MedConf,Novel,,2,"PRPF3, TGFBR2"
55166,CENPQ,MedConf,Novel,,10,"CDC42, NUP85, NUP160, TAOK1, RANBP2, RANGAP1, RPS27, NUP107, NUP133, XPO1"
91012,CERS5,MedConf,Novel,,1,SPHK1
1675,CFD,MedConf,Novel,,2,"EGF, VEGFD"
10523,CHERP,MedConf,Novel,Spliceosome,21,"HNRNPF, PABPN1, SLU7, ZNF827, PPWD1, PRPF3, RBM22, SF3A2, HNRNPU, SNRPA1, SF3B3, PRPF40A, LSM3, LSM2, SNRPB, SF3A1, SUGP1, ELAVL1, POLR2J, NCBP2, ARGLU1"
1129,CHRM2,MedConf,Novel,"PI3K-Akt signaling pathway, Regulation of actin cytoskeleton",23,"CXCR4, MTNR1A, HTR1F, RXFP3, NPBWR1, AGTR2, GABBR1, OPRM1, CTTN, HIP1R, ARPC1A, C3, ARPC5, EGFR, CD4, GAPVD1, AP2M1, SH3GL3, EGF, GNG2, C5AR1, LPAR1, DVL2"
4435,CITED1,MedConf,Novel,,1,EP300
23332,CLASP1,MedConf,Novel,,10,"NUP107, NUP133, XPO1, CDC42, NUP85, NUP160, TAOK1, RANBP2, RANGAP1, RPS27"
1207,CLNS1A,HighConf,RNA transport,RNA transport,8,"LSM3, LSM2, SNRPB, MDH2, UBXN1, GEMIN2, PDIA6, S100A6"
51727,CMPK1,MedConf,Novel,Pyrimidine metabolism,1,ENTPD3
9382,COG1,MedConf,Novel,,1,MAN2A1
22796,COG2,HighConf,Novel,,1,MAN2A1
83548,COG3,HighConf,Novel,,1,MAN2A1
25839,COG4,HighConf,Novel,,2,"MAN2A1, RPS20"
91949,COG7,MedConf,Novel,,1,MAN2A1
7373,COL14A1,MedConf,Novel,,3,"COL4A4, PLOD1, PLOD3"
1307,COL16A1,MedConf,Novel,,3,"COL4A4, PLOD1, PLOD3"
169044,COL22A1,MedConf,Novel,,3,"COL4A4, PLOD1, PLOD3"
1286,COL4A4,MedConf,Novel,"PI3K-Akt signaling pathway, Focal adhesion, Relaxin signaling pathway",9,"ENPP1, PLOD1, PLOD3, ITGA4, PPIB, COL14A1, CD47, COL22A1, COL16A1"
51138,COPS4,MedConf,Novel,,2,"GRB2, POLR2J"
10980,COPS6,MedConf,Novel,,2,"POLR2J, GRB2"
64708,COPS7B,MedConf,Novel,,2,"GRB2, POLR2J"
10920,COPS8,MedConf,Novel,,2,"GRB2, POLR2J"
9586,CREB5,MedConf,Novel,"PI3K-Akt signaling pathway, Relaxin signaling pathway",5,"EP300, ATF1, CRTC2, CAMK1, AKT1"
1392,CRH,MedConf,Novel,,1,GNG2
200186,CRTC2,HighConf,Novel,PI3K-Akt signaling pathway,6,"CRTC3, OGT, AKT1, CREB5, EP300, ATF1"
64784,CRTC3,HighConf,Novel,,1,CRTC2
1437,CSF2,MedConf,Novel,T cell receptor signaling pathway,8,"NFATC3, IL15RA, GRB2, RELA, AKT1, JAK1, EP300, GHR"
1455,CSNK1G2,MedConf,Novel,,2,"DVL2, WNT1"
1459,CSNK2A2,MedConf,Novel,Ribosome biogenesis in eukaryotes,3,"DVL2, MAP1LC3A, EIF3H"
9150,CTDP1,HighConf,Novel,,2,"POLR2J, NCBP2"
1522,CTSZ,MedConf,Novel,,1,ARF1
2017,CTTN,MedConf,Novel,,9,"CDC42, ARPC1A, ARPC5, EGFR, CD4, PAK2, EGF, DVL2, CHRM2"
8065,CUL5,MedConf,Novel,,1,ATG7
7852,CXCR4,HighConf,Novel,,6,"RXFP3, SSH1, CDC42, GNG2, LPAR1, CHRM2"
54205,CYCS,MedConf,Novel,,2,"PPP2R2A, MTOR"
1593,CYP27A1,MedConf,Novel,,1,PC
1629,DBT,MedConf,Novel,Propanoate metabolism,1,ALDH1B1
9730,DCAF1,HighConf,Novel,,2,"RPS8, ATG7"
1654,DDX3X,HighConf,Novel,,2,"NUP133, RPS15A"
54555,DDX49,MedConf,Novel,,15,"RPS15A, RPS18, RPS8, FBL, RPS23, RPS10, RPS27, RPS4X, RPS6, NOP56, RPS20, NOP58, UTP14A, HEATR1, IMP4"
9681,DEPDC5,HighConf,Novel,mTOR signaling pathway,2,"ZNF414, RRAGB"
27292,DIMT1,HighConf,Novel,,1,RPS15A
3337,DNAJB1,HighConf,Novel,,1,EP300
1856,DVL2,MedConf,Novel,"mTOR signaling pathway, Notch signaling pathway",21,"WNT1, WNT11, CHRM2, FZD6, PSMA7, PSME2, PSMB7, PSMB2, CTTN, HIP1R, ARPC1A, ARPC5, EGFR, CD4, GAPVD1, AP2M1, SH3GL3, EGF, CSNK2A2, SENP2, CSNK1G2"
1909,EDNRA,HighConf,Novel,,6,"AKT1, EGFR, MMP1, EGF, GNG2, LPAR1"
1915,EEF1A1,MedConf,RNA transport,RNA transport,32,"RPS15A, RPL9, RPS18, RPS8, FBL, RPL18A, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, RPS6, NOP56, RPS20, RPL18, RPL17, RPL32, SSB, RPL37, ABCC2, GORASP2, ABTB1, RAB2A, RPL39L, RPL6, RANBP2"
1950,EGF,HighConf,Novel,"EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway, Focal adhesion, Ras signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, Rap1 signaling pathway, ErbB signaling pathway, Phospholipase D signaling pathway",29,"DVL2, CHRM2, VEGFD, FLT4, ADAM10, EDNRA, SERPINF2, NRG2, ZFYVE28, GRB2, PPP2R2A, UBE2D1, MTOR, CTTN, CDC42, JAK1, HIP1R, ARPC1A, HGS, ARPC5, EGFR, CD4, FLT1, PDGFRA, CFD, GAPVD1, AP2M1, EPS8, SH3GL3"
1956,EGFR,HighConf,Novel,"EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway, Focal adhesion, Ras signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, Relaxin signaling pathway, Rap1 signaling pathway, ErbB signaling pathway, Phospholipase D signaling pathway",31,"CD4, PDGFRA, GAPVD1, AP2M1, EPS8, SH3GL3, FGF2, EGF, LPAR1, DVL2, CHRM2, VEGFD, FGF9, EDNRA, FGF19, SHC4, FGF14, CAV2, NRG2, ZFYVE28, GRB2, PPP2R2A, UBE2D1, MTOR, CTTN, CDC42, JAK1, HIP1R, ARPC1A, HGS, ARPC5"
1959,EGR2,MedConf,Novel,,3,"EP300, NFATC3, POLR2J"
79813,EHMT1,MedConf,Novel,Lysine degradation,5,"UBE2D1, RELA, PLOD1, PLOD3, ANAPC11"
1964,EIF1AX,MedConf,RNA transport,RNA transport,30,"RPS6, RPS20, RPL18, RPL17, RPL32, EIF3G, EIF3H, EIF4E, RPL37, FLII, ERC2, RPL39L, RPL6, RPS15A, RPL9, RPS18, EIF3I, RPS8, RPL18A, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A"
1967,EIF2B1,MedConf,RNA transport,RNA transport,2,"LYPLA2, ARF1"
8666,EIF3G,MedConf,RNA transport,RNA transport,29,"EIF3H, EIF4E, RPL37, RPL39L, RPL6, RPS15A, RPL9, RPS18, EIF3I, RPS8, RPL18A, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18, RPL17, RPL32, PAIP1"
8667,EIF3H,HighConf,RNA transport,RNA transport,31,"EIF4E, ARPC5, CSNK2A2, RPL37, NUMA1, RPL39L, RPL6, RPS15A, RPL9, RPS18, EIF3I, RPS8, RPL18A, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18, RPL17, RPL32, EIF3G"
8668,EIF3I,MedConf,RNA transport,RNA transport,30,"RPS8, RPL18A, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18, RPL17, RPL32, EIF3G, EIF3H, EIF4E, RPL37, NUMA1, TMED2, RPL39L, RPL6, RPS15A, RPL9, RPS18"
1977,EIF4E,MedConf,RNA transport,"RNA transport, EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway, mTOR signaling pathway, HIF-1 signaling pathway",44,"NCBP2, NUP155, NUP85, NUP160, NUP88, NUP62, NUP54, RPS6KB1, RRAGB, RPL37, EIF4EBP2, RPL39L, RPL6, RANBP2, RPS15A, RPL9, RPS18, EIF3I, RPS8, RPL18A, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18, RPL17, RPL32, NUP107, NUP133, NUP153, PAIP1, EIF3G, MTOR, EIF3H"
1979,EIF4EBP2,MedConf,RNA transport,RNA transport,2,"MTOR, EIF4E"
1994,ELAVL1,MedConf,Novel,,16,"POLR2J, NCBP2, CHERP, SLU7, PRPF3, RBM22, SF3A2, HNRNPU, SNRPA1, SF3B3, PRPF40A, LSM3, LSM2, XPO1, SNRPB, SF3A1"
64100,ELSPBP1,MedConf,Novel,,1,MEF2C
5167,ENPP1,MedConf,Novel,Pyrimidine metabolism,2,"GYS1, COL4A4"
956,ENTPD3,MedConf,Novel,Pyrimidine metabolism,10,"POLR3A, TWISTNB, POLR2J, POLR3F, ZNRD1, POLR3D, CMPK1, PDE2A, GMPR, AK7"
2033,EP300,MedConf,Novel,"HIF-1 signaling pathway, FoxO signaling pathway, Notch signaling pathway",37,"HDAC7, CSF2, MAML1, CRTC2, MEF2C, CITED1, HDAC10, BRPF1, LPL, AJUBA, HOXB1, GATA3, HDAC1, GCK, USP7, UBE2D1, TWISTNB, KAT2A, RPA2, RELA, POLR2J, AKT1, ZNRD1, SPEN, MED14, MED6, MED4, MED27, MED28, MED7, CREB5, MMP1, DNAJB1, EGR2, ERCC3, TFDP2, NCOR2"
7957,EPM2A,MedConf,Novel,,1,GYS1
2059,EPS8,HighConf,Novel,,3,"EGF, CDC42, EGFR"
26059,ERC2,MedConf,Novel,,1,EIF1AX
2071,ERCC3,HighConf,Novel,,7,"EP300, USP7, TWISTNB, POLR2J, NCBP2, TGFBR2, ZNRD1"
2107,ETF1,HighConf,Novel,,25,"RPL18A, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, RPS6, RPS20, RPL18, RPL17, RPL32, PPP2R2A, NCBP2, RPL37, RPL6, RPS15A, RPL9, RPS18, RPS8"
23474,ETHE1,HighConf,Novel,,1,IDH1
51010,EXOSC3,HighConf,Novel,,21,"HEATR1, IMP4, RPL37, RPL6, RPL9, FBL, RPL18A, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPL7A, RPL10A, RPS6, NOP56, RPL18, RPL17, NOP58, RPL32, UTP14A"
56915,EXOSC5,HighConf,Novel,,21,"RPL9, FBL, RPL18A, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPL7A, RPL10A, RPS6, NOP56, RPL18, RPL17, NOP58, RPL32, UTP14A, HEATR1, IMP4, RPL37, RPL6"
5393,EXOSC9,MedConf,Novel,,21,"RPL9, FBL, RPL18A, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPL7A, RPL10A, RPS6, NOP56, RPL18, RPL17, NOP58, RPL32, UTP14A, HEATR1, IMP4, RPL37, RPL6"
2091,FBL,MedConf,Novel,Ribosome biogenesis in eukaryotes,30,"RPL18A, RPS23, RPL4, RPL7, RPS10, RPS27, RPS4X, RPS6, NOP56, RPS20, RPL18, RPL17, NOP58, UTP14A, RSL1D1, EXOSC3, MPHOSPH6, HEATR1, IMP4, RSL24D1, DDX49, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, PRPF3, RPS18, RPS8"
54850,FBXL12,MedConf,Novel,,1,ATG7
23014,FBXO21,HighConf,Novel,,1,ATG7
23291,FBXW11,HighConf,Novel,,2,"RELA, ATG7"
2205,FCER1A,MedConf,Novel,Phospholipase D signaling pathway,3,"GRB2, LCP2, SPHK1"
2259,FGF14,MedConf,Novel,"PI3K-Akt signaling pathway, Ras signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway",4,"EGFR, FLT1, PDGFRA, FLT4"
9965,FGF19,MedConf,Novel,"PI3K-Akt signaling pathway, Ras signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway",6,"EGFR, FLT1, PDGFRA, FGF2, FGF9, FLT4"
2247,FGF2,MedConf,Novel,"EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway, Ras signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway",9,"FGF9, FLT4, FGF19, POLR2J, NCBP2, EGFR, FLT1, PDGFRA, MYO18A"
2254,FGF9,MedConf,Novel,"PI3K-Akt signaling pathway, Ras signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway",7,"FLT4, FGF19, EGFR, FLT1, PDGFRA, MYO18A, FGF2"
2314,FLII,HighConf,Novel,,1,EIF1AX
2318,FLNC,MedConf,Novel,"Focal adhesion, MAPK signaling pathway",2,"ITGA4, NUP133"
2321,FLT1,MedConf,Novel,"PI3K-Akt signaling pathway, Focal adhesion, Ras signaling pathway, HIF-1 signaling pathway, Rap1 signaling pathway",11,"SH3GL3, FGF2, EGF, VEGFD, FGF9, FLT4, FGF19, SHC4, FGF14, GRB2, ACTA1"
2324,FLT4,MedConf,Novel,"PI3K-Akt signaling pathway, Focal adhesion, Ras signaling pathway, Rap1 signaling pathway",11,"FGF19, SHC4, FGF14, GRB2, ACTA1, FLT1, FGF2, EGF, ITGA4, VEGFD, FGF9"
8323,FZD6,MedConf,Novel,mTOR signaling pathway,5,"WNT10A, GNG2, DVL2, WNT1, WNT11"
11345,GABARAPL2,HighConf,Novel,"FoxO signaling pathway, Autophagy - animal",5,"GABRP, GABRA2, MAP1LC3A, ATG7, ATG12"
2550,GABBR1,MedConf,Novel,,4,"GNG2, LPAR1, CHRM2, RXFP3"
2555,GABRA2,MedConf,Novel,,1,GABARAPL2
2568,GABRP,MedConf,Novel,,1,GABARAPL2
26130,GAPVD1,HighConf,Novel,,7,"EGF, DVL2, CHRM2, ARPC1A, ARPC5, EGFR, CD4"
2625,GATA3,MedConf,Novel,,2,"EP300, MAML1"
8729,GBF1,MedConf,Novel,,1,ARF1
2645,GCK,HighConf,Novel,,11,"NUP107, NUP133, NUP153, NUP155, NUP85, NUP160, NUP88, NUP62, EP300, NUP54, RANBP2"
8487,GEMIN2,HighConf,RNA transport,RNA transport,13,"RANBP2, NUP107, NUP133, NUP153, CLNS1A, SNRPB, NCBP2, NUP155, NUP85, NUP160, NUP88, NUP62, NUP54"
2690,GHR,MedConf,Novel,PI3K-Akt signaling pathway,4,"CSF2, IFNL1, IL17D, JAK1"
2733,GLE1,MedConf,Novel,,3,"RANBP2, NUP107, NUP153"
2766,GMPR,MedConf,Novel,,1,ENTPD3
54331,GNG2,MedConf,Novel,"PI3K-Akt signaling pathway, Ras signaling pathway, Relaxin signaling pathway",31,"C5AR1, LPAR1, WNT11, CHRM2, CXCR4, MTNR1A, HTR1F, RXFP3, FZD6, EDNRA, TSHR, NPBWR1, AGTR2, GABBR1, OPRM1, IAPP, TSHB, TAAR8, CRH, TRH, TAC1, XCL1, KCNJ4, OPN1SW, CCT3, ARHGEF12, CDC42, AKT1, KCNJ3, HRH2, C3"
26003,GORASP2,MedConf,Novel,,1,EEF1A1
9527,GOSR1,MedConf,Novel,,1,MAN2A1
9570,GOSR2,HighConf,Novel,,1,ARF1
8733,GPAA1,MedConf,Novel,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1,PIGK
51184,GPN3,MedConf,Novel,,2,"POLR3D, POLR3A"
2874,GPS2,MedConf,Novel,,1,NCOR2
2885,GRB2,MedConf,Novel,"EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway, Focal adhesion, Ras signaling pathway, mTOR signaling pathway, MAPK signaling pathway, T cell receptor signaling pathway, FoxO signaling pathway, Relaxin signaling pathway, ErbB signaling pathway, Phospholipase D signaling pathway",24,"MTOR, MAP1LC3A, COPS6, AKT1, JAK1, HGS, EGFR, PTEN, FLT1, PDGFRA, RPS6KB1, EGF, LCP2, CSF2, VEGFD, FLT4, COPS4, COPS8, COPS7B, FCER1A, SHC4, SH2B3, SSH1, ZFYVE28"
2997,GYS1,MedConf,Novel,PI3K-Akt signaling pathway,5,"OGT, ENPP1, PPP1R3F, NHLRC1, EPM2A"
3030,HADHA,MedConf,Novel,"Lysine degradation, Propanoate metabolism",4,"PLOD3, ACAT2, MECR, HIBCH"
3065,HDAC1,MedConf,Novel,Notch signaling pathway,22,"POLR3A, NUP153, XPO1, BTRC, KAT2A, RELA, SUV39H1, NUP62, TAF6L, PHF12, TFDP2, NCOR2, EP300, HDAC7, MAML1, BCL9, HDAC10, BRPF1, BAHD1, TGIF2, RANBP2, RANGAP1"
83933,HDAC10,MedConf,Novel,,5,"HDAC1, KAT2A, NCOR2, EP300, MAML1"
51564,HDAC7,MedConf,Novel,,5,"MAML1, HDAC1, KAT2A, NCOR2, EP300"
55127,HEATR1,HighConf,Novel,Ribosome biogenesis in eukaryotes,19,"IMP4, DDX49, RPS15A, EXOSC9, EXOSC5, RPS18, RPS8, FBL, RPS23, RPS10, RPS27, RPS4X, RPS6, NOP56, RPS20, NOP58, UTP14A, EXOSC3, MPHOSPH6"
25938,HEATR5A,MedConf,Novel,,1,NUP62
55008,HERC6,MedConf,Novel,,1,ATG7
9146,HGS,HighConf,Novel,,3,"EGFR, EGF, GRB2"
26275,HIBCH,HighConf,Novel,Propanoate metabolism,1,HADHA
9026,HIP1R,HighConf,Novel,,8,"ARPC1A, ARPC5, EGFR, CD4, EGF, DVL2, CHRM2, ARF1"
3185,HNRNPF,HighConf,Novel,,17,"SLU7, RANBP2, PRPF3, RBM22, SF3A2, HNRNPU, SNRPA1, SF3B3, PRPF40A, LSM3, LSM2, SNRPB, USP7, SF3A1, POLR2J, NCBP2, CHERP"
3192,HNRNPU,MedConf,Novel,Spliceosome,34,"RPL18A, RPLP0, RPL18, SNRPA1, NOP58, UTP14A, TRA2A, SF3B3, PRPF40A, LSM3, LSM2, TRIM55, SNRPB, BTRC, SF3A1, SUGP1, ELAVL1, POLR2J, NCBP2, RSL1D1, CHERP, HNRNPF, PABPN1, SLU7, S100A9, PGRMC1, RAB2A, LAPTM4A, IGF2BP1, PDHA2, PPWD1, PRPF3, RBM22, SF3A2"
3211,HOXB1,MedConf,Novel,,2,"POLR2J, EP300"
3274,HRH2,MedConf,Novel,,3,"GNG2, SF3A2, TRA2A"
3308,HSPA4,MedConf,Novel,,10,"NUP107, NUP133, NUP153, NUP155, NUP85, NUP160, NUP88, NUP62, NUP54, RANBP2"
27336,HTATSF1,HighConf,Novel,,1,SF3A2
3355,HTR1F,MedConf,Novel,,4,"RXFP3, GNG2, LPAR1, CHRM2"
10075,HUWE1,HighConf,Novel,,2,"ATG7, RANGAP1"
3375,IAPP,MedConf,Novel,,1,GNG2
79664,ICE2,MedConf,Novel,,2,"POLR2J, NCBP2"
3417,IDH1,HighConf,Novel,Citrate cycle (TCA cycle),3,"MDH2, ETHE1, PHB2"
3434,IFIT1,MedConf,Novel,,1,JAK1
282618,IFNL1,MedConf,Novel,,1,GHR
10642,IGF2BP1,MedConf,Novel,,1,HNRNPU
3601,IL15RA,MedConf,Novel,,2,"JAK1, CSF2"
53342,IL17D,MedConf,Novel,,1,GHR
246778,IL27,MedConf,Novel,,1,JAK1
3609,ILF3,MedConf,Novel,,6,"SF3A2, MRPL1, RPL32, LSM3, LSM2, PC"
92856,IMP4,MedConf,Novel,Ribosome biogenesis in eukaryotes,19,"DDX49, RPS15A, EXOSC9, EXOSC5, RPS18, RPS8, FBL, RPS23, RPS10, RPS27, RPS4X, RPS6, NOP56, RPS20, NOP58, UTP14A, EXOSC3, MPHOSPH6, HEATR1"
3631,INPP4A,MedConf,Novel,,1,PTEN
56623,INPP5E,MedConf,Novel,,2,"PTEN, PIP5K1C"
54973,INTS11,MedConf,Novel,,2,"POLR2J, NCBP2"
25896,INTS7,HighConf,Novel,,2,"POLR2J, NCBP2"
3660,IRF2,MedConf,Novel,,1,RELA
3676,ITGA4,MedConf,Novel,"PI3K-Akt signaling pathway, Focal adhesion, Regulation of actin cytoskeleton",5,"VEGFD, FLT4, COL4A4, RAP1B, FLNC"
23421,ITGB3BP,MedConf,Novel,,10,"TAOK1, RANBP2, RANGAP1, RPS27, NUP107, NUP133, XPO1, CDC42, NUP85, NUP160"
3706,ITPKA,HighConf,Novel,,1,PTEN
3716,JAK1,HighConf,Novel,"EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway",11,"EGFR, PDGFRA, EGF, GHR, CSF2, IFIT1, PTPN2, IL15RA, IL27, GRB2, AKT1"
