"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"22","cAMP signaling pathway",0.006,0.058,1,197,6,0,"","ADCY9, ATP2B1, PIK3CA, PRKACA, VAV2, CREB3L3",0.015
"23","Adrenergic signaling in cardiomyocytes",0.006,0.058,1,142,5,0,"","ADCY9, ATP2B1, PRKACA, CACNB2, CREB3L3",0.018
"24","Insulin signaling pathway",0.006,0.058,1,138,5,2,"IKBKB, IRS1","FLOT2, PIK3CA, PRKACA",0.218
"25","Wnt signaling pathway",0.006,0.058,1,142,5,1,"BTRC","NFATC2, SERPINF1, PRKACA, WNT3",0.118
"26","Retrograde endocannabinoid signaling",0.006,0.058,1,140,5,1,"GABRD","ADCY9, GABRE, GNB2, PRKACA",0.118
"27","Salivary secretion",0.007,0.058,1,90,4,0,"","ADCY9, ATP2B1, PRB1, PRKACA",0.022
"28","Type II diabetes mellitus",0.007,0.058,1,46,3,2,"IKBKB, IRS1","PIK3CA",0.366
"29","Circadian entrainment",0.008,0.071,1,96,4,0,"","ADCY9, GNB2, PRKACA, PER3",0.021
"30","Estrogen signaling pathway",0.009,0.073,1,98,4,0,"","ADCY9, PIK3CA, PRKACA, CREB3L3",0.02
"31","Cellular senescence",0.009,0.074,1,155,5,2,"LIN37, BTRC","NFATC2, PIK3CA, RAD1",0.216
"32","Ras signaling pathway",0.01,0.074,1,221,6,1,"IKBKB","EFNA5, GNB2, PIK3CA, PRKACA, RAB5A",0.097
"33","Melanogenesis",0.01,0.074,1,101,4,0,"","ADCY9, PRKACA, WNT3, CREB3L3",0.02
"34","Insulin resistance",0.012,0.085,1,106,4,2,"IKBKB, IRS1","PIK3CA, CREB3L3",0.269
"35","Cytosolic DNA-sensing pathway",0.015,0.105,1,62,3,1,"IKBKB","IFNA13, CCL4L1",0.191
"36","AMPK signaling pathway",0.017,0.115,1,118,4,1,"IRS1","EEF2K, PIK3CA, CREB3L3",0.142
"37","Adipocytokine signaling pathway",0.02,0.132,1,69,3,3,"IKBKB, IRS1, ACSBG2","",0.522
"38","Natural killer cell mediated cytotoxicity",0.02,0.132,1,125,4,0,"","IFNA13, NFATC2, PIK3CA, VAV2",0.016
"39","Thyroid hormone synthesis",0.024,0.151,1,74,3,0,"","ADCY9, PRKACA, CREB3L3",0.02
"40","Gastric acid secretion",0.024,0.152,1,75,3,1,"KCNJ2","ADCY9, PRKACA",0.187
"41","Apelin signaling pathway",0.026,0.153,1,135,4,1,"MEF2B","ADCY9, GNB2, PRKACA",0.14
"42","Circadian rhythm",0.026,0.153,1,30,2,1,"BTRC","PER3",0.283
"43","Signaling pathways regulating pluripotency of stem cells",0.028,0.164,1,139,4,0,"","PIK3CA, REST, WNT3, ACVR1",0.014
"44","Aldosterone synthesis and secretion",0.031,0.174,1,82,3,0,"","ADCY9, PRKACA, CREB3L3",0.018
"45","Non-alcoholic fatty liver disease (NAFLD)",0.032,0.176,1,144,4,2,"IKBKB, IRS1","PIK3CA, EIF2AK3",0.264
"46","Protein digestion and absorption",0.037,0.2,1,88,3,1,"CTRB1","COL6A3, CELA2A",0.184
"47","Aldosterone-regulated sodium reabsorption",0.038,0.201,1,37,2,1,"IRS1","PIK3CA",0.277
"48","NF-kappa B signaling pathway",0.041,0.214,1,92,3,1,"IKBKB","CCL4L1, BCL10",0.183
"49","Progesterone-mediated oocyte maturation",0.044,0.221,1,94,3,0,"","ADCY9, PIK3CA, PRKACA",0.016
"50","Endocrine resistance",0.045,0.223,1,95,3,0,"","ADCY9, PIK3CA, PRKACA",0.016
"51","Inflammatory mediator regulation of TRP channels",0.046,0.224,1,96,3,0,"","ADCY9, PIK3CA, PRKACA",0.016
