"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.RNA transport","Ntwrk.RNA transport","NtwrkCount.Pyrimidine metabolism","Ntwrk.Pyrimidine metabolism","NtwrkCount.Ribosome","Ntwrk.Ribosome","Total_Path_Hits.net.count"
"45",55749,"CCAR1",269,"HighConf","Novel",NA,36,"DHX38, NUDT21, RNF113A, PCF11, NCBP2, SNRNP70, POLR2F, YBX1, PHF5A, SNRPA1, SRSF3, SNRNP200, PRPF4, SNRPF, U2AF2, CSTF3, HNRNPA1, POLR2L, SF3B1, SUGP1, NCBP1, SRSF2, SRSF7, HNRNPK, SRSF1, SF3B5, TXNL4A, SRSF6, SNRPD1, SNRPD3, POLR2I, PRPF8, SF3A2, HNRNPD, SNRPG, POLR2D",2,"NCBP2, NCBP1",4,"POLR2L, POLR2I, POLR2F, POLR2D",0,NA,6
"46",890,"CCNA2",128,"HighConf","Novel","Cell cycle, Progesterone-mediated oocyte maturation",5,"CDC20, FZR1, CKS1B, CCNE1, PCNA",0,NA,0,NA,0,NA,0
"47",896,"CCND3",125,"HighConf","Novel","Cell cycle",15,"MED1, MED17, TRIM28, MED14, MED7, CCNE1, MED9, MED25, MED30, CDK8, MED19, MED31, MED11, CDK12, PCNA",0,NA,0,NA,0,NA,0
"48",898,"CCNE1",265,"MedConf","Novel","Cell cycle, Oocyte meiosis",15,"CDC16, ANAPC2, DHFR, MYBL2, PKMYT1, ANAPC5, CUL1, POLA1, CDC45, MAX, CCND3, PCNA, CDC23, CCNA2, CUL3",0,NA,1,"POLA1",0,NA,1
"49",7203,"CCT3",167,"HighConf","Novel",NA,7,"ACTB, CCT4, PPP4C, TCP1, CCT8, PSMA6, PPP2CA",0,NA,0,NA,0,NA,0
"50",10575,"CCT4",353,"HighConf","Novel",NA,6,"PPP4C, TCP1, PPP2CA, CCT8, CCT3, ACTB",0,NA,0,NA,0,NA,0
"51",10694,"CCT8",49,"MedConf","Novel",NA,7,"TRIM28, CCT3, ACTB, CCT4, PPP4C, PPP2CA, TCP1",0,NA,0,NA,0,NA,0
"52",8881,"CDC16",308,"HighConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation",23,"ANAPC2, AURKB, ESPL1, ANAPC5, CDC23, PTTG1, BUB3, PSMA6, PSMD14, PSMC1, PSMD1, PSMD12, PSMD7, FZR1, PSMB4, PSMA4, CCNE1, MAD2L1, PLK1, RPS27A, CDC20, PSMB7, PSMB5",0,NA,0,NA,1,"RPS27A",1
"53",991,"CDC20",130,"HighConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis",38,"FZR1, INCENP, NDC80, PLK1, SMC3, STAG1, BUB3, NUP107, BIRC5, PTTG1, CDC16, XPO1, ANAPC2, AURKB, CENPN, SPC24, RANGAP1, ESPL1, CDCA8, ANAPC5, CENPI, PSMA4, PSMD7, PSMC1, PSMB4, PSMB7, PSMD12, PSMD1, MAD2L1, CDC23, TCP1, PSMA6, RPS27, CUL1, RPS27A, CCNA2, PSMB5, PSMD14",3,"XPO1, RANGAP1, NUP107",0,NA,2,"RPS27A, RPS27",5
"54",8697,"CDC23",16,"HighConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation",23,"PSMC1, PSMA6, PSMD12, PSMD7, PSMD14, PSMB7, PSMB5, PSMB4, PSMD1, RPS27A, PSMA4, MAD2L1, CDC20, FZR1, PLK1, CCNE1, BUB3, PTTG1, CDC16, ANAPC2, AURKB, ESPL1, ANAPC5",0,NA,0,NA,1,"RPS27A",1
"55",8318,"CDC45",172,"HighConf","Novel","Cell cycle",11,"CCNE1, RPA3, GINS2, POLE2, DHFR, PRIM1, MCM4, GINS3, PCNA, POLA1, RPA1",0,NA,3,"PRIM1, POLE2, POLA1",0,NA,3
"56",988,"CDC5L",78,"HighConf","Novel","Spliceosome",29,"EEF2, PRPF8, SNRPA1, RPL13, SNRPF, SF3A2, SNRPD3, SNRPD1, XAB2, SNW1, SNRPG, SF3B1, SNRNP200, NCBP2, DHX15, SRSF1, U2AF2, CWC27, EIF4A3, SMC6, BCAS2, RNF113A, NAA50, SFPQ, PRPF19, AQR, BUD31, PPP1CA, HSPA8",2,"NCBP2, EIF4A3",0,NA,1,"RPL13",3
"57",55143,"CDCA8",408,"HighConf","Novel",NA,21,"KIF20A, CENPI, SMC3, XPO1, SPC24, PLK1, CUL3, NDC80, CDC20, BUB3, BIRC5, RANGAP1, STAG1, KIF23, CENPN, AURKB, NUP107, ESPL1, INCENP, RPS27, MAD2L1",3,"XPO1, RANGAP1, NUP107",0,NA,1,"RPS27",4
"58",51755,"CDK12",553,"HighConf","Novel",NA,2,"CDK9, CCND3",0,NA,0,NA,0,NA,0
"59",1024,"CDK8",291,"MedConf","Novel",NA,16,"MED19, MED31, MED11, POLR3A, MED14, MED1, CDK9, MED25, CUL1, THRAP3, MED17, SNW1, MED7, MED9, CCND3, MED30",0,NA,1,"POLR3A",0,NA,1
"60",1025,"CDK9",289,"HighConf","Novel",NA,21,"CDK8, PRKAG2, ERCC2, UBE2A, GTF2H2, ELP2, CDK12, PHKG2, NUFIP1, POLR2I, POLR2L, NCBP2, WDR61, SSRP1, MED1, NCBP1, TCEA2, CTDP1, POLR2D, CUL1, POLR2F",2,"NCBP2, NCBP1",4,"POLR2L, POLR2I, POLR2F, POLR2D",0,NA,6
"61",10153,"CEBPZ",273,"HighConf","Novel",NA,8,"GTPBP4, BRIX1, NIP7, DDX56, RRP1, FBL, PES1, PDCD11",0,NA,0,NA,0,NA,0
"62",2491,"CENPI",578,"HighConf","Novel",NA,20,"CDCA8, STAG1, RPS27, CENPN, BIRC5, CDC20, SMC3, RANGAP1, NUP107, XPO1, ESPL1, BUB3, NDC80, PLK1, AURKB, INCENP, RUVBL1, SPC24, NPM1, MAD2L1",3,"XPO1, RANGAP1, NUP107",0,NA,1,"RPS27",4
"63",55835,"CENPJ",417,"HighConf","Novel",NA,10,"CEP78, AJUBA, YWHAE, PLK1, YWHAG, TUBG1, SASS6, TUBGCP4, YWHAZ, TUBGCP3",0,NA,0,NA,0,NA,0
"64",55839,"CENPN",363,"HighConf","Novel",NA,20,"SPC24, RANGAP1, ESPL1, CDCA8, CENPI, XPO1, NDC80, SMC3, MAD2L1, STAG1, RUVBL1, BUB3, AURKB, NPM1, PLK1, CDC20, NUP107, INCENP, RPS27, BIRC5",3,"XPO1, RANGAP1, NUP107",0,NA,1,"RPS27",4
"65",84131,"CEP78",435,"MedConf","Novel",NA,8,"AJUBA, TUBGCP4, YWHAG, PLK1, TUBG1, TUBGCP3, CENPJ, YWHAE",0,NA,0,NA,0,NA,0
"66",1072,"CFL1",472,"HighConf","Novel",NA,2,"YWHAZ, ACTB",0,NA,0,NA,0,NA,0
"67",8208,"CHAF1B",447,"HighConf","Novel",NA,1,"PCNA",0,NA,0,NA,0,NA,0
"68",27243,"CHMP2A",457,"MedConf","Novel",NA,1,"RPS27A",0,NA,0,NA,1,"RPS27A",1
"69",9391,"CIAO1",318,"HighConf","Novel",NA,5,"ERCC2, FAM96B, NUBP2, RTEL1, ABCB7",0,NA,0,NA,0,NA,0
"70",1163,"CKS1B",174,"HighConf","Novel",NA,3,"UBE2M, CUL1, CCNA2",0,NA,0,NA,0,NA,0
"71",23019,"CNOT1",327,"HighConf","Novel","RNA degradation",6,"GTF2A1, EIF4A3, EIF4E, EIF4G1, BUD31, LSM2",3,"EIF4G1, EIF4E, EIF4A3",0,NA,0,NA,3
"72",1314,"COPA",501,"HighConf","Novel",NA,1,"SMN1",1,"SMN1",0,NA,0,NA,1
"73",10987,"COPS5",169,"HighConf","Novel",NA,10,"EIF3A, EIF3K, DDB1, EIF3D, BTBD2, CUL3, PSMD12, EIF3I, CUL1, PSMA6",3,"EIF3I, EIF3D, EIF3A",0,NA,0,NA,3
"74",27235,"COQ2",592,"HighConf","Novel",NA,2,"PDSS2, PDSS1",0,NA,0,NA,0,NA,0
"75",1352,"COX10",358,"HighConf","Novel","Oxidative phosphorylation, Porphyrin and chlorophyll metabolism",1,"COX15",0,NA,0,NA,0,NA,0
"76",1355,"COX15",509,"HighConf","Novel","Oxidative phosphorylation, Porphyrin and chlorophyll metabolism",1,"COX10",0,NA,0,NA,0,NA,0
"77",1327,"COX4I1",429,"MedConf","Novel","Oxidative phosphorylation, Non-alcoholic fatty liver disease (NAFLD), Cardiac muscle contraction",3,"COX7C, UQCRC1, UQCR10",0,NA,0,NA,0,NA,0
"78",1350,"COX7C",580,"MedConf","Novel","Oxidative phosphorylation, Non-alcoholic fatty liver disease (NAFLD), Cardiac muscle contraction",3,"UQCR10, COX4I1, UQCRC1",0,NA,0,NA,0,NA,0
"79",27297,"CRCP",345,"HighConf","Novel",NA,9,"POLE2, POLD3, POLR2F, POLE4, POLR3A, POLR3K, REV3L, POLE3, POLR3H",0,NA,8,"POLR3K, POLR3H, POLR3A, POLR2F, POLE4, POLE3, POLE2, POLD3",0,NA,8
"80",1413,"CRYBA4",575,"HighConf","Novel",NA,5,"HSPA8, YWHAE, RPA3, RPA1, SIRT1",0,NA,0,NA,0,NA,0
"81",1431,"CS",381,"MedConf","Novel","Biosynthesis of amino acids, Carbon metabolism, Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, 2-Oxocarboxylic acid metabolism",2,"ACO2, ACO1",0,NA,0,NA,0,NA,0
"82",1434,"CSE1L",534,"HighConf","Novel",NA,1,"UBE2A",0,NA,0,NA,0,NA,0
"83",1479,"CSTF3",104,"HighConf","Novel","mRNA surveillance pathway",39,"PRPF8, SNRPA1, SNRPF, SF3A2, SNRPD3, TXNL4A, PRPF4, SNRPD1, SNRPG, SF3B1, SNRNP200, NCBP2, SNRNP70, NCBP1, WDR82, SYMPK, SF3B5, POLR2L, POLR2F, POLR3A, POLR2D, POLR2I, HNRNPD, HNRNPK, HNRNPA1, SRSF2, SRSF6, SRSF7, YBX1, PHF5A, SRSF1, SUGP1, SRSF3, U2AF2, CCAR1, DHX38, NUDT21, YTHDC1, PCF11",2,"NCBP2, NCBP1",5,"POLR3A, POLR2L, POLR2I, POLR2F, POLR2D",0,NA,7
"84",9150,"CTDP1",217,"HighConf","Novel",NA,18,"POLR2F, POLR3A, POLR2D, POLR2I, MED25, CDK9, ERCC2, PKP4, WDR77, MED7, POLR2L, PLK1, NCBP1, SSRP1, MED14, NCBP2, MED1, MED17",2,"NCBP2, NCBP1",5,"POLR3A, POLR2L, POLR2I, POLR2F, POLR2D",0,NA,7
"85",348180,"CTU2",349,"HighConf","Novel","Sulfur relay system",1,"MOCS3",0,NA,0,NA,0,NA,0
"86",8454,"CUL1",15,"MedConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis",28,"PSMC1, PSMA6, PSMA2, PSMD12, PSMD7, PSMD14, PSMB7, PSMB5, PSMB4, PSMD1, RPS27A, PSMA4, CDC20, SNW1, FZR1, COPS5, CKS1B, DDB1, UBE2I, CCNE1, CDK9, CDK8, FBXO9, UBE2M, SPATA5, FBXL19, UBA3, VCP",1,"UBE2I",0,NA,1,"RPS27A",2
"87",8452,"CUL3",131,"HighConf","Novel","Ubiquitin mediated proteolysis",24,"COPS5, INCENP, DDB1, CCNE1, BIRC5, TUBG1, NUMA1, TUBGCP3, AURKB, CDCA8, KEAP1, KCTD11, BTBD2, PSMD7, PSMA4, PSMB5, PSMB4, PSMB7, PSMC1, PSMA6, PSMD14, RPS27A, PSMD12, PSMD1",0,NA,0,NA,1,"RPS27A",1
"88",10283,"CWC27",361,"MedConf","Novel",NA,5,"DHX38, BUD31, CDC5L, PRPF19, SNW1",0,NA,0,NA,0,NA,0
"89",1535,"CYBA",545,"HighConf","Novel",NA,2,"MAPK11, RAC1",0,NA,0,NA,0,NA,0
"90",1615,"DARS",469,"HighConf","Novel","Aminoacyl-tRNA biosynthesis",4,"AARS, QARS, LARS, GARS",0,NA,0,NA,0,NA,0
"91",25879,"DCAF13",234,"HighConf","Novel",NA,9,"HEATR1, NOP58, PWP2, WDR75, NOP14, DDB1, UTP15, FBL, NOC4L",0,NA,0,NA,0,NA,0
"92",28960,"DCPS",564,"HighConf","Novel","RNA degradation",5,"EXOSC5, EXOSC6, EXOSC7, EXOSC8, EXOSC3",0,NA,0,NA,0,NA,0
"93",1642,"DDB1",196,"HighConf","Novel","Nucleotide excision repair, Ubiquitin mediated proteolysis",12,"DCAF13, SAP30BP, RPA3, ERCC2, AMBRA1, RPA1, SLX4, CUL3, CUL1, COPS5, XPA, SF3B1",0,NA,0,NA,0,NA,0
"94",1662,"DDX10",540,"HighConf","Novel",NA,2,"GTPBP4, FTSJ3",0,NA,0,NA,0,NA,0
"95",8886,"DDX18",542,"HighConf","Novel",NA,3,"GTPBP4, FTSJ3, MAX",0,NA,0,NA,0,NA,0
"96",55308,"DDX19A",492,"HighConf","Novel",NA,2,"XPO1, DRAP1",1,"XPO1",0,NA,0,NA,1
"97",11269,"DDX19B",493,"HighConf","Novel",NA,2,"DRAP1, XPO1",1,"XPO1",0,NA,0,NA,1
"98",11218,"DDX20",288,"MedConf","RNA transport","RNA transport",19,"NUP107, NUP93, PRMT5, SNUPN, NUP155, GEMIN5, NUP188, PHAX, NUP62, SMN1, SIN3A, NCBP2, SNRPF, WDR77, NUP153, SNRPD1, SNRPG, SNRPD3, NCBP1",13,"SNUPN, SMN1, PRMT5, PHAX, NUP93, NUP62, NUP188, NUP155, NUP153, NUP107, NCBP2, NCBP1, GEMIN5",0,NA,0,NA,13
"99",51428,"DDX41",572,"HighConf","Novel",NA,2,"NKAP, RPS27A",0,NA,0,NA,1,"RPS27A",1
"100",11325,"DDX42",142,"HighConf","Novel","Spliceosome",10,"SF3B1, NCBP1, SNRPC, DHX15, SF3B5, PHF5A, HTATSF1, MFAP1, SF3A2, PRPF19",1,"NCBP1",0,NA,0,NA,1
"101",54606,"DDX56",470,"HighConf","Novel",NA,4,"GTPBP4, NIP7, BRIX1, CEBPZ",0,NA,0,NA,0,NA,0
"102",50619,"DEF6",593,"HighConf","Novel",NA,1,"RAC1",0,NA,0,NA,0,NA,0
"103",64798,"DEPTOR",385,"HighConf","Novel",NA,5,"MLST8, YWHAG, YWHAE, RPTOR, YWHAZ",0,NA,0,NA,0,NA,0
"104",79947,"DHDDS",424,"HighConf","Novel","Terpenoid backbone biosynthesis",5,"PDSS2, PDSS1, DOLK, MVD, FDPS",0,NA,0,NA,0,NA,0
"105",1719,"DHFR",413,"HighConf","Novel","One carbon pool by folate",7,"SHMT2, ATIC, MTFMT, POLA1, CDC45, CCNE1, PCNA",0,NA,1,"POLA1",0,NA,1
"106",1723,"DHODH",558,"HighConf","Pyrimidine metabolism","Pyrimidine metabolism",1,"CAD",0,NA,1,"CAD",0,NA,1
"107",1665,"DHX15",195,"HighConf","Novel","Spliceosome",9,"NKAP, RBM17, SUGP1, SNW1, PRPF19, CDC5L, FBL, SF3A2, DDX42",0,NA,0,NA,0,NA,0
"108",9785,"DHX38",398,"MedConf","Novel","Spliceosome",44,"NUP155, NUP188, NUDT21, PCF11, SRSF7, NUP93, POLR2I, NUP153, HNRNPD, PRPF4, POLR2F, U2AF2, SNRNP200, TXNL4A, HNRNPK, SRSF6, SF3A2, POLR2L, SRSF2, SNRPG, SNRPD1, YBX1, CSTF3, SF3B1, SNRNP70, CWC27, HNRNPA1, NUP62, NUP107, NCBP2, SNRPA1, CCAR1, POLR2D, NCBP1, SNW1, SF3B5, MFAP1, SRSF1, SNRPD3, SUGP1, SNRPF, PHF5A, SRSF3, PRPF8",8,"NUP93, NUP62, NUP188, NUP155, NUP153, NUP107, NCBP2, NCBP1",4,"POLR2L, POLR2I, POLR2F, POLR2D",0,NA,12
"109",27292,"DIMT1",479,"HighConf","Novel",NA,5,"WDR75, UTP15, PWP2, NOC4L, TSR1",0,NA,0,NA,0,NA,0
"110",1738,"DLD",347,"HighConf","Novel","Carbon metabolism, Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism",2,"IDH3B, PITRM1",0,NA,0,NA,0,NA,0
"111",3301,"DNAJA1",320,"HighConf","Novel",NA,2,"HSPA9, HSPA8",0,NA,0,NA,0,NA,0
"112",1785,"DNM2",519,"HighConf","Novel",NA,1,"HSPA8",0,NA,0,NA,0,NA,0
"113",22845,"DOLK",570,"MedConf","Novel",NA,1,"DHDDS",0,NA,0,NA,0,NA,0
"114",10589,"DRAP1",259,"HighConf","Novel",NA,4,"TAF9, DDX19A, DDX19B, POLE3",0,NA,1,"POLE3",0,NA,1
"115",1841,"DTYMK",586,"HighConf","Pyrimidine metabolism","Pyrimidine metabolism",1,"DUT",0,NA,1,"DUT",0,NA,1
"116",1854,"DUT",436,"HighConf","Pyrimidine metabolism","Pyrimidine metabolism",2,"DTYMK, APEX2",0,NA,1,"DTYMK",0,NA,1
"117",11319,"ECD",555,"HighConf","Novel",NA,2,"PRPF8, PSMD1",0,NA,0,NA,0,NA,0
"118",23644,"EDC4",538,"HighConf","Novel","RNA degradation",4,"LSM4, LSM3, XRN1, LSM7",0,NA,0,NA,0,NA,0
