"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"15","Ferroptosis",0.002,0.027,0.398,40,5,2,"GPX4, ACSL5","GCLM, GSS, SLC11A2",0.262
"16","Regulation of actin cytoskeleton",0.002,0.03,0.478,210,12,0,"","ARPC1B, CHRM5, FGF3, FN1, INSRR, ITGA2, ITGA5, MYH10, PIK3R1, SSH3, ACTB, FGF19",0.029
"17","Fatty acid degradation",0.002,0.032,0.552,43,5,1,"ACSL5","CPT1B, CPT2, CYP4A11, ALDH7A1",0.158
"18","Cysteine and methionine metabolism",0.002,0.034,0.612,44,5,1,"SRM","GCLM, GSS, ADI1, CBS",0.157
"19","IL-17 signaling pathway",0.003,0.045,0.86,91,7,3,"CASP3, CASP8, FADD","IL17C, NFKBIA, IKBKG, TRADD",0.253
"20","Adipocytokine signaling pathway",0.004,0.046,0.91,69,6,1,"ACSL5","CPT1B, NFKBIA, PRKAG3, IKBKG, TRADD",0.127
"21","Endocytosis",0.005,0.054,1,233,12,3,"CHMP4B, HLA-C, TSG101","ARPC1B, HLA-A, CXCR2, RAB8A, ARFGAP1, CXCR4, RABEP1, CHMP4C, IST1",0.151
"22","PI3K-Akt signaling pathway",0.006,0.069,1,337,15,2,"EIF4E, VWF","ATF2, FGF3, FN1, ITGA2, ITGA5, MYC, PIK3R1, PPP2CA, SPP1, TNR, IKBKG, CCND3, FGF19",0.089
"23","RNA transport",0.008,0.085,1,161,9,1,"EIF4E","NUP50, POP4, NUP205, FMR1, SUMO2, EIF2B3, EIF4A3, NUP153",0.084
"24","Necroptosis",0.008,0.085,1,162,9,4,"CHMP4B, FAS, CASP8, FADD","DNM1L, BID, SLC25A31, TRADD, CHMP4C",0.25
"25","ECM-receptor interaction",0.008,0.085,1,82,6,1,"VWF","FN1, ITGA2, ITGA5, SPP1, TNR",0.12
"26","Tight junction",0.01,0.097,1,167,9,0,"","DLG1, CLDN14, RAB8A, MYH10, PRKAG3, PPP2CA, RAB13, ACTB, TUBA1C",0.027
"27","RIG-I-like receptor signaling pathway",0.016,0.144,1,68,5,2,"CASP8, FADD","NFKBIA, IKBKG, TRADD",0.237
"28","Cellular senescence",0.019,0.164,1,155,8,1,"HLA-C","HLA-A, MYC, PIK3R1, PPP3R2, SLC25A31, CCND3, CDK1",0.088
"29","Osteoclast differentiation",0.019,0.164,1,125,7,0,"","LILRB5, CYBA, FCGR2A, NFKBIA, PIK3R1, PPP3R2, IKBKG",0.028
"30","T cell receptor signaling pathway",0.021,0.169,1,100,6,0,"","DLG1, LAT, NFKBIA, PIK3R1, PPP3R2, IKBKG",0.03
"31","Glucagon signaling pathway",0.021,0.169,1,100,6,0,"","CPT1B, ATF2, CREBBP, PFKL, PRKAG3, PPP3R2",0.03
"32","Toll-like receptor signaling pathway",0.023,0.179,1,102,6,2,"CASP8, FADD","NFKBIA, PIK3R1, SPP1, IKBKG",0.196
"33","Focal adhesion",0.026,0.198,1,196,9,1,"VWF","FN1, ITGA2, ITGA5, PIK3R1, ACTB, SPP1, TNR, CCND3",0.079
"34","AMPK signaling pathway",0.043,0.313,1,118,6,0,"","CPT1B, RAB8A, PFKL, PIK3R1, PRKAG3, PPP2CA",0.025
"35","Platelet activation",0.049,0.348,1,122,6,1,"VWF","FCGR2A, FGB, ITGA2, PIK3R1, ACTB",0.108
