"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"HIF-1 signaling pathway",0.006,0.117,1,98,12,"EGLN3, EGF, EGFR, EIF4E, EP300, AKT1, FLT1, MTOR, PDHA2, RELA, RPS6, RPS6KB1"
"T cell receptor signaling pathway",0.008,0.149,1,102,12,"MALT1, CSF2, AKT1, GRB2, LCP2, NFATC3, PAK2, RELA, IKBKG, CD4, CD8B, CDC42"
"N-Glycan biosynthesis",0.012,0.202,1,47,7,"DDOST, ALG6, STT3A, MAN2A1, MGAT1, ST6GAL1, DPM1"
"Pyrimidine metabolism",0.016,0.247,1,98,11,"POLR3F, POLR3A, TWISTNB, ZNRD1, ENPP1, CMPK1, POLR2E, POLR2J, POLR3D, ENTPD3, CDA"
"Pyruvate metabolism",0.017,0.249,1,39,6,"ALDH1B1, MDH2, PC, PCK2, PDHA2, LDHAL6B"
"FoxO signaling pathway",0.021,0.294,1,129,13,"GABARAPL2, AGAP2, EGF, EGFR, EP300, AKT1, GRB2, PCK2, PTEN, TGFBR2, USP7, SETD7, ATG12"
"Relaxin signaling pathway",0.022,0.295,1,130,13,"COL4A4, EGFR, AKT1, VEGFD, GRB2, SHC4, MMP1, RXFP3, GNG2, ACTA2, RELA, TGFBR2, CREB5"
"Rap1 signaling pathway",0.032,0.404,1,209,18,"LPAR1, EGF, EGFR, AKT1, FGF2, FGF9, FGF14, VEGFD, FLT1, FLT4, RAPGEF1, LCP2, PDGFRA, RAP1B, TIAM1, PARD6B, FGF19, CDC42"
"Autophagy - animal",0.038,0.406,1,126,12,"RRAGB, ATG7, GABARAPL2, AKT1, RRAS2, MTOR, PTEN, RPS6KB1, MTMR14, ATG16L2, ATG12, EIF2AK3"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.038,0.406,1,24,4,"PIGK, PIGH, PIGY, GPAA1"
"ErbB signaling pathway",0.039,0.406,1,85,9,"EGF, EGFR, AKT1, MTOR, GRB2, SHC4, PAK2, RPS6KB1, NRG2"
"Notch signaling pathway",0.039,0.406,1,47,6,"DVL2, EP300, KAT2A, HDAC1, NCOR2, MAML1"
"Phospholipase D signaling pathway",0.044,0.44,1,143,13,"LPAR1, EGF, EGFR, AKT1, FCER1A, RRAS2, PIP5K1C, MTOR, GRB2, ARF1, SHC4, PDGFRA, SPHK1"
"Cytosolic DNA-sensing pathway",0.048,0.46,1,62,7,"POLR3F, POLR3A, IFNA5, POLR2E, RELA, POLR3D, IKBKG"
"Insulin resistance",0.062,0.572,1,107,10,"CRTC2, AKT1, MTOR, GYS1, PCK2, PTEN, RELA, RPS6KB1, OGT, CREB5"
"Insulin signaling pathway",0.065,0.58,1,137,12,"EIF4E, AKT1, MTOR, GCK, GRB2, RAPGEF1, GYS1, SHC4, PCK2, RPS6, RPS6KB1, PPP1R3F"
"Antifolate resistance",0.075,0.622,1,30,4,"SLC46A1, ABCC2, RELA, IKBKG"
"Citrate cycle (TCA cycle)",0.075,0.622,1,30,4,"MDH2, PC, PCK2, PDHA2"
"Wnt signaling pathway",0.077,0.622,1,141,12,"CSNK2A2, NOTUM, DVL2, EP300, FBXW11, NFATC3, SENP2, WNT1, WNT11, WNT10A, FZD6, BTRC"
"Autophagy - other",0.083,0.647,1,31,4,"ATG7, GABARAPL2, MTOR, ATG12"
"Lysine degradation",0.091,0.685,1,58,6,"ALDH1B1, PLOD1, SUV39H1, EHMT1, SETD7, PLOD3"
"Glucagon signaling pathway",0.094,0.686,1,101,9,"CRTC2, EP300, AKT1, GCK, GYS1, PCK2, PDHA2, LDHAL6B, CREB5"
"Other types of O-glycan biosynthesis",0.101,0.718,1,21,3,"ST6GAL1, OGT, PLOD3"
"NOD-like receptor signaling pathway",0.104,0.722,1,164,13,"GABARAPL2, CARD16, IFNA5, JAK1, TRPM7, RNF31, DHX33, RELA, GSDMD, IKBKG, FADD, ATG12, NLRP12"
"AMPK signaling pathway",0.108,0.725,1,119,10,"ELAVL1, CRTC2, AKT1, MTOR, GYS1, PCK2, PPP2R2A, RAB2A, RPS6KB1, CREB5"
"Apelin signaling pathway",0.111,0.729,1,135,11,"GABARAPL2, AKT1, RRAS2, MTOR, MYLK4, MEF2C, GNG2, ACTA2, RPS6, RPS6KB1, SPHK1"
"IL-17 signaling pathway",0.117,0.744,1,91,8,"CSF2, ELAVL1, MMP1, IL17D, RELA, S100A9, IKBKG, FADD"
"Th17 cell differentiation",0.122,0.755,1,107,9,"MTOR, GATA3, JAK1, NFATC3, IL17D, RELA, TGFBR2, IKBKG, CD4"
"Protein export",0.124,0.755,1,23,3,"SEC61B, SEC61A1, SPCS3"
"Jak-STAT signaling pathway",0.131,0.776,1,155,12,"CSF2, EP300, AKT1, MTOR, GHR, IFNL1, GRB2, IFNA5, IL15RA, JAK1, IL17D, PTPN2"
"Endocytosis",0.139,0.804,1,237,17,"ARPC5, ARPC1A, ARAP1, AGAP2, AP2M1, EGFR, PIP5K1C, ARF1, PDGFRA, SH3GL3, TGFBR2, CXCR4, PARD6B, CAV2, GBF1, HGS, CDC42"
"Estrogen signaling pathway",0.158,0.893,1,98,8,"EGFR, AKT1, GABBR1, GRB2, KCNJ3, SHC4, OPRM1, CREB5"
"Proteasome",0.167,0.907,1,40,4,"PSMA7, PSMB2, PSMB7, PSME2"
"Hippo signaling pathway",0.174,0.907,1,148,11,"DVL2, FBXW11, PPP2R2A, TGFBR2, WNT1, WNT11, WNT10A, FZD6, PARD6B, AJUBA, BTRC"
"B cell receptor signaling pathway",0.175,0.907,1,70,6,"MALT1, AKT1, GRB2, NFATC3, RELA, IKBKG"
"RIG-I-like receptor signaling pathway",0.175,0.907,1,70,6,"DDX3X, IFNA5, RELA, IKBKG, FADD, ATG12"
"Purine metabolism",0.195,0.938,1,168,12,"POLR3F, POLR3A, AK7, TWISTNB, GMPR, ZNRD1, PDE2A, ENPP1, POLR2E, POLR2J, POLR3D, ENTPD3"
"Longevity regulating pathway",0.196,0.938,1,88,7,"EIF4E, AKT1, MTOR, RELA, RPS6KB1, EHMT1, CREB5"
"Fc gamma R-mediated phagocytosis",0.196,0.938,1,88,7,"ARPC5, ARPC1A, AKT1, PIP5K1C, RPS6KB1, SPHK1, CDC42"
"Ubiquitin mediated proteolysis",0.198,0.938,1,136,10,"HUWE1, UBE2J2, FBXW11, NHLRC1, ANAPC11, UBA6, UBE2D1, UBE2G2, CUL5, BTRC"
"Inositol phosphate metabolism",0.2,0.938,1,73,6,"PIP5K1C, INPP4A, ITPKA, INPP5E, PTEN, MTMR14"
"Signaling pathways regulating pluripotency of stem cells",0.204,0.941,1,137,10,"DVL2, AKT1, FGF2, GRB2, HOXB1, JAK1, WNT1, WNT11, WNT10A, FZD6"
"RNA degradation",0.208,0.942,1,74,6,"MPHOSPH6, LSM3, EXOSC3, EXOSC9, EXOSC5, LSM2"
"Neuroactive ligand-receptor interaction",0.223,0.991,1,274,18,"CHRM2, AGTR2, LPAR1, EDNRA, GABBR1, GABRA2, GABRP, GHR, NPBWR1, HRH2, HTR1F, MTNR1A, OPRM1, RXFP3, TSHB, TSHR, C5AR1, TAAR8"
"Th1 and Th2 cell differentiation",0.227,0.991,1,92,7,"GATA3, JAK1, NFATC3, RELA, IKBKG, CD4, MAML1"
"Longevity regulating pathway - multiple species",0.241,1,1,62,5,"EIF4EBP2, AKT1, MTOR, HDAC1, RPS6KB1"
"Mitophagy - animal",0.241,1,1,62,5,"GABARAPL2, CSNK2A2, RRAS2, RELA, EIF2AK3"
"Neomycin, kanamycin and gentamicin biosynthesis",0.242,1,1,5,1,"GCK"
"SNARE interactions in vesicular transport",0.262,1,1,33,3,"STX5, GOSR1, GOSR2"
"cAMP signaling pathway",0.271,1,1,198,13,"CHRM2, EDNRA, EP300, AKT1, RRAS2, GABBR1, HTR1F, RAP1B, RELA, TIAM1, TNNI3, TSHR, CREB5"
"Chemokine signaling pathway",0.271,1,1,181,12,"AKT1, GRB2, SHC4, GNG2, RAP1B, RELA, CCL8, XCL1, TIAM1, CXCR4, IKBKG, CDC42"
"Starch and sucrose metabolism",0.277,1,1,34,3,"GCK, GYS1, ENPP1"
"Fc epsilon RI signaling pathway",0.283,1,1,66,5,"CSF2, AKT1, FCER1A, GRB2, LCP2"
"Glycolysis / Gluconeogenesis",0.283,1,1,66,5,"ALDH1B1, GCK, PCK2, PDHA2, LDHAL6B"
"Thyroid hormone signaling pathway",0.288,1,1,116,8,"EP300, AKT1, MTOR, KAT2A, MED4, HDAC1, MED14, MED27"
"Neurotrophin signaling pathway",0.312,1,1,119,8,"SH2B3, AKT1, GRB2, RAPGEF1, SHC4, RAP1B, RELA, CDC42"
"Adipocytokine signaling pathway",0.315,1,1,69,5,"AKT1, MTOR, PCK2, RELA, IKBKG"
"Prolactin signaling pathway",0.326,1,1,70,5,"AKT1, GCK, GRB2, SHC4, RELA"
"Adherens junction",0.337,1,1,71,5,"CSNK2A2, EGFR, EP300, TGFBR2, CDC42"
"Antigen processing and presentation",0.337,1,1,71,5,"HSPA4, KLRC2, PSME2, CD4, CD8B"
"Cellular senescence",0.34,1,1,157,10,"AKT1, RRAS2, FBXW11, MTOR, NFATC3, TRPM7, PTEN, RELA, TGFBR2, BTRC"
"Riboflavin metabolism",0.358,1,1,8,1,"ENPP1"
"Protein processing in endoplasmic reticulum",0.362,1,1,160,10,"PDIA6, SEC61B, UBE2J2, DDOST, SEC61A1, DNAJB1, STT3A, UBE2D1, UBE2G2, EIF2AK3"
"Cytokine-cytokine receptor interaction",0.362,1,1,266,16,"CSF2, EGF, EGFR, VEGFD, FLT1, FLT4, GHR, IFNL1, IFNA5, IL15RA, PDGFRA, IL17D, CCL8, XCL1, TGFBR2, CXCR4"
"Cholinergic synapse",0.401,1,1,112,7,"CHRM2, AKT1, KCNJ3, KCNJ4, GNG2, KCNQ5, CREB5"
"Endocrine resistance",0.407,1,1,95,6,"EGFR, AKT1, MTOR, GRB2, SHC4, RPS6KB1"
"Synaptic vesicle cycle",0.407,1,1,60,4,"AP2M1, ATP6V1H, ATP6V0A1, ATP6V1E2"
"Maturity onset diabetes of the young",0.413,1,1,26,2,"GCK, IAPP"
"Sulfur metabolism",0.426,1,1,10,1,"CYCS"
"Collecting duct acid secretion",0.432,1,1,27,2,"ATP6V0A1, ATP6V1E2"
"Sphingolipid signaling pathway",0.436,1,1,116,7,"AKT1, FCER1A, PPP2R2A, PTEN, RELA, SPHK1, CERS5"
"Phosphatidylinositol signaling system",0.436,1,1,98,6,"PIP5K1C, INPP4A, ITPKA, INPP5E, PTEN, MTMR14"
"AGE-RAGE signaling pathway in diabetic complications",0.446,1,1,99,6,"COL4A4, AKT1, VEGFD, RELA, TGFBR2, CDC42"
"Sphingolipid metabolism",0.455,1,1,46,3,"ACER3, SPHK1, CERS5"
"Hedgehog signaling pathway",0.455,1,1,46,3,"CSNK1G2, FBXW11, BTRC"
"Apoptosis",0.461,1,1,137,8,"CTSZ, AKT1, CYCS, RELA, SPTAN1, IKBKG, FADD, EIF2AK3"
"Melanogenesis",0.465,1,1,101,6,"DVL2, EP300, WNT1, WNT11, WNT10A, FZD6"
"Intestinal immune network for IgA production",0.469,1,1,47,3,"IL15RA, ITGA4, CXCR4"
"Circadian rhythm",0.487,1,1,30,2,"FBXW11, BTRC"
"GABAergic synapse",0.509,1,1,87,5,"GABARAPL2, GABBR1, GABRA2, GABRP, GNG2"
"Gap junction",0.519,1,1,88,5,"LPAR1, EGF, EGFR, GRB2, PDGFRA"
"Apoptosis - multiple species",0.522,1,1,32,2,"CYCS, FADD"
"Leukocyte transendothelial migration",0.522,1,1,107,6,"CDH5, ITGA4, RAP1B, CXCR4, MYL10, CDC42"
"Osteoclast differentiation",0.524,1,1,126,7,"AKT1, GRB2, JAK1, LCP2, RELA, TGFBR2, IKBKG"
"TNF signaling pathway",0.531,1,1,108,6,"CSF2, AKT1, RELA, IKBKG, FADD, CREB5"
"Platinum drug resistance",0.549,1,1,72,4,"ABCC2, AKT1, CYCS, FADD"
"Regulation of lipolysis in adipocytes",0.564,1,1,54,3,"AKT1, TSHB, TSHR"
"Thiamine metabolism",0.565,1,1,15,1,"AK7"
"Oxytocin signaling pathway",0.573,1,1,151,8,"EGFR, MYLK4, KCNJ3, KCNJ4, MEF2C, NFATC3, CACNG1, CAMK1"
"Hematopoietic cell lineage",0.588,1,1,95,5,"CSF2, ITGA4, CD4, CD8B, CD34"
"Axon guidance",0.601,1,1,174,9,"SEMA3A, ARHGEF12, NFATC3, PAK2, SSH1, CXCR4, ABLIM2, PARD6B, CDC42"
"VEGF signaling pathway",0.613,1,1,58,3,"AKT1, SPHK1, CDC42"
"Complement and coagulation cascades",0.624,1,1,79,4,"CFD, SERPINF2, C3, C5AR1"
"Ferroptosis",0.63,1,1,39,2,"ATG7, MAP1LC3A"
"Pantothenate and CoA biosynthesis",0.632,1,1,18,1,"ENPP1"
"Toll-like receptor signaling pathway",0.651,1,1,102,5,"AKT1, IFNA5, RELA, IKBKG, FADD"
"mRNA surveillance pathway",0.653,1,1,82,4,"ETF1, NCBP2, PPP2R2A, PABPN1"
"TGF-beta signaling pathway",0.653,1,1,82,4,"EP300, TGIF2, RPS6KB1, TGFBR2"
"Aldosterone synthesis and secretion",0.653,1,1,82,4,"ATF1, PDE2A, CAMK1, CREB5"
"Natural killer cell mediated cytotoxicity",0.659,1,1,123,6,"CSF2, GRB2, IFNA5, KLRC2, LCP2, SHC4"
"Basal transcription factors",0.683,1,1,43,2,"TAF6L, ERCC3"
"Phagosome",0.694,1,1,148,7,"SEC61B, SEC61A1, ATP6V1H, ATP6V0A1, C3, ATP6V1E2, HGS"
"Nucleotide excision repair",0.695,1,1,44,2,"ERCC3, RPA2"
"Cysteine and methionine metabolism",0.695,1,1,44,2,"MDH2, LDHAL6B"
"Type II diabetes mellitus",0.718,1,1,46,2,"MTOR, GCK"
"Renin-angiotensin system",0.721,1,1,23,1,"AGTR2"
"Mismatch repair",0.721,1,1,23,1,"RPA2"
"Proximal tubule bicarbonate reclamation",0.721,1,1,23,1,"PCK2"
"Mineral absorption",0.73,1,1,47,2,"SLC46A1, TRPM7"
"Vitamin digestion and absorption",0.736,1,1,24,1,"SLC46A1"
"Histidine metabolism",0.736,1,1,24,1,"ALDH1B1"
"alpha-Linolenic acid metabolism",0.736,1,1,24,1,"PLA2G2A"
"PPAR signaling pathway",0.737,1,1,70,3,"LPL, MMP1, PCK2"
"Carbon metabolism",0.738,1,1,113,5,"GCK, MDH2, PC, PDHA2, PSPH"
"NF-kappa B signaling pathway",0.74,1,1,92,4,"MALT1, CSNK2A2, RELA, IKBKG"
"Thyroid hormone synthesis",0.762,1,1,73,3,"TSHB, TSHR, CREB5"
"Calcium signaling pathway",0.764,1,1,180,8,"CHRM2, EDNRA, EGFR, HRH2, MYLK4, ITPKA, PDGFRA, SPHK1"
"Ascorbate and aldarate metabolism",0.764,1,1,26,1,"ALDH1B1"
"Vascular smooth muscle contraction",0.771,1,1,118,5,"EDNRA, ARHGEF12, MYLK4, PLA2G2A, ACTA2"
"cGMP-PKG signaling pathway",0.774,1,1,161,7,"EDNRA, AKT1, MYLK4, MEF2C, NFATC3, PDE2A, CREB5"
"Hippo signaling pathway - multiple species",0.777,1,1,27,1,"AJUBA"
"Glyoxylate and dicarboxylate metabolism",0.777,1,1,27,1,"MDH2"
"Nicotinate and nicotinamide metabolism",0.789,1,1,28,1,"ENPP1"
"Linoleic acid metabolism",0.789,1,1,28,1,"PLA2G2A"
"Tight junction",0.79,1,1,164,7,"CTTN, HSPA4, PPP2R2A, TIAM1, PARD6B, ARHGEF2, CDC42"
"Adrenergic signaling in cardiomyocytes",0.792,1,1,143,6,"AGTR2, AKT1, PPP2R2A, TNNI3, CACNG1, CREB5"
"Platelet activation",0.796,1,1,122,5,"AKT1, ARHGEF12, MYLK4, LCP2, RAP1B"
"Lysosome",0.796,1,1,122,5,"AP3S2, CTSZ, ATP6V1H, ATP6V0A1, LAPTM4A"
"Taste transduction",0.821,1,1,81,3,"GABBR1, GABRA2, HTR1F"
"Galactose metabolism",0.822,1,1,31,1,"GCK"
"beta-Alanine metabolism",0.822,1,1,31,1,"ALDH1B1"
"ECM-receptor interaction",0.827,1,1,82,3,"COL4A4, ITGA4, CD47"
"Propanoate metabolism",0.831,1,1,32,1,"LDHAL6B"
"Dopaminergic synapse",0.834,1,1,129,5,"AKT1, KCNJ3, GNG2, PPP2R2A, CREB5"
"Glycerolipid metabolism",0.836,1,1,59,2,"ALDH1B1, LPL"
"Oocyte meiosis",0.853,1,1,110,4,"FBXW11, MOS, ANAPC11, BTRC"
"Progesterone-mediated oocyte maturation",0.862,1,1,88,3,"AKT1, MOS, ANAPC11"
"Protein digestion and absorption",0.862,1,1,88,3,"COL4A4, COL22A1, COL14A1"
"DNA replication",0.865,1,1,36,1,"RPA2"
"GnRH signaling pathway",0.876,1,1,91,3,"EGFR, GRB2, CDC42"
"Cell adhesion molecules (CAMs)",0.878,1,1,139,5,"CDH5, ITGA4, CD4, CD8B, CD34"
"Glycine, serine and threonine metabolism",0.879,1,1,38,1,"PSPH"
"Long-term potentiation",0.884,1,1,67,2,"EP300, RAP1B"
"Tryptophan metabolism",0.886,1,1,39,1,"ALDH1B1"
"p53 signaling pathway",0.889,1,1,68,2,"CYCS, PTEN"
"Biosynthesis of amino acids",0.894,1,1,69,2,"PC, PSPH"
"Non-alcoholic fatty liver disease (NAFLD)",0.896,1,1,144,5,"AKT1, CYCS, RELA, EIF2AK3, CDC42"
"Homologous recombination",0.898,1,1,41,1,"RPA2"
"Fat digestion and absorption",0.898,1,1,41,1,"PLA2G2A"
"Circadian entrainment",0.898,1,1,96,3,"KCNJ3, MTNR1A, GNG2"
"Cell cycle",0.899,1,1,121,4,"EP300, HDAC1, ANAPC11, TFDP2"
"Carbohydrate digestion and absorption",0.903,1,1,42,1,"AKT1"
"Fatty acid degradation",0.909,1,1,43,1,"ALDH1B1"
"ABC transporters",0.914,1,1,44,1,"ABCC2"
"Ether lipid metabolism",0.914,1,1,44,1,"PLA2G2A"
"Vasopressin-regulated water reabsorption",0.914,1,1,44,1,"CREB5"
"Gastric acid secretion",0.915,1,1,74,2,"HRH2, MYLK4"
"Drug metabolism - other enzymes",0.918,1,1,45,1,"CDA"
"Cardiac muscle contraction",0.919,1,1,75,2,"TNNI3, CACNG1"
"Oxidative phosphorylation",0.921,1,1,128,4,"ATP6V1H, ATP6V0A1, LHPP, ATP6V1E2"
"Amino sugar and nucleotide sugar metabolism",0.927,1,1,47,1,"GCK"
"Endocrine and other factor-regulated calcium reabsorption",0.927,1,1,47,1,"AP2M1"
"Valine, leucine and isoleucine degradation",0.931,1,1,48,1,"ALDH1B1"
"Fanconi anemia pathway",0.931,1,1,48,1,"RPA2"
"Arginine and proline metabolism",0.931,1,1,48,1,"ALDH1B1"
"Necroptosis",0.932,1,1,157,5,"IFNA5, JAK1, TRPM7, RNF31, FADD"
"Insulin secretion",0.944,1,1,83,2,"GCK, CREB5"
"Serotonergic synapse",0.944,1,1,111,3,"HTR1F, KCNJ3, GNG2"
"Retrograde endocannabinoid signaling",0.958,1,1,145,4,"GABRA2, GABRP, KCNJ3, GNG2"
"Long-term depression",0.963,1,1,59,1,"CRH"
"Arachidonic acid metabolism",0.965,1,1,60,1,"PLA2G2A"
"Glycerophospholipid metabolism",0.966,1,1,94,2,"LYPLA2, PLA2G2A"
"Pancreatic secretion",0.969,1,1,96,2,"PLA2G2A, RAP1B"
"Renin secretion",0.973,1,1,65,1,"EDNRA"
"Bile secretion",0.981,1,1,71,1,"ABCC2"
"Glutamatergic synapse",0.986,1,1,113,2,"KCNJ3, GNG2"
"Olfactory transduction",0.997,1,1,107,1,"PDE2A"
"Caffeine metabolism",1,1,1,5,0,""
"Metabolic pathways",1,1,1,1227,43,"PIGK, POLR3F, POLR3A, AK7, DDOST, ALDH1B1, TWISTNB, PIP5K1C, GCK, ALG6, GYS1, ZNRD1, INPP4A, STT3A, ITPKA, MAN2A1, MDH2, MGAT1, PC, PCK2, ATP6V1H, PDHA2, ENPP1, CMPK1, PIGH, PLA2G2A, ATP6V0A1, CYCS, POLR2E, POLR2J, INPP5E, PSPH, MTMR14, ST6GAL1, POLR3D, PIGY, GPAA1, DPM1, SPHK1, ATP6V1E2, CERS5, LDHAL6B, CDA"
"Primary bile acid biosynthesis",1,1,1,17,0,""
"Peroxisome",1,1,1,79,0,""
"Base excision repair",1,1,1,33,0,""
"Aminoacyl-tRNA biosynthesis",1,1,1,42,0,""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,1,20,0,""
"Non-homologous end-joining",1,1,1,13,0,""
"Glycosaminoglycan biosynthesis - keratan sulfate",1,1,1,14,0,""
"Retinol metabolism",1,1,1,61,0,""
"Ubiquinone and other terpenoid-quinone biosynthesis",1,1,1,10,0,""
"Folate biosynthesis",1,1,1,26,0,""
"Phenylalanine metabolism",1,1,1,17,0,""
"Terpenoid backbone biosynthesis",1,1,1,21,0,""
"Glycosphingolipid biosynthesis - lacto and neolacto series",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,1,14,0,""
"Pentose and glucuronate interconversions",1,1,1,31,0,""
"Mannose type O-glycan biosynthesis",1,1,1,22,0,""
"Taurine and hypotaurine metabolism",1,1,1,11,0,""
"Phosphonate and phosphinate metabolism",1,1,1,6,0,""
"Fatty acid elongation",1,1,1,23,0,""
"Fatty acid metabolism",1,1,1,47,0,""
"Steroid biosynthesis",1,1,1,20,0,""
"Selenocompound metabolism",1,1,1,17,0,""
"One carbon pool by folate",1,1,1,18,0,""
"Inflammatory mediator regulation of TRP channels",1,1,1,96,0,""
"Ovarian steroidogenesis",1,1,1,49,0,""
"Salivary secretion",1,1,1,86,0,""
"Steroid hormone biosynthesis",1,1,1,56,0,""
"Porphyrin and chlorophyll metabolism",1,1,1,40,0,""
"Metabolism of xenobiotics by cytochrome P450",1,1,1,69,0,""
"Drug metabolism - cytochrome P450",1,1,1,66,0,""
"Other glycan degradation",1,1,1,18,0,""
"Glycosaminoglycan degradation",1,1,1,19,0,""
"Biosynthesis of unsaturated fatty acids",1,1,1,21,0,""
"Valine, leucine and isoleucine biosynthesis",1,1,1,4,0,""
"Lipoic acid metabolism",1,1,1,2,0,""
"Mucin type O-glycan biosynthesis",1,1,1,29,0,""
"Nitrogen metabolism",1,1,1,17,0,""
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,1,24,0,""
"Butanoate metabolism",1,1,1,27,0,""
"Glutathione metabolism",1,1,1,51,0,""
"Alanine, aspartate and glutamate metabolism",1,1,1,35,0,""
"Tyrosine metabolism",1,1,1,35,0,""
"Phototransduction",1,1,1,28,0,""
"Pentose phosphate pathway",1,1,1,29,0,""
"Type I diabetes mellitus",1,1,1,43,0,""
"Arginine biosynthesis",1,1,1,20,0,""
"2-Oxocarboxylic acid metabolism",1,1,1,17,0,""
"D-Arginine and D-ornithine metabolism",1,1,1,1,0,""
"Fructose and mannose metabolism",1,1,1,33,0,""
"Fatty acid biosynthesis",1,1,1,13,0,""
"Aldosterone-regulated sodium reabsorption",1,1,1,37,0,""
"Glycosphingolipid biosynthesis - ganglio series",1,1,1,15,0,""
"Phenylalanine, tyrosine and tryptophan biosynthesis",1,1,1,5,0,""
"D-Glutamine and D-glutamate metabolism",1,1,1,4,0,""
"Sulfur relay system",1,1,1,8,0,""
"Vitamin B6 metabolism",1,1,1,5,0,""
"Biotin metabolism",1,1,1,3,0,""
"Synthesis and degradation of ketone bodies",1,1,1,10,0,""
