"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.PI3K-Akt signaling pathway","Ntwrk.PI3K-Akt signaling pathway","NtwrkCount.RNA transport","Ntwrk.RNA transport","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"46",55723,"ASF1B",266,"MedConf","Novel",NA,5,"ASF1A, TAF1, KAT2B, ATR, UBC",0,NA,0,NA,0,"",0
"47",55870,"ASH1L",688,"MedConf","Novel","Lysine degradation",1,"PLOD3",0,NA,0,NA,0,"",0
"48",467,"ATF3",176,"MedConf","Novel",NA,3,"SMAD4, JUN, UBC",0,NA,0,NA,0,"",0
"49",479,"ATP12A",453,"MedConf","Novel",NA,5,"ATP1A3, PPA1, ABCA2, ATP1B3, UBC",0,NA,0,NA,0,"",0
"50",478,"ATP1A3",539,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",7,"ATP1B2, ABCA2, FXYD7, ATP12A, UBC, PRKX, ATP1B3",0,NA,0,NA,0,"",0
"51",482,"ATP1B2",597,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",4,"FXYD7, ATP1A3, ATP1B3, PRKX",0,NA,0,NA,0,"",0
"52",483,"ATP1B3",451,"HighConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",7,"ATP12A, ATP1A3, ATP1B2, ABCA2, FXYD7, PRKX, UBC",0,NA,0,NA,0,"",0
"53",23439,"ATP1B4",825,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",1,"PRKX",0,NA,0,NA,0,"",0
"54",50617,"ATP6V0A4",836,"HighConf","Novel","Phagosome",4,"TF, PPA1, TCIRG1, ATP6V1B2",0,NA,0,NA,0,"",0
"55",526,"ATP6V1B2",132,"HighConf","Novel","Phagosome",5,"TCIRG1, PPA1, TF, ATP6V0A4, UBC",0,NA,0,NA,0,"",0
"56",545,"ATR",120,"HighConf","Novel","Cell cycle",15,"MCM8, RAD21, ASF1B, CDC25C, FANCG, SYCP3, ASF1A, TIPIN, FANCE, CCNB2, BRCA2, XPA, MSH2, RAD51, UBC",0,NA,0,NA,0,"",0
"57",552,"AVPR1A",496,"MedConf","Novel","Neuroactive ligand-receptor interaction, Phospholipase D signaling pathway",20,"NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, GNA15, KALRN, TACR1, ADRBK1, NMUR2, TACR3, GNA11, AGT, EDN1",0,NA,0,NA,0,"",0
"58",573,"BAG1",96,"MedConf","Novel",NA,3,"JUN, UBC, STUB1",0,NA,0,NA,0,"",0
"59",22893,"BAHD1",821,"MedConf","Novel",NA,2,"RRP8, SUV39H1",0,NA,0,NA,0,"",0
"60",25805,"BAMBI",684,"MedConf","Novel",NA,2,"BMP7, BMPR1B",0,NA,0,NA,0,"",0
"61",10286,"BCAS2",620,"MedConf","Novel","Spliceosome",6,"EFTUD2, PRPF8, PLRG1, UBC, MFAP1, CDC5L",0,NA,0,NA,0,"",0
"62",64919,"BCL11B",612,"MedConf","Novel",NA,1,"HDAC2",0,NA,0,NA,0,"",0
"63",598,"BCL2L1",123,"HighConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, NF-kappa B signaling pathway, NOD-like receptor signaling pathway, Ras signaling pathway, Mitophagy - animal, Jak-STAT signaling pathway, Platinum drug resistance, Apoptosis",9,"STAT1, DIABLO, PRKAR2B, DNM1L, NMI, SPATA25, PMAIP1, PGAM5, UBC",0,NA,0,NA,0,"",0
"64",602,"BCL3",623,"MedConf","Novel","TNF signaling pathway",3,"RELA, UBC, IKBKB",2,"RELA, IKBKB",0,NA,0,"",2
"65",604,"BCL6",604,"HighConf","Novel",NA,3,"HDAC4, SIN3A, UBC",0,NA,0,NA,0,"",0
"66",623,"BDKRB1",513,"MedConf","Novel","Regulation of actin cytoskeleton, Neuroactive ligand-receptor interaction",43,"KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, NPY, HCAR2, EDN1, NMS, OPRM1, AGT, CXCL11, CXCR5, AVPR1A, CHRM2, NMUR2, NPBWR2, FPR3, PNOC, C5, CXCL8, GNA15, CCR8, GNAI3, SSTR4, CXCL13, KALRN, GNA11, TACR1, S1PR2, TACR3, CXCR4, DRD2, PTGDR2, MTNR1B, HTR1A, CXCR3, RGS20, ADRBK1",1,"CHRM2",0,NA,0,"",1
"67",332,"BIRC5",237,"MedConf","Novel","Platinum drug resistance, Apoptosis",28,"NUP43, BUB1B, CENPH, ITGB3BP, RANGAP1, CENPO, POLB, CENPP, RANBP2, SKA3, KIF18A, CDCA8, ITGA1, CYP2A6, GRAMD3, AIM1, KIF4A, REEP2, PEBP1, PSMA3, ITGB1, MIS12, RAD21, GTSE1, UBC, DIABLO, MAX, PLK1",2,"ITGB1, ITGA1",3,"RANGAP1, RANBP2, NUP43",0,"",5
"68",655,"BMP7",265,"MedConf","Novel","Cytokine-cytokine receptor interaction",4,"BMPR1B, SMAD6, BAMBI, SMAD1",0,NA,0,NA,0,"",0
"69",658,"BMPR1B",326,"MedConf","Novel","Cytokine-cytokine receptor interaction",6,"SMAD6, BAMBI, SMAD1, SMAD4, MAP3K7, BMP7",0,NA,0,NA,0,"",0
"70",673,"BRAF",175,"MedConf","Novel","Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, cAMP signaling pathway, Chemokine signaling pathway, Focal adhesion, Serotonergic synapse, Long-term depression",8,"RAP1A, MRAS, CAPN3, UBC, SFN, YWHAG, MAP2K6, YWHAH",2,"YWHAH, YWHAG",0,NA,0,"",2
"71",8315,"BRAP",721,"MedConf","Novel","Ras signaling pathway",3,"MRAS, UBB, UBC",0,NA,0,NA,0,"",0
"72",675,"BRCA2",118,"MedConf","Novel",NA,3,"ATR, FANCG, RAD51",0,NA,0,NA,0,"",0
"73",9024,"BRSK2",650,"MedConf","Novel",NA,3,"CDC25B, CDC25C, UBC",0,NA,0,NA,0,"",0
"74",701,"BUB1B",263,"MedConf","Novel","Cell cycle",42,"CENPH, ITGB3BP, RANGAP1, CENPO, CENPP, RANBP2, SKA3, PSMF1, KIF18A, CDCA8, PHC2, CDC20B, PSMD12, PSMB1, RPS27A, PSMA6, PSMC1, PSMA5, PSMC2, UBB, PSMA4, PSMB5, RAD21, PSMD1, PLK1, PSMA1, PSMD11, PSMB2, BIRC5, PSMD6, PSMB4, MIS12, CDC42, PSMD7, PSMD3, PSMA7, UBC, PSMD2, PSMC4, PSMC5, PSMA3, NUP43",0,NA,3,"RANGAP1, RANBP2, NUP43",0,"",3
"75",727,"C5",333,"MedConf","Novel",NA,26,"NMUR2, AGT, CXCR5, CXCL13, CXCL8, MTNR1B, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, CCR8, CXCR4, OPRM1, GNAI3",1,"CHRM2",0,NA,0,"",1
"76",389813,"C9orf172",381,"MedConf","Novel",NA,2,"PARD6G, PDLIM7",0,NA,0,NA,0,"",0
"77",91768,"CABLES1",692,"HighConf","Novel",NA,1,"CTNND1",0,NA,0,NA,0,"",0
"78",775,"CACNA1C",400,"MedConf","Novel","MAPK signaling pathway, cAMP signaling pathway, Renin secretion, Serotonergic synapse, Insulin secretion, Adrenergic signaling in cardiomyocytes, GnRH signaling pathway, Dopaminergic synapse",14,"GNG10, CACNB4, CATSPERG, CACNA2D1, CATSPERB, NCAM1, PPP2R5E, PPP2CB, UBC, GNAI3, PRKX, PPP2R5A, GNAO1, GNG3",5,"PPP2R5E, PPP2R5A, PPP2CB, GNG3, GNG10",0,NA,0,"",5
"79",781,"CACNA2D1",482,"HighConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",8,"CATSPERB, PPP2R5E, CACNB4, PPP2R5A, PPP2CB, CACNA1C, PRKX, CATSPERG",3,"PPP2R5E, PPP2R5A, PPP2CB",0,NA,0,"",3
"80",9254,"CACNA2D2",809,"MedConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",4,"PPP2R5E, PPP2CB, PRKX, PPP2R5A",3,"PPP2R5E, PPP2R5A, PPP2CB",0,NA,0,"",3
"81",785,"CACNB4",480,"HighConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",9,"CATSPERG, CACNA2D1, CATSPERB, NCAM1, PPP2CB, PPP2R5A, PRKX, PPP2R5E, CACNA1C",3,"PPP2R5E, PPP2R5A, PPP2CB",0,NA,0,"",3
"82",799,"CALCR",254,"MedConf","Novel","Osteoclast differentiation, Neuroactive ligand-receptor interaction",12,"APOB, PTGIR, ADRB2, VIPR1, MC2R, GHRH, GPBAR1, HTR6, PTGER2, DRD5, SCT, HRH2",0,NA,0,NA,0,"",0
"83",811,"CALR",180,"MedConf","Novel","Phagosome",8,"LRP1, HSP90B1, APOB, HSPH1, PDIA3, MSR1, P4HB, UBC",1,"HSP90B1",0,NA,0,"",1
"84",819,"CAMLG",669,"HighConf","Novel",NA,1,"EGFR",1,"EGFR",0,NA,0,"",1
"85",824,"CAPN2",367,"MedConf","Novel","Focal adhesion, Apoptosis",5,"CAST, ITGA1, UBC, ITGB1, PXN",2,"ITGB1, ITGA1",0,NA,0,"",2
"86",825,"CAPN3",705,"HighConf","Novel",NA,1,"BRAF",0,NA,0,NA,0,"",0
"87",84433,"CARD11",676,"MedConf","Novel","NF-kappa B signaling pathway, T cell receptor signaling pathway",5,"UBC, MAP3K7, PDPK1, IKBKB, RELA",3,"RELA, PDPK1, IKBKB",0,NA,0,"",3
"88",831,"CAST",398,"MedConf","Novel",NA,4,"ITGA1, CAPN2, ITGB1, PXN",2,"ITGB1, ITGA1",0,NA,0,"",2
"89",79820,"CATSPERB",798,"MedConf","Novel",NA,4,"CACNB4, CACNA2D1, CACNA1C, CATSPERG",0,NA,0,NA,0,"",0
"90",57828,"CATSPERG",481,"MedConf","Novel",NA,4,"CACNA2D1, CATSPERB, CACNA1C, CACNB4",0,NA,0,NA,0,"",0
"91",859,"CAV3",817,"MedConf","Novel","Focal adhesion",4,"SNTG1, PDGFRA, EGFR, ITGB1",3,"PDGFRA, ITGB1, EGFR",0,NA,0,"",3
"92",55749,"CCAR1",227,"HighConf","Novel",NA,24,"HNRNPM, PAPOLA, PCF11, PRPF8, SRSF2, SF3B1, POLR2J, YBX1, PHF5A, SRSF1, NDUFA1, CD2BP2, SRSF3, HNRNPH1, POLR2F, SNRPD3, UBC, RBM10, HNRNPA2B1, SF3B2, SRRM1, EFTUD2, PTBP1, SF3B6",0,NA,1,"SRRM1",0,"",1
"93",93233,"CCDC114",859,"MedConf","Novel",NA,6,"DNAI2, DYNLT3, DYNC1H1, DYNC1I1, DYNLL1, DNAH2",0,NA,0,NA,0,"",0
"94",151903,"CCDC12",626,"HighConf","Novel","Spliceosome",1,"CDC5L",0,NA,0,NA,0,"",0
"95",55702,"CCDC94",634,"MedConf","Novel",NA,4,"XAB2, SNW1, PLRG1, CDC5L",0,NA,0,NA,0,"",0
"96",90324,"CCDC97",643,"MedConf","Novel",NA,2,"SF3B6, SF3B1",0,NA,0,NA,0,"",0
"97",6357,"CCL13",402,"MedConf","Novel","NF-kappa B signaling pathway, Cytokine-cytokine receptor interaction, Chemokine signaling pathway",5,"CXCR3, CCR8, CXCR5, CX3CR1, CXCR4",0,NA,0,NA,0,"",0
"98",6354,"CCL7",161,"HighConf","Novel","Cytokine-cytokine receptor interaction, Chemokine signaling pathway",5,"CCR8, CXCR4, CXCR5, CXCR3, CX3CR1",0,NA,0,NA,0,"",0
"99",9133,"CCNB2",100,"MedConf","Novel","Cell cycle",10,"ATR, PLK1, LIN52, LIN9, CDC25B, CDC25C, CKS2, MYBL2, UBC, SFN",0,NA,0,NA,0,"",0
"100",894,"CCND2",60,"HighConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Focal adhesion, Jak-STAT signaling pathway, Cell cycle",11,"MAX, SP1, CCNE1, TAF12, E2F3, CDK14, NMI, CDK12, UBC, PCNA, CCND3",2,"CCNE1, CCND3",0,NA,0,"",2
"101",896,"CCND3",52,"HighConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Focal adhesion, Jak-STAT signaling pathway, Cell cycle",15,"CCND2, CCNE1, GAB2, MED14, MED7, MED26, E2F3, MED10, MED8, MED21, MED19, CDK14, NMI, CDK12, PCNA",2,"CCNE1, CCND2",0,NA,0,"",2
"102",898,"CCNE1",141,"MedConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Cell cycle",10,"E2F3, MYBL2, HIST1H1B, NMI, CCND3, PCNA, MAX, UBC, FBXW7, CCND2",2,"CCND3, CCND2",0,NA,0,"",2
"103",1237,"CCR8",242,"HighConf","Novel","Cytokine-cytokine receptor interaction, Chemokine signaling pathway",32,"GNAI3, CXCR4, C5, NMUR2, AGT, ADRBK1, CXCR5, CXCL13, CXCL8, MTNR1B, CCL13, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, XCL2, PF4, GRK4, OPRM1, CCL7",1,"CHRM2",0,NA,0,"",1
"104",10576,"CCT2",53,"HighConf","Novel",NA,6,"PPP2CB, TUBA1A, TUBA4A, PPP4C, CTTNBP2, UBC",1,"PPP2CB",0,NA,0,"",1
"105",929,"CD14",232,"HighConf","Novel","NF-kappa B signaling pathway, Toll-like receptor signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, Phagosome, Hematopoietic cell lineage",10,"TLR4, ITGAM, MYD88, TICAM1, TIRAP, TLR2, TOLLIP, LY96, EIF2AK2, ITGB1",3,"TLR4, TLR2, ITGB1",0,NA,0,"",3
"106",940,"CD28",219,"MedConf","Novel","T cell receptor signaling pathway",5,"PDPK1, PIK3R3, GAB2, CDC42, SYK",3,"SYK, PIK3R3, PDPK1",0,NA,0,"",3
"107",10421,"CD2BP2",165,"MedConf","Novel",NA,21,"POLR2F, POLR2J, HNRNPA2B1, HNRNPH1, PTBP1, SRSF2, YBX1, PHF5A, SRSF1, SRSF3, CCAR1, HNRNPM, PAPOLA, PCF11, SRRM1, SF3B6, PRPF8, SNRPD3, SF3B1, SF3B2, EFTUD2",0,NA,1,"SRRM1",0,"",1
"108",166979,"CDC20B",696,"MedConf","Novel",NA,1,"BUB1B",0,NA,0,NA,0,"",0
"109",994,"CDC25B",239,"MedConf","Novel","MAPK signaling pathway, Cell cycle",9,"CDC25C, MAPK13, BRSK2, CCNB2, UBC, SFN, YWHAH, PLK1, YWHAG",2,"YWHAH, YWHAG",0,NA,0,"",2
"110",995,"CDC25C",269,"HighConf","Novel","Cell cycle",11,"PRKX, PRKAR2B, BRSK2, ATR, YWHAH, PLK1, CCNB2, PCNA, UBC, YWHAG, CDC25B",2,"YWHAH, YWHAG",0,NA,0,"",2
"111",997,"CDC34",616,"MedConf","Novel",NA,4,"FBXW7, RPS27A, UBB, UBC",0,NA,0,NA,0,"",0
"112",998,"CDC42",170,"MedConf","Novel","Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Leukocyte transendothelial migration, Chemokine signaling pathway, Focal adhesion, AGE-RAGE signaling pathway in diabetic complications, Ras signaling pathway, Fc gamma R-mediated phagocytosis, T cell receptor signaling pathway, GnRH signaling pathway",47,"PARD3, RAP1A, ACTR2, CD28, RHOB, GNAI3, BUB1B, RHOV, GNAO1, CXCR4, PIK3R3, CTNND1, MAPK13, ARHGDIB, GIT1, LAMA5, ARHGEF3, ARHGEF6, ITGA1, EXOC7, AGRN, ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, WIPF2, ITSN2, SPATA13, PARD6G, CDC42EP3, ARHGAP9, ARHGAP15, MUSK, MAP3K9, DOCK10, EGFR, EPS8, UBC, ITGB1, UBB, MAP2K6, PXN, A2M, RPS27A, PLK1, NGFR",6,"PIK3R3, NGFR, LAMA5, ITGB1, ITGA1, EGFR",0,NA,0,"",6
"113",10602,"CDC42EP3",726,"MedConf","Novel",NA,1,"CDC42",0,NA,0,NA,0,"",0
"114",988,"CDC5L",79,"MedConf","Novel","Spliceosome",17,"PLRG1, PRPF8, SNRPD3, XAB2, SF3B2, SNW1, SF3B1, EFTUD2, TOP2A, SRRM1, SRSF1, DYNC1H1, BCAS2, CCDC12, CCDC94, SFPQ, UBC",0,NA,1,"SRRM1",0,"",1
"115",55143,"CDCA8",394,"HighConf","Novel",NA,16,"AIM1, PEBP1, BIRC5, RANBP2, PSMA3, CENPO, CENPH, PLK1, BUB1B, KIF18A, NUP43, CENPP, RANGAP1, ITGB3BP, MIS12, RAD21",0,NA,3,"RANGAP1, RANBP2, NUP43",0,"",3
"116",1016,"CDH18",685,"MedConf","Novel",NA,2,"CDH5, CTNND1",0,NA,0,NA,0,"",0
"117",1003,"CDH5",302,"MedConf","Novel","Leukocyte transendothelial migration",4,"CTNND1, CDH18, PARD6G, PARD3",0,NA,0,NA,0,"",0
"118",51755,"CDK12",713,"MedConf","Novel",NA,3,"CCND3, CDK14, CCND2",2,"CCND3, CCND2",0,NA,0,"",2
"119",5218,"CDK14",388,"HighConf","Novel",NA,3,"CDK12, CCND3, CCND2",2,"CCND3, CCND2",0,NA,0,"",2
"120",1045,"CDX2",244,"MedConf","Novel",NA,4,"SEC11C, PSMD2, PSMC4, PSMA5",0,NA,0,NA,0,"",0
"121",1052,"CEBPD",463,"MedConf","Novel",NA,16,"TTR, EGR2, G6PC, KLF4, RELA, MED7, SP1, MED26, MED21, MED14, MED8, UBC, CREB1, MAX, MED19, MED10",3,"RELA, G6PC, CREB1",0,NA,0,"",3
