"GeneSymbol","Replicate1","X","EntrezID","Zscore","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","Pathway"
"2-Sep",0,9101,4735,0.189,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"201175",0,3730,201175,-0.016,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"219928",0,4036,219928,0.037,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"221016",0,4099,221016,0.921,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"222521",0,4192,222521,-0.268,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"244",0.5,4994,244,-1.643,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"245914",0,5005,245914,1.762,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"255352",0,5166,255352,0.384,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"283135",0,6145,283135,0.959,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"283294",0,6167,283294,0.497,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"283331",0,6173,283331,0.746,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"284944",0,6338,284944,0.347,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"285135",0,6351,285135,2.149,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"285754",0,6410,285754,0.844,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"3-Mar",0,1327,115123,1.075,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"3-Sep",0,11494,55964,0.493,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"339010",0,7206,339010,-0.707,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"339457",0,7234,339457,0.773,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"340843",0,7308,340843,-0.181,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"349236",0,7521,349236,0.801,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"374467",0,7763,374467,0.055,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"375347",0,7820,375347,0.108,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"378465",0,7880,378465,-0.84,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"387054",0,7975,387054,0.305,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"387851",0,8012,387851,-0.451,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"389832",0,8154,389832,0.006,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"392395",1,8294,392395,-2.105,0,0.5,"Present",NA,0.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"4-Mar",0,12148,57574,-0.917,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"4-Sep",0,10329,5414,-0.787,0,0.5,"Absent",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"400077",0,8383,400077,0.635,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"400223",0,8387,400223,-0.371,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"400509",0,8395,400509,0.638,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"401271",0,8442,401271,0.465,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"401940",0,8470,401940,1.504,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"402164",1,8480,402164,-2.098,0,0.5,"Present",NA,0.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"414308",0,8632,414308,2.398,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"4197",0,8683,4197,2.438,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"4276",0,8734,4276,-0.543,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"440321",0,8840,440321,0.266,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"440673",0,8852,440673,-0.782,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"441140",0,8867,441140,-0.196,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"4950",0,9292,4950,-0.615,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"5-Mar",0,10540,54708,-0.229,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"5-Sep",0,10328,5413,-0.713,0,0.5,"Present",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"51402",1,9829,51402,-2.897,0,0.5,"Present",NA,0.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"54530",0,10457,54530,0.752,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"55849",0,11426,55849,1.402,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"56959",0,11806,56959,-0.263,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"57714",1,12244,57714,-2.166,0,0.5,"Present",NA,0.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"6-Mar",0,286,10299,-0.081,0,0.5,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"6-Sep",0,4539,23157,-0.848,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"641522",0,13012,641522,0.511,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"641559",0,13013,641559,0.138,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"64163",0,13015,64163,1.423,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"64173",0,13023,64173,-0.246,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"642219",0,13043,642219,1.303,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"642265",0,13048,642265,0.622,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"642678",0,13060,642678,0.168,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"6435",0,13097,6435,0.449,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"6436",0,13099,6436,-0.631,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"64694",0,13217,64694,1.519,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"649055",0,13322,649055,-0.321,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"649853",0,13355,649853,-0.601,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"650137",0,13365,650137,0.161,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"650662",0,13379,650662,0.535,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"651503",0,13406,651503,-0.259,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"652433",0,13419,652433,-0.396,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"652436",0,13420,652436,-0.475,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"652591",0,13427,652591,-0.177,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"652759",0,13437,652759,0.307,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"652859",0,13439,652859,1.07,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"652919",0,13441,652919,1.17,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"653111",0,13447,653111,-0.029,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"653129",0,13448,653129,-0.018,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"653401",0,13464,653401,0.66,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"653573",0,13472,653573,-0.616,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"653978",0,13479,653978,1.427,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"654341",0,13485,654341,0.638,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"7-Mar",0,13295,64844,1.642,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"7-Sep",0,18012,989,0.738,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"728404",0,14128,728404,-0.234,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"728461",0,14131,728461,1.087,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"728919",0,14145,728919,1.988,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"751867",0,14327,751867,-0.444,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"768329",0,14417,768329,1.084,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"79614",0,14750,79614,0.677,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"8-Mar",0,4092,220972,0.926,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"8385",0,15720,8385,0.801,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"83954",0,15780,83954,0.689,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"84127",0,15852,84127,-0.063,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"84663",0,16140,84663,-0.021,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"85282",0,16387,85282,-0.975,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"85287",0,16389,85287,1.559,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"85411",0,16434,85411,-0.764,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"9-Mar",0,17405,92979,1.846,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"9-Sep",0,710,10801,0.414,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"90462",0,16976,90462,-0.822,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"91431",0.5,17152,91431,-1.225,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"934",0,17463,934,-0.048,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"9503",0,17663,9503,0.193,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"9598",1,17747,9598,-2.215,0,0.5,"Present",NA,0.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"A1BG",0,1,1,-0.543,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",0,6772,29974,0.587,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M",1,3672,2,-1.982,7,1,"Present",1.155,1.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","No","MedConf","No","MedConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf",NA
"A2ML1",0,2476,144568,-0.147,0,1,"Absent",0.972,0.972,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",0,1874,127550,0.566,0,0.5,"Absent",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GALT",0,10298,53947,1.63,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GNT",0,9620,51146,-0.811,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",0,15301,8086,-0.29,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AACS",0,13551,65985,-0.136,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AADAC",0,1984,13,0.273,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",0,7408,344752,-0.012,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",0,7364,343066,-0.511,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADAT",0,9636,51166,-0.722,0,1,"Present",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AAED1",0,3574,195827,0.959,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",0,14835,79719,1.244,0,1,"Absent",1.155,1.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAK1",0.5,4296,22848,-2.384,0,0,"Absent",1.155,1.155,"HitbyZS","HitbyNA","HitbyCSA",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",0,6518,28971,1.913,0,1,"Absent",1.155,1.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMP",0,2299,14,0.904,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AANAT",0,2728,15,-0.91,0,0,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAR2",0,5452,25980,-0.275,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARD",0,8875,441376,-0.053,0,1,"Absent",0.972,0.972,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARS",0,3061,16,0.423,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AARS2",0,12090,57505,-0.104,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AARSD1",0,15258,80755,0.038,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDH",0,2094,132949,-0.042,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT",0,12617,60496,0.895,0,1,"Absent",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AASS",0,148,10157,-0.864,0,1,"Present",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
