"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Ribosome biogenesis in eukaryotes",0.001,0.031,0.34,74,10,"POP7, NOP56, UTP14A, RPP25L, CSNK2A2, FBL, NOP58, HEATR1, XPO1, IMP4"
"T cell receptor signaling pathway",0.002,0.034,0.403,102,12,"MALT1, CSF2, AKT1, GRB2, LCP2, NFATC3, PAK2, RELA, IKBKG, CD4, CD8B, CDC42"
"FoxO signaling pathway",0.004,0.075,1,129,13,"GABARAPL2, AGAP2, EGF, EGFR, EP300, AKT1, GRB2, PCK2, PTEN, TGFBR2, USP7, SETD7, ATG12"
"N-Glycan biosynthesis",0.004,0.075,1,47,7,"DDOST, ALG6, STT3A, MAN2A1, MGAT1, ST6GAL1, DPM1"
"Rap1 signaling pathway",0.005,0.077,1,209,18,"LPAR1, EGF, EGFR, AKT1, FGF2, FGF9, FGF14, VEGFD, FLT1, FLT4, RAPGEF1, LCP2, PDGFRA, RAP1B, TIAM1, PARD6B, FGF19, CDC42"
"Autophagy - animal",0.009,0.142,1,126,12,"RRAGB, ATG7, GABARAPL2, AKT1, RRAS2, MTOR, PTEN, RPS6KB1, MTMR14, ATG16L2, ATG12, EIF2AK3"
"Phospholipase D signaling pathway",0.01,0.145,1,143,13,"LPAR1, EGF, EGFR, AKT1, FCER1A, RRAS2, PIP5K1C, MTOR, GRB2, ARF1, SHC4, PDGFRA, SPHK1"
"HIF-1 signaling pathway",0.011,0.146,1,98,10,"EGF, EGFR, EIF4E, EP300, AKT1, FLT1, MTOR, RELA, RPS6, RPS6KB1"
"ErbB signaling pathway",0.012,0.156,1,85,9,"EGF, EGFR, AKT1, MTOR, GRB2, SHC4, PAK2, RPS6KB1, NRG2"
"Notch signaling pathway",0.016,0.201,1,47,6,"DVL2, EP300, KAT2A, HDAC1, NCOR2, MAML1"
"Cytosolic DNA-sensing pathway",0.018,0.218,1,62,7,"POLR3F, POLR3A, IFNA5, POLR2E, RELA, POLR3D, IKBKG"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.019,0.22,1,24,4,"PIGK, PIGH, PIGY, GPAA1"
"Relaxin signaling pathway",0.027,0.28,1,130,11,"EGFR, AKT1, VEGFD, GRB2, SHC4, MMP1, RXFP3, GNG2, RELA, TGFBR2, CREB5"
"NOD-like receptor signaling pathway",0.028,0.28,1,164,13,"GABARAPL2, CARD16, IFNA5, JAK1, TRPM7, RNF31, DHX33, RELA, GSDMD, IKBKG, FADD, ATG12, NLRP12"
"Pyrimidine metabolism",0.028,0.28,1,98,9,"POLR3F, POLR3A, TWISTNB, ZNRD1, POLR2E, POLR2J, POLR3D, ENTPD3, CDA"
"Endocytosis",0.031,0.3,1,237,17,"ARPC5, ARPC1A, ARAP1, AGAP2, AP2M1, EGFR, PIP5K1C, ARF1, PDGFRA, SH3GL3, TGFBR2, CXCR4, PARD6B, CAV2, GBF1, HGS, CDC42"
"Antifolate resistance",0.041,0.377,1,30,4,"SLC46A1, ABCC2, RELA, IKBKG"
"Insulin resistance",0.045,0.389,1,107,9,"CRTC2, AKT1, MTOR, PCK2, PTEN, RELA, RPS6KB1, OGT, CREB5"
"Autophagy - other",0.045,0.389,1,31,4,"ATG7, GABARAPL2, MTOR, ATG12"
"mTOR signaling pathway",0.052,0.43,1,144,11,"RRAGB, DVL2, EIF4E, AKT1, MTOR, GRB2, ATP6V1H, PTEN, RPS6, RPS6KB1, DEPDC5"
"Apelin signaling pathway",0.073,0.578,1,135,10,"GABARAPL2, AKT1, RRAS2, MTOR, MYLK4, MEF2C, GNG2, RPS6, RPS6KB1, SPHK1"
"AMPK signaling pathway",0.078,0.578,1,119,9,"ELAVL1, CRTC2, AKT1, MTOR, PCK2, PPP2R2A, RAB2A, RPS6KB1, CREB5"
"Protein export",0.078,0.578,1,23,3,"SEC61B, SEC61A1, SPCS3"
"Insulin signaling pathway",0.079,0.578,1,137,10,"EIF4E, AKT1, MTOR, GCK, GRB2, RAPGEF1, SHC4, PCK2, RPS6, RPS6KB1"
"B cell receptor signaling pathway",0.086,0.598,1,70,6,"MALT1, AKT1, GRB2, NFATC3, RELA, IKBKG"
"RIG-I-like receptor signaling pathway",0.086,0.598,1,70,6,"DDX3X, IFNA5, RELA, IKBKG, FADD, ATG12"
"Longevity regulating pathway",0.092,0.6,1,88,7,"EIF4E, AKT1, MTOR, RELA, RPS6KB1, EHMT1, CREB5"
"Fc gamma R-mediated phagocytosis",0.092,0.6,1,88,7,"ARPC5, ARPC1A, AKT1, PIP5K1C, RPS6KB1, SPHK1, CDC42"
"Proteasome",0.097,0.6,1,40,4,"PSMA7, PSMB2, PSMB7, PSME2"
"Th17 cell differentiation",0.098,0.6,1,107,8,"MTOR, GATA3, JAK1, NFATC3, RELA, TGFBR2, IKBKG, CD4"
"Chemokine signaling pathway",0.101,0.6,1,181,12,"AKT1, GRB2, SHC4, GNG2, RAP1B, RELA, CCL8, XCL1, TIAM1, CXCR4, IKBKG, CDC42"
"Inositol phosphate metabolism",0.101,0.6,1,73,6,"PIP5K1C, INPP4A, ITPKA, INPP5E, PTEN, MTMR14"
"RNA degradation",0.106,0.614,1,74,6,"MPHOSPH6, LSM3, EXOSC3, EXOSC9, EXOSC5, LSM2"
"Th1 and Th2 cell differentiation",0.109,0.619,1,92,7,"GATA3, JAK1, NFATC3, RELA, IKBKG, CD4, MAML1"
"Longevity regulating pathway - multiple species",0.136,0.718,1,62,5,"EIF4EBP2, AKT1, MTOR, HDAC1, RPS6KB1"
"Mitophagy - animal",0.136,0.718,1,62,5,"GABARAPL2, CSNK2A2, RRAS2, RELA, EIF2AK3"
"Thyroid hormone signaling pathway",0.138,0.718,1,116,8,"EP300, AKT1, MTOR, KAT2A, MED4, HDAC1, MED14, MED27"
"Estrogen signaling pathway",0.139,0.718,1,98,7,"EGFR, AKT1, GABBR1, GRB2, SHC4, OPRM1, CREB5"
"Jak-STAT signaling pathway",0.144,0.718,1,155,10,"CSF2, EP300, AKT1, MTOR, GHR, GRB2, IFNA5, IL15RA, JAK1, PTPN2"
"Ubiquitin mediated proteolysis",0.144,0.718,1,136,9,"HUWE1, UBE2J2, FBXW11, ANAPC11, UBA6, UBE2D1, UBE2G2, CUL5, BTRC"
"Cellular senescence",0.153,0.732,1,157,10,"AKT1, RRAS2, FBXW11, MTOR, NFATC3, TRPM7, PTEN, RELA, TGFBR2, BTRC"
"Neurotrophin signaling pathway",0.153,0.732,1,119,8,"SH2B3, AKT1, GRB2, RAPGEF1, SHC4, RAP1B, RELA, CDC42"
"Glucagon signaling pathway",0.156,0.732,1,101,7,"CRTC2, EP300, AKT1, GCK, PCK2, LDHAL6B, CREB5"
"Fc epsilon RI signaling pathway",0.164,0.753,1,66,5,"CSF2, AKT1, FCER1A, GRB2, LCP2"
"Protein processing in endoplasmic reticulum",0.166,0.753,1,160,10,"PDIA6, SEC61B, UBE2J2, DDOST, SEC61A1, DNAJB1, STT3A, UBE2D1, UBE2G2, EIF2AK3"
"SNARE interactions in vesicular transport",0.176,0.781,1,33,3,"STX5, GOSR1, GOSR2"
"Adipocytokine signaling pathway",0.186,0.813,1,69,5,"AKT1, MTOR, PCK2, RELA, IKBKG"
"Prolactin signaling pathway",0.194,0.823,1,70,5,"AKT1, GCK, GRB2, SHC4, RELA"
"Adherens junction",0.202,0.823,1,71,5,"CSNK2A2, EGFR, EP300, TGFBR2, CDC42"
"Antigen processing and presentation",0.202,0.823,1,71,5,"HSPA4, KLRC2, PSME2, CD4, CD8B"
"Neomycin, kanamycin and gentamicin biosynthesis",0.202,0.823,1,5,1,"GCK"
"IL-17 signaling pathway",0.211,0.846,1,91,6,"CSF2, ELAVL1, MMP1, RELA, IKBKG, FADD"
"Other types of O-glycan biosynthesis",0.236,0.931,1,21,2,"ST6GAL1, OGT"
"Endocrine resistance",0.239,0.932,1,95,6,"EGFR, AKT1, MTOR, GRB2, SHC4, RPS6KB1"
"Pyruvate metabolism",0.245,0.938,1,39,3,"MDH2, PCK2, LDHAL6B"
"cAMP signaling pathway",0.255,0.949,1,198,11,"CHRM2, EDNRA, EP300, AKT1, RRAS2, GABBR1, HTR1F, RAP1B, RELA, TIAM1, CREB5"
"Apoptosis",0.255,0.949,1,137,8,"CTSZ, AKT1, CYCS, RELA, SPTAN1, IKBKG, FADD, EIF2AK3"
"Phosphatidylinositol signaling system",0.262,0.958,1,98,6,"PIP5K1C, INPP4A, ITPKA, INPP5E, PTEN, MTMR14"
"Cytokine-cytokine receptor interaction",0.282,1,1,266,14,"CSF2, EGF, EGFR, VEGFD, FLT1, FLT4, GHR, IFNA5, IL15RA, PDGFRA, CCL8, XCL1, TGFBR2, CXCR4"
"Osteoclast differentiation",0.318,1,1,126,7,"AKT1, GRB2, JAK1, LCP2, RELA, TGFBR2, IKBKG"
"Neuroactive ligand-receptor interaction",0.32,1,1,274,14,"CHRM2, AGTR2, LPAR1, EDNRA, GABBR1, GABRA2, GABRP, GHR, NPBWR1, HTR1F, MTNR1A, OPRM1, RXFP3, C5AR1"
"GABAergic synapse",0.337,1,1,87,5,"GABARAPL2, GABBR1, GABRA2, GABRP, GNG2"
"TNF signaling pathway",0.339,1,1,108,6,"CSF2, AKT1, RELA, IKBKG, FADD, CREB5"
"Intestinal immune network for IgA production",0.342,1,1,47,3,"IL15RA, ITGA4, CXCR4"
"Gap junction",0.345,1,1,88,5,"LPAR1, EGF, EGFR, GRB2, PDGFRA"
"Axon guidance",0.358,1,1,174,9,"SEMA3A, ARHGEF12, NFATC3, PAK2, SSH1, CXCR4, ABLIM2, PARD6B, CDC42"
"Sulfur metabolism",0.363,1,1,10,1,"CYCS"
"Circadian rhythm",0.383,1,1,30,2,"FBXW11, BTRC"
"Citrate cycle (TCA cycle)",0.383,1,1,30,2,"MDH2, PCK2"
"Platinum drug resistance",0.391,1,1,72,4,"ABCC2, AKT1, CYCS, FADD"
"Sphingolipid signaling pathway",0.403,1,1,116,6,"AKT1, FCER1A, PPP2R2A, PTEN, RELA, SPHK1"
"Hematopoietic cell lineage",0.407,1,1,95,5,"CSF2, ITGA4, CD4, CD8B, CD34"
"Apoptosis - multiple species",0.414,1,1,32,2,"CYCS, FADD"
"Wnt signaling pathway",0.428,1,1,141,7,"CSNK2A2, DVL2, EP300, FBXW11, NFATC3, SENP2, BTRC"
"AGE-RAGE signaling pathway in diabetic complications",0.442,1,1,99,5,"AKT1, VEGFD, RELA, TGFBR2, CDC42"
"Natural killer cell mediated cytotoxicity",0.458,1,1,123,6,"CSF2, GRB2, IFNA5, KLRC2, LCP2, SHC4"
"Complement and coagulation cascades",0.461,1,1,79,4,"CFD, SERPINF2, C3, C5AR1"
"Purine metabolism",0.462,1,1,168,8,"POLR3F, POLR3A, TWISTNB, ZNRD1, POLR2E, POLR2J, POLR3D, ENTPD3"
"Toll-like receptor signaling pathway",0.468,1,1,102,5,"AKT1, IFNA5, RELA, IKBKG, FADD"
"VEGF signaling pathway",0.473,1,1,58,3,"AKT1, SPHK1, CDC42"
"Hippo signaling pathway",0.478,1,1,148,7,"DVL2, FBXW11, PPP2R2A, TGFBR2, PARD6B, AJUBA, BTRC"
"mRNA surveillance pathway",0.49,1,1,82,4,"ETF1, NCBP2, PPP2R2A, PABPN1"
"Leukocyte transendothelial migration",0.511,1,1,107,5,"CDH5, ITGA4, RAP1B, CXCR4, CDC42"
"Ferroptosis",0.517,1,1,39,2,"ATG7, MAP1LC3A"
"Cholinergic synapse",0.552,1,1,112,5,"CHRM2, AKT1, GNG2, KCNQ5, CREB5"
"Glycolysis / Gluconeogenesis",0.561,1,1,66,3,"GCK, PCK2, LDHAL6B"
"Signaling pathways regulating pluripotency of stem cells",0.564,1,1,137,6,"DVL2, AKT1, FGF2, GRB2, HOXB1, JAK1"
"NF-kappa B signaling pathway",0.582,1,1,92,4,"MALT1, CSNK2A2, RELA, IKBKG"
"Nucleotide excision repair",0.583,1,1,44,2,"ERCC3, RPA2"
"Cysteine and methionine metabolism",0.583,1,1,44,2,"MDH2, LDHAL6B"
"Tight junction",0.588,1,1,164,7,"CTTN, HSPA4, PPP2R2A, TIAM1, PARD6B, ARHGEF2, CDC42"
"PPAR signaling pathway",0.601,1,1,70,3,"LPL, MMP1, PCK2"
"Hedgehog signaling pathway",0.608,1,1,46,2,"FBXW11, BTRC"
"Type II diabetes mellitus",0.608,1,1,46,2,"MTOR, GCK"
"Mineral absorption",0.619,1,1,47,2,"SLC46A1, TRPM7"
"Platelet activation",0.629,1,1,122,5,"AKT1, ARHGEF12, MYLK4, LCP2, RAP1B"
"Renin-angiotensin system",0.645,1,1,23,1,"AGTR2"
"Mismatch repair",0.645,1,1,23,1,"RPA2"
"Proximal tubule bicarbonate reclamation",0.645,1,1,23,1,"PCK2"
"Vitamin digestion and absorption",0.661,1,1,24,1,"SLC46A1"
"Calcium signaling pathway",0.686,1,1,180,7,"CHRM2, EDNRA, EGFR, MYLK4, ITPKA, PDGFRA, SPHK1"
"Maturity onset diabetes of the young",0.69,1,1,26,1,"GCK"
"Taste transduction",0.699,1,1,81,3,"GABBR1, GABRA2, HTR1F"
"Hippo signaling pathway - multiple species",0.704,1,1,27,1,"AJUBA"
"Glyoxylate and dicarboxylate metabolism",0.704,1,1,27,1,"MDH2"
"TGF-beta signaling pathway",0.707,1,1,82,3,"EP300, RPS6KB1, TGFBR2"
"cGMP-PKG signaling pathway",0.719,1,1,161,6,"EDNRA, AKT1, MYLK4, MEF2C, NFATC3, CREB5"
"Oocyte meiosis",0.72,1,1,110,4,"FBXW11, MOS, ANAPC11, BTRC"
"Lysine degradation",0.732,1,1,58,2,"EHMT1, SETD7"
"Cell adhesion molecules (CAMs)",0.739,1,1,139,5,"CDH5, ITGA4, CD4, CD8B, CD34"
"Synaptic vesicle cycle",0.749,1,1,60,2,"AP2M1, ATP6V1H"
"Progesterone-mediated oocyte maturation",0.751,1,1,88,3,"AKT1, MOS, ANAPC11"
"Galactose metabolism",0.753,1,1,31,1,"GCK"
"Adrenergic signaling in cardiomyocytes",0.762,1,1,143,5,"AGTR2, AKT1, PPP2R2A, CACNG1, CREB5"
"Propanoate metabolism",0.764,1,1,32,1,"LDHAL6B"
"Non-alcoholic fatty liver disease (NAFLD)",0.767,1,1,144,5,"AKT1, CYCS, RELA, EIF2AK3, CDC42"
"GnRH signaling pathway",0.771,1,1,91,3,"EGFR, GRB2, CDC42"
"Starch and sucrose metabolism",0.784,1,1,34,1,"GCK"
"Cell cycle",0.787,1,1,121,4,"EP300, HDAC1, ANAPC11, TFDP2"
"Phagosome",0.787,1,1,148,5,"SEC61B, SEC61A1, ATP6V1H, C3, HGS"
"Long-term potentiation",0.801,1,1,67,2,"EP300, RAP1B"
"Oxytocin signaling pathway",0.802,1,1,151,5,"EGFR, MYLK4, MEF2C, NFATC3, CACNG1"
"DNA replication",0.803,1,1,36,1,"RPA2"
"p53 signaling pathway",0.808,1,1,68,2,"CYCS, PTEN"
"Dopaminergic synapse",0.827,1,1,129,4,"AKT1, GNG2, PPP2R2A, CREB5"
"Necroptosis",0.828,1,1,157,5,"IFNA5, JAK1, TRPM7, RNF31, FADD"
"Homologous recombination",0.843,1,1,41,1,"RPA2"
"Carbohydrate digestion and absorption",0.85,1,1,42,1,"AKT1"
"Basal transcription factors",0.857,1,1,43,1,"ERCC3"
"ABC transporters",0.863,1,1,44,1,"ABCC2"
"Vasopressin-regulated water reabsorption",0.863,1,1,44,1,"CREB5"
"Drug metabolism - other enzymes",0.869,1,1,45,1,"CDA"
"Sphingolipid metabolism",0.875,1,1,46,1,"SPHK1"
"Amino sugar and nucleotide sugar metabolism",0.88,1,1,47,1,"GCK"
"Endocrine and other factor-regulated calcium reabsorption",0.88,1,1,47,1,"AP2M1"
"Fanconi anemia pathway",0.886,1,1,48,1,"RPA2"
"Insulin secretion",0.887,1,1,83,2,"GCK, CREB5"
"Vascular smooth muscle contraction",0.898,1,1,118,3,"EDNRA, ARHGEF12, MYLK4"
"Lysosome",0.91,1,1,122,3,"AP3S2, CTSZ, ATP6V1H"
"Regulation of lipolysis in adipocytes",0.913,1,1,54,1,"AKT1"
"Circadian entrainment",0.929,1,1,96,2,"MTNR1A, GNG2"
"Glycerolipid metabolism",0.931,1,1,59,1,"LPL"
"Melanogenesis",0.941,1,1,101,2,"DVL2, EP300"
"Renin secretion",0.947,1,1,65,1,"EDNRA"
"Retrograde endocannabinoid signaling",0.958,1,1,145,3,"GABRA2, GABRP, GNG2"
"Bile secretion",0.96,1,1,71,1,"ABCC2"
"Serotonergic synapse",0.96,1,1,111,2,"HTR1F, GNG2"
"Thyroid hormone synthesis",0.963,1,1,73,1,"CREB5"
"Carbon metabolism",0.963,1,1,113,2,"GCK, MDH2"
"Gastric acid secretion",0.965,1,1,74,1,"MYLK4"
"Cardiac muscle contraction",0.966,1,1,75,1,"CACNG1"
"ECM-receptor interaction",0.976,1,1,82,1,"ITGA4"
"Aldosterone synthesis and secretion",0.976,1,1,82,1,"CREB5"
"Glycerophospholipid metabolism",0.986,1,1,94,1,"LYPLA2"
"Pancreatic secretion",0.987,1,1,96,1,"RAP1B"
"Glutamatergic synapse",0.994,1,1,113,1,"GNG2"
"Oxidative phosphorylation",0.997,1,1,128,1,"ATP6V1H"
"Caffeine metabolism",1,1,1,5,0,""
"Metabolic pathways",1,1,1,1227,31,"PIGK, POLR3F, POLR3A, DDOST, TWISTNB, PIP5K1C, GCK, ALG6, ZNRD1, INPP4A, STT3A, ITPKA, MAN2A1, MDH2, MGAT1, PCK2, ATP6V1H, PIGH, CYCS, POLR2E, POLR2J, INPP5E, MTMR14, ST6GAL1, POLR3D, PIGY, GPAA1, DPM1, SPHK1, LDHAL6B, CDA"
"Primary bile acid biosynthesis",1,1,1,17,0,""
"Peroxisome",1,1,1,79,0,""
"Protein digestion and absorption",1,1,1,88,0,""
"Base excision repair",1,1,1,33,0,""
"Aminoacyl-tRNA biosynthesis",1,1,1,42,0,""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,1,20,0,""
"Non-homologous end-joining",1,1,1,13,0,""
"Nicotinate and nicotinamide metabolism",1,1,1,28,0,""
"Glycosaminoglycan biosynthesis - keratan sulfate",1,1,1,14,0,""
"Retinol metabolism",1,1,1,61,0,""
"Ubiquinone and other terpenoid-quinone biosynthesis",1,1,1,10,0,""
"Folate biosynthesis",1,1,1,26,0,""
"Phenylalanine metabolism",1,1,1,17,0,""
"Terpenoid backbone biosynthesis",1,1,1,21,0,""
"Collecting duct acid secretion",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - lacto and neolacto series",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,1,14,0,""
"Pentose and glucuronate interconversions",1,1,1,31,0,""
"Mannose type O-glycan biosynthesis",1,1,1,22,0,""
"Taurine and hypotaurine metabolism",1,1,1,11,0,""
"Phosphonate and phosphinate metabolism",1,1,1,6,0,""
"Ether lipid metabolism",1,1,1,44,0,""
"Fatty acid elongation",1,1,1,23,0,""
"Fatty acid degradation",1,1,1,43,0,""
"Valine, leucine and isoleucine degradation",1,1,1,48,0,""
"Fatty acid metabolism",1,1,1,47,0,""
"Fat digestion and absorption",1,1,1,41,0,""
"Steroid biosynthesis",1,1,1,20,0,""
"Selenocompound metabolism",1,1,1,17,0,""
"One carbon pool by folate",1,1,1,18,0,""
"Long-term depression",1,1,1,59,0,""
"Inflammatory mediator regulation of TRP channels",1,1,1,96,0,""
"Ovarian steroidogenesis",1,1,1,49,0,""
"Salivary secretion",1,1,1,86,0,""
"Ascorbate and aldarate metabolism",1,1,1,26,0,""
"Steroid hormone biosynthesis",1,1,1,56,0,""
"Porphyrin and chlorophyll metabolism",1,1,1,40,0,""
"Metabolism of xenobiotics by cytochrome P450",1,1,1,69,0,""
"Drug metabolism - cytochrome P450",1,1,1,66,0,""
"Arachidonic acid metabolism",1,1,1,60,0,""
"Olfactory transduction",1,1,1,107,0,""
"Other glycan degradation",1,1,1,18,0,""
"Histidine metabolism",1,1,1,24,0,""
"Glycosaminoglycan degradation",1,1,1,19,0,""
"Biosynthesis of unsaturated fatty acids",1,1,1,21,0,""
"Glycine, serine and threonine metabolism",1,1,1,38,0,""
"Valine, leucine and isoleucine biosynthesis",1,1,1,4,0,""
"Biosynthesis of amino acids",1,1,1,69,0,""
"Lipoic acid metabolism",1,1,1,2,0,""
"Linoleic acid metabolism",1,1,1,28,0,""
"alpha-Linolenic acid metabolism",1,1,1,24,0,""
"Tryptophan metabolism",1,1,1,39,0,""
"Mucin type O-glycan biosynthesis",1,1,1,29,0,""
"Nitrogen metabolism",1,1,1,17,0,""
"Arginine and proline metabolism",1,1,1,48,0,""
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,1,24,0,""
"Butanoate metabolism",1,1,1,27,0,""
"Glutathione metabolism",1,1,1,51,0,""
"Thiamine metabolism",1,1,1,15,0,""
"Alanine, aspartate and glutamate metabolism",1,1,1,35,0,""
"Tyrosine metabolism",1,1,1,35,0,""
"Phototransduction",1,1,1,28,0,""
"Pentose phosphate pathway",1,1,1,29,0,""
"Type I diabetes mellitus",1,1,1,43,0,""
"Arginine biosynthesis",1,1,1,20,0,""
"2-Oxocarboxylic acid metabolism",1,1,1,17,0,""
"D-Arginine and D-ornithine metabolism",1,1,1,1,0,""
"beta-Alanine metabolism",1,1,1,31,0,""
"Pantothenate and CoA biosynthesis",1,1,1,18,0,""
"Fructose and mannose metabolism",1,1,1,33,0,""
"Fatty acid biosynthesis",1,1,1,13,0,""
"Aldosterone-regulated sodium reabsorption",1,1,1,37,0,""
"Glycosphingolipid biosynthesis - ganglio series",1,1,1,15,0,""
"Phenylalanine, tyrosine and tryptophan biosynthesis",1,1,1,5,0,""
"D-Glutamine and D-glutamate metabolism",1,1,1,4,0,""
"Sulfur relay system",1,1,1,8,0,""
"Vitamin B6 metabolism",1,1,1,5,0,""
"Biotin metabolism",1,1,1,3,0,""
"Synthesis and degradation of ketone bodies",1,1,1,10,0,""
"Riboflavin metabolism",1,1,1,8,0,""
