Pathway,pVal,pValFDR,pValBonferroni,Genes,HitGenes,HighScoreGenes,HighScoreGenesNames,MedScoreGenesNames,EnrichScore
TNF signaling pathway,0.001,0.015,0.162,108,25,10,"DNM1L, CREB1, JAG1, TAB2, ICAM1, JUN, MAP3K7, TNFRSF1A, PIK3R3, CFLAR","CREB3, MAP3K8, ATF6B, CSF2, EDN1, PGAM5, TAB3, IKBKB, IL1B, MAPK13, MAP2K6, RELA, BCL3, RIPK1, CREB3L1",0.316
Rap1 signaling pathway,0.001,0.015,0.183,210,41,10,"CSF1R, CTNND1, FGF7, FGFR3, ITGB3, KRAS, PLCE1, PDGFRB, RAP1A, PIK3R3","RAPGEF3, DRD2, EFNA2, EGFR, FGF8, FGF9, FGF10, FGF12, MRAS, FLT4, LAT, GNAI3, GNAO1, LPAR4, PFN3, ITGAM, ITGB1, NGFR, PDGFRA, PFN1, PLCB4, PRKD1, MAPK13, MAP2K6, PARD3, BRAF, TLN2, PARD6G, SKAP1, RAPGEF5, CDC42",0.22
NOD-like receptor signaling pathway,0.001,0.02,0.266,168,34,11,"DNM1L, NAMPT, IRF9, TAB2, GBP2, JUN, MYD88, BCL2L1, STAT1, MAP3K7, TLR4","TXNIP, GABARAPL2, ANTXR2, TICAM1, TAB3, PYDC1, IFNA13, IFNA14, IFNA16, IKBKB, IL1B, CXCL8, ITPR3, MEFV, NFKBIB, PLCB4, MAPK13, NLRC4, RELA, NLRX1, GSDMD, RIPK1, NLRP12",0.263
cAMP signaling pathway,0.002,0.025,0.392,198,38,11,"CREB1, ADRB2, GRIA3, HTR1A, HTR6, JUN, ATP1B3, PLCE1, GHRL, RAP1A, PIK3R3","RAPGEF3, CREB3, CFTR, CHRM2, GRIN3A, GRIN3B, ADCYAP1R1, CNGA1, DRD2, DRD5, ATP1B4, GNAI3, GRIN2D, HCAR2, MC2R, ATP1A3, ATP1B2, NPY, ATP2B3, PDE3B, PDE4C, PTGER2, RELA, BRAF, CACNA1C, ORAI1, CREB3L1",0.241
Osteoclast differentiation,0.002,0.025,0.399,127,27,13,"IRF9, CREB1, CSF1R, CYLD, FHL2, TAB2, ITGB3, JUN, SPI1, STAT1, MAP3K7, TNFRSF1A, PIK3R3","SIRPB1, LILRA5, IKBKB, IL1A, IL1B, PPP3R2, MAPK13, MAP2K6, RELA, SYK, TGFB2, CALCR, TNFRSF11A, GAB2",0.347
Chemokine signaling pathway,0.002,0.025,0.401,185,36,9,"CCR8, GNG4, KRAS, PXN, RAP1A, CCL7, STAT1, CXCR4, PIK3R3","CXCL13, CX3CR1, PTK2B, SHC2, GNAI3, GNG3, GNG10, CXCR3, GRK4, GSK3A, IKBKB, CXCL8, NFKBIB, PF4, PLCB4, PARD3, RELA, CCL3, CCL13, CCL15, CCL18, CXCL11, CXCR5, BRAF, XCL2, CDC42",0.222
AGE-RAGE signaling pathway in diabetic complications,0.002,0.034,0.584,99,22,9,"COL1A2, EGR1, ICAM1, JUN, KRAS, SMAD4, PLCE1, STAT1, PIK3R3","COL4A2, COL4A3, DIAPH1, AGER, EDN1, IL1A, IL1B, CXCL8, PLCB4, MAPK13, RELA, TGFB2, CDC42",0.316
RIG-I-like receptor signaling pathway,0.003,0.037,0.666,70,17,3,"CYLD, IL12A, MAP3K7","DDX3X, IFNA13, IFNA14, IFNA16, IKBKB, CXCL8, NFKBIB, OTUD5, MAPK13, RELA, IFIH1, NLRX1, RIPK1, ISG15",0.21
Focal adhesion,0.003,0.038,0.729,198,37,11,"COL1A2, ITGB3, JUN, ARHGAP5, PDGFRB, PXN, RAP1A, PIK3R3, MYLK2, CCND2, CCND3","COL4A2, COL4A3, COL6A1, DIAPH1, EGFR, FLT4, PIP5K1C, SHC2, MYLPF, TNC, ITGA1, ITGA5, ITGAV, ITGB1, LAMA4, LAMA5, PDGFRA, PDPK1, MYL7, TNN, BRAF, VCL, CAPN2, TLN2, CAV3, CDC42",0.242
Neuroactive ligand-receptor interaction,0.004,0.047,0.949,277,48,8,"CHRNA4, ADORA3, ADRB2, GABRB2, GRIA3, HTR1A, HTR6, TACR1","CGA, CHRM2, CHRNA5, CHRNB4, CHRND, GRIN3A, GRIN3B, ADCYAP1R1, LTB4R, DRD2, DRD5, FPR3, GABRA2, GABRA5, GABRA6, GABRB3, GABRE, GH2, NPBWR2, LPAR4, MLNR, GRIN2D, HRH2, MC2R, MTNR1B, OPRM1, P2RY11, AVPR1A, PRL, PARD3, NMUR2, PTGER2, PTGIR, BDKRB1, BDKRB2, SSTR4, TACR3, VIPR1, CALCR, S1PR2",0.17
Vasopressin-regulated water reabsorption,0.004,0.048,1,44,12,2,"CREB1, AQP4","CREB3, DYNC1H1, DYNC1I1, DYNC1I2, ARHGDIB, DCTN4, DYNC2LI1, RAB5A, DYNLL1, CREB3L1",0.22
Relaxin signaling pathway,0.005,0.053,1,130,26,6,"COL1A2, CREB1, GNG4, JUN, KRAS, PIK3R3","CREB3, RLN3, COL4A2, COL4A3, ATF6B, EDN1, EGFR, SHC2, GNA15, GNAI3, GNAO1, GNG3, GNG10, INSL3, PLCB4, MAPK13, ACTA2, RELA, RLN2, CREB3L1",0.215
Ras signaling pathway,0.005,0.059,1,226,40,13,"RASA4, CSF1R, FGF7, FGFR3, GNG4, KRAS, PLCE1, PDGFRB, RAP1A, BCL2L1, PIK3R3, JMJD7-PLA2G4B, RASAL2","EFNA2, EGFR, FGF8, FGF9, FGF10, FGF12, MRAS, RASA3, FLT4, SHC2, PLA2G2D, LAT, GNG3, GNG10, KSR2, PLA2G4D, IKBKB, NGFR, PDGFRA, PLA2G4A, RAB5A, RELA, BRAP, PLA2G6, RAPGEF5, GAB2, CDC42",0.251
Thyroid hormone signaling pathway,0.008,0.079,1,116,23,10,"RCAN2, SLC16A10, HDAC2, ITGB3, KRAS, ATP1B3, PLCE1, SLC2A1, STAT1, PIK3R3","ATP1B4, SIN3A, ITGAV, MYH6, ATP1A3, ATP1B2, NOTCH4, PDPK1, PLCB4, SLCO1C1, KAT2B, MED14, TBC1D4",0.317
Renin secretion,0.008,0.079,1,65,15,2,"CREB1, ADRB2","ADCYAP1R1, ACE, AGT, GNAI3, GUCY1B3, ITPR3, PDE3B, PDE1B, PLCB4, PPP3R2, PTGER2, CACNA1C, ORAI1",0.182
"Valine, leucine and isoleucine degradation",0.009,0.079,1,48,12,4,"ABAT, ALDH3A2, HMGCL, IVD","DBT, DLD, ALDH2, IL4I1, HADHA, HMGCS1, HMGCS2, ACADSB",0.292
Notch signaling pathway,0.009,0.079,1,48,12,5,"JAG1, DTX1, SNW1, NCSTN, HDAC2","RBPJ, MFNG, NOTCH4, APH1A, MAML2, KAT2B, NUMBL",0.333
Aldosterone-regulated sodium reabsorption,0.009,0.08,1,37,10,3,"KRAS, ATP1B3, PIK3R3","ATP1B4, SFN, ATP1A3, ATP1B2, PDPK1, SCNN1A, SCNN1G",0.285
Phagosome,0.01,0.086,1,151,28,9,"HLA-DQA2, ITGB3, ATP6V0A4, ATP6V1B2, ATP6AP1, TLR4, TUBA1A, ATP6V0E1, CD14","TCIRG1, DYNC1H1, DYNC1I1, DYNC1I2, SEC61A1, ITGA5, ITGAM, ITGAV, ITGB1, LAMP1, MSR1, STX18, RAB5A, CLEC7A, TAP1, TLR2, TUBA4A, CALR, RILP",0.253
Serotonergic synapse,0.011,0.091,1,112,22,6,"GABRB2, GNG4, HTR1A, HTR6, KRAS, JMJD7-PLA2G4B","RAPGEF3, ALOX5, ALOX15, GABRB3, GNAI3, GNAO1, GNG3, GNG10, PLA2G4D, HTR3A, ITPR3, PLA2G4A, PLCB4, SLC18A2, BRAF, CACNA1C",0.235
Ether lipid metabolism,0.014,0.107,1,45,11,3,"CEPT1, LPCAT4, JMJD7-PLA2G4B","ENPP6, PLA2G2D, PLA2G4D, PAFAH1B3, PAFAH2, PLA2G4A, PLA2G6",0.259
Synaptic vesicle cycle,0.014,0.107,1,63,14,4,"STX1B, ATP6V0A4, ATP6V1B2, ATP6V0E1","TCIRG1, CLTA, CLTC, DNM1, SLC17A8, CPLX4, SLC17A6, SLC18A2, STX1A, SYT1",0.254
Hematopoietic cell lineage,0.016,0.121,1,96,19,7,"CSF1R, HLA-DQA2, IL3, IL3RA, ITGB3, THPO, CD14","CSF2, DNTT, EPO, GP1BA, IL1A, IL1B, ITGA1, ITGA5, ITGAM, MME, CD33, CD37",0.283
Protein digestion and absorption,0.017,0.124,1,90,18,5,"SLC16A10, COL1A2, COL17A1, ATP1B3, SLC7A7","SLC7A9, COL4A2, COL4A3, COL6A1, COL10A1, CTRB1, ATP1B4, KCNQ1, MEP1A, MME, ATP1A3, ATP1B2, SLC3A2",0.239
Insulin secretion,0.02,0.142,1,85,17,3,"CREB1, ATP1B3, SLC2A1","CREB3, ADCYAP1R1, ATF6B, ATP1B4, GNA11, ITPR3, KCNJ11, KCNN1, ATP1A3, ATP1B2, PLCB4, STX1A, CACNA1C, CREB3L1",0.188
Long-term depression,0.021,0.146,1,60,13,4,"GRIA3, KRAS, PPP2CB, JMJD7-PLA2G4B","GNA11, GNAI3, GNAO1, PLA2G4D, GUCY1B3, ITPR3, PLA2G4A, PLCB4, BRAF",0.262
Fc epsilon RI signaling pathway,0.023,0.156,1,67,14,4,"IL3, KRAS, PIK3R3, JMJD7-PLA2G4B","CSF2, ALOX5, LAT, PLA2G4D, PDPK1, PLA2G4A, MAPK13, MAP2K6, SYK, GAB2",0.247
T cell receptor signaling pathway,0.029,0.19,1,102,19,5,"JUN, KRAS, NFKBIE, MAP3K7, PIK3R3","MAP3K8, CSF2, LAT, IKBKB, NFKBIB, PDPK1, PPP3R2, MAPK13, PTPN6, PTPRC, RELA, CARD11, CD28, CDC42",0.225
Adrenergic signaling in cardiomyocytes,0.031,0.196,1,144,25,7,"CREB1, ADRB2, ATP1B3, PPP2CB, PPP2R5E, CACNA2D1, CACNB4","RAPGEF3, CREB3, ATF6B, ATP1B4, GNAI3, KCNE1, KCNQ1, MYH6, ATP1A3, ATP1B2, ATP2B3, PLCB4, PPP2R5A, MAPK13, TNNT2, CACNA1C, CREB3L1, CACNA2D2",0.227
Base excision repair,0.035,0.216,1,33,8,1,POLD4,"POLD3, PARP1, LIG1, MUTYH, PCNA, POLB, POLE",0.184
Sphingolipid signaling pathway,0.036,0.216,1,118,21,9,"SGPP2, ADORA3, KRAS, ASAH1, PPP2CB, PPP2R5E, TNFRSF1A, PIK3R3, SGPL1","CTSD, CERS3, GNAI3, PDPK1, PLCB4, PPP2R5A, MAPK13, RELA, BDKRB2, SMPD2, S1PR2, GAB2",0.303
GnRH signaling pathway,0.04,0.237,1,92,17,3,"JUN, KRAS, JMJD7-PLA2G4B","CGA, EGFR, PTK2B, GNA11, GNRH2, PLA2G4D, ITPR3, MAP3K3, PLA2G4A, PLCB4, MAPK13, MAP2K6, CACNA1C, CDC42",0.181
Lysine degradation,0.041,0.237,1,59,12,6,"EHMT2, ALDH3A2, SUV39H1, SUV39H2, EHMT1, PLOD3","EZH1, ALDH2, HADHA, ASH1L, SETMAR",0.352
Jak-STAT signaling pathway,0.044,0.247,1,156,26,10,"IRF9, IL3, IL3RA, IL12A, BCL2L1, STAT1, THPO, PIK3R3, CCND2, CCND3","CNTFR, CSF2, EPO, GH2, IL19, IFNA13, IFNA14, IFNA16, IL12RB2, IL21R, IL22, PRL, PTPN2, PTPN6, SOCS2, IL27RA",0.276
