"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"RNA transport",0,0,0.003,166,30,"EIF1, SRRM1, NXF1, EIF2S1, EIF2S3, EIF4A1, EIF4B, EIF4G1, EIF4G2, ACIN1, NUP188, NXT1, NUP43, THOC2, RANBP2, RANGAP1, SUMO3, UBE2I, THOC7, RAE1, EIF3A, EIF3B, EIF3I, EIF3J, PABPC4, EIF2B3, EIF2S2, NUP155, RBM8A, THOC1"
"Cytokine-cytokine receptor interaction",0,0,0.003,270,42,"CXCL13, CCR8, CNTFR, CSF1R, CSF2, CX3CR1, EGFR, EPO, FLT4, GH2, CXCR3, IL19, IFNA13, IFNA14, IFNA16, IL1A, IL1B, IL3, IL3RA, CXCL8, IL12A, IL12RB2, IL17A, NGFR, IL21R, IL22, PDGFRA, PDGFRB, PF4, PRL, CCL3, CCL13, CXCL11, CXCR5, BMPR1B, XCL2, TGFB2, THPO, TNFRSF1A, CXCR4, PLEKHO2, TNFRSF11A"
"Focal adhesion",0,0.001,0.007,198,33,"COL1A2, COL4A2, COL4A3, COL6A1, DIAPH1, EGFR, FLT4, PIP5K1C, SHC2, TNC, ITGA1, ITGA5, ITGAV, ITGB1, ITGB3, JUN, LAMA4, LAMA5, ARHGAP5, PDGFRA, PDGFRB, PDPK1, PXN, RAP1A, TNN, BRAF, VCL, CAPN2, PIK3R3, CAV3, CCND2, CCND3, CDC42"
"Thyroid hormone signaling pathway",0,0.001,0.007,116,23,"RCAN2, SLC16A10, ATP1B4, SIN3A, HDAC2, ITGAV, ITGB3, KRAS, MYH6, ATP1A3, ATP1B2, ATP1B3, NOTCH4, PLCE1, PDPK1, PLCB4, SLCO1C1, SLC2A1, STAT1, PIK3R3, KAT2B, MED14, TBC1D4"
"Ras signaling pathway",0,0.001,0.009,226,36,"RASA4, CSF1R, EFNA2, EGFR, FGF7, FGF8, FGF9, FGF10, FGF12, FGFR3, MRAS, RASA3, FLT4, SHC2, LAT, GNG3, GNG10, PLA2G4D, IKBKB, KRAS, NGFR, PLCE1, PDGFRA, PDGFRB, PLA2G4A, RAB5A, RAP1A, RELA, BCL2L1, BRAP, PIK3R3, JMJD7-PLA2G4B, RASAL2, RAPGEF5, GAB2, CDC42"
"Chemokine signaling pathway",0,0.001,0.011,185,31,"CXCL13, CCR8, CX3CR1, GRK2, PTK2B, SHC2, GNAI3, GNG3, GNG10, CXCR3, GSK3A, IKBKB, CXCL8, KRAS, NFKBIB, PF4, PLCB4, PARD3, PXN, RAP1A, RELA, CCL3, CCL13, CXCL11, CXCR5, BRAF, STAT1, XCL2, CXCR4, PIK3R3, CDC42"
"Regulation of actin cytoskeleton",0,0.002,0.026,211,33,"ARPC1B, CHRM2, DIAPH1, EGFR, SPATA13, FGF7, FGF8, FGF9, FGF10, FGF12, FGFR3, MRAS, PIP5K1C, GIT1, ITGA1, ITGA5, ITGAM, ITGAV, ITGB1, ITGB3, KRAS, MOS, PDGFRA, PDGFRB, PFN1, PXN, BDKRB1, BRAF, VCL, PIK3R3, CD14, ARHGEF6, CDC42"
"Jak-STAT signaling pathway",0,0.003,0.05,156,26,"IRF9, CNTFR, CSF2, EPO, GH2, IL19, IFNA13, IFNA14, IFNA16, IL3, IL3RA, IL12A, IL12RB2, IL21R, IL22, PRL, PTPN2, PTPN6, BCL2L1, STAT1, THPO, PIK3R3, SOCS2, CCND2, CCND3, IL27RA"
"Notch signaling pathway",0,0.003,0.066,48,12,"JAG1, DTX1, SNW1, NCSTN, HDAC2, RBPJ, MFNG, NOTCH4, APH1A, MAML2, KAT2B, NUMBL"
"RIG-I-like receptor signaling pathway",0,0.004,0.075,70,15,"CYLD, DDX3X, IFNA13, IFNA14, IFNA16, IKBKB, CXCL8, IL12A, NFKBIB, MAPK13, RELA, IFIH1, MAP3K7, RIPK1, ISG15"
"Apoptosis",0,0.005,0.115,138,23,"PARP1, CTSD, EIF2S1, ENDOG, BIRC5, IKBKB, IL3, IL3RA, ITPR3, JUN, KRAS, PDPK1, PMAIP1, DIABLO, RELA, BCL2L1, TNFRSF1A, TUBA4A, TUBA1A, CAPN2, PIK3R3, RIPK1, CFLAR"
"Relaxin signaling pathway",0,0.006,0.123,130,22,"CREB3, RLN3, COL1A2, COL4A2, COL4A3, CREB1, ATF6B, EDN1, EGFR, SHC2, GNA15, GNAI3, GNAO1, GNG3, GNG10, JUN, KRAS, PLCB4, MAPK13, RELA, PIK3R3, CREB3L1"
"Fc epsilon RI signaling pathway",0.001,0.007,0.154,67,14,"CSF2, ALOX5, LAT, PLA2G4D, IL3, KRAS, PDPK1, PLA2G4A, MAPK13, MAP2K6, SYK, PIK3R3, JMJD7-PLA2G4B, GAB2"
"NOD-like receptor signaling pathway",0.001,0.007,0.165,168,26,"DNM1L, IRF9, TICAM1, TAB2, TAB3, PYDC1, GBP2, IFNA13, IFNA14, IFNA16, IKBKB, IL1B, CXCL8, ITPR3, JUN, MYD88, NFKBIB, PLCB4, MAPK13, NLRC4, RELA, BCL2L1, STAT1, MAP3K7, TLR4, RIPK1"
"T cell receptor signaling pathway",0.001,0.009,0.237,102,18,"MAP3K8, CSF2, LAT, IKBKB, JUN, KRAS, NFKBIB, NFKBIE, PDPK1, PPP3R2, MAPK13, PTPN6, RELA, MAP3K7, CARD11, PIK3R3, CD28, CDC42"
"Th17 cell differentiation",0.002,0.016,0.418,107,18,"GATA3, LAT, HLA-DQA2, IKBKB, IL1B, IL17A, JUN, SMAD4, NFKBIB, NFKBIE, IL21R, IL22, PPP3R2, MAPK13, RELA, STAT1, RUNX1, IL27RA"
"ECM-receptor interaction",0.002,0.016,0.425,82,15,"COL1A2, COL4A2, COL4A3, COL6A1, GP1BA, TNC, ITGA1, ITGA5, ITGAV, ITGB1, ITGB3, AGRN, LAMA4, LAMA5, TNN"
"Lysine degradation",0.002,0.017,0.476,59,12,"EHMT2, EZH1, ALDH2, ALDH3A2, HADHA, KMT5B, ASH1L, SETMAR, SUV39H1, SUV39H2, EHMT1, PLOD3"
"GnRH signaling pathway",0.002,0.017,0.523,92,16,"EGFR, PTK2B, GNA11, GNRH2, PLA2G4D, ITPR3, JUN, KRAS, MAP3K3, PLA2G4A, PLCB4, MAPK13, MAP2K6, CACNA1C, JMJD7-PLA2G4B, CDC42"
"Th1 and Th2 cell differentiation",0.002,0.017,0.523,92,16,"JAG1, GATA3, LAT, HLA-DQA2, RBPJ, IKBKB, IL12A, IL12RB2, JUN, NFKBIB, NFKBIE, PPP3R2, MAPK13, RELA, STAT1, MAML2"
"Hematopoietic cell lineage",0.003,0.026,0.818,96,16,"CSF1R, CSF2, DNTT, EPO, GP1BA, HLA-DQA2, IL1A, IL1B, IL3, IL3RA, ITGA1, ITGA5, ITGAM, ITGB3, THPO, CD14"
"Necroptosis",0.004,0.035,1,163,23,"DNM1L, IRF9, PARP1, TICAM1, CYLD, PGAM5, ALOX15, PLA2G4D, IFNA13, IFNA14, IFNA16, IL1A, IL1B, PLA2G4A, H2AFY2, EIF2AK2, STAT1, TLR4, TNFRSF1A, CAPN2, JMJD7-PLA2G4B, RIPK1, CFLAR"
"VEGF signaling pathway",0.006,0.044,1,59,11,"SHC2, PLA2G4D, KRAS, PLA2G4A, PPP3R2, MAPK13, PXN, MAPKAPK3, PIK3R3, JMJD7-PLA2G4B, CDC42"
"Insulin secretion",0.006,0.046,1,85,14,"CREB3, CREB1, ATF6B, ATP1B4, GNA11, ITPR3, ATP1A3, ATP1B2, ATP1B3, PLCB4, SLC2A1, STX1A, CACNA1C, CREB3L1"
"Long-term depression",0.007,0.046,1,60,11,"GNA11, GNAI3, GNAO1, PLA2G4D, ITPR3, KRAS, PLA2G4A, PLCB4, PPP2CB, BRAF, JMJD7-PLA2G4B"
"Vasopressin-regulated water reabsorption",0.007,0.046,1,44,9,"CREB3, CREB1, DYNC1H1, DYNC1I1, DYNC1I2, ARHGDIB, RAB5A, DYNLL1, CREB3L1"
"Aldosterone-regulated sodium reabsorption",0.007,0.049,1,37,8,"ATP1B4, SFN, KRAS, ATP1A3, ATP1B2, ATP1B3, PDPK1, PIK3R3"
"Adrenergic signaling in cardiomyocytes",0.009,0.061,1,144,20,"CREB3, CREB1, ATF6B, ADRB2, ATP1B4, GNAI3, MYH6, ATP1A3, ATP1B2, ATP1B3, PLCB4, PPP2CB, PPP2R5A, PPP2R5E, MAPK13, CACNA1C, CACNA2D1, CACNB4, CREB3L1, CACNA2D2"
"Estrogen signaling pathway",0.01,0.062,1,98,15,"CREB3, CREB1, ATF6B, EGFR, SHC2, GNAI3, GNAO1, ITPR3, JUN, KRAS, OPRM1, PLCB4, SP1, PIK3R3, CREB3L1"
"Neurotrophin signaling pathway",0.012,0.075,1,119,17,"SHC2, IKBKB, IRAK1, JUN, KRAS, ARHGDIB, MAP3K3, NFKBIB, NFKBIE, NGFR, PDPK1, MAPK13, RAP1A, RELA, BRAF, PIK3R3, CDC42"
"Apoptosis - multiple species",0.013,0.078,1,33,7,"BIRC8, BIRC5, NGFR, PMAIP1, DIABLO, BCL2L1, TNFRSF1A"
"Base excision repair",0.013,0.078,1,33,7,"POLD3, PARP1, LIG1, PCNA, POLB, POLE, POLD4"
"Phagosome",0.015,0.088,1,151,20,"DYNC1H1, DYNC1I1, DYNC1I2, HLA-DQA2, ITGA5, ITGAM, ITGAV, ITGB1, ITGB3, MSR1, ATP6V1B2, RAB5A, CLEC7A, TAP1, TLR2, TLR4, TUBA4A, TUBA1A, RILP, CD14"
"Cell cycle",0.018,0.1,1,124,17,"E2F3, SFN, HDAC2, SMAD4, PCNA, PLK1, RAD21, BUB1B, TGFB2, YWHAG, YWHAH, CCND2, CCND3, CCNE1, CCNB2, CDC25B, CDC25C"
"B cell receptor signaling pathway",0.021,0.115,1,70,11,"IKBKB, JUN, KRAS, NFKBIB, NFKBIE, PPP3R2, PTPN6, RELA, SYK, CARD11, PIK3R3"
"Ether lipid metabolism",0.023,0.126,1,45,8,"CEPT1, ENPP6, LPCAT4, PLA2G4D, PAFAH1B3, PAFAH2, PLA2G4A, JMJD7-PLA2G4B"
"Protein digestion and absorption",0.024,0.128,1,90,13,"SLC7A9, SLC16A10, COL1A2, COL4A2, COL4A3, COL6A1, COL10A1, COL17A1, ATP1B4, ATP1A3, ATP1B2, ATP1B3, SLC3A2"
"Dopaminergic synapse",0.027,0.14,1,130,17,"CREB3, CREB1, ATF6B, DRD2, GNAI3, GNAO1, GNG3, GNG10, GSK3A, ITPR3, PLCB4, PPP2CB, PPP2R5A, PPP2R5E, MAPK13, CACNA1C, CREB3L1"
"Serotonergic synapse",0.03,0.146,1,112,15,"ALOX5, ALOX15, GNAI3, GNAO1, GNG3, GNG10, PLA2G4D, HTR1A, ITPR3, KRAS, PLA2G4A, PLCB4, BRAF, CACNA1C, JMJD7-PLA2G4B"
"Thyroid hormone synthesis",0.03,0.146,1,74,11,"CREB3, CREB1, ATF6B, ATP1B4, HSPA5, ITPR3, ATP1A3, ATP1B2, ATP1B3, PLCB4, CREB3L1"
"Endocrine and other factor-regulated calcium reabsorption",0.03,0.146,1,47,8,"CLTA, CLTC, DNM1, ATP1B4, ATP1A3, ATP1B2, ATP1B3, PLCB4"
"IL-17 signaling pathway",0.031,0.146,1,93,13,"CSF2, TAB2, TAB3, IKBKB, IL1B, CXCL8, IL17A, JUN, MAPK13, RELA, S100A8, SRSF1, MAP3K7"
"Mismatch repair",0.031,0.146,1,23,5,"POLD3, LIG1, MSH2, PCNA, POLD4"
"Valine, leucine and isoleucine degradation",0.033,0.152,1,48,8,"DLD, ABAT, ALDH2, ALDH3A2, HADHA, HMGCS2, ACADSB, IVD"
"Phospholipase D signaling pathway",0.037,0.167,1,145,18,"DNM1, EGFR, PTK2B, MRAS, PIP5K1C, SHC2, PLA2G4D, CXCL8, KRAS, PDGFRA, PDGFRB, PLA2G4A, PLCB4, AVPR1A, SYK, PIK3R3, JMJD7-PLA2G4B, GAB2"
"cAMP signaling pathway",0.04,0.176,1,198,23,"CREB3, CFTR, CHRM2, CREB1, ADRB2, DRD2, ATP1B4, GNAI3, GRIN2D, HTR1A, HCAR2, JUN, ATP1A3, ATP1B2, ATP1B3, NPY, PLCE1, RAP1A, RELA, BRAF, CACNA1C, PIK3R3, CREB3L1"
"Sphingolipid signaling pathway",0.045,0.196,1,118,15,"CTSD, GNAI3, KRAS, PDPK1, PLCB4, PPP2CB, PPP2R5A, PPP2R5E, MAPK13, RELA, SMPD2, TNFRSF1A, PIK3R3, S1PR2, GAB2"
"Prolactin signaling pathway",0.048,0.204,1,70,10,"SHC2, KRAS, MAPK13, PRL, RELA, STAT1, PIK3R3, TNFRSF11A, SOCS2, CCND2"
"Ribosome",0.053,0.225,1,131,16,"RPL26L1, RPL3, RPL3L, RPL4, RPL19, RPL23A, RPL24, RPL27, RPL31, RPL32, RPL36AL, RPL37, RPLP2, RPS2, RPS8, RPS27A"
"Aldosterone synthesis and secretion",0.057,0.231,1,82,11,"CREB3, CREB1, ATF6B, GNA11, NR4A1, ITPR3, LDLR, PLCB4, PRKD1, CACNA1C, CREB3L1"
"Cholinergic synapse",0.058,0.231,1,112,14,"CREB3, CHRM2, CREB1, GNA11, GNAI3, GNAO1, GNG3, GNG10, ITPR3, KRAS, PLCB4, CACNA1C, PIK3R3, CREB3L1"
"Leukocyte transendothelial migration",0.058,0.231,1,112,14,"CTNND1, PTK2B, GNAI3, ICAM1, ITGAM, ITGB1, ARHGAP5, MAPK13, PXN, RAP1A, VCL, CXCR4, PIK3R3, CDC42"
"Cytosolic DNA-sensing pathway",0.058,0.231,1,63,9,"IFNA13, IFNA14, IFNA16, IKBKB, IL1B, NFKBIB, POLR2F, RELA, RIPK1"
"Platelet activation",0.061,0.236,1,123,15,"COL1A2, FGA, GNAI3, GP1BA, PLA2G4D, ITGB1, ITGB3, ITPR3, PLA2G4A, PLCB4, MAPK13, RAP1A, SYK, PIK3R3, JMJD7-PLA2G4B"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",0.068,0.26,1,20,4,"B3GAT3, DSE, CHST12, CSGALNACT1"
"Mitophagy - animal",0.069,0.26,1,65,9,"CSNK2A2, PGAM5, MRAS, JUN, KRAS, RELA, BCL2L1, SP1, UBB"
"Calcium signaling pathway",0.079,0.295,1,181,20,"CHRM2, ADRB2, EGFR, PTK2B, GNA11, GNA15, GRIN2D, ITPR3, ATP2A1, PLCE1, PDGFRA, PDGFRB, PHKB, PLCB4, AVPR1A, PPP3R2, BDKRB1, TACR1, TACR3, CACNA1C"
"Gap junction",0.086,0.315,1,88,11,"DRD2, EGFR, GNA11, GNAI3, ITPR3, KRAS, PDGFRA, PDGFRB, PLCB4, TUBA4A, TUBA1A"
"Other types of O-glycan biosynthesis",0.091,0.329,1,22,4,"POFUT1, MFNG, OGT, PLOD3"
"mRNA surveillance pathway",0.097,0.346,1,90,11,"SRRM1, NXF1, PAPOLA, ACIN1, NXT1, PCF11, PPP2CB, PPP2R5A, PPP2R5E, PABPC4, RBM8A"
"Proximal tubule bicarbonate reclamation",0.104,0.364,1,23,4,"ATP1B4, ATP1A3, ATP1B2, ATP1B3"
"Adherens junction",0.113,0.392,1,72,9,"CSNK2A2, CTNND1, EGFR, SMAD4, PARD3, PTPN6, MAP3K7, VCL, CDC42"
"Glutamatergic synapse",0.115,0.393,1,114,13,"GRK2, GNAI3, GNAO1, GNG3, GNG10, PLA2G4D, GRIN2D, ITPR3, PLA2G4A, PLCB4, PPP3R2, CACNA1C, JMJD7-PLA2G4B"
"Cellular senescence",0.125,0.419,1,159,17,"E2F3, MRAS, IL1A, CXCL8, ITPR3, KRAS, PPP3R2, MAPK13, MAP2K6, RELA, TGFB2, CAPN2, PIK3R3, CCND2, CCND3, CCNE1, CCNB2"
"Natural killer cell mediated cytotoxicity",0.128,0.423,1,127,14,"CSF2, PTK2B, SHC2, LAT, ICAM1, IFNA13, IFNA14, IFNA16, KRAS, PPP3R2, PTPN6, BRAF, SYK, PIK3R3"
"Endocrine resistance",0.129,0.423,1,95,11,"JAG1, E2F3, EGFR, SHC2, JUN, KRAS, NOTCH4, MAPK13, SP1, BRAF, PIK3R3"
"Carbohydrate digestion and absorption",0.131,0.424,1,44,6,"ATP1B4, G6PC, ATP1A3, ATP1B2, ATP1B3, PIK3R3"
"Insulin resistance",0.138,0.44,1,107,12,"CREB3, CREB1, G6PC, IKBKB, PDPK1, RELA, SLC2A1, TNFRSF1A, OGT, PIK3R3, CREB3L1, TBC1D4"
"Renin secretion",0.14,0.44,1,65,8,"CREB1, ADRB2, AGT, GNAI3, ITPR3, PLCB4, PPP3R2, CACNA1C"
"Oxytocin signaling pathway",0.147,0.456,1,152,16,"EGFR, GNAI3, GNAO1, PLA2G4D, EEF2K, ITPR3, JUN, KRAS, PLA2G4A, PLCB4, PPP3R2, CACNA1C, CACNA2D1, CACNB4, JMJD7-PLA2G4B, CACNA2D2"
"DNA replication",0.152,0.459,1,36,5,"POLD3, LIG1, PCNA, POLE, POLD4"
"AMPK signaling pathway",0.153,0.459,1,120,13,"CREB3, CFTR, CREB1, G6PC, EEF2K, RAB14, PDPK1, PPP2CB, PPP2R5A, PPP2R5E, MAP3K7, PIK3R3, CREB3L1"
"Nucleotide excision repair",0.153,0.459,1,46,6,"POLD3, LIG1, PCNA, POLE, POLD4, XPA"
"HIF-1 signaling pathway",0.158,0.464,1,99,11,"EDN1, EGFR, EPO, ALDOA, GAPDH, ARNT, RELA, SLC2A1, TF, TLR4, PIK3R3"
"Long-term potentiation",0.158,0.464,1,67,8,"GRIN2D, ITPR3, KRAS, PLCB4, PPP3R2, RAP1A, BRAF, CACNA1C"
"Cardiac muscle contraction",0.162,0.469,1,78,9,"ATP1B4, MYH6, ATP1A3, ATP1B2, ATP1B3, CACNA1C, CACNA2D1, CACNB4, CACNA2D2"
"Longevity regulating pathway",0.164,0.471,1,89,10,"CREB3, EHMT2, CREB1, ATF6B, KRAS, RELA, EHMT1, PIK3R3, CREB3L1, ATG13"
"EGFR tyrosine kinase inhibitor resistance",0.171,0.483,1,79,9,"EGFR, FGFR3, SHC2, KRAS, PDGFRA, PDGFRB, BCL2L1, BRAF, PIK3R3"
"Adipocytokine signaling pathway",0.177,0.495,1,69,8,"G6PC, IKBKB, NFKBIB, NFKBIE, NPY, RELA, SLC2A1, TNFRSF1A"
"Linoleic acid metabolism",0.193,0.535,1,29,4,"ALOX15, PLA2G4D, PLA2G4A, JMJD7-PLA2G4B"
"Bile secretion",0.197,0.54,1,71,8,"CFTR, ATP1B4, LDLR, ATP1A3, ATP1B2, ATP1B3, ABCG5, SLC2A1"
"Endocytosis",0.212,0.57,1,243,23,"ARPC1B, CLTA, CLTC, WIPF2, GRK2, DNM1, EGFR, FGFR3, PIP5K1C, GIT1, EPN1, LDLR, SH3GLB1, PDGFRA, PARD3, SH3GLB2, RAB5A, TSG101, UBB, CXCR4, PARD6G, CAV3, CDC42"
"Mineral absorption",0.214,0.57,1,51,6,"ATP1B4, MT2A, ATP1A3, ATP1B2, ATP1B3, TF"
"cGMP-PKG signaling pathway",0.218,0.57,1,163,16,"CREB3, CREB1, ATF6B, ADRB2, ATP1B4, GNA11, GNAI3, ITPR3, ATP1A3, ATP1B2, ATP1B3, ATP2A1, PLCB4, PPP3R2, CACNA1C, CREB3L1"
"Platinum drug resistance",0.219,0.57,1,73,8,"BIRC5, MSH2, PDPK1, PMAIP1, BCL2L1, TOP2A, XPA, PIK3R3"
"Progesterone-mediated oocyte maturation",0.227,0.57,1,96,10,"GNAI3, KRAS, MOS, PLK1, MAPK13, BRAF, PIK3R3, CCNB2, CDC25B, CDC25C"
"Circadian entrainment",0.227,0.57,1,96,10,"CREB1, GNAI3, GNAO1, GNG3, GNG10, GRIN2D, ITPR3, MTNR1B, PLCB4, CACNA1C"
"beta-Alanine metabolism",0.227,0.57,1,31,4,"ABAT, ALDH2, ALDH3A2, HADHA"
"FoxO signaling pathway",0.228,0.57,1,130,13,"EGFR, G6PC, IKBKB, KRAS, SMAD4, PDPK1, PLK1, MAPK13, BRAF, TGFB2, PIK3R3, CCND2, CCNB2"
"Hippo signaling pathway",0.229,0.57,1,153,15,"YAP1, AFP, BIRC5, SMAD1, SMAD4, PPP2CB, PARD3, BMPR1B, TGFB2, WNT5A, YWHAG, YWHAH, PARD6G, CCND2, CCND3"
"Inflammatory mediator regulation of TRP channels",0.237,0.584,1,97,10,"PLA2G4D, IL1B, ITPR3, PLA2G4A, PLCB4, MAPK13, MAP2K6, BDKRB1, PIK3R3, JMJD7-PLA2G4B"
"Gastric acid secretion",0.241,0.587,1,75,8,"CFTR, ATP1B4, GNAI3, ITPR3, ATP1A3, ATP1B2, ATP1B3, PLCB4"
"Propanoate metabolism",0.245,0.592,1,32,4,"DLD, ABAT, HADHA, LDHB"
"Oocyte meiosis",0.249,0.595,1,121,12,"ITPR3, MOS, PLK1, PPP2CB, PPP2R5A, PPP2R5E, PPP3R2, YWHAG, YWHAH, CCNE1, CCNB2, CDC25C"
"Type I diabetes mellitus",0.252,0.597,1,43,5,"HLA-DQA2, IL1A, IL1B, IL12A, CD28"
"Glycolysis / Gluconeogenesis",0.278,0.654,1,67,7,"DLD, ALDH2, ALDH3A2, ALDOA, G6PC, GAPDH, LDHB"
"Fc gamma R-mediated phagocytosis",0.282,0.656,1,90,9,"ARPC1B, PIP5K1C, LAT, PLA2G4D, PLA2G4A, SYK, PIK3R3, GAB2, CDC42"
"p53 signaling pathway",0.291,0.671,1,68,7,"SFN, GTSE1, PMAIP1, CCND2, CCND3, CCNE1, CCNB2"
"Glucagon signaling pathway",0.297,0.679,1,103,10,"CREB3, CREB1, G6PC, ITPR3, LDHB, PHKB, PLCB4, PPP3R2, SLC2A1, CREB3L1"
"Autophagy - animal",0.313,0.709,1,128,12,"CTSD, EIF2S1, MRAS, KRAS, SH3GLB1, PDPK1, PPP2CB, BCL2L1, MAP3K7, PIK3R3, CFLAR, ATG13"
"alpha-Linolenic acid metabolism",0.317,0.712,1,25,3,"PLA2G4D, PLA2G4A, JMJD7-PLA2G4B"
"Pancreatic secretion",0.349,0.776,1,96,9,"CFTR, ATP1B4, ITPR3, ATP1A3, ATP1B2, ATP1B3, ATP2A1, PLCB4, RAP1A"
"Antigen processing and presentation",0.357,0.786,1,73,7,"CREB1, PDIA3, HLA-DQA2, HSPA5, NFYB, NFYC, TAP1"
"Ovarian steroidogenesis",0.363,0.792,1,50,5,"ALOX5, PLA2G4D, LDLR, PLA2G4A, JMJD7-PLA2G4B"
"Pyruvate metabolism",0.373,0.808,1,39,4,"DLD, ALDH2, ALDH3A2, LDHB"
"Synaptic vesicle cycle",0.382,0.817,1,63,6,"CLTA, CLTC, DNM1, ATP6V1B2, STX1A, SYT1"
"Butanoate metabolism",0.384,0.817,1,28,3,"ABAT, HADHA, HMGCS2"
"Non-alcoholic fatty liver disease (NAFLD)",0.39,0.817,1,148,13,"EIF2S1, GSK3A, IKBKB, IL1A, IL1B, CXCL8, JUN, NDUFA2, NDUFS4, RELA, TNFRSF1A, PIK3R3, CDC42"
"Phosphonate and phosphinate metabolism",0.391,0.817,1,6,1,"CEPT1"
"2-Oxocarboxylic acid metabolism",0.395,0.819,1,17,2,"IDH3A, ACO2"
