Index,Category,Common name,Human Symbol,Human EntrezGene ID,Mouse Symbol,Mouse EntrezGene ID
65,TRIF module,IKKe,IKBKE,9641,Ikbke,56489
66,TRIF module,IRF3,IRF3,3661,Irf3,54131
67,TRIF module,Duba,OTUD5,55593,Otud5,54644
68,TRIF module,TRADD,TRADD,8717,Tradd,71609
69,TRIF module,TANK,TANK,10010,Tank,21353
70,TRIF module,SINTBAD,TBKBP1,9755,Tbkbp1,73174
71,Other signaling,BTK,BTK,695,Btk,12229
72,Other signaling,NIK,MAP3K14,9020,Map3k14,53859
73,Other signaling,AKT1,AKT1,207,Akt1,11651
74,Other signaling,AKT2,AKT2,208,Akt2,11652
75,Other signaling,AKT3,AKT3,10000,Akt3,23797
76,Other signaling,PIK3CA,PIK3CA,5290,Pik3ca,18706
77,Other signaling,PIK3CB,PIK3CB,5291,Pik3cb,74769
78,Other signaling,PIK3CD,PIK3CD,5293,Pik3cd,18707
79,Other signaling,PIK3CG,PIK3CG,5294,Pik3cg,30955
80,Other signaling,PIK3R1,PIK3R1,5295,Pik3r1,18708
81,Other signaling,PIK3R2,PIK3R2,5296,Pik3r2,18709
82,Other signaling,PIK3R3,PIK3R3,8503,Pik3r3,18710
83,Other signaling,PIK3R5,PIK3R5,23533,Pik3r5,320207
84,Other signaling,RAC1,RAC1,5879,Rac1,19353
85,Transcription factors,IRF5,IRF5,3663,Irf5,27056
86,Transcription factors,IRF7,IRF7,3665,Irf7,54123
87,Transcription factors,STAT1,STAT1,6772,Stat1,20846
88,Transcription factors,Fos,FOS,2353,Fos,14281
89,Transcription factors,Jun,JUN,3725,Jun,16476
90,Transcription factors,PYK2,PTK2B,2185,Ptk2b,19229
91,Transcription factors,PU.1,SPI1,6688,Sfpi1,20375
92,Transcription factors,ETS1,ETS1,2113,Ets1,23871
93,Transcription factors,ELK1,ELK1,2002,Elk1,13712
94,Transcription factors,ELK4,ELK4,2005,Elk4,13714
95,Transcription factors,SP1,SP1,6667,Sp1,20683
96,Transcription factors,EGR1,EGR1,1958,Egr1,13653
97,Transcription factors,EGR2,EGR2,1959,Egr2,13654
98,Transcription factors,ATF2,ATF2,1386,Atf2,11909
99,Transcription factors,ATF7,ATF7,11016,Atf7,223922
100,Transcription factors,CBP,CBP,1387,Crebbp,12914
101,Transcription factors,p300,p300,2033,Ep300,328572
102,Transcription factors,ISGF3G,ISGF3G,10379,Irf9,16391
103,Transcription factors,ELF4,ELF4,2000,Elf4,56501
104,Cytokines,IFNAR1,IFNAR1,3454,Ifnar1,15975
105,Cytokines,IFNAR2,IFNAR2,3455,Ifnar2,15976
106,Cytokines,IFNB1,IFNB1,3456,Ifnb1,15977
107,Cytokines,IL12A,IL12A,3592,Il12a,16159
108,Cytokines,IL12B,IL12B,3593,Il12b,16160
109,Cytokines,IL1B,IL1B,3553,Il1b,16176
110,Cytokines,IL6,IL6,3569,Il6,16193
111,Cytokines,IL8,IL8,3576,,
112,Cytokines,TNF,TNF,7124,Tnf,21926
113,Cytokines,CCL3,CCL3,6348,Ccl3,20302
114,Cytokines,CXCL11,CXCL11,6373,Cxcl11,56066
115,Cytokines,CXCL9,CXCL9,4283,Cxcl9,17329
116,Negative regulators,RP105,CD180,4064,Cd180,17079
117,Negative regulators,MD1,LY86,9450,Ly86,17084
118,Negative regulators,TIR8,SIGIRR,59307,Sigirr,24058
119,Negative regulators,ST2,IL1RL1,9173,Il1rl1,17082
120,Negative regulators,IRAK3/IRAK-M,IRAK3,11213,Irak3,73914
121,Negative regulators,SHP1,PTPN6,5777,Ptpn6,15170
122,Negative regulators,Cyld,CYLD,1540,Cyld,74256
123,Negative regulators,A20,TNFAIP3,7128,Tnfaip3,21929
124,Negative regulators,DUSP2,DUSP2,1844,Dusp2,13537
125,Negative regulators,AIP1,DAB2IP,153090,Dab2ip,69601
126,Negative regulators,Tollip,TOLLIP,54472,Tollip,54473
127,Negative regulators,MKP1,DUSP1,1843,Dusp1,19252
128,Negative regulators,RIP3,RIPK3,11035,Ripk3,56532
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
