"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Caffeine metabolism",1,1,1,5,0,""
"VEGF signaling pathway",1,1,1,58,0,""
"Osteoclast differentiation",1,1,1,125,0,""
"Fc epsilon RI signaling pathway",1,1,1,66,0,""
"Adipocytokine signaling pathway",1,1,1,69,0,""
"Regulation of lipolysis in adipocytes",1,1,1,54,0,""
"Protein digestion and absorption",1,1,1,88,0,""
"Tight junction",1,1,1,167,0,""
"Leukocyte transendothelial migration",1,1,1,110,0,""
"Taste transduction",1,1,1,82,0,""
"One carbon pool by folate",1,1,1,19,0,""
"Mucin type O-glycan biosynthesis",1,1,1,30,0,""
"mRNA surveillance pathway",1,1,1,85,0,""
"Spliceosome",1,1,1,129,0,""
"Aminoacyl-tRNA biosynthesis",1,1,1,43,0,""
"Antifolate resistance",1,1,1,29,0,""
"ABC transporters",1,1,1,44,0,""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,1,20,0,""
"Non-homologous end-joining",1,1,1,12,0,""
"RNA degradation",1,1,1,73,0,""
"Lysine degradation",1,1,1,54,0,""
"Renin-angiotensin system",1,1,1,23,0,""
"Neuroactive ligand-receptor interaction",1,1,1,274,0,""
"Glycosaminoglycan biosynthesis - keratan sulfate",1,1,1,14,0,""
"Ribosome biogenesis in eukaryotes",1,1,1,73,0,""
"Basal transcription factors",1,1,1,44,0,""
"SNARE interactions in vesicular transport",1,1,1,32,0,""
"Synaptic vesicle cycle",1,1,1,63,0,""
"Collecting duct acid secretion",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,1,15,0,""
"ECM-receptor interaction",1,1,1,82,0,""
"Sulfur metabolism",1,1,1,9,0,""
"Phosphonate and phosphinate metabolism",1,1,1,5,0,""
"Hippo signaling pathway - multiple species",1,1,1,28,0,""
"Fatty acid elongation",1,1,1,21,0,""
"Fatty acid degradation",1,1,1,43,0,""
"Valine, leucine and isoleucine degradation",1,1,1,48,0,""
"Fatty acid metabolism",1,1,1,44,0,""
"Vasopressin-regulated water reabsorption",1,1,1,44,0,""
"Autophagy - other",1,1,1,29,0,""
"Complement and coagulation cascades",1,1,1,79,0,""
"Vitamin digestion and absorption",1,1,1,24,0,""
"Selenocompound metabolism",1,1,1,15,0,""
"RNA polymerase",1,1,1,31,0,""
"Mismatch repair",1,1,1,23,0,""
"Ascorbate and aldarate metabolism",1,1,1,20,0,""
"Olfactory transduction",1,1,1,407,0,""
"Other glycan degradation",1,1,1,18,0,""
"Protein export",1,1,1,22,0,""
"Valine, leucine and isoleucine biosynthesis",1,1,1,4,0,""
"Lipoic acid metabolism",1,1,1,3,0,""
"Hedgehog signaling pathway",1,1,1,44,0,""
"Fanconi anemia pathway",1,1,1,48,0,""
"Nitrogen metabolism",1,1,1,17,0,""
"Butanoate metabolism",1,1,1,27,0,""
"Thiamine metabolism",1,1,1,15,0,""
"Phototransduction",1,1,1,28,0,""
"Pentose phosphate pathway",1,1,1,29,0,""
"Circadian rhythm",1,1,1,30,0,""
"Propanoate metabolism",1,1,1,32,0,""
"D-Arginine and D-ornithine metabolism",1,1,1,1,0,""
"Fatty acid biosynthesis",1,1,1,13,0,""
"Aldosterone-regulated sodium reabsorption",1,1,1,37,0,""
"Sulfur relay system",1,1,1,8,0,""
"Biotin metabolism",1,1,1,3,0,""
"Synthesis and degradation of ketone bodies",1,1,1,10,0,""
"Riboflavin metabolism",1,1,1,8,0,""
