"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","replicate1","replicate2","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Network.5","Network.class.iteration5","Pathway"
"AAMP",14,6,0.94943,0.9641,0.999804,20635,1,-4.631,0.20933,0.20948,0.993573,4526,0,-4.631,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AANAT",15,6,0.31955,0.58806,0.999804,12006,3,-7.7803,0.32581,0.32596,0.99953,6997,0,-7.7803,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AAR2",25980,6,0.23065,0.47599,0.999804,9856,2,-6.466,0.7979,0.79781,0.999987,17109,0,-6.466,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARD",441376,5,0.35473,0.58554,0.999804,12745,3,-7.3155,0.081933,0.082121,0.986119,1785,0,-7.3155,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARS",16,6,0.79531,0.89984,0.999804,18863,2,-6.9146,0.76392,0.76386,0.999987,16402,0,-6.9146,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AARS2",57505,6,0.028312,0.10428,0.892055,2286,4,-8.6525,0.12782,0.12791,0.986119,2804,0,-8.6525,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AARSD1",80755,6,0.064325,0.19873,0.943312,4268,3,-7.6806,0.75178,0.75173,0.999987,16162,0,-7.6806,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDH",132949,5,0.076163,0.20837,0.949593,4837,4,-7.823,0.4344,0.4349,0.99953,9381,0,-7.823,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT",60496,5,0.015364,0.058582,0.86314,1428,4,-8.7479,0.95175,0.95192,0.999987,20445,0,-8.7479,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AASS",10157,6,0.30439,0.56972,0.999804,11677,2,-7.2949,0.85525,0.85524,0.999987,18283,0,-7.2949,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AATF",26574,6,0.53912,0.75985,0.999804,15693,2,-4.6491,0.17027,0.17049,0.993573,3704,0,-4.6491,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AATK",9625,6,0.21681,0.45758,0.999804,9483,3,-7.6988,0.23139,0.23136,0.993573,5003,0,-7.6988,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABAT",18,5,0.050486,0.15376,0.92172,3548,4,-7.5295,0.76767,0.76784,0.999987,16488,0,-7.5295,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABCA1",19,6,0.50411,0.73455,0.999804,15168,2,-6.6216,0.31718,0.31731,0.99953,6804,0,-6.6216,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA10",10349,6,0.36712,0.63393,0.999804,12952,3,-7.1853,0.14901,0.14918,0.993573,3248,0,-7.1853,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA12",26154,6,0.32299,0.5922,0.999804,12061,3,-7.6362,0.27236,0.27266,0.99953,5818,0,-7.6362,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA13",154664,6,0.49598,0.72861,0.999804,15058,2,-6.9062,0.77094,0.77095,0.999987,16577,0,-6.9062,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA2",20,6,0.32442,0.59388,0.999804,12117,2,-7.1049,0.81539,0.81528,0.999987,17475,0,-7.1049,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA3",21,5,0.4028,0.63277,0.999804,13549,2,-7.3018,0.52847,0.52872,0.999987,11386,0,-7.3018,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA4",24,6,0.33246,0.60331,0.999804,12308,4,-7.8572,0.22565,0.22562,0.993573,4866,0,-7.8572,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA5",23461,6,0.25585,0.50893,0.999804,10506,3,-7.6131,0.52904,0.52915,0.999987,11406,0,-7.6131,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA6",23460,6,0.28984,0.5519,0.999804,11351,2,-6.9251,0.48315,0.48319,0.999594,10443,0,-6.9251,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA7",10347,5,0.57787,0.7634,0.999804,16270,2,-6.851,0.27135,0.27172,0.99953,5799,0,-6.851,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA8",10351,6,0.46895,0.70893,0.999804,14605,3,-6.9833,0.13831,0.13838,0.9932,3021,0,-6.9833,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA9",10350,5,0.032055,0.11223,0.903593,2505,4,-8.6509,0.52847,0.52872,0.999987,11381,0,-8.6509,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB1",5243,6,0.25235,0.50441,0.999804,10416,2,-6.9138,0.53919,0.53927,0.999987,11653,0,-6.9138,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB10",23456,6,0.052229,0.16854,0.928373,3634,3,-7.395,0.1763,0.1764,0.993573,3821,0,-7.395,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB11",8647,6,0.7124,0.86474,0.999804,17989,1,-6.4229,0.46514,0.46522,0.99953,10050,0,-6.4229,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB4",5244,6,0.57493,0.78567,0.999804,16216,3,-7.1089,0.28599,0.28625,0.99953,6113,0,-7.1089,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB5",340273,5,0.086703,0.22978,0.959277,5339,1,-2.4439,0.097888,0.098151,0.986119,2138,0,-2.4439,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB6",10058,6,0.61094,0.81142,0.999804,16745,2,-6.4787,0.51731,0.5174,0.999987,11156,0,-6.4787,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB7",22,6,0.63486,0.82827,0.999804,17110,2,-6.7904,0.60821,0.60816,0.999987,13074,0,-6.7904,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB8",11194,6,0.25548,0.50845,0.999804,10495,3,-7.671,0.7979,0.79781,0.999987,17113,0,-7.671,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB9",23457,6,0.71855,0.8672,0.999804,18049,2,-6.0642,0.15894,0.15915,0.993573,3446,0,-6.0642,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC1",4363,6,0.48007,0.71707,0.999804,14788,3,-7.5924,0.49458,0.49458,0.999594,10667,0,-7.5924,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC10",89845,6,0.7533,0.88142,0.999804,18387,2,-6.8781,0.13913,0.1392,0.993573,3035,0,-6.8781,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC11",85320,6,0.03301,0.11759,0.903593,2569,3,-7.6571,0.10406,0.10408,0.986119,2280,0,-7.6571,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC12",94160,6,0.28657,0.54785,0.999804,11279,3,-7.1517,0.39535,0.39542,0.99953,8535,0,-7.1517,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC2",1244,5,0.90861,0.93142,0.999804,20151,1,-6.5641,0.22571,0.22598,0.993573,4869,0,-6.5641,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABCC3",8714,6,0.45912,0.70179,0.999804,14454,2,-6.7589,0.36902,0.36908,0.99953,7929,0,-6.7589,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC4",10257,6,0.83408,0.91832,0.999804,19309,1,-6.0971,0.62365,0.62369,0.999987,13398,0,-6.0971,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC5",10057,5,0.14895,0.34611,0.992846,7544,2,-4.7131,0.04392,0.04425,0.986119,950,1,-4.7131,0,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCC6",368,6,0.25668,0.51004,0.999804,10521,3,-7.5302,0.54914,0.54922,0.999987,11845,0,-7.5302,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC8",6833,6,0.005586,0.026165,0.805105,609,5,-8.8447,0.80384,0.80368,0.999987,17257,0,-8.8447,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC9",10060,6,0.78631,0.89582,0.999804,18747,1,-6.375,0.11255,0.11253,0.986119,2462,0,-6.375,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD1",215,6,0.16583,0.38628,0.996564,8056,4,-7.8458,0.53919,0.53927,0.999987,11626,0,-7.8458,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD2",225,6,0.10265,0.28708,0.981041,6001,3,-7.9406,0.92494,0.92504,0.999987,19828,0,-7.9406,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD3",5825,6,0.11329,0.30775,0.985915,6396,3,-7.789,0.42358,0.4237,0.99953,9163,0,-7.789,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD4",5826,6,0.46138,0.70341,0.999804,14494,3,-7.435,0.50662,0.50669,0.999594,10952,0,-7.435,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCE1",6059,5,0.042155,0.13534,0.91285,3106,2,-6.7701,0.041095,0.0415,0.986119,892,1,-6.7701,0,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABCF1",23,6,0.93354,0.95888,0.999804,20441,1,-5.9305,0.084625,0.084671,0.986119,1839,1,-5.9305,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF2",10061,6,0.099333,0.27986,0.979249,5852,5,-8.1644,0.62766,0.62773,0.999987,13473,0,-8.1644,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF3",55324,6,0.12477,0.32539,0.991175,6784,3,-7.9557,0.12993,0.13006,0.986119,2858,0,-7.9557,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCG1",9619,6,0.12327,0.32309,0.991068,6731,4,-8.0145,0.83656,0.8365,0.999987,17900,0,-8.0145,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG2",9429,6,0.46895,0.70893,0.999804,14598,3,-7.4402,0.56794,0.56794,0.999987,12221,0,-7.4402,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG4",64137,6,0.0020371,0.010144,0.684346,253,5,-8.5334,0.88047,0.88043,0.999987,18833,0,-8.5334,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG5",64240,6,0.9936,0.99354,0.999804,21517,0,-6.2921,0.4199,0.41998,0.99953,9082,0,-6.2921,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG8",64241,6,0.26895,0.5257,0.999804,10821,4,-7.9084,0.95697,0.95705,0.999987,20581,0,-7.9084,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD1",84696,6,0.82654,0.91458,0.999804,19221,1,-7.243,0.19625,0.19634,0.993573,4251,0,-7.243,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD10",55347,6,0.7698,0.8886,0.999804,18575,2,-7.0372,0.41437,0.41442,0.99953,8951,0,-7.0372,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD11",83451,6,0.34444,0.61703,0.999804,12572,3,-7.6075,0.58133,0.58132,0.999987,12494,0,-7.6075,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD12",26090,6,0.12565,0.32676,0.991232,6804,3,-8.0041,0.08059,0.080597,0.986119,1761,1,-8.0041,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD12B",145447,6,0.18816,0.41806,0.999804,8722,4,-8.0868,0.87493,0.87494,0.999987,18698,0,-8.0868,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD13",84945,5,0.016175,0.061436,0.866539,1488,2,-5.4399,0.057125,0.057303,0.986119,1244,1,-5.4399,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14A",25864,6,0.33694,0.60855,0.999804,12391,3,-7.5203,0.25943,0.25968,0.99953,5549,0,-7.5203,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14B",84836,6,0.029164,0.1067,0.898536,2347,3,-7.3481,0.45011,0.45021,0.99953,9712,0,-7.3481,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD15",116236,6,0.16583,0.38628,0.996564,8058,4,-7.684,0.95179,0.95178,0.999987,20462,0,-7.684,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16A",7920,6,0.6585,0.8441,0.999804,17451,1,-5.1543,0.25758,0.25781,0.99953,5511,0,-5.1543,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16B",140701,6,0.058523,0.18447,0.934251,3995,4,-7.9919,0.039666,0.04068,0.986119,861,1,-7.9919,0,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABHD17A",81926,5,0.4028,0.63277,0.999804,13548,1,-6.1797,0.32143,0.322,0.99953,6933,0,-6.1797,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17B",51104,6,0.26878,0.52549,0.999804,10802,4,-7.6802,0.65138,0.6514,0.999987,13979,0,-7.6802,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17C",58489,6,0.99498,0.99497,0.999804,21551,0,-6.7526,0.25035,0.25039,0.99953,5367,0,-6.7526,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD2",11057,6,0.1038,0.28961,0.981282,6037,5,-8.182,0.98347,0.98342,0.999987,21230,0,-8.182,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD3",171586,6,0.39352,0.65348,0.999804,13386,3,-7.2621,0.026012,0.027595,0.986119,572,1,-7.2621,0,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABHD4",63874,6,0.4403,0.68797,0.999804,14140,3,-7.5907,0.97289,0.97281,0.999987,20955,0,-7.5907,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD5",51099,6,0.044049,0.14738,0.92172,3197,2,-5.4361,0.38798,0.38803,0.99953,8363,0,-5.4361,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD6",57406,5,0.45235,0.67964,0.999804,14349,3,-7.3499,0.7733,0.77346,0.999987,16627,0,-7.3499,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD8",79575,6,0.12642,0.32791,0.991824,6833,4,-7.6885,0.3401,0.34037,0.99953,7306,0,-7.6885,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI1",10006,6,0.21987,0.46169,0.999804,9587,2,-7.4297,0.84337,0.84343,0.999987,18036,0,-7.4297,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI2",10152,6,0.097146,0.27503,0.979249,5733,4,-8.3331,0.92282,0.92293,0.999987,19772,0,-8.3331,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABI3",51225,5,0.35733,0.58815,0.999804,12772,2,-3.4353,0.016981,0.018322,0.986119,394,1,-3.4353,0,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABI3BP",25890,6,0.0058146,0.027182,0.81897,622,3,-7.7898,0.3887,0.38875,0.99953,8378,0,-7.7898,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABL1",25,6,0.053444,0.17156,0.928373,3698,3,-6.7935,0.33328,0.33347,0.99953,7165,0,-6.7935,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABL2",27,6,0.013345,0.058121,0.861714,1274,2,-6.77,0.83448,0.83437,0.999987,17857,0,-6.77,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM1",3983,6,0.3365,0.608,0.999804,12378,2,-6.4469,0.68151,0.68147,0.999987,14615,0,-6.4469,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM2",84448,6,0.45912,0.70179,0.999804,14453,3,-7.249,0.68202,0.68198,0.999987,14629,0,-7.249,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM3",22885,6,0.051778,0.16741,0.927395,3626,4,-8.4997,0.50176,0.50176,0.999594,10820,0,-8.4997,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABO",28,6,0.12565,0.32676,0.991232,6808,4,-8.418,0.50662,0.50669,0.999594,10988,0,-8.418,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABR",29,6,0.61611,0.81511,0.999804,16822,3,-7.4044,0.78511,0.78502,0.999987,16847,0,-7.4044,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABRA",137735,6,0.027746,0.10266,0.892055,2244,5,-8.4443,0.95569,0.95578,0.999987,20546,0,-8.4443,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABRACL",58527,6,0.97139,0.9744,0.999804,21014,1,-4.6075,0.070874,0.071112,0.986119,1551,1,-4.6075,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
