"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Fructose and mannose metabolism",0.016,0.223,1,30,3,"GMPPA, HK3, SORD"
"Glycerophospholipid metabolism",0.02,0.259,1,87,5,"PISD, PLA2G3, LPIN3, DGKZ, PGS1"
"Cellular senescence",0.021,0.264,1,155,7,"ETS1, FOXO3, HLA-C, MYC, NBN, NFATC3, TP53"
"IL-17 signaling pathway",0.024,0.279,1,91,5,"IL17C, MMP3, TRAF3, CASP8, FADD"
"Glycosphingolipid biosynthesis - ganglio series",0.029,0.327,1,15,2,"ST8SIA5, ST3GAL5"
"Purine metabolism",0.033,0.352,1,170,7,"DCK, AK9, AMPD2, RRM2B, PDE4B, POLE4, NT5C1A"
"Ferroptosis",0.035,0.352,1,40,3,"SAT2, GPX4, TP53"
"Toll-like receptor signaling pathway",0.036,0.352,1,102,5,"TLR8, TRAF3, CASP8, FADD, CD80"
"Type I diabetes mellitus",0.037,0.352,1,41,3,"HLA-C, FAS, CD80"
"PPAR signaling pathway",0.04,0.365,1,72,4,"CYP7A1, CYP8B1, GK2, ILK"
"Wnt signaling pathway",0.042,0.365,1,142,6,"CREBBP, DVL2, MYC, NFATC3, PLCB4, TP53"
"Cysteine and methionine metabolism",0.044,0.365,1,44,3,"AHCYL1, GOT2, ENOPH1"
"Sphingolipid metabolism",0.044,0.365,1,44,3,"CERS1, DEGS1, B4GALT6"
"Arginine biosynthesis",0.049,0.396,1,20,2,"GLS2, GOT2"
"Sphingolipid signaling pathway",0.057,0.433,1,116,5,"CERS1, PLCB4, PPP2CA, TP53, DEGS1"
"Ovarian steroidogenesis",0.057,0.433,1,49,3,"CYP1A1, FSHR, AKR1C3"
"Glycerolipid metabolism",0.069,0.491,1,53,3,"GK2, LPIN3, DGKZ"
"D-Glutamine and D-glutamate metabolism",0.07,0.491,1,4,1,"GLS2"
"Necroptosis",0.071,0.491,1,162,6,"CHMP4B, FAS, STAT4, CASP8, FADD, TNFRSF10D"
"Retinol metabolism",0.076,0.51,1,55,3,"CYP1A1, RDH16, HSD17B6"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.087,0.554,1,5,1,"GOT2"
"Neomycin, kanamycin and gentamicin biosynthesis",0.087,0.554,1,5,1,"HK3"
"Arachidonic acid metabolism",0.093,0.572,1,60,3,"GGT1, PLA2G3, AKR1C3"
"Autophagy - other",0.095,0.572,1,29,2,"PPP2CA, ATG4C"
"HIF-1 signaling pathway",0.097,0.572,1,97,4,"CREBBP, HK3, ARNT, PDHA2"
"Citrate cycle (TCA cycle)",0.101,0.581,1,30,2,"DLAT, PDHA2"
"Vitamin B6 metabolism",0.103,0.581,1,6,1,"PSAT1"
"Glucagon signaling pathway",0.105,0.581,1,100,4,"ATF2, CREBBP, PDHA2, PLCB4"
"Glycolysis / Gluconeogenesis",0.115,0.619,1,66,3,"DLAT, HK3, PDHA2"
"Non-alcoholic fatty liver disease (NAFLD)",0.117,0.619,1,144,5,"EIF2S1, FAS, NDUFA5, CASP8, COX5A"
"RIG-I-like receptor signaling pathway",0.123,0.63,1,68,3,"TRAF3, CASP8, FADD"
"Tyrosine metabolism",0.124,0.63,1,34,2,"GOT2, HGD"
"Porphyrin and chlorophyll metabolism",0.13,0.647,1,35,2,"HMOX2, MMAB"
"Bile secretion",0.135,0.647,1,71,3,"CYP7A1, HMGCR, BAAT"
"Hippo signaling pathway",0.135,0.647,1,151,5,"AFP, DVL2, BIRC5, MYC, PPP2CA"
"Fat digestion and absorption",0.142,0.669,1,37,2,"GOT2, PLA2G3"
"Thyroid hormone signaling pathway",0.155,0.703,1,116,4,"CREBBP, MYC, PLCB4, TP53"
"Pyruvate metabolism",0.155,0.703,1,39,2,"DLAT, PDHA2"
"Ubiquinone and other terpenoid-quinone biosynthesis",0.181,0.789,1,11,1,"COQ3"
"Aldosterone synthesis and secretion",0.183,0.789,1,82,3,"ATF2, CYP11B2, PLCB4"
"Peroxisome",0.187,0.789,1,83,3,"HSD17B4, HAO2, BAAT"
"TGF-beta signaling pathway",0.187,0.789,1,83,3,"CREBBP, MYC, PPP2CA"
"Arginine and proline metabolism",0.2,0.83,1,46,2,"SAT2, GOT2"
"Longevity regulating pathway",0.21,0.843,1,88,3,"ATF2, FOXO3, TP53"
"N-Glycan biosynthesis",0.213,0.843,1,48,2,"MAN1A2, MAN2A2"
"Notch signaling pathway",0.213,0.843,1,48,2,"CREBBP, DVL2"
"Inflammatory mediator regulation of TRP channels",0.248,0.966,1,96,3,"NTRK1, TRPV2, PLCB4"
"Phenylalanine metabolism",0.266,1,1,17,1,"GOT2"
"2-Oxocarboxylic acid metabolism",0.266,1,1,17,1,"GOT2"
"Melanogenesis",0.273,1,1,101,3,"CREBBP, DVL2, PLCB4"
"Pantothenate and CoA biosynthesis",0.279,1,1,18,1,"DPYD"
"Long-term depression",0.287,1,1,59,2,"PLCB4, PPP2CA"
"Mannose type O-glycan biosynthesis",0.292,1,1,19,1,"POMT1"
"Glycosaminoglycan degradation",0.292,1,1,19,1,"IDS"
"Biosynthesis of unsaturated fatty acids",0.292,1,1,19,1,"BAAT"
"Mitophagy - animal",0.3,1,1,61,2,"FOXO3, TP53"
"MAPK signaling pathway",0.303,1,1,253,6,"ATF2, FAS, MYC, NFATC3, NTRK1, TP53"
"Steroid biosynthesis",0.305,1,1,20,1,"FDFT1"
"Other types of O-glycan biosynthesis",0.317,1,1,21,1,"POMT1"
"Metabolism of xenobiotics by cytochrome P450",0.327,1,1,65,2,"CYP1A1, GSTM5"
"Terpenoid backbone biosynthesis",0.329,1,1,22,1,"HMGCR"
"Histidine metabolism",0.329,1,1,22,1,"ASPA"
"Long-term potentiation",0.34,1,1,67,2,"CREBBP, PLCB4"
"alpha-Linolenic acid metabolism",0.342,1,1,23,1,"PLA2G3"
"Proximal tubule bicarbonate reclamation",0.342,1,1,23,1,"GLS2"
"Biosynthesis of amino acids",0.353,1,1,69,2,"GOT2, PSAT1"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0.353,1,1,24,1,"EXT2"
"AMPK signaling pathway",0.357,1,1,118,3,"FOXO3, HMGCR, PPP2CA"
"Neurotrophin signaling pathway",0.357,1,1,118,3,"FOXO3, NTRK1, TP53"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.365,1,1,25,1,"PIGP"
"Folate biosynthesis",0.365,1,1,25,1,"AKR1C3"
"Pentose and glucuronate interconversions",0.365,1,1,25,1,"SORD"
"Oxidative phosphorylation",0.366,1,1,120,3,"NDUFA5, ATP5I, COX5A"
"Autophagy - animal",0.381,1,1,123,3,"EIF2S1, PPP2CA, ATG4C"
"Thyroid hormone synthesis",0.385,1,1,74,2,"ATF2, PLCB4"
"Cell cycle",0.386,1,1,124,3,"CREBBP, MYC, TP53"
"Linoleic acid metabolism",0.388,1,1,27,1,"PLA2G3"
"Glycosphingolipid biosynthesis - lacto and neolacto series",0.388,1,1,27,1,"B3GNT3"
"Natural killer cell mediated cytotoxicity",0.391,1,1,125,3,"HLA-C, FAS, TNFRSF10D"
"Nicotinate and nicotinamide metabolism",0.399,1,1,28,1,"NT5C1A"
"Glyoxylate and dicarboxylate metabolism",0.399,1,1,28,1,"HAO2"
"Dopaminergic synapse",0.406,1,1,128,3,"ATF2, PLCB4, PPP2CA"
"Galactose metabolism",0.42,1,1,30,1,"HK3"
"beta-Alanine metabolism",0.431,1,1,31,1,"DPYD"
"Cell adhesion molecules (CAMs)",0.449,1,1,137,3,"VCAN, HLA-C, CD80"
"Base excision repair",0.451,1,1,33,1,"POLE4"
"Insulin secretion",0.454,1,1,85,2,"ATF2, PLCB4"
"Starch and sucrose metabolism",0.461,1,1,34,1,"HK3"
"Phospholipase D signaling pathway",0.463,1,1,140,3,"PLCB4, PIP5K1B, DGKZ"
"DNA replication",0.471,1,1,35,1,"POLE4"
"Tryptophan metabolism",0.471,1,1,35,1,"CYP1A1"
"Adrenergic signaling in cardiomyocytes",0.472,1,1,142,3,"ATF2, PLCB4, PPP2CA"
"Th1 and Th2 cell differentiation",0.484,1,1,90,2,"NFATC3, STAT4"
"Salivary secretion",0.484,1,1,90,2,"PLCB4, CAMP"
"Homologous recombination",0.49,1,1,37,1,"NBN"
"Drug metabolism - other enzymes",0.508,1,1,39,1,"DPYD"
"Ether lipid metabolism",0.508,1,1,39,1,"PLA2G3"
"Glycine, serine and threonine metabolism",0.508,1,1,39,1,"PSAT1"
"Pancreatic secretion",0.513,1,1,95,2,"PLA2G3, PLCB4"
"Jak-STAT signaling pathway",0.518,1,1,152,3,"CREBBP, MYC, STAT4"
"Estrogen signaling pathway",0.529,1,1,98,2,"ATF2, PLCB4"
"Carbohydrate digestion and absorption",0.543,1,1,43,1,"HK3"
"Protein processing in endoplasmic reticulum",0.549,1,1,159,3,"MAN1A2, EIF2S1, BAK1"
"cGMP-PKG signaling pathway",0.557,1,1,161,3,"ATF2, NFATC3, PLCB4"
"Intestinal immune network for IgA production",0.559,1,1,45,1,"CD80"
"Nucleotide excision repair",0.567,1,1,46,1,"POLE4"
"Type II diabetes mellitus",0.567,1,1,46,1,"HK3"
"Endocrine and other factor-regulated calcium reabsorption",0.575,1,1,47,1,"PLCB4"
"Glutamatergic synapse",0.587,1,1,109,2,"GLS2, PLCB4"
"Mineral absorption",0.598,1,1,50,1,"HMOX2"
"Endocytosis",0.608,1,1,233,4,"CHMP4B, HLA-C, PML, PIP5K1B"
"Vascular smooth muscle contraction",0.636,1,1,119,2,"PLA2G3, PLCB4"
"Drug metabolism - cytochrome P450",0.671,1,1,61,1,"GSTM5"
"Longevity regulating pathway - multiple species",0.677,1,1,62,1,"FOXO3"
"Cytosolic DNA-sensing pathway",0.677,1,1,62,1,"IL18"
"Relaxin signaling pathway",0.679,1,1,129,2,"ATF2, PLCB4"
"FoxO signaling pathway",0.683,1,1,130,2,"CREBBP, FOXO3"
"cAMP signaling pathway",0.693,1,1,197,3,"CREBBP, FSHR, PDE4B"
"Renin secretion",0.694,1,1,65,1,"PLCB4"
"Cytokine-cytokine receptor interaction",0.703,1,1,263,4,"IL17C, FAS, IL18, TNFRSF10D"
"Adherens junction",0.705,1,1,67,1,"CREBBP"
"Antigen processing and presentation",0.711,1,1,68,1,"HLA-C"
"Signaling pathways regulating pluripotency of stem cells",0.718,1,1,139,2,"DVL2, MYC"
"B cell receptor signaling pathway",0.721,1,1,70,1,"NFATC3"
"Prolactin signaling pathway",0.721,1,1,70,1,"FOXO3"
"Retrograde endocannabinoid signaling",0.722,1,1,140,2,"NDUFA5, PLCB4"
"PI3K-Akt signaling pathway",0.732,1,1,337,5,"ATF2, FOXO3, MYC, PPP2CA, TP53"
"Cardiac muscle contraction",0.741,1,1,74,1,"COX5A"
"Gastric acid secretion",0.745,1,1,75,1,"PLCB4"
"Oxytocin signaling pathway",0.76,1,1,151,2,"NFATC3, PLCB4"
"EGFR tyrosine kinase inhibitor resistance",0.763,1,1,79,1,"FOXO3"
"ErbB signaling pathway",0.784,1,1,84,1,"MYC"
"mRNA surveillance pathway",0.788,1,1,85,1,"PPP2CA"
"RNA transport",0.791,1,1,161,2,"EIF2S1, EIF4G1"
"Fc gamma R-mediated phagocytosis",0.796,1,1,87,1,"PIP5K1B"
"GABAergic synapse",0.796,1,1,87,1,"GLS2"
"Gap junction",0.8,1,1,88,1,"PLCB4"
"GnRH signaling pathway",0.81,1,1,91,1,"PLCB4"
"NF-kappa B signaling pathway",0.814,1,1,92,1,"TRAF3"
"Axon guidance",0.821,1,1,172,2,"ILK, NFATC3"
"Endocrine resistance",0.824,1,1,95,1,"TP53"
"Circadian entrainment",0.827,1,1,96,1,"PLCB4"
"AGE-RAGE signaling pathway in diabetic complications",0.83,1,1,97,1,"PLCB4"
"T cell receptor signaling pathway",0.839,1,1,100,1,"NFATC3"
"Calcium signaling pathway",0.84,1,1,180,2,"PLCB4, ITPKC"
"Chemokine signaling pathway",0.842,1,1,181,2,"FOXO3, PLCB4"
"Th17 cell differentiation",0.853,1,1,105,1,"NFATC3"
"Insulin resistance",0.856,1,1,106,1,"GFPT2"
"Serotonergic synapse",0.869,1,1,111,1,"PLCB4"
"Cholinergic synapse",0.871,1,1,112,1,"PLCB4"
"Focal adhesion",0.873,1,1,196,2,"ILK, ZYX"
"Oocyte meiosis",0.885,1,1,118,1,"PPP2CA"
"Platelet activation",0.893,1,1,122,1,"PLCB4"
"Lysosome",0.895,1,1,123,1,"IDS"
"Regulation of actin cytoskeleton",0.896,1,1,210,2,"PIP5K1B, ARHGEF7"
"Ras signaling pathway",0.912,1,1,221,2,"ETS1, PLA2G3"
"Ubiquitin mediated proteolysis",0.914,1,1,134,1,"PML"
"Apelin signaling pathway",0.916,1,1,135,1,"PLCB4"
"Insulin signaling pathway",0.92,1,1,138,1,"HK3"
"Phagosome",0.931,1,1,146,1,"HLA-C"
"mTOR signaling pathway",0.936,1,1,150,1,"DVL2"
"Tight junction",0.954,1,1,167,1,"PPP2CA"
"Rap1 signaling pathway",0.978,1,1,207,1,"PLCB4"
"Neuroactive ligand-receptor interaction",0.994,1,1,274,1,"FSHR"
"Caffeine metabolism",1,1,1,5,0,""
"VEGF signaling pathway",1,1,1,58,0,""
"Osteoclast differentiation",1,1,1,125,0,""
"Fc epsilon RI signaling pathway",1,1,1,66,0,""
"Progesterone-mediated oocyte maturation",1,1,1,94,0,""
"Adipocytokine signaling pathway",1,1,1,69,0,""
"Regulation of lipolysis in adipocytes",1,1,1,54,0,""
"Protein digestion and absorption",1,1,1,88,0,""
"Leukocyte transendothelial migration",1,1,1,110,0,""
"Hematopoietic cell lineage",1,1,1,91,0,""
"Taste transduction",1,1,1,82,0,""
"Ribosome",1,1,1,133,0,""
"One carbon pool by folate",1,1,1,19,0,""
"Mucin type O-glycan biosynthesis",1,1,1,30,0,""
"Spliceosome",1,1,1,129,0,""
"Aminoacyl-tRNA biosynthesis",1,1,1,43,0,""
"Antifolate resistance",1,1,1,29,0,""
"ABC transporters",1,1,1,44,0,""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,1,20,0,""
"Non-homologous end-joining",1,1,1,12,0,""
"RNA degradation",1,1,1,73,0,""
"Lysine degradation",1,1,1,54,0,""
"Renin-angiotensin system",1,1,1,23,0,""
"Glycosaminoglycan biosynthesis - keratan sulfate",1,1,1,14,0,""
"Ribosome biogenesis in eukaryotes",1,1,1,73,0,""
"Proteasome",1,1,1,44,0,""
"Basal transcription factors",1,1,1,44,0,""
"SNARE interactions in vesicular transport",1,1,1,32,0,""
"Synaptic vesicle cycle",1,1,1,63,0,""
"Collecting duct acid secretion",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,1,15,0,""
"ECM-receptor interaction",1,1,1,82,0,""
"Sulfur metabolism",1,1,1,9,0,""
"Phosphonate and phosphinate metabolism",1,1,1,5,0,""
"Hippo signaling pathway - multiple species",1,1,1,28,0,""
"Fatty acid elongation",1,1,1,21,0,""
"Fatty acid degradation",1,1,1,43,0,""
"Valine, leucine and isoleucine degradation",1,1,1,48,0,""
"Fatty acid metabolism",1,1,1,44,0,""
"Vasopressin-regulated water reabsorption",1,1,1,44,0,""
"Complement and coagulation cascades",1,1,1,79,0,""
"Vitamin digestion and absorption",1,1,1,24,0,""
"Selenocompound metabolism",1,1,1,15,0,""
"RNA polymerase",1,1,1,31,0,""
"Mismatch repair",1,1,1,23,0,""
"Ascorbate and aldarate metabolism",1,1,1,20,0,""
"Olfactory transduction",1,1,1,407,0,""
"Other glycan degradation",1,1,1,18,0,""
"Protein export",1,1,1,22,0,""
"Valine, leucine and isoleucine biosynthesis",1,1,1,4,0,""
"Lipoic acid metabolism",1,1,1,3,0,""
"Hedgehog signaling pathway",1,1,1,44,0,""
"Fanconi anemia pathway",1,1,1,48,0,""
"Nitrogen metabolism",1,1,1,17,0,""
"Butanoate metabolism",1,1,1,27,0,""
"Thiamine metabolism",1,1,1,15,0,""
"Phototransduction",1,1,1,28,0,""
"Pentose phosphate pathway",1,1,1,29,0,""
"Circadian rhythm",1,1,1,30,0,""
"Propanoate metabolism",1,1,1,32,0,""
"D-Arginine and D-ornithine metabolism",1,1,1,1,0,""
"Maturity onset diabetes of the young",1,1,1,26,0,""
"Fatty acid biosynthesis",1,1,1,13,0,""
"Aldosterone-regulated sodium reabsorption",1,1,1,37,0,""
"Sulfur relay system",1,1,1,8,0,""
"Biotin metabolism",1,1,1,3,0,""
"Synthesis and degradation of ketone bodies",1,1,1,10,0,""
"Riboflavin metabolism",1,1,1,8,0,""
