"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"11","RNA polymerase",0,0.001,0.01,28,13,7,"Polr1b, Polr3e, Twistnb, Polr1e, Polr2e, Polr3d, Polr3h","Polr1a, Polr2c, Polr2h, Znrd1, Polr3k, Polr2d",0.501
"12","Neurotrophin signaling pathway",0,0.001,0.012,107,31,19,"Irak2, Akt2, Cdc42, Crk, Kras, Sh2b3, Zfp369, Mapkapk2, Nfkb1, Nras, Pdpk1, Pik3ca, Sort1, Sos1, Ywhae, Mapk7, Map2k7, Mapk14, Zfp110","Akt1, Rhoa, Gab1, Jun, Pik3r1, Arhgdia, Rela, Sh2b1, Sos2, Mapk8, Frs2, Prdm4",0.451
"13","Pyrimidine metabolism",0,0.002,0.023,91,27,12,"Polr1b, Rrm2, Polr3e, Twistnb, Ctps, Dhodh, Polr1e, Polr2e, Polr3d, Pold3, Nt5c2, Polr3h","Nt5m, Entpd5, Nme2, Pola1, Pold1, Polr1a, Polr2c, Uck1, Polr2h, Dctd, Nt5c, Tk2, Znrd1, Polr3k, Polr2d",0.371
"14","Ras signaling pathway",0,0.002,0.025,178,44,23,"Angpt1, Angpt2, Akt2, Cdc42, Flt1, Gnb5, Kras, Ksr1, Nfkb1, Nras, Pik3ca, Prkaca, Pld1, Rab5b, Rel, Sos1, Tiam1, Ets1, Ets2, Ksr2, Shoc2, Exoc2, Brap","Akt1, Rhoa, Egf, Elk1, Flt4, Gab1, Gnb1, Htr7, Rac3, Met, Kitl, Pik3r1, Pld2, Rasgrp2, Rela, Rras, Sos2, Rasa1, Mapk8, Rasal3, Pak4",0.385
"15","Purine metabolism",0,0.002,0.032,148,38,20,"Atic, Adcy7, Ampd3, Pde3b, Pde4b, Pde6b, Polr1b, Rrm2, Ppat, Pfas, Polr3e, Twistnb, Polr1e, Polr2e, Pgm1, Polr3d, Pold3, Nudt9, Nt5c2, Polr3h","Nt5m, Entpd5, Nme2, Pde1c, Pde7a, Pola1, Pold1, Polr1a, Polr2c, Polr2h, Nt5c, Znrd1, Gmpr, Adprm, Ntpcr, Polr3k, Hddc3, Polr2d",0.392
"16","Cellular senescence",0,0.002,0.034,159,40,26,"Traf3ip2, Akt2, Atm, Ccnd2, Gadd45a, Foxm1, H2-L, Hus1, Itpr2, Kras, Mapkapk2, Nfkb1, Nras, Pik3ca, Ppp3cb, Rad1, Rb1, Mcu, Lin52, Tgfbr1, Vdac3, Ets1, Mapk14, Foxo1, Tsc1, Sirt1","Akt1, Capn2, Ccna2, Cdc25a, E2f5, Il6, Nfatc3, Pik3r1, Ppp3ca, Ppp3r1, Rad9a, Rela, Rras, Ppid",0.451
"17","Regulation of actin cytoskeleton",0,0.002,0.035,175,43,21,"Pip4k2b, Pip4k2c, Apc, Cdc42, Cfl2, Crk, Itga6, Kras, Ppp1r12a, Nras, Pik3ca, Pikfyve, Pip5k1c, Rock2, Cyfip1, Sos1, Src, Tiam1, Spata13, Itgb8, Arpc5","Nckap1l, Rhoa, Cfl1, Egf, Itgb3, Limk2, Rac3, Myh9, Pik3r1, Pip5k1b, Rdx, Rras, Sos2, Ppp1r12c, Apc2, Iqgap1, Arhgef7, Myl12a, Arhgef12, Pak4, Wasl, Arpc2",0.367
"18","Autophagy - other",0,0.002,0.037,31,13,6,"Igbp1, Pik3c3, Atg4d, Atg13, Mlst8, Atg7","Atg5, Ppp2ca, Wipi1, Becn1, Gabarapl1, Atg3, Atg101",0.44
"19","Adipocytokine signaling pathway",0,0.004,0.079,59,19,12,"Npy, Akt2, Cpt1a, Acsl1, Nfkb1, Prkag1, Rxrb, Camkk2, Tnf, Tnfrsf1b, Adipor2, Adipor1","Prkab2, Akt1, Prkab1, Rela, Stk11, Mapk8, Pck2",0.477
"20","Apoptosis",0,0.006,0.113,125,32,15,"Akt2, Birc3, Xiap, Atm, Casp9, Gadd45a, Itpr2, Kras, Nfkb1, Nras, Pdpk1, Pik3ca, Tnf, Ctsz, Ern1","Parp1, Akt1, Bcl2a1b, Capn2, Ctsh, Ctss, Dffa, Endog, Fadd, Il3ra, Jun, Lmnb2, Pik3r1, Rela, Spta1, Tnfrsf10b, Mapk8",0.362
"21","Prolactin signaling pathway",0,0.006,0.116,56,18,11,"Akt2, Ccnd2, Kras, Nfkb1, Nras, Pik3ca, Sos1, Src, Stat5a, Mapk14, Socs5","Akt1, Pik3r1, Rela, Sos2, Stat5b, Mapk8, Socs6",0.466
"22","NOD-like receptor signaling pathway",0.001,0.007,0.148,148,36,20,"Birc3, Xiap, Ifnar2, Itpr2, Naip5, Naip6, Nfkb1, Ccl12, Mcu, Dhx33, Tnf, Vdac3, Gbp5, Mapk14, Nlrc4, Nlrx1, Panx1, Nek7, Tab1, Dnm1l","Atg5, Rhoa, Cybb, Fadd, Il6, Jak1, Jun, Rela, Traf3, Mavs, Map3k7, Mapk8, Irf3, Ikbke, Gabarapl1, Pycard",0.399
"23","AGE-RAGE signaling pathway in diabetic complications",0.001,0.007,0.153,91,25,15,"Akt2, Cdc42, Cdkn1b, Edn1, Kras, Smad4, Nfkb1, Nras, Pik3ca, Ccl12, Stat5a, Tgfbr1, Tnf, Mapk14, Foxo1","Akt1, Cybb, Il6, Jun, Mmp2, Pik3r1, Rela, Stat5b, Mapk8, Plcd3",0.437
"24","Chemokine signaling pathway",0.001,0.008,0.183,155,37,21,"Adcy7, Akt2, Cdc42, Cxcr3, Crk, Elmo1, Gnb5, Grk4, Kras, Nfkb1, Nras, Pik3ca, Prkaca, Rock2, Ccl12, Ccl4, Ccl9, Sos1, Src, Arrb2, Tiam1","Akt1, Rhoa, Ccr1, Ccr1l1, Ccr7, Gnb1, Grk5, Pik3r1, Rasgrp2, Rela, Ccl7, Ccl8, Sos2, Stat5b, Wasl, Cxcr6",0.403
"25","Phosphatidylinositol signaling system",0.001,0.012,0.31,90,24,14,"Pip4k2b, Pip4k2c, Inpp5d, Itpr2, Mtm1, Pik3ca, Pikfyve, Pip5k1c, Mtmr6, Pik3c3, Dgkh, Inpp5e, Tmem55a, Ippk","Mtmr4, Pik3r1, Pip5k1b, Itpk1, Dgkd, Ip6k1, Ipmk, Plcd3, Ip6k2, Sacm1l",0.425
"26","Glucagon signaling pathway",0.001,0.012,0.314,85,23,11,"Akt2, Cpt1a, Itpr2, Pde3b, Prkaca, Ppp3cb, Prkag1, Creb3l2, Sik2, Foxo1, Sirt1","Smek2, Prkab2, Pygl, Akt1, Creb3, Pfkl, Ppp3ca, Ppp3r1, Prkab1, Ppp4c, Smek1, Pck2",0.374
"27","GnRH signaling pathway",0.001,0.012,0.314,75,21,14,"Adcy7, Cdc42, Gna11, Itpr2, Kras, Nras, Prkaca, Pld1, Sos1, Src, Mapk7, Map2k7, Map3k2, Mapk14","Elk1, Jun, Mmp14, Mmp2, Pld2, Sos2, Mapk8",0.473
"28","Tight junction",0.001,0.012,0.327,127,31,12,"Scrib, Cdc42, Llgl1, Rab8a, Prkaca, Prkag1, Rapgef6, Rock2, Src, Tiam1, Map2k7, Tjp3","Prkab2, Rhoa, Dlg1, Jun, Arhgef2, Myh9, Ppp2ca, Prkab1, Rdx, Stk11, Marveld2, Mapk8, Amot, Pard6a, Pard6b, Myl12a, Sympk, Wasl, Amotl1",0.316
"29","Selenocompound metabolism",0.002,0.013,0.385,14,7,5,"Sephs1, Sephs2, Mars2, Pstk, Txnrd3","Sepsecs, Txnrd1",0.607
"30","Sphingolipid signaling pathway",0.002,0.013,0.39,107,27,17,"Akt2, S1pr2, Kras, Nfkb1, Nras, Pdpk1, Pik3ca, Pld1, Rock2, Smpd2, Ppp2r5d, Tnf, Cers6, Mapk14, Asah2, Cers4, Cers5","Akt1, Rhoa, Fcer1g, Rac3, Pik3r1, Pld2, Ppp2ca, Rela, Acer2, Mapk8",0.441
"31","RIG-I-like receptor signaling pathway",0.002,0.013,0.399,52,16,7,"Nfkb1, Tnf, Mapk14, Nlrx1, Sike1, Tbkbp1, Cyld","Atg5, Fadd, Rela, Traf3, Mavs, Map3k7, Mapk8, Irf3, Ikbke",0.373
"32","ErbB signaling pathway",0.002,0.014,0.452,77,21,11,"Akt2, Cdkn1b, Crk, Kras, Nras, Pik3ca, Sos1, Src, Stat5a, Cblb, Map2k7","Akt1, Egf, Elk1, Gab1, Jun, Pik3r1, Sos2, Stat5b, Mapk8, Pak4",0.398
"33","Cytosolic DNA-sensing pathway",0.002,0.014,0.466,48,15,6,"Nfkb1, Ccl4, Polr3e, Polr2e, Polr3d, Polr3h","Il6, Rela, Mavs, Polr2h, Irf3, Ikbke, Pycard, Polr3k, Il33",0.356
"34","Osteoclast differentiation",0.002,0.014,0.475,119,29,15,"Akt2, Ifnar2, Lck, Mitf, Nfkb1, Pik3ca, Pirb, Ppp3cb, Sirpa, Tgfbr1, Tnf, Map2k7, Mapk14, Tab1, Cyld","Akt1, Btk, Itgb3, Jak1, Jun, Jund, Nfkb2, Pik3r1, Ppp3ca, Ppp3r1, Rela, Map3k7, Mapk8, Sirpb1b",0.38
"35","IL-17 signaling pathway",0.002,0.015,0.538,78,21,8,"Traf3ip2, Srsf1, Nfkb1, Ccl12, Tnf, Mapk7, Mapk14, Anapc5","Fadd, Il17ra, Il6, Jun, Jund, Lcn2, Rela, Ccl7, Traf3, Traf4, Map3k7, Mapk8, Ikbke",0.325
"36","Insulin resistance",0.003,0.019,0.685,95,24,11,"Akt2, Cpt1a, Nfkb1, Pdpk1, Pik3ca, Prkag1, Mlxip, Creb3l2, Tbc1d4, Tnf, Foxo1","Prkab2, Ogt, Pygl, Akt1, Creb3, Il6, Pik3r1, Prkab1, Ptprf, Rela, Ppp1r3b, Mapk8, Pck2",0.355
"37","Oxytocin signaling pathway",0.003,0.02,0.75,117,28,18,"Adcy7, Cacnb1, Itpr2, Kcnj2, Kras, Mef2c, Ppp1r12a, Nras, Prkaca, Ppp3cb, Prkag1, Rgs2, Rock2, Camkk2, Src, Mapk7, Cacna2d4, Rcan1","Prkab2, Rhoa, Elk1, Jun, Nfatc3, Ppp3ca, Ppp3r1, Prkab1, Ppp1r12c, Pik3r5",0.441
"38","Fc epsilon RI signaling pathway",0.003,0.02,0.775,60,17,10,"Akt2, Inpp5d, Kras, Nras, Pdpk1, Pik3ca, Sos1, Tnf, Map2k7, Mapk14","Akt1, Btk, Fcer1g, Rac3, Pik3r1, Sos2, Mapk8",0.436
"39","Endocrine resistance",0.003,0.022,0.857,86,22,15,"Adcy7, Akt2, Cdkn1b, Cdkn2c, Kras, Notch1, Nras, Pik3ca, Prkaca, Med1, Rb1, Sos1, Sp1, Src, Mapk14","Akt1, Jun, Mmp2, Ncoa3, Pik3r1, Sos2, Mapk8",0.469
"40","Inositol phosphate metabolism",0.004,0.023,0.935,66,18,11,"Pip4k2b, Pip4k2c, Inpp5d, Mtm1, Pik3ca, Pikfyve, Pip5k1c, Mtmr6, Pik3c3, Inpp5e, Ippk","Mtmr4, Pip5k1b, Itpk1, Ipmk, Isyna1, Plcd3, Sacm1l",0.442
"41","Cell cycle",0.004,0.026,1,120,28,22,"Cdc20, Atm, Bub1b, Ccnd2, Cdc7, Cdk7, Cdkn1b, Cdkn2c, Cdkn2d, Smc3, Gadd45a, Smad4, Orc2, Plk1, Prkdc, Rb1, Ywhae, Orc5, Anapc5, Ccnh, Anapc10, Mad2l2","Ccna2, Cdc25a, E2f5, Orc1, Ywhag, Orc4",0.51
"42","Th17 cell differentiation",0.004,0.026,1,93,23,11,"Il2ra, Il2rg, Lck, Smad4, Nfkb1, Ppp3cb, Rxrb, Stat5a, Stat6, Tgfbr1, Mapk14","Hif1a, Il12rb1, Il6, Il6st, Jak1, Jun, Nfatc3, Ppp3ca, Ppp3r1, Rela, Stat5b, Mapk8",0.363
"43","Basal transcription factors",0.005,0.027,1,38,12,6,"Cdk7, Taf6l, Taf5, Gtf2ird1, Ccnh, Taf15","Ercc3, Taf3, Taf6, Tbpl1, Taf8, Gtf2a1",0.408
"44","Rap1 signaling pathway",0.006,0.032,1,173,37,20,"Prkd2, Arap3, Adcy7, Angpt1, Angpt2, Akt2, Cdc42, Crk, Flt1, Lpar1, Kras, Nras, Pik3ca, Rapgef6, Src, Tiam1, Sipa1l2, Mapk14, Apbb1ip, Sipa1l3","Akt1, Rhoa, Egf, Flt4, Itgb3, Rac3, Met, Kitl, Pik3r1, Rasgrp2, Rras, Rapgef3, Farp2, Dock4, Magi2, Pard6a, Pard6b",0.377
"45","TNF signaling pathway",0.006,0.033,1,106,25,14,"Akt2, Birc3, Bcl3, Edn1, Nfkb1, Pik3ca, Ccl12, Creb3l2, Tnf, Tnfrsf1b, Map2k7, Mapk14, Tab1, Dnm1l","Akt1, Creb3, Fadd, Il6, Jun, Mmp14, Pik3r1, Rela, Traf3, Map3k7, Mapk8",0.398
"46","mTOR signaling pathway",0.006,0.034,1,134,30,21,"Akt2, Cab39, Fzd1, Kras, Slc3a2, Nras, Pdpk1, Pik3ca, Sos1, Tnf, Sesn2, Mios, Depdc5, Wdr59, Fnip2, Rragd, Rragc, Mlst8, Tsc1, Atp6v1d, Eif4b","Sec13, Akt1, Rhoa, Atp6v1e1, Dvl1, Pik3r1, Sos2, Stk11, Stradb",0.462
"47","Toll-like receptor signaling pathway",0.007,0.034,1,85,21,10,"Akt2, Cd86, Ifnar2, Nfkb1, Pik3ca, Ccl4, Tnf, Map2k7, Mapk14, Tab1","Akt1, Fadd, Il6, Jun, Pik3r1, Rela, Traf3, Map3k7, Mapk8, Irf3, Ikbke",0.362
"48","Axon guidance",0.007,0.035,1,146,32,14,"Rhod, Cdc42, Cfl2, Ilk, Kras, Nras, Nrp1, Pik3ca, Plxna2, Ppp3cb, Rock2, Sema4c, Sema4d, Src","Rhoa, Cfl1, Efnb1, Limk2, Rac3, Met, Nfatc3, Pik3r1, Ppp3ca, Ppp3r1, Robo3, Rras, Rasa1, Plxnc1, Pard6a, Pard6b, Arhgef12, Pak4",0.328
"49","Fc gamma R-mediated phagocytosis",0.007,0.035,1,80,20,12,"Akt2, Cdc42, Cfl2, Crk, Inpp5d, Marcks, Pik3ca, Pip5k1c, Pld1, Ptprc, Bin1, Arpc5","Akt1, Cfl1, Limk2, Pik3r1, Pip5k1b, Pld2, Wasl, Arpc2",0.425
"50","VEGF signaling pathway",0.008,0.038,1,55,15,10,"Akt2, Casp9, Cdc42, Kras, Mapkapk2, Nras, Pik3ca, Ppp3cb, Src, Mapk14","Akt1, Rac3, Pik3r1, Ppp3ca, Ppp3r1",0.47
"51","Longevity regulating pathway - multiple species",0.008,0.038,1,55,15,10,"Adcy7, Akt2, Kras, Nras, Pik3ca, Prkaca, Prkag1, Hspa1a, Foxo1, Sirt1","Prkab2, Akt1, Atg5, Pik3r1, Prkab1",0.47
"52","Sphingolipid metabolism",0.009,0.042,1,36,11,8,"Galc, Neu1, Smpd2, Ugcg, Cers6, Asah2, Cers4, Cers5","Gla, Acer2, Neu3",0.516
"53","Ubiquitin mediated proteolysis",0.009,0.043,1,132,29,22,"Ube3c, Fbxo4, Cdc20, Birc3, Xiap, Cblb, Ube2l3, Uba1, Uba6, Herc1, AA414768, Ube2z, Pias1, Anapc5, Ube2d3, Smurf2, Ube2r2, Rchy1, Trim37, Anapc10, Trim32, Syvn1","Mgrn1, Cdc34, Ube2m, Ube2g2, Ube2h, Ube2k, Cul4a",0.489
"54","Insulin signaling pathway",0.01,0.043,1,121,27,16,"Akt2, Crk, Fasn, Kras, Lipe, Nras, Pde3b, Pdpk1, Pik3ca, Prkaca, Prkag1, Sos1, Cblb, Hk3, Foxo1, Tsc1","Prkab2, Pygl, Akt1, Elk1, Pik3r1, Prkab1, Ptprf, Sos2, Ppp1r3b, Mapk8, Pck2",0.408
"55","Phospholipase D signaling pathway",0.01,0.043,1,121,27,12,"Adcy7, Akt2, Arf1, Lpar1, Kras, Nras, Pik3ca, Pip5k1c, Pld1, Sos1, Dgkh, Tsc1","Akt1, Rhoa, Egf, Fcer1g, Gab1, Kitl, Pik3r1, Pip5k1b, Pld2, Cyth1, Rras, Sos2, Rapgef3, Dgkd, Pik3r5",0.334
"56","Adherens junction",0.011,0.047,1,62,16,6,"Cdc42, Csnk2b, Smad4, Src, Tgfbr1, Ssx2ip","Rhoa, Csnk2a1, Rac3, Met, Ptprf, Ptprj, Farp2, Map3k7, Iqgap1, Wasl",0.317
"57","Jak-STAT signaling pathway",0.011,0.047,1,122,27,15,"Akt2, Ccnd2, Csf3r, Ifnar2, Il10, Il10ra, Il2ra, Il2rg, Osm, Pik3ca, Sos1, Stat5a, Stat6, Socs5, Pias1","Akt1, Il12rb1, Il3ra, Il6, Il6st, Il7, Il7r, Jak1, Pik3r1, Sos2, Stat5b, Socs6",0.388
"58","Circadian rhythm",0.012,0.053,1,28,9,5,"Clock, Npas2, Per1, Prkag1, Bhlhe40","Csnk1d, Prkab2, Prkab1, Bhlhe41",0.438
"59","Th1 and Th2 cell differentiation",0.013,0.053,1,79,19,10,"Maml1, Il2ra, Il2rg, Lck, Nfkb1, Notch1, Ppp3cb, Stat5a, Stat6, Mapk14","Il12rb1, Jak1, Jun, Nfatc3, Ppp3ca, Ppp3r1, Rela, Stat5b, Mapk8",0.383
"60","Relaxin signaling pathway",0.014,0.057,1,113,25,16,"Adcy7, Akt2, Edn1, Gnb5, Kras, Nfkb1, Nras, Pik3ca, Prkaca, Sos1, Src, Creb3l2, Arrb2, Tgfbr1, Map2k7, Mapk14","Akt1, Creb3, Gnb1, Jun, Mmp2, Pik3r1, Rela, Sos2, Mapk8",0.431
"61","Apelin signaling pathway",0.014,0.058,1,119,26,18,"Adcy7, Akt2, Gnb5, Itpr2, Kras, Lipe, Smad4, Mef2c, Mef2d, Nras, Pde3b, Prkaca, Prkag1, Slc8a1, Hdac4, Tfam, Tgfbr1, Pik3c3","Prkab2, Akt1, Gnb1, Prkab1, Rras, Pik3r5, Becn1, Gabarapl1",0.455
"62","Focal adhesion",0.015,0.061,1,172,35,18,"Akt2, Birc3, Xiap, Arhgap5, Ccnd2, Cdc42, Crk, Flt1, Ilk, Itga6, Ppp1r12a, Pdpk1, Pik3ca, Pip5k1c, Rock2, Sos1, Src, Itgb8","Akt1, Rhoa, Capn2, Egf, Elk1, Flt4, Itgb3, Jun, Rac3, Met, Pik3r1, Sos2, Ppp1r12c, Mapk8, Myl12a, Flnc, Pak4",0.359
"63","PI3K-Akt signaling pathway",0.016,0.062,1,269,51,28,"Angpt1, Angpt2, Akt2, Casp9, Ccnd2, Cdkn1b, Csf3r, Flt1, Gnb5, Lpar1, Ifnar2, Il2ra, Il2rg, Itga6, Kras, Nfkb1, Nras, Osm, Pdpk1, Pik3ca, Sos1, Creb3l2, Ppp2r5d, Ywhae, Itgb8, Mlst8, Tsc1, Eif4b","Akt1, Creb3, Egf, Flt4, Gnb1, Il3ra, Il6, Il7, Il7r, Itgb3, Jak1, Met, Kitl, Mtcp1, Pik3r1, Ppp2ca, Rela, Sos2, Stk11, Ywhag, Pkn3, Pik3r5, Pck2",0.369
"64","Wnt signaling pathway",0.017,0.066,1,115,25,13,"Apc, Ccnd2, Csnk2b, Fzd1, Invs, Smad4, Prkaca, Ppp3cb, Rock2, Frat2, Ctnnbip1, Tbl1xr1, Csnk1a1","Rhoa, Csnk2a1, Dvl1, Jun, Rac3, Nfatc3, Ppp3ca, Ppp3r1, Apc2, Map3k7, Mapk8, Peg12",0.369
"65","Progesterone-mediated oocyte maturation",0.02,0.076,1,77,18,13,"Kif22, Adcy7, Akt2, Cpeb1, Kras, Pde3b, Pik3ca, Prkaca, Plk1, Mapk14, Anapc5, Anapc10, Mad2l2","Akt1, Ccna2, Cdc25a, Pik3r1, Mapk8",0.478
"66","Gap junction",0.021,0.079,1,72,17,12,"Adcy7, Gna11, Lpar1, Itpr2, Kras, Nras, Prkaca, Sos1, Src, Mapk7, Map3k2, Tubb6","Csnk1d, Egf, Sos2, Tubb2a, Tubb5",0.471
"67","Thyroid hormone signaling pathway",0.021,0.079,1,100,22,15,"Akt2, Casp9, Kras, Notch1, Nras, Pdpk1, Pik3ca, Prkaca, Med1, Rxrb, Src, Tbc1d4, Thra, Rcan1, Foxo1","Akt1, Hif1a, Itgb3, Ncoa3, Pik3r1, Med27, Plcd3",0.451
"68","Platelet activation",0.022,0.081,1,106,23,11,"Fermt3, Adcy7, Akt2, Itpr2, Ppp1r12a, Pik3ca, Prkaca, Rock2, Src, Mapk14, Apbb1ip","Akt1, Rhoa, Btk, Fcer1g, Itgb3, Pik3r1, Rasgrp2, Snap23, Stim1, Pik3r5, Myl12a, Arhgef12",0.348
"69","cAMP signaling pathway",0.027,0.096,1,137,28,17,"Arap3, Npy, Adcy7, Akt2, Lipe, Ppp1r12a, Nfkb1, Pde3b, Pde4b, Pik3ca, Prkaca, Pld1, Ptger2, Rock2, Creb3l2, Tiam1, Acox3","Akt1, Rhoa, Creb3, Jun, Rac3, Pik3r1, Pld2, Rela, Rras, Rapgef3, Mapk8",0.406
"70","Estrogen signaling pathway",0.045,0.158,1,84,18,12,"Adcy7, Akt2, Itpr2, Kras, Nras, Pik3ca, Prkaca, Hspa1a, Sos1, Sp1, Src, Creb3l2","Akt1, Creb3, Jun, Mmp2, Pik3r1, Sos2",0.44
"71","Proteasome",0.046,0.16,1,45,11,6,"Psmb6, Psmb7, Psma4, Psma6, Psmb2, Pomp","Psmd2, Psmc4, Psmb3, Psmd8, Psmd11",0.395
