"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.RNA transport","Ntwrk.RNA transport","NtwrkCount.Proteasome","Ntwrk.Proteasome","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"28",270,"AMPD1",554,"HighConf","Novel",NA,8,"NT5C, AK4, ENTPD4, PDE1B, DCK, HPRT1, AK7, ITPA",0,NA,0,NA,0,"",0
"29",84250,"ANKRD32",729,"MedConf","Novel",NA,1,"POLE",0,NA,0,NA,0,"",0
"30",118429,"ANTXR2",745,"MedConf","Novel","NOD-like receptor signaling pathway",1,"UBC",0,NA,0,NA,0,"",0
"31",338,"APOB",268,"MedConf","Novel",NA,15,"ITGAM, AGRN, GPC2, MSR1, CALR, CALCR, LDLR, HSPA5, PDIA4, P4HB, SP1, LRP1, VCP, HSP90B1, UBC",0,NA,0,NA,0,"",0
"32",55843,"ARHGAP15",834,"HighConf","Novel",NA,8,"RHOV, ARHGEF6, ARHGDIB, RHOB, CDC42, ARHGEF3, RHOF, KALRN",0,NA,0,NA,0,"",0
"33",57569,"ARHGAP20",510,"MedConf","Novel",NA,8,"RHOF, ARHGEF6, RHOB, CDC42, ARHGEF3, ARHGDIB, KALRN, RHOV",0,NA,0,NA,0,"",0
"34",9743,"ARHGAP32",455,"MedConf","Novel",NA,8,"KALRN, RHOF, ARHGDIB, CDC42, ARHGEF3, RHOB, RHOV, ARHGEF6",0,NA,0,NA,0,"",0
"35",394,"ARHGAP5",509,"HighConf","Novel","Leukocyte transendothelial migration, Focal adhesion",9,"RHOF, CDC42, RHOV, RHOB, CLTA, ARHGEF3, ARHGEF6, ARHGDIB, KALRN",0,NA,0,NA,0,"",0
"36",64333,"ARHGAP9",833,"MedConf","Novel",NA,8,"ARHGEF6, RHOB, ARHGDIB, RHOV, CDC42, RHOF, ARHGEF3, KALRN",0,NA,0,NA,0,"",0
"37",397,"ARHGDIB",340,"MedConf","Novel","Vasopressin-regulated water reabsorption",14,"PRKX, ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, RHOB, NGFR, CDC42, A2M, RHOV, JUN",0,NA,0,NA,0,"",0
"38",50650,"ARHGEF3",390,"MedConf","Novel",NA,11,"ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, CDC42, RHOB, A2M, RHOV",0,NA,0,NA,0,"",0
"39",9459,"ARHGEF6",391,"HighConf","Novel","Regulation of actin cytoskeleton",18,"ITGA1, AGRN, ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, LAMA5, ITGB1, PXN, GIT1, MRAS, RHOV, CDC42, A2M, RHOB",0,NA,0,NA,0,"",0
"40",405,"ARNT",298,"HighConf","Novel",NA,13,"CXCR4, EDN1, TF, SLC2A1, TFF3, EPO, COPS5, SP1, CREB1, JUN, ALDOA, SMAD4, EPAS1",0,NA,0,NA,0,"",0
"41",10095,"ARPC1B",204,"MedConf","Novel","Regulation of actin cytoskeleton, Fc gamma R-mediated phagocytosis",5,"ACTR2, ABI1, PDGFRB, PSMA7, UBC",0,NA,1,"PSMA7",0,"",1
"42",427,"ASAH1",570,"HighConf","Novel","Sphingolipid signaling pathway",3,"SGPP2, PPAP2A, SMPD2",0,NA,0,NA,0,"",0
"43",50807,"ASAP1",677,"MedConf","Novel","Fc gamma R-mediated phagocytosis",2,"CLTA, UBC",0,NA,0,NA,0,"",0
"44",8853,"ASAP2",280,"MedConf","Novel","Fc gamma R-mediated phagocytosis",3,"CLTA, UBC, PXN",0,NA,0,NA,0,"",0
"45",25842,"ASF1A",648,"MedConf","Novel",NA,3,"ASF1B, ATR, TAF1",0,NA,0,NA,0,"",0
"46",55723,"ASF1B",266,"MedConf","Novel",NA,5,"ASF1A, KAT2B, ATR, UBC, TAF1",0,NA,0,NA,0,"",0
"47",55870,"ASH1L",688,"MedConf","Novel","Lysine degradation",1,"PLOD3",0,NA,0,NA,0,"",0
"48",467,"ATF3",176,"MedConf","Novel",NA,3,"SMAD4, JUN, UBC",0,NA,0,NA,0,"",0
"49",479,"ATP12A",453,"MedConf","Novel",NA,5,"ATP1A3, PPA1, ABCA2, ATP1B3, UBC",0,NA,0,NA,0,"",0
"50",478,"ATP1A3",539,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",7,"ATP1B2, ABCA2, FXYD7, UBC, ATP12A, ATP1B3, PRKX",0,NA,0,NA,0,"",0
"51",482,"ATP1B2",597,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",4,"FXYD7, ATP1B3, ATP1A3, PRKX",0,NA,0,NA,0,"",0
"52",483,"ATP1B3",451,"HighConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",7,"ATP12A, ATP1A3, ATP1B2, ABCA2, FXYD7, PRKX, UBC",0,NA,0,NA,0,"",0
"53",23439,"ATP1B4",824,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",1,"PRKX",0,NA,0,NA,0,"",0
"54",50617,"ATP6V0A4",835,"HighConf","Novel","Phagosome",4,"TF, PPA1, ATP6V1B2, TCIRG1",0,NA,0,NA,0,"",0
"55",526,"ATP6V1B2",132,"HighConf","Novel","Phagosome",5,"TCIRG1, PPA1, TF, ATP6V0A4, UBC",0,NA,0,NA,0,"",0
"56",545,"ATR",120,"HighConf","Novel","Cell cycle",15,"MCM8, RAD21, ASF1B, CDC25C, FANCG, SYCP3, ASF1A, TIPIN, FANCE, XPA, RAD51, UBC, BRCA2, MSH2, CCNB2",0,NA,0,NA,0,"",0
"57",552,"AVPR1A",496,"MedConf","Novel","Neuroactive ligand-receptor interaction, Phospholipase D signaling pathway",20,"NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, EDN1, KALRN, ADRBK1, TACR3, AGT, GNA11, TACR1, NMUR2, GNA15",0,NA,0,NA,0,"",0
"58",573,"BAG1",96,"MedConf","Novel",NA,3,"JUN, UBC, STUB1",0,NA,0,NA,0,"",0
"59",22893,"BAHD1",820,"MedConf","Novel",NA,2,"SUV39H1, RRP8",0,NA,0,NA,0,"",0
"60",25805,"BAMBI",684,"MedConf","Novel",NA,2,"BMPR1B, BMP7",0,NA,0,NA,0,"",0
"61",10286,"BCAS2",620,"MedConf","Novel","Spliceosome",6,"PRPF8, EFTUD2, MFAP1, UBC, PLRG1, CDC5L",0,NA,0,NA,0,"",0
"62",64919,"BCL11B",612,"MedConf","Novel",NA,1,"HDAC2",0,NA,0,NA,0,"",0
"63",598,"BCL2L1",123,"HighConf","Novel","NF-kappa B signaling pathway, PI3K-Akt signaling pathway, NOD-like receptor signaling pathway, Ras signaling pathway, Mitophagy - animal, Jak-STAT signaling pathway, Platinum drug resistance, Apoptosis",9,"STAT1, DIABLO, PRKAR2B, DNM1L, NMI, SPATA25, PMAIP1, PGAM5, UBC",0,NA,0,NA,0,"",0
"64",602,"BCL3",623,"MedConf","Novel","TNF signaling pathway",3,"RELA, IKBKB, UBC",0,NA,0,NA,0,"",0
"65",604,"BCL6",604,"HighConf","Novel",NA,3,"UBC, HDAC4, SIN3A",0,NA,0,NA,0,"",0
"66",623,"BDKRB1",513,"MedConf","Novel","Regulation of actin cytoskeleton, Neuroactive ligand-receptor interaction",43,"KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, CXCL11, HCAR2, GNA15, NPY, TACR1, CXCR4, TACR3, PTGDR2, CCR8, NMUR2, SSTR4, RGS20, FPR3, NMS, HTR1A, ADRBK1, GNA11, AGT, PNOC, KALRN, AVPR1A, CXCR3, EDN1, OPRM1, DRD2, CXCL8, CXCL13, S1PR2, CXCR5, C5, NPBWR2, GNAI3, MTNR1B, CHRM2",0,NA,0,NA,0,"",0
"67",332,"BIRC5",237,"MedConf","Novel","Platinum drug resistance, Apoptosis",28,"NUP43, BUB1B, CENPH, ITGB3BP, RANGAP1, CENPO, POLB, CENPP, RANBP2, SKA3, KIF18A, CDCA8, ITGA1, CYP2A6, GRAMD3, AIM1, KIF4A, REEP2, ITGB1, DIABLO, RAD21, MAX, PLK1, PSMA3, MIS12, UBC, GTSE1, PEBP1",3,"RANGAP1, RANBP2, NUP43",1,"PSMA3",0,"",4
"68",655,"BMP7",265,"MedConf","Novel","Cytokine-cytokine receptor interaction",4,"BMPR1B, SMAD6, BAMBI, SMAD1",0,NA,0,NA,0,"",0
"69",658,"BMPR1B",326,"MedConf","Novel","Cytokine-cytokine receptor interaction",6,"SMAD6, BAMBI, SMAD4, BMP7, MAP3K7, SMAD1",0,NA,0,NA,0,"",0
"70",673,"BRAF",175,"MedConf","Novel","Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Chemokine signaling pathway, cAMP signaling pathway, Focal adhesion, Serotonergic synapse, Long-term depression",8,"RAP1A, MRAS, CAPN3, YWHAG, YWHAH, MAP2K6, SFN, UBC",0,NA,0,NA,0,"",0
"71",8315,"BRAP",721,"MedConf","Novel","Ras signaling pathway",3,"MRAS, UBC, UBB",0,NA,0,NA,0,"",0
"72",675,"BRCA2",118,"MedConf","Novel",NA,3,"ATR, FANCG, RAD51",0,NA,0,NA,0,"",0
"73",9024,"BRSK2",650,"MedConf","Novel",NA,3,"CDC25B, UBC, CDC25C",0,NA,0,NA,0,"",0
"74",701,"BUB1B",263,"MedConf","Novel","Cell cycle",42,"CENPH, ITGB3BP, RANGAP1, CENPO, CENPP, RANBP2, SKA3, PSMF1, KIF18A, CDCA8, PHC2, CDC20B, PSMC4, RAD21, PSMD3, BIRC5, PSMD11, PSMC1, PSMD2, PSMC5, PSMD7, PSMA3, PSMB5, MIS12, RPS27A, UBB, PSMA7, PSMA6, UBC, PSMC2, PSMB1, NUP43, PSMB4, PSMA4, PSMD1, PLK1, PSMA5, PSMD6, PSMB2, PSMD12, PSMA1, CDC42",3,"RANGAP1, RANBP2, NUP43",22,"PSMF1, PSMD7, PSMD6, PSMD3, PSMD2, PSMD12, PSMD11, PSMD1, PSMC5, PSMC4, PSMC2, PSMC1, PSMB5, PSMB4, PSMB2, PSMB1, PSMA7, PSMA6, PSMA5, PSMA4, PSMA3, PSMA1",0,"",25
"75",727,"C5",333,"MedConf","Novel",NA,26,"NMUR2, AGT, CXCR5, CXCL13, CXCL8, MTNR1B, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, CXCR4, GNAI3, OPRM1, CCR8",0,NA,0,NA,0,"",0
"76",389813,"C9orf172",381,"MedConf","Novel",NA,2,"PARD6G, PDLIM7",0,NA,0,NA,0,"",0
"77",91768,"CABLES1",692,"HighConf","Novel",NA,1,"CTNND1",0,NA,0,NA,0,"",0
"78",775,"CACNA1C",400,"MedConf","Novel","MAPK signaling pathway, cAMP signaling pathway, Renin secretion, Serotonergic synapse, Insulin secretion, Adrenergic signaling in cardiomyocytes, GnRH signaling pathway, Dopaminergic synapse",14,"GNG10, CACNB4, CATSPERG, CACNA2D1, CATSPERB, NCAM1, PPP2CB, PPP2R5E, GNG3, PPP2R5A, PRKX, UBC, GNAO1, GNAI3",0,NA,0,NA,0,"",0
"79",781,"CACNA2D1",482,"HighConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",8,"CATSPERB, CACNA1C, PPP2R5E, PPP2CB, CATSPERG, PPP2R5A, CACNB4, PRKX",0,NA,0,NA,0,"",0
"80",9254,"CACNA2D2",808,"MedConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",4,"PPP2R5E, PRKX, PPP2CB, PPP2R5A",0,NA,0,NA,0,"",0
"81",785,"CACNB4",480,"HighConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",9,"CATSPERG, CACNA2D1, CATSPERB, NCAM1, PPP2CB, PPP2R5E, CACNA1C, PRKX, PPP2R5A",0,NA,0,NA,0,"",0
"82",799,"CALCR",254,"MedConf","Novel","Osteoclast differentiation, Neuroactive ligand-receptor interaction",12,"APOB, PTGIR, ADRB2, VIPR1, MC2R, GHRH, GPBAR1, HTR6, PTGER2, DRD5, SCT, HRH2",0,NA,0,NA,0,"",0
"83",811,"CALR",180,"MedConf","Novel","Phagosome",8,"LRP1, HSP90B1, APOB, HSPH1, PDIA3, MSR1, P4HB, UBC",0,NA,0,NA,0,"",0
"84",819,"CAMLG",669,"HighConf","Novel",NA,1,"EGFR",0,NA,0,NA,0,"",0
"85",824,"CAPN2",367,"MedConf","Novel","Focal adhesion, Apoptosis",5,"CAST, ITGA1, PXN, ITGB1, UBC",0,NA,0,NA,0,"",0
"86",825,"CAPN3",705,"HighConf","Novel",NA,1,"BRAF",0,NA,0,NA,0,"",0
"87",84433,"CARD11",676,"MedConf","Novel","NF-kappa B signaling pathway, T cell receptor signaling pathway",5,"UBC, MAP3K7, RELA, PDPK1, IKBKB",0,NA,0,NA,0,"",0
"88",831,"CAST",398,"MedConf","Novel",NA,4,"ITGA1, CAPN2, ITGB1, PXN",0,NA,0,NA,0,"",0
"89",79820,"CATSPERB",797,"MedConf","Novel",NA,4,"CACNA2D1, CATSPERG, CACNB4, CACNA1C",0,NA,0,NA,0,"",0
"90",57828,"CATSPERG",481,"MedConf","Novel",NA,4,"CACNA2D1, CATSPERB, CACNA1C, CACNB4",0,NA,0,NA,0,"",0
"91",859,"CAV3",816,"MedConf","Novel","Focal adhesion",4,"EGFR, PDGFRA, SNTG1, ITGB1",0,NA,0,NA,0,"",0
"92",55749,"CCAR1",227,"HighConf","Novel",NA,24,"HNRNPM, PAPOLA, PCF11, HNRNPH1, RBM10, PTBP1, PHF5A, SF3B2, YBX1, HNRNPA2B1, SRSF1, SRRM1, SF3B1, EFTUD2, SRSF3, POLR2F, NDUFA1, UBC, CD2BP2, SNRPD3, SF3B6, POLR2J, SRSF2, PRPF8",1,"SRRM1",0,NA,0,"",1
"93",93233,"CCDC114",858,"MedConf","Novel",NA,6,"DNAH2, DNAI2, DYNLL1, DYNC1I1, DYNC1H1, DYNLT3",0,NA,0,NA,0,"",0
"94",151903,"CCDC12",626,"HighConf","Novel","Spliceosome",1,"CDC5L",0,NA,0,NA,0,"",0
"95",55702,"CCDC94",634,"MedConf","Novel",NA,4,"PLRG1, CDC5L, SNW1, XAB2",0,NA,0,NA,0,"",0
"96",90324,"CCDC97",643,"MedConf","Novel",NA,2,"SF3B1, SF3B6",0,NA,0,NA,0,"",0
"97",6357,"CCL13",402,"MedConf","Novel","NF-kappa B signaling pathway, Cytokine-cytokine receptor interaction, Chemokine signaling pathway",5,"CXCR3, CXCR4, CXCR5, CCR8, CX3CR1",0,NA,0,NA,0,"",0
"98",6354,"CCL7",161,"HighConf","Novel","Cytokine-cytokine receptor interaction, Chemokine signaling pathway",5,"CCR8, CXCR4, CXCR5, CXCR3, CX3CR1",0,NA,0,NA,0,"",0
"99",9133,"CCNB2",100,"MedConf","Novel","Cell cycle",10,"ATR, PLK1, LIN52, LIN9, CDC25B, CDC25C, CKS2, MYBL2, UBC, SFN",0,NA,0,NA,0,"",0
"100",894,"CCND2",60,"HighConf","Novel","PI3K-Akt signaling pathway, Focal adhesion, Jak-STAT signaling pathway, Cell cycle",11,"MAX, SP1, CCNE1, TAF12, E2F3, CDK14, NMI, CDK12, PCNA, CCND3, UBC",0,NA,0,NA,0,"",0
"101",896,"CCND3",52,"HighConf","Novel","PI3K-Akt signaling pathway, Focal adhesion, Jak-STAT signaling pathway, Cell cycle",15,"CCND2, CCNE1, GAB2, MED14, MED7, MED26, E2F3, MED10, MED8, MED21, MED19, CDK14, NMI, CDK12, PCNA",0,NA,0,NA,0,"",0
"102",898,"CCNE1",141,"MedConf","Novel","PI3K-Akt signaling pathway, Cell cycle",10,"E2F3, MYBL2, HIST1H1B, NMI, UBC, FBXW7, MAX, PCNA, CCND3, CCND2",0,NA,0,NA,0,"",0
"103",1237,"CCR8",242,"HighConf","Novel","Cytokine-cytokine receptor interaction, Chemokine signaling pathway",32,"GNAI3, CXCR4, C5, NMUR2, AGT, ADRBK1, CXCR5, CXCL13, CXCL8, MTNR1B, CCL13, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, XCL2, PF4, GRK4, OPRM1, CCL7",0,NA,0,NA,0,"",0
"104",10576,"CCT2",53,"HighConf","Novel",NA,6,"PPP2CB, TUBA1A, TUBA4A, PPP4C, CTTNBP2, UBC",0,NA,0,NA,0,"",0
"105",929,"CD14",232,"HighConf","Novel","NF-kappa B signaling pathway, Toll-like receptor signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, Phagosome, Hematopoietic cell lineage",10,"TLR4, ITGAM, MYD88, TICAM1, TIRAP, TLR2, TOLLIP, LY96, EIF2AK2, ITGB1",0,NA,0,NA,0,"",0
"106",940,"CD28",219,"MedConf","Novel","T cell receptor signaling pathway",5,"PDPK1, PIK3R3, SYK, GAB2, CDC42",0,NA,0,NA,0,"",0
"107",10421,"CD2BP2",165,"MedConf","Novel",NA,21,"POLR2F, POLR2J, HNRNPA2B1, HNRNPH1, PTBP1, SRSF2, YBX1, PHF5A, SRSF1, SRSF3, CCAR1, HNRNPM, PAPOLA, PCF11, SRRM1, SF3B2, SNRPD3, EFTUD2, PRPF8, SF3B1, SF3B6",1,"SRRM1",0,NA,0,"",1
"108",166979,"CDC20B",696,"MedConf","Novel",NA,1,"BUB1B",0,NA,0,NA,0,"",0
"109",994,"CDC25B",239,"MedConf","Novel","MAPK signaling pathway, Cell cycle",9,"CDC25C, MAPK13, BRSK2, PLK1, YWHAH, SFN, YWHAG, CCNB2, UBC",0,NA,0,NA,0,"",0
"110",995,"CDC25C",269,"HighConf","Novel","Cell cycle",11,"PRKX, PRKAR2B, BRSK2, YWHAH, ATR, YWHAG, PLK1, PCNA, UBC, CCNB2, CDC25B",0,NA,0,NA,0,"",0
"111",997,"CDC34",616,"MedConf","Novel",NA,4,"RPS27A, UBB, UBC, FBXW7",0,NA,0,NA,0,"",0
"112",998,"CDC42",170,"MedConf","Novel","Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Leukocyte transendothelial migration, Chemokine signaling pathway, Focal adhesion, AGE-RAGE signaling pathway in diabetic complications, Ras signaling pathway, Fc gamma R-mediated phagocytosis, T cell receptor signaling pathway, GnRH signaling pathway",47,"PARD3, RAP1A, ACTR2, CD28, RHOB, GNAI3, BUB1B, RHOV, GNAO1, CXCR4, PIK3R3, CTNND1, MAPK13, ARHGDIB, GIT1, LAMA5, ARHGEF3, ARHGEF6, ITGA1, EXOC7, AGRN, ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, WIPF2, ITSN2, SPATA13, PARD6G, CDC42EP3, ARHGAP9, ARHGAP15, MUSK, MAP3K9, DOCK10, NGFR, EGFR, EPS8, MAP2K6, PLK1, RPS27A, PXN, UBB, A2M, ITGB1, UBC",0,NA,0,NA,0,"",0
"113",10602,"CDC42EP3",726,"MedConf","Novel",NA,1,"CDC42",0,NA,0,NA,0,"",0
"114",988,"CDC5L",79,"MedConf","Novel","Spliceosome",17,"PLRG1, PRPF8, SNRPD3, XAB2, SF3B2, SNW1, SF3B1, EFTUD2, TOP2A, SRRM1, SRSF1, DYNC1H1, BCAS2, CCDC12, CCDC94, SFPQ, UBC",1,"SRRM1",0,NA,0,"",1
"115",55143,"CDCA8",394,"HighConf","Novel",NA,16,"AIM1, CENPP, RAD21, PSMA3, CENPH, CENPO, BUB1B, MIS12, PEBP1, ITGB3BP, PLK1, NUP43, KIF18A, RANBP2, BIRC5, RANGAP1",3,"RANGAP1, RANBP2, NUP43",1,"PSMA3",0,"",4
"116",1016,"CDH18",685,"MedConf","Novel",NA,2,"CTNND1, CDH5",0,NA,0,NA,0,"",0
"117",1003,"CDH5",302,"MedConf","Novel","Leukocyte transendothelial migration",4,"CTNND1, CDH18, PARD6G, PARD3",0,NA,0,NA,0,"",0
"118",51755,"CDK12",713,"MedConf","Novel",NA,3,"CCND3, CCND2, CDK14",0,NA,0,NA,0,"",0
"119",5218,"CDK14",388,"HighConf","Novel",NA,3,"CDK12, CCND2, CCND3",0,NA,0,NA,0,"",0
"120",1045,"CDX2",244,"MedConf","Novel",NA,4,"SEC11C, PSMA5, PSMD2, PSMC4",0,NA,3,"PSMD2, PSMC4, PSMA5",0,"",3
"121",1052,"CEBPD",463,"MedConf","Novel",NA,16,"TTR, EGR2, G6PC, MED8, MED19, CREB1, MED26, UBC, RELA, SP1, MED7, MED14, MED21, MAX, KLF4, MED10",0,NA,0,NA,0,"",0
"122",64946,"CENPH",286,"MedConf","Novel",NA,14,"ITGB3BP, RANGAP1, CENPO, CENPP, RANBP2, KIF18A, CDCA8, BUB1B, PLK1, BIRC5, NUP43, RAD21, MIS12, UBC",3,"RANGAP1, RANBP2, NUP43",0,NA,0,"",3
"123",79172,"CENPO",369,"HighConf","Novel",NA,13,"CENPP, RANBP2, KIF18A, CDCA8, MIS12, BUB1B, ITGB3BP, BIRC5, RANGAP1, RAD21, PLK1, CENPH, NUP43",3,"RANGAP1, RANBP2, NUP43",0,NA,0,"",3
"124",401541,"CENPP",372,"MedConf","Novel",NA,13,"RANBP2, KIF18A, CDCA8, CENPH, BUB1B, CENPO, BIRC5, MIS12, RAD21, RANGAP1, ITGB3BP, NUP43, PLK1",3,"RANGAP1, RANBP2, NUP43",0,NA,0,"",3
