"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"18","Ubiquitin mediated proteolysis",0,0.007,0.118,134,22,19,"UBA2, STUB1, BIRC8, DDB1, CBLC, PRPF19, ANAPC2, ANAPC5, UBE2A, UBE2I, UBE2N, CUL3, CDC23, CDC16, UBA3, UBE2M, UBE3C, KEAP1, CDC20","FZR1, UBE2G1, CUL1",0.514
"19","Biosynthesis of amino acids",0.001,0.008,0.15,69,14,12,"ENO1, ENO3, ALDOA, GAPDH, MAT1A, MAT2A, ACO1, ACO2, PFKP, PGAM1, SHMT2, TPI1","CS, IDH3B",0.53
"20","Terpenoid backbone biosynthesis",0.001,0.011,0.227,22,7,7,"PMVK, NUS1, FDPS, PDSS1, MVD, PDSS2, DHDDS","",0.659
"21","Purine metabolism",0.001,0.013,0.27,170,25,23,"AK6, PAICS, POLD3, POLR3A, POLR3H, GUK1, ZNRD1, POLR3K, POLE3, POLA1, POLD2, POLE2, POLR2D, POLR2E, POLR2F, POLR2I, POLR2L, PRIM1, ALLC, POLE4, RRM2, POLR1E, POLR1B","ATIC, PRIM2",0.534
"22","One carbon pool by folate",0.002,0.025,0.556,19,6,5,"MTHFD2, MTFMT, DHFR, MTHFD1, SHMT2","ATIC",0.575
"23","Base excision repair",0.003,0.03,0.695,33,8,8,"POLD3, APEX2, HMGB1, PCNA, POLE3, POLD2, POLE2, POLE4","",0.621
"24","Cardiac muscle contraction",0.004,0.038,0.908,74,13,7,"COX7B, UQCRQ, UQCR10, ATP1A1, ATP1B3, RYR2, CACNG1","COX4I1, COX6C, COX7C, MYL3, CACNG7, UQCRC1",0.357
"25","Progesterone-mediated oocyte maturation",0.005,0.048,1,94,15,11,"GNAI2, ANAPC2, MAD2L1, SPDYE2, SPDYE5, ANAPC5, PLK1, CDC23, CDC16, CCNA2, PKMYT1","FZR1, PIK3CD, PIK3R2, MAPK11",0.446
"26","Carbon metabolism",0.005,0.05,1,113,17,15,"DLD, ENO1, ENO3, ALDOA, GAPDH, GPI, PGP, ACO1, ACO2, PFKP, PGAM1, SDHC, SDHD, SHMT2, TPI1","CS, IDH3B",0.516
"27","Citrate cycle (TCA cycle)",0.006,0.059,1,30,7,5,"DLD, ACO1, ACO2, SDHC, SDHD","CS, IDH3B",0.474
"28","Fanconi anemia pathway",0.01,0.085,1,48,9,7,"FANCE, FANCG, UBE2T, REV3L, RPA1, RPA3, SLX4","POLK, FANCM",0.483
"29","Glyoxylate and dicarboxylate metabolism",0.017,0.148,1,28,6,5,"DLD, PGP, ACO1, ACO2, SHMT2","CS",0.524
"30","Sulfur relay system",0.019,0.155,1,8,3,3,"MOCS3, CTU2, NFS1","",0.688
"31","Selenocompound metabolism",0.023,0.188,1,15,4,4,"PSTK, SEPHS2, SEPSECS, MARS2","",0.633
"32","2-Oxocarboxylic acid metabolism",0.036,0.282,1,17,4,2,"ACO1, ACO2","CS, IDH3B",0.368
"33","Porphyrin and chlorophyll metabolism",0.047,0.357,1,35,6,6,"EARS2, COX10, COX15, HMBS, UGT2A2, UROD","",0.586
