"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.Proteasome","Ntwrk.Proteasome","NtwrkCount.NA","Ntwrk.NA","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"19",156,"ADRBK1",512,"MedConf","Novel",NA,36,"CXCR5, GNA15, CXCL8, EDN1, TACR1, CXCR3, DRD2, TACR3, GNA11, AVPR1A, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, NCS1, CX3CR1, AGT, ADRB2, NMUR2, CAPN2, PDGFRB, PEBP1, GIT1, EGFR, UBC, CXCR4, OPRM1, CCR8, RPLP2",0,NA,0,"",0,"",0
"20",174,"AFP",630,"MedConf","Novel",NA,5,"TRIM41, JUN, SON, CEBPD, UBC",0,NA,0,"",0,"",0
"21",177,"AGER",649,"MedConf","Novel","AGE-RAGE signaling pathway in diabetic complications",5,"TTR, IKBKB, RELA, ITGAM, NFKBIB",0,NA,0,"",0,"",0
"22",375790,"AGRN",624,"HighConf","Novel",NA,17,"EXT2, GPC2, CSPG5, NCAM1, HPSE2, SLC35D2, MUSK, ITGB1, PXN, LRP1, CDC42, PTK2B, UBC, ARHGEF6, APOB, ITGA1, LAMA5",0,NA,0,"",0,"",0
"23",183,"AGT",491,"MedConf","Novel","Renin secretion",52,"ADRBK1, CXCR5, GNA15, CXCL13, CXCL8, MTNR1B, PRKAR2B, EDN1, TACR1, CXCR3, NPY, DRD2, TACR3, GNA11, PNOC, CXCL11, HTR1A, KALRN, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, AVPR1A, FPR3, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, MME, DNPEP, ACE, GNRH2, MEP1A, ADRB2, GNAI3, NMUR2, NCOA6, C5, CCR8, CXCR4, OPRM1, DNM1, CFTR",0,NA,0,"",0,"",0
"24",10598,"AHSA1",588,"MedConf","Novel",NA,5,"DDX39A, UBC, CFTR, HSP90B1, PGD",0,NA,0,"",0,"",0
"25",326,"AIRE",469,"HighConf","Novel",NA,7,"ASH1L, MSL3, HDAC2, HSPA5, SIN3B, MORF4L1, SIN3A",0,NA,0,"",0,"",0
"26",205,"AK4",1083,"HighConf","Novel",NA,5,"UBC, DCK, NT5C, PDE1B, AMPD1",0,NA,0,"",0,"",0
"27",122481,"AK7",744,"HighConf","Novel",NA,4,"PDE1B, AMPD1, NT5C, DCK",0,NA,0,"",0,"",0
"28",8227,"AKAP17A",1186,"HighConf","Novel",NA,2,"ZRANB2, SRSF1",0,NA,0,"",0,"",0
"29",211,"ALAS1",921,"MedConf","Novel",NA,4,"NCOA6, ESRRA, POLD4, UBC",0,NA,0,"",0,"",0
"30",214,"ALCAM",930,"MedConf","Novel",NA,2,"RELA, UBC",0,NA,0,"",0,"",0
"31",217,"ALDH2",1136,"MedConf","Novel","Lysine degradation",1,"UBC",0,NA,0,"",0,"",0
"32",224,"ALDH3A2",957,"HighConf","Novel","Lysine degradation",2,"ABAT, UBC",0,NA,0,"",0,"",0
"33",226,"ALDOA",353,"HighConf","Novel",NA,15,"ARNT, IGF2, LDHB, PF4, PGAM2, FBP1, DERA, TKTL2, SERPING1, G6PC, A2M, PDHA1, GAPDH, TGFB2, UBC",0,NA,0,"",0,"",0
"34",246,"ALOX15",1075,"MedConf","Novel","Serotonergic synapse",7,"GPX1, JMJD7-PLA2G4B, PLA2G4D, PEBP1, PLA2G6, PLA2G4A, GPX3",0,NA,0,"",0,"",0
"35",57679,"ALS2",1130,"HighConf","Novel",NA,1,"RAB5A",0,NA,0,"",0,"",0
"36",270,"AMPD1",746,"HighConf","Novel",NA,8,"NT5C, AK4, ENTPD4, DCK, HPRT1, ITPA, AK7, PDE1B",0,NA,0,"",0,"",0
"37",287,"ANK2",1129,"HighConf","Novel",NA,3,"KCNJ11, UBC, DCTN4",0,NA,0,"",0,"",0
"38",84250,"ANKRD32",929,"MedConf","Novel",NA,4,"UBC, HDAC2, POLE, ATR",0,NA,0,"",0,"",0
"39",23294,"ANKS1A",628,"MedConf","Novel",NA,3,"DNPEP, EGFR, UBC",0,NA,0,"",0,"",0
"40",118429,"ANTXR2",654,"MedConf","Novel","NOD-like receptor signaling pathway",3,"COL4A2, COL4A3, UBC",0,NA,0,"",0,"",0
"41",8943,"AP3D1",729,"MedConf","Novel",NA,3,"CTGF, UBB, UBC",0,NA,0,"",0,"",0
"42",320,"APBA1",1033,"MedConf","Novel",NA,2,"LIN7B, STX1A",0,NA,0,"",0,"",0
"43",321,"APBA2",844,"MedConf","Novel",NA,2,"LRP1, RELA",0,NA,0,"",0,"",0
"44",334,"APLP2",717,"MedConf","Novel",NA,5,"KCNA10, KCNA2, UBC, PRNP, JUN",0,NA,0,"",0,"",0
"45",338,"APOB",369,"MedConf","Novel",NA,17,"ITGAM, AGRN, GPC2, MSR1, BGN, UBC, HSPA5, VCP, P4HB, LDLR, CALR, CALCR, HSP90B1, SP1, SEC61A1, LRP1, PDIA4",0,NA,0,"",0,"",0
"46",361,"AQP4",1065,"HighConf","Novel","Vasopressin-regulated water reabsorption",1,"CSNK2A2",0,NA,0,"",0,"",0
"47",381,"ARF5",404,"MedConf","Novel",NA,6,"ARFIP1, DNAJA4, ASAP2, UBC, DNAJA1, COPB1",0,NA,0,"",0,"",0
"48",27236,"ARFIP1",620,"HighConf","Novel",NA,5,"TBC1D15, UBC, DNM1L, YAP1, ARF5",0,NA,0,"",0,"",0
"49",55843,"ARHGAP15",1085,"HighConf","Novel",NA,10,"ARHGEF6, RHOB, CDC42, RHOF, RHOV, UBC, WIPF2, ARHGEF3, KALRN, ARHGDIB",0,NA,0,"",0,"",0
"50",57569,"ARHGAP20",696,"MedConf","Novel",NA,9,"RHOF, ARHGEF6, ARHGEF3, SPOP, KALRN, RHOB, CDC42, RHOV, ARHGDIB",0,NA,0,"",0,"",0
"51",9743,"ARHGAP32",640,"MedConf","Novel",NA,11,"KALRN, RHOF, ARHGDIB, UBC, RHOB, CDC42, ARHGEF3, GAB2, RHOV, SHC2, ARHGEF6",0,NA,0,"",0,"",0
"52",394,"ARHGAP5",695,"HighConf","Novel","Leukocyte transendothelial migration, Focal adhesion",14,"RHOF, RHOV, ARHGEF3, PTK2B, RHOB, ITGA5, PXN, ARHGEF6, CLTA, ARHGDIB, ITGB1, CDC42, KALRN, RND2",0,NA,0,"",0,"",0
"53",64333,"ARHGAP9",1084,"MedConf","Novel",NA,11,"KALRN, ARHGEF3, CDC42, RHOV, RHOF, FHL2, UBC, RHOB, ARHGDIB, WIPF2, ARHGEF6",0,NA,0,"",0,"",0
"54",397,"ARHGDIB",465,"MedConf","Novel","Vasopressin-regulated water reabsorption",15,"PRKX, ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, RHOV, RHOB, UBC, CDC42, A2M, NGFR, JUN",0,NA,0,"",0,"",0
"55",50650,"ARHGEF3",538,"MedConf","Novel",NA,12,"ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, PPA1, ARHGAP9, ARHGAP15, RHOV, A2M, CDC42, RHOB",0,NA,0,"",0,"",0
"56",9459,"ARHGEF6",539,"HighConf","Novel","Regulation of actin cytoskeleton",19,"ITGA1, AGRN, ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, RHOB, UBC, LAMA5, A2M, PXN, ITGB1, MRAS, CDC42, GIT1, RHOV",0,NA,0,"",0,"",0
"57",54622,"ARL15",954,"MedConf","Novel",NA,2,"UBC, PFN1",0,NA,0,"",0,"",0
"58",405,"ARNT",357,"HighConf","Novel",NA,17,"CXCR4, EDN1, TF, BHLHE40, SLC2A1, TFF3, EPAS1, JUN, UBE2I, PTGES3, SMAD4, EPO, UBC, CREB1, COPS5, SP1, ALDOA",0,NA,0,"",0,"",0
"59",10095,"ARPC1B",264,"MedConf","Novel","Regulation of actin cytoskeleton",7,"ACTR2, SRPK2, ABI1, UBC, PDGFRB, PSMA7, TPD52",1,"PSMA7",0,"",0,"",1
"60",427,"ASAH1",763,"HighConf","Novel","Sphingolipid signaling pathway",5,"SGPP2, UBC, SRPK1, SMPD2, PPAP2A",0,NA,0,"",0,"",0
"61",50807,"ASAP1",501,"MedConf","Novel",NA,5,"RRAGA, PXN, CLTA, PTK2B, UBC",0,NA,0,"",0,"",0
"62",8853,"ASAP2",315,"MedConf","Novel",NA,5,"PTK2B, ARF5, CLTA, UBC, PXN",0,NA,0,"",0,"",0
"63",136371,"ASB10",1146,"MedConf","Novel",NA,1,"PSMA4",1,"PSMA4",0,"",0,"",1
"64",51008,"ASCC1",1003,"HighConf","Novel",NA,5,"JUN, RELA, PLSCR1, NCOA6, UBC",0,NA,0,"",0,"",0
"65",25842,"ASF1A",467,"MedConf","Novel",NA,11,"ASH1L, YEATS4, KAT2B, CFDP1, RAD51, TAF1, HAT1, MORF4L1, ATR, ASF1B, MSH2",0,NA,0,"",0,"",0
"66",55723,"ASF1B",320,"MedConf","Novel",NA,13,"HAT1, ASF1A, ASH1L, MORF4L1, KAT2B, RAD51, YEATS4, TAF1, UBC, MSH2, CFDP1, ATR, HCFC1",0,NA,0,"",0,"",0
"67",432,"ASGR1",1097,"MedConf","Novel","Thyroid hormone synthesis",2,"HSPA5, HSP90B1",0,NA,0,"",0,"",0
"68",55870,"ASH1L",528,"MedConf","Novel","Lysine degradation",32,"HIST1H4F, HIST1H4C, H2AFY2, MSL3, HIST2H3C, C17orf64, CFDP1, HDAC4, HDAC2, TAF1, USP30, SIN3B, TAF12, WDR5B, CHD4, SIN3A, ASF1A, MORF4L1, CDC5L, YEATS4, EZH1, PLOD3, INO80, UBC, MYBL2, WDR5, ASF1B, AIRE, ASH2L, NFYB, SMARCA1, PHF12",0,NA,0,"",0,"",0
"69",9070,"ASH2L",110,"HighConf","Novel",NA,12,"SP1, NCOA6, HCFC1, ASH1L, OGT, KDM6A, WDR5B, WDR5, UBC, PSMC5, SIN3A, CFDP1",1,"PSMC5",0,"",0,"",1
"70",434,"ASIP",484,"MedConf","Novel",NA,5,"MC2R, CCDC88A, PARD6G, PNMA1, YWHAH",0,NA,0,"",0,"",0
"71",467,"ATF3",151,"MedConf","Novel",NA,7,"STAT1, SMAD4, HDAC4, RELA, SUMO3, UBC, JUN",0,NA,0,"",0,"",0
"72",1388,"ATF6B",1202,"MedConf","Novel","PI3K-Akt signaling pathway, Thyroid hormone synthesis, TNF signaling pathway, Protein processing in endoplasmic reticulum, Relaxin signaling pathway, Insulin secretion, Adrenergic signaling in cardiomyocytes",1,"NFYC",0,NA,0,"",0,"",0
"73",80063,"ATF7IP2",1196,"MedConf","Novel",NA,1,"SP1",0,NA,0,"",0,"",0
"74",9776,"ATG13",508,"MedConf","Novel",NA,2,"GABARAPL2, ULK3",0,NA,0,"",0,"",0
"75",479,"ATP12A",635,"MedConf","Novel",NA,5,"ATP1A3, PPA1, ABCA2, ATP1B3, UBC",0,NA,0,"",0,"",0
"76",478,"ATP1A3",731,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion, Adrenergic signaling in cardiomyocytes",7,"ATP1B2, ABCA2, FXYD7, ATP12A, PRKX, UBC, ATP1B3",0,NA,0,"",0,"",0
"77",482,"ATP1B2",791,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion, Adrenergic signaling in cardiomyocytes",4,"FXYD7, ATP1A3, PRKX, ATP1B3",0,NA,0,"",0,"",0
"78",483,"ATP1B3",631,"HighConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion, Adrenergic signaling in cardiomyocytes",7,"ATP12A, ATP1A3, ATP1B2, ABCA2, FXYD7, PRKX, UBC",0,NA,0,"",0,"",0
"79",23439,"ATP1B4",1074,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion, Adrenergic signaling in cardiomyocytes",2,"BACE1, PRKX",0,NA,0,"",0,"",0
"80",487,"ATP2A1",776,"MedConf","Novel",NA,3,"SLC11A1, ATP2B3, UBC",0,NA,0,"",0,"",0
"81",492,"ATP2B3",1167,"MedConf","Novel","cAMP signaling pathway, Adrenergic signaling in cardiomyocytes",2,"ATP2A1, PPP3R2",0,NA,0,"",0,"",0
"82",50617,"ATP6V0A4",1086,"HighConf","Novel","Phagosome",5,"UBC, TF, PPA1, TCIRG1, ATP6V1B2",0,NA,0,"",0,"",0
"83",526,"ATP6V1B2",170,"HighConf","Novel","Phagosome",13,"TUBA1A, ZFYVE19, TCIRG1, PPA1, TF, YIF1B, ATP6V0A4, UBB, UBE2V2, UBC, MSH2, SRXN1, WDR5",0,NA,0,"",0,"",0
"84",545,"ATR",149,"HighConf","Novel",NA,24,"UBE2V2, MCM8, EEF1E1, RAD21, ASF1B, CREB1, CDC25C, ASF1A, FANCG, RFX5, TIPIN, SYCP3, FANCE, ANKRD32, CCNB2, CDC5L, RAD51, UBC, XPA, BRCA2, MTA2, MSH2, HDAC2, CHD4",0,NA,0,"",0,"",0
"85",550,"AUP1",938,"MedConf","Novel",NA,8,"ITGA1, RNF139, ITGAM, VCP, ITGAV, UBC, ITGA5, OPRM1",0,NA,0,"",0,"",0
"86",552,"AVPR1A",683,"MedConf","Novel","Neuroactive ligand-receptor interaction",20,"NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, ADRBK1, TACR3, NMUR2, AGT, KALRN, EDN1, GNA15, TACR1, GNA11",0,NA,0,"",0,"",0
"87",23621,"BACE1",126,"MedConf","Novel",NA,8,"COPS5, LRP1, NCSTN, PLSCR1, PDIA3, RANBP9, ATP1B4, UBC",0,NA,0,"",0,"",0
"88",573,"BAG1",115,"MedConf","Novel","Protein processing in endoplasmic reticulum",12,"JUN, BCL2L1, CFTR, PDGFRB, GSKIP, PARK7, PANK4, PSMD1, UBC, STUB1, PSMA3, PSMD2",3,"PSMD2, PSMD1, PSMA3",0,"",0,"",3
"89",22893,"BAHD1",1070,"MedConf","Novel",NA,3,"SUV39H1, HDAC2, RRP8",0,NA,0,"",0,"",0
"90",25805,"BAMBI",878,"MedConf","Novel",NA,5,"BMPR1B, BMP7, ACVRL1, UBC, SMAD6",0,NA,0,"",0,"",0
"91",55973,"BCAP29",798,"MedConf","Novel",NA,2,"BCAP31, UBC",0,NA,0,"",0,"",0
"92",10134,"BCAP31",1148,"MedConf","Novel","Protein processing in endoplasmic reticulum",2,"BCL2L1, BCAP29",0,NA,0,"",0,"",0
"93",10286,"BCAS2",242,"MedConf","Novel","Spliceosome",14,"MYBL2, NCSTN, ACIN1, CDC5L, SF3B6, RBM39, SF3B1, SNW1, PLRG1, EFTUD2, XAB2, UBC, PRPF8, MFAP1",0,NA,0,"",0,"",0
"94",53335,"BCL11A",399,"MedConf","Novel",NA,7,"MBD3, UBC, CHD4, BCL6, HDAC2, SUMO3, MTA2",0,NA,0,"",0,"",0
"95",64919,"BCL11B",122,"MedConf","Novel",NA,6,"SUV39H1, MBD3, MTA2, HDAC2, SP1, CHD4",0,NA,0,"",0,"",0
"96",598,"BCL2L1",153,"HighConf","Novel","NF-kappa B signaling pathway, PI3K-Akt signaling pathway, NOD-like receptor signaling pathway, Ras signaling pathway, Mitophagy - animal",17,"STAT1, DIABLO, YAP1, CFLAR, RTN4, DNM1L, DYNLL1, PRKAR2B, NMI, PARK7, SPATA25, PMAIP1, BCAP31, PARK2, PGAM5, UBC, BAG1",0,NA,0,"",0,"",0
"97",602,"BCL3",375,"MedConf","Novel","TNF signaling pathway",11,"GSK3A, CYLD, HDAC2, PSMB1, IKBKB, JUN, UBC, NCOA6, STAT1, COPS5, RELA",1,"PSMB1",0,"",0,"",1
"98",604,"BCL6",49,"HighConf","Novel",NA,11,"HDAC2, SP1, JUN, ZBTB16, SPI1, BCL11A, MBD3, KDM2A, SIN3A, UBC, HDAC4",0,NA,0,"",0,"",0
"99",623,"BDKRB1",700,"MedConf","Novel","Regulation of actin cytoskeleton, Neuroactive ligand-receptor interaction",44,"KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, MEP1A, CXCL8, CXCR3, CXCL13, AGT, CXCL11, NPY, FPR3, CXCR5, S1PR2, KALRN, PNOC, HCAR2, PTGDR2, TACR1, GNA11, TACR3, CXCR4, GNA15, DRD2, CHRM2, EDN1, C5, NMUR2, ADRBK1, SSTR4, NPBWR2, NMS, MTNR1B, GNAI3, HTR1A, RGS20, OPRM1, CCR8, AVPR1A",0,NA,0,"",0,"",0
"100",633,"BGN",1161,"MedConf","Novel",NA,3,"COL1A2, COL4A2, APOB",0,NA,0,"",0,"",0
"101",8553,"BHLHE40",841,"MedConf","Novel",NA,7,"UBC, CSNK2A2, ARNT, UBE2I, SIN3A, EPAS1, PPP2R5E",0,NA,0,"",0,"",0
"102",332,"BIRC5",318,"MedConf","Novel",NA,24,"NUP43, BUB1B, CENPH, ITGB3BP, RANGAP1, CENPO, POLB, CENPP, RANBP2, SKA3, KIF18A, ITGA1, CDCA8, KIF4A, PEBP1, MIS12, MAX, UBC, PSMA3, RAD21, YAP1, ITGB1, PLK1, DIABLO",1,"PSMA3",0,"",0,"",1
"103",2647,"BLOC1S1",816,"MedConf","Novel",NA,2,"UBC, HDAC2",0,NA,0,"",0,"",0
"104",655,"BMP7",366,"MedConf","Novel","Cytokine-cytokine receptor interaction",5,"BMPR1B, SMAD6, BAMBI, UBC, SMAD1",0,NA,0,"",0,"",0
"105",658,"BMPR1B",448,"MedConf","Novel","Cytokine-cytokine receptor interaction",8,"SMAD6, BAMBI, GDF9, SMAD1, SMAD4, BMP7, UBC, MAP3K7",0,NA,0,"",0,"",0
"106",660,"BMX",876,"MedConf","Novel",NA,3,"IKBKAP, RAP1A, STAT1",0,NA,0,"",0,"",0
"107",673,"BRAF",144,"MedConf","Novel","Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Chemokine signaling pathway, cAMP signaling pathway, Focal adhesion, Serotonergic synapse, Long-term depression",13,"RAP1A, PEBP1, MRAS, KRAS, BRAP, CAPN3, SPEN, DNAJC27, YWHAG, SFN, YWHAH, UBC, MAP2K6",0,NA,0,"",0,"",0
"108",8315,"BRAP",629,"MedConf","Novel","Ras signaling pathway",10,"TRIM41, IKBKB, ISG15, OASL, MRAS, BRAF, UBC, UBB, SYNE2, NFKBIB",0,NA,0,"",0,"",0
"109",675,"BRCA2",147,"MedConf","Novel",NA,13,"ATR, CCNE1, KAT2B, PLK1, RAD21, BUB1B, FANCG, SYCP3, FANCE, PALB2, RAD51, MTA2, PCNA",0,NA,0,"",0,"",0
"110",9024,"BRSK2",422,"MedConf","Novel",NA,9,"KBTBD7, UBC, COPS5, CDC25B, ACACB, UBB, PLK1, VCP, CDC25C",0,NA,0,"",0,"",0
"111",151888,"BTLA",946,"MedConf","Novel",NA,1,"PTPN6",0,NA,0,"",0,"",0
"112",701,"BUB1B",358,"MedConf","Novel",NA,47,"CENPH, ITGB3BP, RANGAP1, CENPO, CENPP, RANBP2, SKA3, PSMF1, KIF18A, PHC2, CDCA8, MXI1, PSMB4, PSMB5, PSMD12, BIRC5, PSMC5, PLK1, PSMC4, PSMB1, PSMA3, PSMA5, CDC42, UBB, RAD21, PSMD3, PARP1, PSMC2, MIS12, BRCA2, PSMD7, PSMB2, PSMA1, HDAC4, RPS27A, KAT2B, PSMD2, PSMD11, PSMD6, PSMD1, NUP43, PSMA7, PSMA4, UBC, PSMA6, HDAC2, PSMC1",22,"PSMF1, PSMD7, PSMD6, PSMD3, PSMD2, PSMD12, PSMD11, PSMD1, PSMC5, PSMC4, PSMC2, PSMC1, PSMB5, PSMB4, PSMB2, PSMB1, PSMA7, PSMA6, PSMA5, PSMA4, PSMA3, PSMA1",0,"",0,"",22
"113",144097,"C11orf84",1198,"MedConf","Novel",NA,1,"EGFR",0,NA,0,"",0,"",0
"114",124773,"C17orf64",1225,"MedConf","Novel",NA,1,"ASH1L",0,NA,0,"",0,"",0
"115",717,"C2",1145,"HighConf","Novel",NA,2,"PSMA4, C5",1,"PSMA4",0,"",0,"",1
"116",727,"C5",455,"MedConf","Novel",NA,27,"NMUR2, AGT, CXCR5, CXCL13, CXCL8, MTNR1B, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, C2, OPRM1, CXCR4, CCR8, GNAI3",0,NA,0,"",0,"",0
"117",389813,"C9orf172",526,"MedConf","Novel",NA,2,"PARD6G, PDLIM7",0,NA,0,"",0,"",0
"118",91768,"CABLES1",886,"HighConf","Novel",NA,2,"CCNE1, CTNND1",0,NA,0,"",0,"",0
"119",775,"CACNA1C",553,"MedConf","Novel","MAPK signaling pathway, cAMP signaling pathway, Renin secretion, Serotonergic synapse, Insulin secretion, Adrenergic signaling in cardiomyocytes, GnRH signaling pathway",18,"GNG10, CACNB4, CATSPERG, CACNA2D1, CATSPERB, NCAM1, GNAI3, UBC, HDAC4, GNG3, VCP, GNAO1, PPP2R5E, UBB, PRKX, COPS5, PPP2R5A, PPP2CB",0,NA,0,"",0,"",0
"120",781,"CACNA2D1",670,"HighConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",9,"CATSPERB, CACNA1C, CATSPERG, PPP2R5E, PPP2R5A, PPP2CB, PRKX, CACNB4, NDUFS4",0,NA,0,"",0,"",0
"121",9254,"CACNA2D2",1058,"MedConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",4,"PRKX, PPP2R5A, PPP2R5E, PPP2CB",0,NA,0,"",0,"",0
"122",785,"CACNB4",668,"HighConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",11,"CATSPERG, CACNA2D1, CATSPERB, NCAM1, REM1, SYT1, PPP2R5E, PRKX, PPP2CB, CACNA1C, PPP2R5A",0,NA,0,"",0,"",0
"123",23705,"CADM1",828,"MedConf","Novel",NA,1,"PSMA6",1,"PSMA6",0,"",0,"",1
"124",8618,"CADPS",1219,"MedConf","Novel",NA,1,"DRD2",0,NA,0,"",0,"",0
"125",57658,"CALCOCO1",621,"MedConf","Novel",NA,1,"TBC1D15",0,NA,0,"",0,"",0
"126",799,"CALCR",346,"MedConf","Novel","Osteoclast differentiation, Neuroactive ligand-receptor interaction",13,"APOB, PTGIR, ADRB2, VIPR1, MC2R, GHRH, GPBAR1, HTR6, PTGER2, DRD5, SCT, LRP1, HRH2",0,NA,0,"",0,"",0
"127",811,"CALR",222,"MedConf","Novel","Protein processing in endoplasmic reticulum, Phagosome",17,"LRP1, HSP90B1, APOB, KCNH2, EEF2K, HSPH1, JAG1, ITGA5, NKX2-1, PDIA3, TF, SLC2A1, MSR1, ITGAV, SH3GLB1, P4HB, UBC",0,NA,0,"",0,"",0
"128",819,"CAMLG",859,"HighConf","Novel",NA,3,"UBC, KCNA2, EGFR",0,NA,0,"",0,"",0
"129",824,"CAPN2",380,"MedConf","Novel","Focal adhesion, Protein processing in endoplasmic reticulum",14,"ADRBK1, CAST, ITGA1, TMEFF2, TWF2, GAS2, CAPNS2, ITGB1, UBC, PDIA4, NSFL1C, PTMA, PXN, UBXN1",0,NA,0,"",0,"",0
"130",825,"CAPN3",803,"HighConf","Novel",NA,2,"DYSF, BRAF",0,NA,0,"",0,"",0
"131",84290,"CAPNS2",1201,"MedConf","Novel",NA,1,"CAPN2",0,NA,0,"",0,"",0
"132",4076,"CAPRIN1",967,"HighConf","Novel",NA,3,"UBC, NXF1, TSG101",0,NA,0,"",0,"",0
