"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"PPAR signaling pathway",0.001,0.027,0.355,74,6,"FABP4, FABP5, ACSL1, ACSL4, HMGCS1, CD36"
"Complement and coagulation cascades",0.002,0.044,0.642,83,6,"ITGAM, ITGAX, ITGB2, SERPINB2, PLAUR, VTN"
"TNF signaling pathway",0.003,0.044,0.654,112,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1"
"Mineral absorption",0.003,0.046,0.741,59,5,"FTH1, FTL, HMOX1, MT2A, ATP2B4"
"Cytosolic DNA-sensing pathway",0.004,0.058,0.987,63,5,"DDX58, IL1B, CCL4L1, NFKB1, CCL5"
"Natural killer cell mediated cytotoxicity",0.004,0.059,1,122,7,"FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2, CD48"
"Tryptophan metabolism",0.005,0.063,1,41,4,"IL4I1, IDO1, KMO, KYNU"
"Type I diabetes mellitus",0.005,0.071,1,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"AGE-RAGE signaling pathway in diabetic complications",0.006,0.075,1,100,6,"ICAM1, IL1A, IL1B, NFKB1, STAT1, STAT5A"
"Antigen processing and presentation",0.006,0.075,1,71,5,"CTSB, HLA-A, HLA-B, LGMN, CD74"
"HIF-1 signaling pathway",0.009,0.097,1,107,6,"HK2, HMOX1, NFKB1, PFKFB3, TFRC, CAMK2D"
"Cholesterol metabolism",0.009,0.1,1,50,4,"NPC2, APOH, LIPA, CD36"
"Chemokine signaling pathway",0.014,0.141,1,190,8,"HCK, CCL4L1, NFKB1, CCL3, CCL5, CCL20, SRC, STAT1"
"Antifolate resistance",0.014,0.143,1,31,3,"IL1B, NFKB1, GGH"
"Fructose and mannose metabolism",0.017,0.164,1,33,3,"HK2, PFKFB3, FBP2"
"Alanine, aspartate and glutamate metabolism",0.023,0.214,1,37,3,"IL4I1, GFPT1, GLS"
"Apoptosis",0.024,0.214,1,134,6,"CTSB, CTSH, CTSZ, LMNB1, NFKB1, TRAF1"
"Adipocytokine signaling pathway",0.027,0.233,1,69,4,"ACSL1, ACSL4, NFKB1, CD36"
"Prolactin signaling pathway",0.029,0.233,1,70,4,"NFKB1, SRC, STAT1, STAT5A"
"RIG-I-like receptor signaling pathway",0.029,0.233,1,70,4,"DDX58, NFKB1, IFIH1, ISG15"
"Fatty acid biosynthesis",0.032,0.25,1,17,2,"ACSL1, ACSL4"
"Leukocyte transendothelial migration",0.034,0.256,1,108,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
"ErbB signaling pathway",0.051,0.376,1,84,4,"SRC, STAT5A, CAMK2D, CBL"
"Platelet activation",0.052,0.376,1,122,5,"FCER1G, LCP2, PLA2G4A, SRC, VAMP8"
"IL-17 signaling pathway",0.064,0.45,1,91,4,"IL1B, NFKB1, PTGS2, CCL20"
"Fatty acid metabolism",0.066,0.45,1,56,3,"ACSL1, ACSL4, PPT1"
"VEGF signaling pathway",0.072,0.477,1,58,3,"PLA2G4A, PTGS2, SRC"
"Inflammatory mediator regulation of TRP channels",0.078,0.486,1,97,4,"IL1B, PLA2G4A, SRC, CAMK2D"
"Viral protein interaction with cytokine and cytokine receptor",0.08,0.486,1,98,4,"CCL4L1, CCL3, CCL5, CCL20"
"Neomycin, kanamycin and gentamicin biosynthesis",0.08,0.486,1,5,1,"HK2"
"D-Glutamine and D-glutamate metabolism",0.08,0.486,1,5,1,"GLS"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.096,0.54,1,6,1,"IL4I1"
"Fc epsilon RI signaling pathway",0.097,0.54,1,66,3,"FCER1G, LCP2, PLA2G4A"
"Mitophagy - animal",0.097,0.54,1,66,3,"GABARAP, SRC, SQSTM1"
"Insulin resistance",0.102,0.54,1,107,4,"GFPT1, NFKB1, PTPN1, CD36"
"Th17 cell differentiation",0.102,0.54,1,107,4,"IL1B, NFKB1, STAT1, STAT5A"
"Biosynthesis of cofactors",0.104,0.54,1,150,5,"MAT2B, IDO1, KMO, GGH, KYNU"
"SNARE interactions in vesicular transport",0.104,0.54,1,33,2,"VAMP8, STX11"
"Cytokine-cytokine receptor interaction",0.106,0.54,1,288,8,"IL1A, IL1B, IL1RN, CCL4L1, CCL3, CCL5, CCL20, CD40"
"Cellular senescence",0.118,0.589,1,156,5,"HLA-A, HLA-B, IL1A, NFKB1, SQSTM1"
"Riboflavin metabolism",0.126,0.616,1,8,1,"ACP5"
"Fatty acid degradation",0.154,0.73,1,42,2,"ACSL1, ACSL4"
"Synthesis and degradation of ketone bodies",0.154,0.73,1,10,1,"HMGCS1"
"ECM-receptor interaction",0.168,0.775,1,85,3,"VTN, CD36, CD44"
"GABAergic synapse",0.184,0.775,1,89,3,"GABARAP, GLS, SRC"
"Ether lipid metabolism",0.184,0.775,1,47,2,"PLD3, PLA2G4A"
"Autophagy - animal",0.187,0.775,1,135,4,"GABARAP, CTSB, VAMP8, SQSTM1"
"Insulin signaling pathway",0.187,0.775,1,135,4,"HK2, PTPN1, CBL, FBP2"
"Amino sugar and nucleotide sugar metabolism",0.19,0.775,1,48,2,"GFPT1, HK2"
"Cysteine and methionine metabolism",0.19,0.775,1,48,2,"IL4I1, MAT2B"
"Valine, leucine and isoleucine degradation",0.19,0.775,1,48,2,"IL4I1, HMGCS1"
"Th1 and Th2 cell differentiation",0.197,0.775,1,92,3,"NFKB1, STAT1, STAT5A"
"GnRH signaling pathway",0.197,0.775,1,92,3,"PLA2G4A, SRC, CAMK2D"
"Salivary secretion",0.197,0.775,1,92,3,"CST3, LYZ, ATP2B4"
"Ovarian steroidogenesis",0.202,0.783,1,50,2,"PLA2G4A, PTGS2"
"Endocrine and other factor-regulated calcium reabsorption",0.22,0.842,1,53,2,"CLTA, ATP2B4"
"Regulation of lipolysis in adipocytes",0.232,0.876,1,55,2,"FABP4, PTGS2"
"Arachidonic acid metabolism",0.245,0.897,1,57,2,"PLA2G4A, PTGS2"
"Oxytocin signaling pathway",0.246,0.897,1,152,4,"PLA2G4A, PTGS2, SRC, CAMK2D"
"Phenylalanine metabolism",0.248,0.897,1,17,1,"IL4I1"
"Steroid biosynthesis",0.285,1,1,20,1,"LIPA"
"Arginine biosynthesis",0.297,1,1,21,1,"GLS"
"Glycolysis / Gluconeogenesis",0.3,1,1,66,2,"HK2, FBP2"
"Terpenoid backbone biosynthesis",0.309,1,1,22,1,"HMGCS1"
"Adherens junction",0.319,1,1,69,2,"PTPN1, SRC"
"Proximal tubule bicarbonate reclamation",0.32,1,1,23,1,"GLS"
"alpha-Linolenic acid metabolism",0.32,1,1,23,1,"PLA2G4A"
"AMPK signaling pathway",0.322,1,1,120,3,"PFKFB3, FBP2, CD36"
"Folate biosynthesis",0.354,1,1,26,1,"GGH"
"Fatty acid elongation",0.365,1,1,27,1,"PPT1"
"Linoleic acid metabolism",0.365,1,1,27,1,"PLA2G4A"
"Butanoate metabolism",0.375,1,1,28,1,"HMGCS1"
"Pentose phosphate pathway",0.386,1,1,29,1,"FBP2"
"Peroxisome",0.391,1,1,81,2,"ACSL1, ACSL4"
"Galactose metabolism",0.396,1,1,30,1,"HK2"
"Autophagy - other",0.406,1,1,31,1,"GABARAP"
"Non-alcoholic fatty liver disease",0.422,1,1,142,3,"IL1A, IL1B, NFKB1"
"Nicotinate and nicotinamide metabolism",0.435,1,1,34,1,"NAMPT"
"Starch and sucrose metabolism",0.445,1,1,35,1,"HK2"
"Tyrosine metabolism",0.454,1,1,36,1,"IL4I1"
"Rap1 signaling pathway",0.46,1,1,209,4,"ITGAM, ITGB2, LCP2, SRC"
"Fc gamma R-mediated phagocytosis",0.466,1,1,94,2,"HCK, PLA2G4A"
"Glycerophospholipid metabolism",0.477,1,1,96,2,"PLD3, PLA2G4A"
"Regulation of actin cytoskeleton",0.486,1,1,216,4,"ITGAM, ITGAX, ITGB2, SRC"
"Aldosterone synthesis and secretion",0.488,1,1,98,2,"ATP2B4, CAMK2D"
"Porphyrin and chlorophyll metabolism",0.49,1,1,40,1,"HMOX1"
"Tight junction",0.5,1,1,160,3,"SRC, CD1A, CD1C"
"JAK-STAT signaling pathway",0.504,1,1,161,3,"PTPN2, STAT1, STAT5A"
"Fat digestion and absorption",0.507,1,1,42,1,"CD36"
"T cell receptor signaling pathway",0.509,1,1,102,2,"LCP2, NFKB1"
"Aminoacyl-tRNA biosynthesis",0.523,1,1,44,1,"WARS1"
"Glucagon signaling pathway",0.525,1,1,105,2,"CAMK2D, FBP2"
"Carbohydrate digestion and absorption",0.531,1,1,45,1,"HK2"
"Type II diabetes mellitus",0.531,1,1,45,1,"HK2"
"MAPK signaling pathway",0.538,1,1,292,5,"IL1A, IL1B, NFKB1, NFKB2, PLA2G4A"
"Intestinal immune network for IgA production",0.547,1,1,47,1,"CD40"
"Serotonergic synapse",0.555,1,1,111,2,"PLA2G4A, PTGS2"
"Glutamatergic synapse",0.564,1,1,113,2,"GLS, PLA2G4A"
"Notch signaling pathway",0.576,1,1,51,1,"NCSTN"
"Oxidative phosphorylation",0.579,1,1,116,2,"ATP6AP1, PPA1"
"Carbon metabolism",0.579,1,1,116,2,"HK2, FBP2"
"Growth hormone synthesis, secretion and action",0.588,1,1,118,2,"STAT1, STAT5A"
"Sphingolipid signaling pathway",0.593,1,1,119,2,"FCER1G, NFKB1"
"Neurotrophin signaling pathway",0.593,1,1,119,2,"NFKB1, CAMK2D"
"Thyroid hormone signaling pathway",0.602,1,1,121,2,"SRC, STAT1"
"Long-term depression",0.63,1,1,59,1,"PLA2G4A"
"Relaxin signaling pathway",0.637,1,1,129,2,"NFKB1, SRC"
"Focal adhesion",0.645,1,1,198,3,"SRC, VTN, ZYX"
"Ubiquitin mediated proteolysis",0.67,1,1,137,2,"PML, CBL"
"Long-term potentiation",0.677,1,1,67,1,"CAMK2D"
"Renin secretion",0.687,1,1,69,1,"CTSB"
"Biosynthesis of amino acids",0.698,1,1,71,1,"MAT2B"
"cAMP signaling pathway",0.7,1,1,215,3,"NFKB1, ATP2B4, CAMK2D"
"Phospholipase D signaling pathway",0.703,1,1,146,2,"FCER1G, PLA2G4A"
"Adrenergic signaling in cardiomyocytes",0.711,1,1,148,2,"ATP2B4, CAMK2D"
"Gastric acid secretion",0.722,1,1,76,1,"CAMK2D"
"EGFR tyrosine kinase inhibitor resistance",0.732,1,1,78,1,"SRC"
"Synaptic vesicle cycle",0.732,1,1,78,1,"CLTA"
"Ras signaling pathway",0.737,1,1,228,3,"NFKB1, PLA2G4A, REL"
"B cell receptor signaling pathway",0.741,1,1,80,1,"NFKB1"
"RNA transport",0.747,1,1,159,2,"KPNB1, RANBP2"
"Insulin secretion",0.762,1,1,85,1,"CAMK2D"
"Gap junction",0.77,1,1,87,1,"SRC"
"Longevity regulating pathway",0.774,1,1,88,1,"NFKB1"
"Metabolic pathways",0.793,1,1,1447,21,"NAMPT, ACSL1, ACSL4, PLD3, IL4I1, GFPT1, MAT2B, GLS, HK2, HMGCS1, HMOX1, IDO1, PFKFB3, PLA2G4A, ATP6AP1, ACP5, PPT1, PTGS2, KMO, FBP2, KYNU"
"Endocrine resistance",0.799,1,1,95,1,"SRC"
"Axon guidance",0.801,1,1,178,2,"SRC, CAMK2D"
"Circadian entrainment",0.806,1,1,97,1,"CAMK2D"
"Pancreatic secretion",0.815,1,1,100,1,"ATP2B4"
"Melanogenesis",0.815,1,1,100,1,"CAMK2D"
"Cholinergic synapse",0.849,1,1,112,1,"CAMK2D"
"Calcium signaling pathway",0.851,1,1,200,2,"ATP2B4, CAMK2D"
"Oocyte meiosis",0.864,1,1,118,1,"CAMK2D"
"Thermogenesis",0.875,1,1,213,2,"ACSL1, ACSL4"
"FoxO signaling pathway",0.885,1,1,128,1,"GABARAP"
"Vascular smooth muscle contraction",0.889,1,1,130,1,"PLA2G4A"
"Dopaminergic synapse",0.893,1,1,132,1,"CAMK2D"
"Apelin signaling pathway",0.898,1,1,135,1,"GABARAP"
"Estrogen signaling pathway",0.902,1,1,137,1,"SRC"
"Retrograde endocannabinoid signaling",0.905,1,1,139,1,"PTGS2"
"Hippo signaling pathway",0.925,1,1,153,1,"ITGB2"
"Cushing syndrome",0.927,1,1,154,1,"CAMK2D"
"Wnt signaling pathway",0.93,1,1,157,1,"CAMK2D"
"Protein processing in endoplasmic reticulum",0.938,1,1,164,1,"EIF2AK2"
"cGMP-PKG signaling pathway",0.94,1,1,166,1,"ATP2B4"
"PI3K-Akt signaling pathway",0.982,1,1,348,2,"NFKB1, VTN"
"Olfactory transduction",0.999,1,1,401,1,"CAMK2D"
"Caffeine metabolism",1,1,1,6,0,""
"Drug metabolism - other enzymes",1,1,1,77,0,""
"Purine metabolism",1,1,1,126,0,""
"Platinum drug resistance",1,1,1,72,0,""
"mTOR signaling pathway",1,1,1,150,0,""
"Longevity regulating pathway - multiple species",1,1,1,62,0,""
"Signaling pathways regulating pluripotency of stem cells",1,1,1,140,0,""
"Progesterone-mediated oocyte maturation",1,1,1,89,0,""
"GnRH secretion",1,1,1,64,0,""
"Primary bile acid biosynthesis",1,1,1,17,0,""
"Protein digestion and absorption",1,1,1,101,0,""
"Apoptosis - multiple species",1,1,1,31,0,""
"Taste transduction",1,1,1,84,0,""
"Neuroactive ligand-receptor interaction",1,1,1,334,0,""
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,1,1,25,0,""
"Base excision repair",1,1,1,32,0,""
"ABC transporters",1,1,1,45,0,""
"Spliceosome",1,1,1,131,0,""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,1,20,0,""
"Homologous recombination",1,1,1,41,0,""
"Non-homologous end-joining",1,1,1,13,0,""
"RNA degradation",1,1,1,76,0,""
"Lysine degradation",1,1,1,62,0,""
"Renin-angiotensin system",1,1,1,23,0,""
"Glycosaminoglycan biosynthesis - keratan sulfate",1,1,1,14,0,""
"Cell cycle",1,1,1,122,0,""
"p53 signaling pathway",1,1,1,73,0,""
"Retinol metabolism",1,1,1,64,0,""
"Ribosome biogenesis in eukaryotes",1,1,1,71,0,""
"mRNA surveillance pathway",1,1,1,91,0,""
"N-Glycan biosynthesis",1,1,1,50,0,""
"Various types of N-glycan biosynthesis",1,1,1,39,0,""
"Proteasome",1,1,1,45,0,""
"Pyrimidine metabolism",1,1,1,56,0,""
"Basal transcription factors",1,1,1,42,0,""
"Nucleotide excision repair",1,1,1,45,0,""
"Ubiquinone and other terpenoid-quinone biosynthesis",1,1,1,11,0,""
"Bile secretion",1,1,1,88,0,""
"Parathyroid hormone synthesis, secretion and action",1,1,1,106,0,""
"TGF-beta signaling pathway",1,1,1,92,0,""
"Collecting duct acid secretion",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - lacto and neolacto series",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,1,15,0,""
"Pentose and glucuronate interconversions",1,1,1,30,0,""
"Ascorbate and aldarate metabolism",1,1,1,28,0,""
"Glycerolipid metabolism",1,1,1,61,0,""
"Mannose type O-glycan biosynthesis",1,1,1,22,0,""
"Cardiac muscle contraction",1,1,1,81,0,""
"Taurine and hypotaurine metabolism",1,1,1,10,0,""
"Sulfur metabolism",1,1,1,10,0,""
"Phosphonate and phosphinate metabolism",1,1,1,6,0,""
"Phosphatidylinositol signaling system",1,1,1,97,0,""
"Hippo signaling pathway - multiple species",1,1,1,26,0,""
"Inositol phosphate metabolism",1,1,1,73,0,""
"Thyroid hormone synthesis",1,1,1,75,0,""
"Cortisol synthesis and secretion",1,1,1,65,0,""
"Vasopressin-regulated water reabsorption",1,1,1,44,0,""
"DNA replication",1,1,1,36,0,""
"Sphingolipid metabolism",1,1,1,49,0,""
"Vitamin digestion and absorption",1,1,1,24,0,""
"Ribosome",1,1,1,129,0,""
"Other types of O-glycan biosynthesis",1,1,1,44,0,""
"Selenocompound metabolism",1,1,1,17,0,""
"One carbon pool by folate",1,1,1,19,0,""
"RNA polymerase",1,1,1,30,0,""
"Mismatch repair",1,1,1,23,0,""
"Steroid hormone biosynthesis",1,1,1,58,0,""
"Metabolism of xenobiotics by cytochrome P450",1,1,1,72,0,""
"Drug metabolism - cytochrome P450",1,1,1,66,0,""
"Other glycan degradation",1,1,1,18,0,""
"Histidine metabolism",1,1,1,21,0,""
"Glycosaminoglycan degradation",1,1,1,18,0,""
"Pyruvate metabolism",1,1,1,39,0,""
"Protein export",1,1,1,23,0,""
"Biosynthesis of unsaturated fatty acids",1,1,1,27,0,""
"Glycine, serine and threonine metabolism",1,1,1,39,0,""
"Valine, leucine and isoleucine biosynthesis",1,1,1,4,0,""
"Lipoic acid metabolism",1,1,1,3,0,""
"Hedgehog signaling pathway",1,1,1,48,0,""
"Fanconi anemia pathway",1,1,1,52,0,""
"Mucin type O-glycan biosynthesis",1,1,1,30,0,""
"Nitrogen metabolism",1,1,1,17,0,""
"Arginine and proline metabolism",1,1,1,49,0,""
"Glyoxylate and dicarboxylate metabolism",1,1,1,30,0,""
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,1,24,0,""
"Glutathione metabolism",1,1,1,55,0,""
"Thiamine metabolism",1,1,1,15,0,""
"Phototransduction",1,1,1,28,0,""
"2-Oxocarboxylic acid metabolism",1,1,1,18,0,""
"Circadian rhythm",1,1,1,30,0,""
"Citrate cycle (TCA cycle)",1,1,1,30,0,""
"Propanoate metabolism",1,1,1,34,0,""
"D-Arginine and D-ornithine metabolism",1,1,1,1,0,""
"Maturity onset diabetes of the young",1,1,1,25,0,""
"beta-Alanine metabolism",1,1,1,29,0,""
"Pantothenate and CoA biosynthesis",1,1,1,21,0,""
"Aldosterone-regulated sodium reabsorption",1,1,1,37,0,""
"Glycosphingolipid biosynthesis - ganglio series",1,1,1,15,0,""
"Sulfur relay system",1,1,1,8,0,""
"Vitamin B6 metabolism",1,1,1,6,0,""
"Biotin metabolism",1,1,1,3,0,""
