"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"PPAR signaling pathway",0.001,0.029,0.372,74,6,"FABP4, FABP5, ACSL1, ACSL4, HMGCS1, CD36"
"Complement and coagulation cascades",0.003,0.046,0.671,83,6,"ITGAM, ITGAX, ITGB2, SERPINB2, PLAUR, VTN"
"TNF signaling pathway",0.003,0.046,0.687,112,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1"
"Mineral absorption",0.003,0.048,0.77,59,5,"FTH1, FTL, HMOX1, MT2A, ATP2B4"
"Cytosolic DNA-sensing pathway",0.004,0.06,1,63,5,"DDX58, IL1B, CCL4L1, NFKB1, CCL5"
"Natural killer cell mediated cytotoxicity",0.004,0.062,1,122,7,"FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2, CD48"
"Tryptophan metabolism",0.005,0.065,1,41,4,"IL4I1, IDO1, KMO, KYNU"
"Type I diabetes mellitus",0.006,0.073,1,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"AGE-RAGE signaling pathway in diabetic complications",0.006,0.078,1,100,6,"ICAM1, IL1A, IL1B, NFKB1, STAT1, STAT5A"
"Antigen processing and presentation",0.007,0.078,1,71,5,"CTSB, HLA-A, HLA-B, LGMN, CD74"
"HIF-1 signaling pathway",0.009,0.101,1,107,6,"HK2, HMOX1, NFKB1, PFKFB3, TFRC, CAMK2D"
"Chemokine signaling pathway",0.014,0.153,1,190,8,"HCK, CCL4L1, NFKB1, CCL3, CCL5, CCL20, SRC, STAT1"
"Antifolate resistance",0.015,0.153,1,31,3,"IL1B, NFKB1, GGH"
"Fructose and mannose metabolism",0.017,0.174,1,33,3,"HK2, PFKFB3, FBP2"
"Alanine, aspartate and glutamate metabolism",0.024,0.227,1,37,3,"IL4I1, GFPT1, GLS"
"Apoptosis",0.025,0.23,1,134,6,"CTSB, CTSH, CTSZ, LMNB1, NFKB1, TRAF1"
"Adipocytokine signaling pathway",0.028,0.248,1,69,4,"ACSL1, ACSL4, NFKB1, CD36"
"Prolactin signaling pathway",0.03,0.248,1,70,4,"NFKB1, SRC, STAT1, STAT5A"
"RIG-I-like receptor signaling pathway",0.03,0.248,1,70,4,"DDX58, NFKB1, IFIH1, ISG15"
"Fatty acid biosynthesis",0.032,0.262,1,17,2,"ACSL1, ACSL4"
"Leukocyte transendothelial migration",0.035,0.273,1,108,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
"Cholesterol metabolism",0.051,0.387,1,50,3,"NPC2, LIPA, CD36"
"ErbB signaling pathway",0.052,0.387,1,84,4,"SRC, STAT5A, CAMK2D, CBL"
"Platelet activation",0.054,0.388,1,122,5,"FCER1G, LCP2, PLA2G4A, SRC, VAMP8"
"IL-17 signaling pathway",0.066,0.46,1,91,4,"IL1B, NFKB1, PTGS2, CCL20"
"Fatty acid metabolism",0.067,0.46,1,56,3,"ACSL1, ACSL4, PPT1"
"VEGF signaling pathway",0.073,0.487,1,58,3,"PLA2G4A, PTGS2, SRC"
"Inflammatory mediator regulation of TRP channels",0.08,0.495,1,97,4,"IL1B, PLA2G4A, SRC, CAMK2D"
"Neomycin, kanamycin and gentamicin biosynthesis",0.081,0.495,1,5,1,"HK2"
"D-Glutamine and D-glutamate metabolism",0.081,0.495,1,5,1,"GLS"
"Viral protein interaction with cytokine and cytokine receptor",0.082,0.495,1,98,4,"CCL4L1, CCL3, CCL5, CCL20"
"Non-alcoholic fatty liver disease",0.09,0.531,1,142,5,"IL1A, IL1B, NDUFA4, NDUFA10, NFKB1"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.097,0.545,1,6,1,"IL4I1"
"Fc epsilon RI signaling pathway",0.099,0.545,1,66,3,"FCER1G, LCP2, PLA2G4A"
"Mitophagy - animal",0.099,0.545,1,66,3,"GABARAP, SRC, SQSTM1"
"Insulin resistance",0.105,0.546,1,107,4,"GFPT1, NFKB1, PTPN1, CD36"
"SNARE interactions in vesicular transport",0.105,0.546,1,33,2,"VAMP8, STX11"
"Th17 cell differentiation",0.105,0.546,1,107,4,"IL1B, NFKB1, STAT1, STAT5A"
"Biosynthesis of cofactors",0.107,0.546,1,150,5,"MAT2B, IDO1, KMO, GGH, KYNU"
"Cytokine-cytokine receptor interaction",0.11,0.55,1,288,8,"IL1A, IL1B, IL1RN, CCL4L1, CCL3, CCL5, CCL20, CD40"
"Cellular senescence",0.121,0.593,1,156,5,"HLA-A, HLA-B, IL1A, NFKB1, SQSTM1"
"Riboflavin metabolism",0.127,0.61,1,8,1,"ACP5"
"Oxidative phosphorylation",0.13,0.615,1,116,4,"NDUFA4, NDUFA10, ATP6AP1, PPA1"
"Fatty acid degradation",0.156,0.712,1,42,2,"ACSL1, ACSL4"
"Synthesis and degradation of ketone bodies",0.156,0.712,1,10,1,"HMGCS1"
"ECM-receptor interaction",0.171,0.765,1,85,3,"VTN, CD36, CD44"
"Ether lipid metabolism",0.186,0.766,1,47,2,"PLD3, PLA2G4A"
"GABAergic synapse",0.187,0.766,1,89,3,"GABARAP, GLS, SRC"
"Autophagy - animal",0.191,0.766,1,135,4,"GABARAP, CTSB, VAMP8, SQSTM1"
"Insulin signaling pathway",0.191,0.766,1,135,4,"HK2, PTPN1, CBL, FBP2"
"Amino sugar and nucleotide sugar metabolism",0.192,0.766,1,48,2,"GFPT1, HK2"
"Cysteine and methionine metabolism",0.192,0.766,1,48,2,"IL4I1, MAT2B"
"Valine, leucine and isoleucine degradation",0.192,0.766,1,48,2,"IL4I1, HMGCS1"
"Th1 and Th2 cell differentiation",0.2,0.766,1,92,3,"NFKB1, STAT1, STAT5A"
"GnRH signaling pathway",0.2,0.766,1,92,3,"PLA2G4A, SRC, CAMK2D"
"Salivary secretion",0.2,0.766,1,92,3,"CST3, LYZ, ATP2B4"
"Ovarian steroidogenesis",0.204,0.77,1,50,2,"PLA2G4A, PTGS2"
"Endocrine and other factor-regulated calcium reabsorption",0.223,0.828,1,53,2,"CLTA, ATP2B4"
"Regulation of lipolysis in adipocytes",0.235,0.862,1,55,2,"FABP4, PTGS2"
"Arachidonic acid metabolism",0.248,0.882,1,57,2,"PLA2G4A, PTGS2"
"Phenylalanine metabolism",0.25,0.882,1,17,1,"IL4I1"
"Oxytocin signaling pathway",0.251,0.882,1,152,4,"PLA2G4A, PTGS2, SRC, CAMK2D"
"Steroid biosynthesis",0.287,0.996,1,20,1,"LIPA"
"Arginine biosynthesis",0.299,1,1,21,1,"GLS"
"Glycolysis / Gluconeogenesis",0.304,1,1,66,2,"HK2, FBP2"
"Terpenoid backbone biosynthesis",0.311,1,1,22,1,"HMGCS1"
"Adherens junction",0.323,1,1,69,2,"PTPN1, SRC"
"Proximal tubule bicarbonate reclamation",0.323,1,1,23,1,"GLS"
"alpha-Linolenic acid metabolism",0.323,1,1,23,1,"PLA2G4A"
"AMPK signaling pathway",0.327,1,1,120,3,"PFKFB3, FBP2, CD36"
"Folate biosynthesis",0.356,1,1,26,1,"GGH"
"Fatty acid elongation",0.367,1,1,27,1,"PPT1"
"Linoleic acid metabolism",0.367,1,1,27,1,"PLA2G4A"
"Butanoate metabolism",0.378,1,1,28,1,"HMGCS1"
"Pentose phosphate pathway",0.388,1,1,29,1,"FBP2"
"Peroxisome",0.396,1,1,81,2,"ACSL1, ACSL4"
"Galactose metabolism",0.399,1,1,30,1,"HK2"
"Autophagy - other",0.409,1,1,31,1,"GABARAP"
"Retrograde endocannabinoid signaling",0.414,1,1,139,3,"NDUFA4, NDUFA10, PTGS2"
"Nicotinate and nicotinamide metabolism",0.438,1,1,34,1,"NAMPT"
"Starch and sucrose metabolism",0.448,1,1,35,1,"HK2"
"Tyrosine metabolism",0.457,1,1,36,1,"IL4I1"
"Rap1 signaling pathway",0.467,1,1,209,4,"ITGAM, ITGB2, LCP2, SRC"
"Fc gamma R-mediated phagocytosis",0.47,1,1,94,2,"HCK, PLA2G4A"
"Glycerophospholipid metabolism",0.481,1,1,96,2,"PLD3, PLA2G4A"
"Thermogenesis",0.482,1,1,213,4,"ACSL1, ACSL4, NDUFA4, NDUFA10"
"Aldosterone synthesis and secretion",0.492,1,1,98,2,"ATP2B4, CAMK2D"
"Regulation of actin cytoskeleton",0.493,1,1,216,4,"ITGAM, ITGAX, ITGB2, SRC"
"Porphyrin and chlorophyll metabolism",0.493,1,1,40,1,"HMOX1"
"Tight junction",0.506,1,1,160,3,"SRC, CD1A, CD1C"
"JAK-STAT signaling pathway",0.51,1,1,161,3,"PTPN2, STAT1, STAT5A"
"Fat digestion and absorption",0.51,1,1,42,1,"CD36"
"T cell receptor signaling pathway",0.514,1,1,102,2,"LCP2, NFKB1"
"Aminoacyl-tRNA biosynthesis",0.526,1,1,44,1,"WARS1"
"Glucagon signaling pathway",0.529,1,1,105,2,"CAMK2D, FBP2"
"Carbohydrate digestion and absorption",0.534,1,1,45,1,"HK2"
"Type II diabetes mellitus",0.534,1,1,45,1,"HK2"
"MAPK signaling pathway",0.546,1,1,292,5,"IL1A, IL1B, NFKB1, NFKB2, PLA2G4A"
"Intestinal immune network for IgA production",0.55,1,1,47,1,"CD40"
"Serotonergic synapse",0.559,1,1,111,2,"PLA2G4A, PTGS2"
"Glutamatergic synapse",0.569,1,1,113,2,"GLS, PLA2G4A"
"Notch signaling pathway",0.579,1,1,51,1,"NCSTN"
"Carbon metabolism",0.584,1,1,116,2,"HK2, FBP2"
"Growth hormone synthesis, secretion and action",0.593,1,1,118,2,"STAT1, STAT5A"
"Sphingolipid signaling pathway",0.598,1,1,119,2,"FCER1G, NFKB1"
"Neurotrophin signaling pathway",0.598,1,1,119,2,"NFKB1, CAMK2D"
"Thyroid hormone signaling pathway",0.607,1,1,121,2,"SRC, STAT1"
"Long-term depression",0.633,1,1,59,1,"PLA2G4A"
"Relaxin signaling pathway",0.642,1,1,129,2,"NFKB1, SRC"
"Focal adhesion",0.651,1,1,198,3,"SRC, VTN, ZYX"
"Metabolic pathways",0.652,1,1,1447,23,"NAMPT, ACSL1, ACSL4, PLD3, IL4I1, GFPT1, MAT2B, GLS, HK2, HMGCS1, HMOX1, IDO1, NDUFA4, NDUFA10, PFKFB3, PLA2G4A, ATP6AP1, ACP5, PPT1, PTGS2, KMO, FBP2, KYNU"
"Ubiquitin mediated proteolysis",0.674,1,1,137,2,"PML, CBL"
"Long-term potentiation",0.68,1,1,67,1,"CAMK2D"
"Renin secretion",0.691,1,1,69,1,"CTSB"
"Biosynthesis of amino acids",0.701,1,1,71,1,"MAT2B"
"cAMP signaling pathway",0.705,1,1,215,3,"NFKB1, ATP2B4, CAMK2D"
"Phospholipase D signaling pathway",0.708,1,1,146,2,"FCER1G, PLA2G4A"
"Adrenergic signaling in cardiomyocytes",0.715,1,1,148,2,"ATP2B4, CAMK2D"
"Gastric acid secretion",0.726,1,1,76,1,"CAMK2D"
"EGFR tyrosine kinase inhibitor resistance",0.735,1,1,78,1,"SRC"
"Synaptic vesicle cycle",0.735,1,1,78,1,"CLTA"
"Ras signaling pathway",0.742,1,1,228,3,"NFKB1, PLA2G4A, REL"
"B cell receptor signaling pathway",0.744,1,1,80,1,"NFKB1"
"RNA transport",0.752,1,1,159,2,"KPNB1, RANBP2"
"Insulin secretion",0.765,1,1,85,1,"CAMK2D"
"Gap junction",0.773,1,1,87,1,"SRC"
"Longevity regulating pathway",0.777,1,1,88,1,"NFKB1"
"Endocrine resistance",0.802,1,1,95,1,"SRC"
"Axon guidance",0.805,1,1,178,2,"SRC, CAMK2D"
"Circadian entrainment",0.808,1,1,97,1,"CAMK2D"
"Pancreatic secretion",0.818,1,1,100,1,"ATP2B4"
"Melanogenesis",0.818,1,1,100,1,"CAMK2D"
"Cholinergic synapse",0.852,1,1,112,1,"CAMK2D"
"Calcium signaling pathway",0.854,1,1,200,2,"ATP2B4, CAMK2D"
"Oocyte meiosis",0.867,1,1,118,1,"CAMK2D"
"FoxO signaling pathway",0.888,1,1,128,1,"GABARAP"
"Vascular smooth muscle contraction",0.891,1,1,130,1,"PLA2G4A"
"Dopaminergic synapse",0.895,1,1,132,1,"CAMK2D"
"Apelin signaling pathway",0.9,1,1,135,1,"GABARAP"
"Estrogen signaling pathway",0.904,1,1,137,1,"SRC"
"Hippo signaling pathway",0.927,1,1,153,1,"ITGB2"
"Cushing syndrome",0.928,1,1,154,1,"CAMK2D"
"Wnt signaling pathway",0.932,1,1,157,1,"CAMK2D"
"Protein processing in endoplasmic reticulum",0.94,1,1,164,1,"EIF2AK2"
"cGMP-PKG signaling pathway",0.942,1,1,166,1,"ATP2B4"
"PI3K-Akt signaling pathway",0.983,1,1,348,2,"NFKB1, VTN"
"Olfactory transduction",0.999,1,1,401,1,"CAMK2D"
"Caffeine metabolism",1,1,1,6,0,""
"Drug metabolism - other enzymes",1,1,1,77,0,""
"Purine metabolism",1,1,1,126,0,""
"Platinum drug resistance",1,1,1,72,0,""
"mTOR signaling pathway",1,1,1,150,0,""
"Longevity regulating pathway - multiple species",1,1,1,62,0,""
"Signaling pathways regulating pluripotency of stem cells",1,1,1,140,0,""
"Progesterone-mediated oocyte maturation",1,1,1,89,0,""
"GnRH secretion",1,1,1,64,0,""
"Primary bile acid biosynthesis",1,1,1,17,0,""
"Protein digestion and absorption",1,1,1,101,0,""
"Apoptosis - multiple species",1,1,1,31,0,""
"Taste transduction",1,1,1,84,0,""
"Neuroactive ligand-receptor interaction",1,1,1,334,0,""
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,1,1,25,0,""
"Base excision repair",1,1,1,32,0,""
"ABC transporters",1,1,1,45,0,""
"Spliceosome",1,1,1,131,0,""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,1,20,0,""
"Homologous recombination",1,1,1,41,0,""
"Non-homologous end-joining",1,1,1,13,0,""
"RNA degradation",1,1,1,76,0,""
"Lysine degradation",1,1,1,62,0,""
"Renin-angiotensin system",1,1,1,23,0,""
"Glycosaminoglycan biosynthesis - keratan sulfate",1,1,1,14,0,""
"Cell cycle",1,1,1,122,0,""
"p53 signaling pathway",1,1,1,73,0,""
"Retinol metabolism",1,1,1,64,0,""
"Ribosome biogenesis in eukaryotes",1,1,1,71,0,""
"mRNA surveillance pathway",1,1,1,91,0,""
"N-Glycan biosynthesis",1,1,1,50,0,""
"Various types of N-glycan biosynthesis",1,1,1,39,0,""
"Proteasome",1,1,1,45,0,""
"Pyrimidine metabolism",1,1,1,56,0,""
"Basal transcription factors",1,1,1,42,0,""
"Nucleotide excision repair",1,1,1,45,0,""
"Ubiquinone and other terpenoid-quinone biosynthesis",1,1,1,11,0,""
"Bile secretion",1,1,1,88,0,""
"Parathyroid hormone synthesis, secretion and action",1,1,1,106,0,""
"TGF-beta signaling pathway",1,1,1,92,0,""
"Collecting duct acid secretion",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - lacto and neolacto series",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,1,15,0,""
"Pentose and glucuronate interconversions",1,1,1,30,0,""
"Ascorbate and aldarate metabolism",1,1,1,28,0,""
"Glycerolipid metabolism",1,1,1,61,0,""
"Mannose type O-glycan biosynthesis",1,1,1,22,0,""
"Cardiac muscle contraction",1,1,1,81,0,""
"Taurine and hypotaurine metabolism",1,1,1,10,0,""
"Sulfur metabolism",1,1,1,10,0,""
"Phosphonate and phosphinate metabolism",1,1,1,6,0,""
"Phosphatidylinositol signaling system",1,1,1,97,0,""
"Hippo signaling pathway - multiple species",1,1,1,26,0,""
"Inositol phosphate metabolism",1,1,1,73,0,""
"Thyroid hormone synthesis",1,1,1,75,0,""
"Cortisol synthesis and secretion",1,1,1,65,0,""
"Vasopressin-regulated water reabsorption",1,1,1,44,0,""
"DNA replication",1,1,1,36,0,""
"Sphingolipid metabolism",1,1,1,49,0,""
"Vitamin digestion and absorption",1,1,1,24,0,""
"Ribosome",1,1,1,129,0,""
"Other types of O-glycan biosynthesis",1,1,1,44,0,""
"Selenocompound metabolism",1,1,1,17,0,""
"One carbon pool by folate",1,1,1,19,0,""
"RNA polymerase",1,1,1,30,0,""
"Mismatch repair",1,1,1,23,0,""
"Steroid hormone biosynthesis",1,1,1,58,0,""
"Metabolism of xenobiotics by cytochrome P450",1,1,1,72,0,""
"Drug metabolism - cytochrome P450",1,1,1,66,0,""
"Other glycan degradation",1,1,1,18,0,""
"Histidine metabolism",1,1,1,21,0,""
"Glycosaminoglycan degradation",1,1,1,18,0,""
"Pyruvate metabolism",1,1,1,39,0,""
"Protein export",1,1,1,23,0,""
"Biosynthesis of unsaturated fatty acids",1,1,1,27,0,""
"Glycine, serine and threonine metabolism",1,1,1,39,0,""
"Valine, leucine and isoleucine biosynthesis",1,1,1,4,0,""
"Lipoic acid metabolism",1,1,1,3,0,""
"Hedgehog signaling pathway",1,1,1,48,0,""
"Fanconi anemia pathway",1,1,1,52,0,""
"Mucin type O-glycan biosynthesis",1,1,1,30,0,""
"Nitrogen metabolism",1,1,1,17,0,""
"Arginine and proline metabolism",1,1,1,49,0,""
"Glyoxylate and dicarboxylate metabolism",1,1,1,30,0,""
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,1,24,0,""
"Glutathione metabolism",1,1,1,55,0,""
"Thiamine metabolism",1,1,1,15,0,""
"Phototransduction",1,1,1,28,0,""
"2-Oxocarboxylic acid metabolism",1,1,1,18,0,""
"Circadian rhythm",1,1,1,30,0,""
"Citrate cycle (TCA cycle)",1,1,1,30,0,""
"Propanoate metabolism",1,1,1,34,0,""
"D-Arginine and D-ornithine metabolism",1,1,1,1,0,""
"Maturity onset diabetes of the young",1,1,1,25,0,""
"beta-Alanine metabolism",1,1,1,29,0,""
"Pantothenate and CoA biosynthesis",1,1,1,21,0,""
"Aldosterone-regulated sodium reabsorption",1,1,1,37,0,""
"Glycosphingolipid biosynthesis - ganglio series",1,1,1,15,0,""
"Sulfur relay system",1,1,1,8,0,""
"Vitamin B6 metabolism",1,1,1,6,0,""
"Biotin metabolism",1,1,1,3,0,""
