"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"18","Platelet activation",0.004,0.05,0.925,122,9,1,"VWF","RASGRP2, F2R, FGB, ITGA2, PIK3R1, PRKG2, MAPK1, RAP1B",0.092
"19","cAMP signaling pathway",0.004,0.05,1,197,12,1,"NFKBIA","CREBBP, GPR119, F2R, FSHB, GLP1R, GRIA1, HTR1F, OXTR, PIK3R1, MAPK1, RAP1B",0.072
"20","Focal adhesion",0.004,0.05,1,196,12,1,"VWF","FN1, ITGA2, ITGA5, MYL2, PDGFA, PIK3R1, MAPK1, RAP1B, SPP1, TNR, CCND3",0.072
"21","Toll-like receptor signaling pathway",0.004,0.05,1,102,8,3,"NFKBIA, CASP8, FADD","PIK3R1, TLR9, MAPK1, CCL4, SPP1",0.227
"22","Fatty acid degradation",0.004,0.05,1,43,5,1,"ALDH7A1","CPT1B, CPT2, CYP4A11, ACSL5",0.158
"23","TGF-beta signaling pathway",0.005,0.054,1,83,7,0,"","CREBBP, DCN, MYC, PPP2CA, MAPK1, SP1, CHRD",0.042
"24","Long-term potentiation",0.007,0.071,1,67,6,0,"","CREBBP, GRIA1, GRM1, PPP3R2, MAPK1, RAP1B",0.045
"25","Tight junction",0.01,0.098,1,167,10,0,"","ACTR2, DLG1, MSN, MYH10, MYL2, PRKAG3, PPP2CA, RAB13, EZR, TUBA1C",0.03
"26","Glucagon signaling pathway",0.013,0.123,1,100,7,0,"","CPT1B, ATF2, CREBBP, PFKL, PKM, PRKAG3, PPP3R2",0.035
"27","Cell cycle",0.013,0.123,1,124,8,1,"CDC25B","GADD45G, CREBBP, ORC3, MYC, ANAPC7, CCND3, CDK1",0.095
"28","FoxO signaling pathway",0.017,0.151,1,130,8,1,"SETD7","GADD45G, CREBBP, FBXO25, GRM1, PIK3R1, PRKAG3, MAPK1",0.093
"29","ECM-receptor interaction",0.018,0.151,1,82,6,1,"VWF","FN1, ITGA2, ITGA5, SPP1, TNR",0.12
"30","cGMP-PKG signaling pathway",0.021,0.167,1,161,9,1,"ADORA3","ATF2, NFATC4, PPP3R2, PRKG2, MAPK1, SRF, TRPC6, SLC25A31",0.084
"31","Apelin signaling pathway",0.021,0.167,1,135,8,1,"NOS1","CTGF, GNB2, MYL2, PRKAG3, MAPK1, RYR1, SPP1",0.092
"32","Leukocyte transendothelial migration",0.022,0.167,1,110,7,0,"","CYBA, MSN, MYL2, PIK3R1, RAP1B, EZR, CXCR4",0.032
"33","Gap junction",0.024,0.181,1,88,6,0,"","GRM1, PDGFA, PRKG2, MAPK1, TUBA1C, CDK1",0.034
"34","Ras signaling pathway",0.025,0.181,1,221,11,0,"","RASGRP2, FGF3, LAT, GNB2, PDGFA, PIK3R1, MAPK1, RAB5C, RAP1B, RASGRF2, FGF19",0.025
"35","IL-17 signaling pathway",0.028,0.198,1,91,6,5,"IL17C, NFKBIA, CASP3, CASP8, FADD","MAPK1",0.45
"36","Arginine and proline metabolism",0.029,0.198,1,46,4,3,"NOS1, ALDH7A1, SRM","LAP3",0.418
"37","Circadian entrainment",0.035,0.233,1,96,6,1,"NOS1","GNB2, GRIA1, PRKG2, MAPK1, RYR1",0.115
"38","HIF-1 signaling pathway",0.036,0.233,1,97,6,1,"EIF4E","CREBBP, ENO3, PFKL, PIK3R1, MAPK1",0.114
"39","Autophagy - other",0.036,0.233,1,29,3,1,"WIPI2","PPP2CA, ATG4C",0.218
"40","Rap1 signaling pathway",0.038,0.234,1,207,10,0,"","RASGRP2, CNR1, F2R, FGF3, LAT, PDGFA, PIK3R1, MAPK1, RAP1B, FGF19",0.024
"41","T cell receptor signaling pathway",0.041,0.251,1,100,6,1,"NFKBIA","DLG1, LAT, PIK3R1, PPP3R2, MAPK1",0.113
