"Pathway","pVal","pValFDR","pValBonferroni","Genes","TRIAGEhits","HitGeneNames"
"Protein processing in endoplasmic reticulum",0.06,0.831,1,160,6,"PDIA6, DDOST, DNAJB1, STT3A, NGLY1, UBQLN4"
"Osteoclast differentiation",0.068,0.897,1,126,5,"AKT1, JAK1, LCP2, RELA, IKBKG"
"Th1 and Th2 cell differentiation",0.076,0.929,1,92,4,"JAK1, RELA, IKBKG, CD4"
"Lysine degradation",0.08,0.929,1,58,3,"PRDM7, KMT5B, PLOD3"
"Neomycin, kanamycin and gentamicin biosynthesis",0.084,0.929,1,5,1,"GCK"
"Apoptosis",0.09,0.929,1,137,5,"AKT1, RELA, SPTAN1, TUBAL3, IKBKG"
"HIF-1 signaling pathway",0.091,0.929,1,98,4,"EGF, EGFR, AKT1, RELA"
"Mitophagy - animal",0.093,0.929,1,62,3,"GABARAPL2, RELA, TFE3"
"Phospholipase D signaling pathway",0.104,0.984,1,143,5,"EGF, EGFR, AKT1, PIP5K1C, ARF1"
"SNARE interactions in vesicular transport",0.112,0.984,1,33,2,"STX5, GOSR2"
"Th17 cell differentiation",0.116,0.984,1,107,4,"JAK1, RELA, IKBKG, CD4"
"Adipocytokine signaling pathway",0.119,0.984,1,69,3,"AKT1, RELA, IKBKG"
"B cell receptor signaling pathway",0.122,0.984,1,70,3,"AKT1, RELA, IKBKG"
"Prolactin signaling pathway",0.122,0.984,1,70,3,"AKT1, GCK, RELA"
"Thyroid hormone signaling pathway",0.144,1,1,116,4,"AKT1, KAT2A, MED4, MED14"
"AMPK signaling pathway",0.153,1,1,119,4,"CRTC2, AKT1, PPP2R2A, RAB2A"
"Neurotrophin signaling pathway",0.153,1,1,119,4,"AKT1, RAPGEF1, RAP1B, RELA"
"Rap1 signaling pathway",0.157,1,1,209,6,"EGF, EGFR, AKT1, RAPGEF1, LCP2, RAP1B"
"Regulation of actin cytoskeleton",0.159,1,1,210,6,"ARPC1A, EGF, EGFR, ARHGEF12, PIP5K1C, MOS"
"Sulfur metabolism",0.161,1,1,10,1,"ETHE1"
"Platelet activation",0.163,1,1,122,4,"AKT1, ARHGEF12, LCP2, RAP1B"
"ErbB signaling pathway",0.185,1,1,85,3,"EGF, EGFR, AKT1"
"Ras signaling pathway",0.193,1,1,223,6,"EGF, EGFR, AKT1, RAP1B, RELA, IKBKG"
"Notch signaling pathway",0.197,1,1,47,2,"KAT2A, NCOR2"
"Fc gamma R-mediated phagocytosis",0.198,1,1,88,3,"ARPC1A, AKT1, PIP5K1C"
"Gap junction",0.198,1,1,88,3,"EGF, EGFR, TUBAL3"
"Chemokine signaling pathway",0.208,1,1,181,5,"AKT1, RAP1B, RELA, CXCR4, IKBKG"
"Glycosphingolipid biosynthesis - globo and isoglobo series",0.219,1,1,14,1,"A4GALT"
"PI3K-Akt signaling pathway",0.231,1,1,336,8,"EGF, EGFR, CRTC2, AKT1, JAK1, PPP2R2A, RELA, IKBKG"
"Glycosphingolipid biosynthesis - ganglio series",0.232,1,1,15,1,"ST3GAL5"
"mTOR signaling pathway",0.243,1,1,144,4,"RRAGB, AKT1, WNT1, DEPDC5"
"Pyrimidine metabolism",0.244,1,1,98,3,"POLR3F, POLR3A, ZNRD1"
"Glucagon signaling pathway",0.258,1,1,101,3,"CRTC2, AKT1, GCK"
"Hippo signaling pathway",0.258,1,1,148,4,"FBXW11, NF2, PPP2R2A, WNT1"
"2-Oxocarboxylic acid metabolism",0.259,1,1,17,1,"IDH1"
"Toll-like receptor signaling pathway",0.263,1,1,102,3,"AKT1, RELA, IKBKG"
"Pantothenate and CoA biosynthesis",0.272,1,1,18,1,"PANK1"
"Synaptic vesicle cycle",0.281,1,1,60,2,"AP2M1, ATP6V0A1"
"Insulin resistance",0.286,1,1,107,3,"CRTC2, AKT1, RELA"
"TNF signaling pathway",0.291,1,1,108,3,"AKT1, RELA, IKBKG"
"Terpenoid backbone biosynthesis",0.309,1,1,21,1,"FNTA"
"Other types of O-glycan biosynthesis",0.309,1,1,21,1,"PLOD3"
"Carbon metabolism",0.315,1,1,113,3,"HIBCH, GCK, IDH1"
"Fc epsilon RI signaling pathway",0.32,1,1,66,2,"AKT1, LCP2"
"Sphingolipid signaling pathway",0.33,1,1,116,3,"AKT1, PPP2R2A, RELA"
"Protein export",0.333,1,1,23,1,"SPCS3"
"Vitamin digestion and absorption",0.345,1,1,24,1,"SLC46A1"
"Antigen processing and presentation",0.352,1,1,71,2,"PSME2, CD4"
"Lysosome",0.358,1,1,122,3,"CLN3, ATP6V0A1, LAPTM5"
"Inositol phosphate metabolism",0.365,1,1,73,2,"PIP5K1C, ITPKA"
"Maturity onset diabetes of the young",0.368,1,1,26,1,"GCK"
"Ribosome biogenesis in eukaryotes",0.371,1,1,74,2,"MDN1, HEATR1"
"Collecting duct acid secretion",0.379,1,1,27,1,"ATP6V0A1"
"Glycosphingolipid biosynthesis - lacto and neolacto series",0.379,1,1,27,1,"A4GALT"
"Hippo signaling pathway - multiple species",0.379,1,1,27,1,"NF2"
"Relaxin signaling pathway",0.397,1,1,130,3,"EGFR, AKT1, RELA"
"Circadian rhythm",0.411,1,1,30,1,"FBXW11"
"Citrate cycle (TCA cycle)",0.411,1,1,30,1,"IDH1"
"mRNA surveillance pathway",0.421,1,1,82,2,"ETF1, PPP2R2A"
"Galactose metabolism",0.421,1,1,31,1,"GCK"
"beta-Alanine metabolism",0.421,1,1,31,1,"HIBCH"
"Signaling pathways regulating pluripotency of stem cells",0.429,1,1,137,3,"AKT1, JAK1, WNT1"
"Insulin signaling pathway",0.429,1,1,137,3,"AKT1, GCK, RAPGEF1"
"Propanoate metabolism",0.431,1,1,32,1,"HIBCH"
"Starch and sucrose metabolism",0.451,1,1,34,1,"GCK"
"cAMP signaling pathway",0.456,1,1,198,4,"EDNRA, AKT1, RAP1B, RELA"
"Longevity regulating pathway",0.456,1,1,88,2,"AKT1, RELA"
"Progesterone-mediated oocyte maturation",0.456,1,1,88,2,"AKT1, MOS"
"Adrenergic signaling in cardiomyocytes",0.457,1,1,143,3,"AKT1, PPP2R2A, CACNG1"
"Non-alcoholic fatty liver disease (NAFLD)",0.462,1,1,144,3,"AKT1, NDUFB7, RELA"
"IL-17 signaling pathway",0.474,1,1,91,2,"RELA, IKBKG"
"Phagosome",0.48,1,1,148,3,"ATP6V0A1, TUBAL3, HGS"
"NF-kappa B signaling pathway",0.48,1,1,92,2,"RELA, IKBKG"
"Endocrine resistance",0.497,1,1,95,2,"EGFR, AKT1"
"Ferroptosis",0.498,1,1,39,1,"ATG7"
"Proteasome",0.506,1,1,40,1,"PSME2"
"Estrogen signaling pathway",0.513,1,1,98,2,"EGFR, AKT1"
"Phosphatidylinositol signaling system",0.513,1,1,98,2,"PIP5K1C, ITPKA"
"Cellular senescence",0.519,1,1,157,3,"AKT1, FBXW11, RELA"
"AGE-RAGE signaling pathway in diabetic complications",0.519,1,1,99,2,"AKT1, RELA"
"Carbohydrate digestion and absorption",0.524,1,1,42,1,"AKT1"
"Aminoacyl-tRNA biosynthesis",0.524,1,1,42,1,"LARS"
"Basal transcription factors",0.532,1,1,43,1,"ERCC3"
"Nucleotide excision repair",0.54,1,1,44,1,"ERCC3"
"Tight junction",0.549,1,1,164,3,"NF2, PPP2R2A, TUBAL3"
"Hedgehog signaling pathway",0.556,1,1,46,1,"FBXW11"
"Type II diabetes mellitus",0.556,1,1,46,1,"GCK"
"Leukocyte transendothelial migration",0.561,1,1,107,2,"RAP1B, CXCR4"
"Amino sugar and nucleotide sugar metabolism",0.564,1,1,47,1,"GCK"
"Mineral absorption",0.564,1,1,47,1,"SLC46A1"
"Intestinal immune network for IgA production",0.564,1,1,47,1,"CXCR4"
"Endocrine and other factor-regulated calcium reabsorption",0.564,1,1,47,1,"AP2M1"
"Purine metabolism",0.566,1,1,168,3,"POLR3F, POLR3A, ZNRD1"
"Valine, leucine and isoleucine degradation",0.572,1,1,48,1,"HIBCH"
"Oocyte meiosis",0.576,1,1,110,2,"FBXW11, MOS"
"Glutathione metabolism",0.594,1,1,51,1,"IDH1"
"Calcium signaling pathway",0.613,1,1,180,3,"EDNRA, EGFR, ITPKA"
"Regulation of lipolysis in adipocytes",0.615,1,1,54,1,"AKT1"
"Vascular smooth muscle contraction",0.615,1,1,118,2,"EDNRA, ARHGEF12"
"Spliceosome",0.637,1,1,123,2,"LSM3, THOC2"
"VEGF signaling pathway",0.641,1,1,58,1,"AKT1"
"Glycerolipid metabolism",0.648,1,1,59,1,"LPL"
"Oxidative phosphorylation",0.659,1,1,128,2,"NDUFB7, ATP6V0A1"
"Dopaminergic synapse",0.663,1,1,129,2,"AKT1, PPP2R2A"
"Longevity regulating pathway - multiple species",0.666,1,1,62,1,"AKT1"
"Metabolic pathways",0.671,1,1,1227,20,"PIGK, POLR3F, POLR3A, DDOST, PIP5K1C, HIBCH, GCK, ZNRD1, IDH1, STT3A, ITPKA, MGAT1, NDUFB7, PIGH, PANK1, ATP6V0A1, A4GALT, PIGY, DPM1, ST3GAL5"
"Renin secretion",0.683,1,1,65,1,"EDNRA"
"Apelin signaling pathway",0.687,1,1,135,2,"GABARAPL2, AKT1"
"Glycolysis / Gluconeogenesis",0.689,1,1,66,1,"GCK"
"Ubiquitin mediated proteolysis",0.691,1,1,136,2,"HUWE1, FBXW11"
"Long-term potentiation",0.694,1,1,67,1,"RAP1B"
"Biosynthesis of amino acids",0.705,1,1,69,1,"IDH1"
"Wnt signaling pathway",0.71,1,1,141,2,"FBXW11, WNT1"
"PPAR signaling pathway",0.71,1,1,70,1,"LPL"
"Adherens junction",0.715,1,1,71,1,"EGFR"
"Bile secretion",0.715,1,1,71,1,"NR0B2"
"Platinum drug resistance",0.72,1,1,72,1,"AKT1"
"Cardiac muscle contraction",0.735,1,1,75,1,"CACNG1"
"Oxytocin signaling pathway",0.745,1,1,151,2,"EGFR, CACNG1"
"Peroxisome",0.753,1,1,79,1,"IDH1"
"Jak-STAT signaling pathway",0.758,1,1,155,2,"AKT1, JAK1"
"TGF-beta signaling pathway",0.766,1,1,82,1,"LEFTY1"
"Aldosterone synthesis and secretion",0.766,1,1,82,1,"KCNK9"
"Insulin secretion",0.77,1,1,83,1,"GCK"
"cGMP-PKG signaling pathway",0.777,1,1,161,2,"EDNRA, AKT1"
"GABAergic synapse",0.786,1,1,87,1,"GABARAPL2"
"GnRH signaling pathway",0.801,1,1,91,1,"EGFR"
"Axon guidance",0.813,1,1,174,2,"ARHGEF12, CXCR4"
"Hematopoietic cell lineage",0.814,1,1,95,1,"CD4"
"Pancreatic secretion",0.818,1,1,96,1,"RAP1B"
"Melanogenesis",0.833,1,1,101,1,"WNT1"
"Cytokine-cytokine receptor interaction",0.85,1,1,266,3,"EGF, EGFR, CXCR4"
"Cholinergic synapse",0.863,1,1,112,1,"AKT1"
"Cell cycle",0.884,1,1,121,1,"TFDP2"
"Natural killer cell mediated cytotoxicity",0.888,1,1,123,1,"LCP2"
"Cell adhesion molecules (CAMs)",0.916,1,1,139,1,"CD4"
"Retrograde endocannabinoid signaling",0.924,1,1,145,1,"NDUFB7"
"Necroptosis",0.939,1,1,157,1,"JAK1"
"Neuroactive ligand-receptor interaction",0.993,1,1,274,1,"EDNRA"
"Caffeine metabolism",1,1,1,5,0,""
"Drug metabolism - other enzymes",1,1,1,45,0,""
"Primary bile acid biosynthesis",1,1,1,17,0,""
"Protein digestion and absorption",1,1,1,88,0,""
"Apoptosis - multiple species",1,1,1,32,0,""
"Taste transduction",1,1,1,81,0,""
"Base excision repair",1,1,1,33,0,""
"ABC transporters",1,1,1,44,0,""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,1,20,0,""
"Homologous recombination",1,1,1,41,0,""
"Non-homologous end-joining",1,1,1,13,0,""
"Nicotinate and nicotinamide metabolism",1,1,1,28,0,""
"Renin-angiotensin system",1,1,1,23,0,""
"Glycerophospholipid metabolism",1,1,1,94,0,""
"Glycosaminoglycan biosynthesis - keratan sulfate",1,1,1,14,0,""
"p53 signaling pathway",1,1,1,68,0,""
"Retinol metabolism",1,1,1,61,0,""
"Ubiquinone and other terpenoid-quinone biosynthesis",1,1,1,10,0,""
"Folate biosynthesis",1,1,1,26,0,""
"Phenylalanine metabolism",1,1,1,17,0,""
"ECM-receptor interaction",1,1,1,82,0,""
"Pentose and glucuronate interconversions",1,1,1,31,0,""
"Mannose type O-glycan biosynthesis",1,1,1,22,0,""
"Cysteine and methionine metabolism",1,1,1,44,0,""
"Taurine and hypotaurine metabolism",1,1,1,11,0,""
"Phosphonate and phosphinate metabolism",1,1,1,6,0,""
"Ether lipid metabolism",1,1,1,44,0,""
"Serotonergic synapse",1,1,1,111,0,""
"Fatty acid elongation",1,1,1,23,0,""
"Fatty acid degradation",1,1,1,43,0,""
"Fatty acid metabolism",1,1,1,47,0,""
"Thyroid hormone synthesis",1,1,1,73,0,""
"Vasopressin-regulated water reabsorption",1,1,1,44,0,""
"DNA replication",1,1,1,36,0,""
"Complement and coagulation cascades",1,1,1,79,0,""
"Fat digestion and absorption",1,1,1,41,0,""
"Sphingolipid metabolism",1,1,1,46,0,""
"Steroid biosynthesis",1,1,1,20,0,""
"Ribosome",1,1,1,125,0,""
"Selenocompound metabolism",1,1,1,17,0,""
"One carbon pool by folate",1,1,1,18,0,""
"Long-term depression",1,1,1,59,0,""
"Circadian entrainment",1,1,1,96,0,""
"Glutamatergic synapse",1,1,1,113,0,""
"Inflammatory mediator regulation of TRP channels",1,1,1,96,0,""
"Ovarian steroidogenesis",1,1,1,49,0,""
"Salivary secretion",1,1,1,86,0,""
"Gastric acid secretion",1,1,1,74,0,""
"Mismatch repair",1,1,1,23,0,""
"Ascorbate and aldarate metabolism",1,1,1,26,0,""
"Steroid hormone biosynthesis",1,1,1,56,0,""
"Porphyrin and chlorophyll metabolism",1,1,1,40,0,""
"Metabolism of xenobiotics by cytochrome P450",1,1,1,69,0,""
"Drug metabolism - cytochrome P450",1,1,1,66,0,""
"Arachidonic acid metabolism",1,1,1,60,0,""
"Olfactory transduction",1,1,1,107,0,""
"Other glycan degradation",1,1,1,18,0,""
"Histidine metabolism",1,1,1,24,0,""
"Glycosaminoglycan degradation",1,1,1,19,0,""
"Pyruvate metabolism",1,1,1,39,0,""
"Biosynthesis of unsaturated fatty acids",1,1,1,21,0,""
"Proximal tubule bicarbonate reclamation",1,1,1,23,0,""
"Glycine, serine and threonine metabolism",1,1,1,38,0,""
"Valine, leucine and isoleucine biosynthesis",1,1,1,4,0,""
"Lipoic acid metabolism",1,1,1,2,0,""
"Linoleic acid metabolism",1,1,1,28,0,""
"alpha-Linolenic acid metabolism",1,1,1,24,0,""
"Tryptophan metabolism",1,1,1,39,0,""
"Fanconi anemia pathway",1,1,1,48,0,""
"Mucin type O-glycan biosynthesis",1,1,1,29,0,""
"Nitrogen metabolism",1,1,1,17,0,""
"Arginine and proline metabolism",1,1,1,48,0,""
"Glyoxylate and dicarboxylate metabolism",1,1,1,27,0,""
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,1,24,0,""
"Butanoate metabolism",1,1,1,27,0,""
"Thiamine metabolism",1,1,1,15,0,""
"Alanine, aspartate and glutamate metabolism",1,1,1,35,0,""
"Tyrosine metabolism",1,1,1,35,0,""
"Phototransduction",1,1,1,28,0,""
"Pentose phosphate pathway",1,1,1,29,0,""
"Type I diabetes mellitus",1,1,1,43,0,""
"Arginine biosynthesis",1,1,1,20,0,""
"D-Arginine and D-ornithine metabolism",1,1,1,1,0,""
"Fructose and mannose metabolism",1,1,1,33,0,""
"Fatty acid biosynthesis",1,1,1,13,0,""
"Aldosterone-regulated sodium reabsorption",1,1,1,37,0,""
"Phenylalanine, tyrosine and tryptophan biosynthesis",1,1,1,5,0,""
"D-Glutamine and D-glutamate metabolism",1,1,1,4,0,""
"Sulfur relay system",1,1,1,8,0,""
"Vitamin B6 metabolism",1,1,1,5,0,""
"Biotin metabolism",1,1,1,3,0,""
"Synthesis and degradation of ketone bodies",1,1,1,10,0,""
"Riboflavin metabolism",1,1,1,8,0,""
