"Pathway","pVal","pValFDR","pValBonferroni","Genes","TRIAGEhits","HitGeneNames"
"MAPK signaling pathway",0.004,0.074,0.961,253,24,"DUSP7, EGF, EGFR, AKT1, FGF2, FGF9, FGF14, RRAS2, MAPK8IP3, FLNC, GRB2, MEF2C, MOS, NFATC3, PAK2, PDGFRA, TAOK1, RAP1B, RELA, TGFBR2, CACNG1, IKBKG, FGF19, CDC42"
"Citrate cycle (TCA cycle)",0.004,0.077,1,30,6,"IDH1, MDH1, MDH2, PC, PCK2, PDHA2"
"HIF-1 signaling pathway",0.005,0.09,1,98,12,"EGLN3, EGF, EGFR, EIF4E, EP300, AKT1, FLT1, MTOR, PDHA2, RELA, RPS6, RPS6KB1"
"T cell receptor signaling pathway",0.007,0.116,1,102,12,"MALT1, CSF2, AKT1, GRB2, LCP2, NFATC3, PAK2, RELA, IKBKG, CD4, CD8B, CDC42"
"N-Glycan biosynthesis",0.011,0.165,1,47,7,"DDOST, ALG6, STT3A, MAN2A1, MGAT1, ST6GAL1, DPM1"
"Pyrimidine metabolism",0.014,0.198,1,98,11,"POLR3F, POLR3A, TWISTNB, ZNRD1, ENPP1, CMPK1, POLR2E, POLR2J, POLR3D, ENTPD3, CDA"
"FoxO signaling pathway",0.019,0.249,1,129,13,"GABARAPL2, AGAP2, EGF, EGFR, EP300, AKT1, GRB2, PCK2, PTEN, TGFBR2, USP7, SETD7, ATG12"
"Relaxin signaling pathway",0.02,0.25,1,130,13,"COL4A4, EGFR, AKT1, VEGFD, GRB2, SHC4, MMP1, RXFP3, GNG2, ACTA2, RELA, TGFBR2, CREB5"
"Rap1 signaling pathway",0.028,0.337,1,209,18,"LPAR1, EGF, EGFR, AKT1, FGF2, FGF9, FGF14, VEGFD, FLT1, FLT4, RAPGEF1, LCP2, PDGFRA, RAP1B, TIAM1, PARD6B, FGF19, CDC42"
"Lysine degradation",0.033,0.352,1,58,7,"ALDH1B1, ACAT2, PLOD1, SUV39H1, EHMT1, SETD7, PLOD3"
"Autophagy - animal",0.035,0.352,1,126,12,"RRAGB, ATG7, GABARAPL2, AKT1, RRAS2, MTOR, PTEN, RPS6KB1, MTMR14, ATG16L2, ATG12, EIF2AK3"
"ErbB signaling pathway",0.036,0.352,1,85,9,"EGF, EGFR, AKT1, MTOR, GRB2, SHC4, PAK2, RPS6KB1, NRG2"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.036,0.352,1,24,4,"PIGK, PIGH, PIGY, GPAA1"
"Notch signaling pathway",0.037,0.352,1,47,6,"DVL2, EP300, KAT2A, HDAC1, NCOR2, MAML1"
"Phospholipase D signaling pathway",0.04,0.368,1,143,13,"LPAR1, EGF, EGFR, AKT1, FCER1A, RRAS2, PIP5K1C, MTOR, GRB2, ARF1, SHC4, PDGFRA, SPHK1"
"Cytosolic DNA-sensing pathway",0.045,0.399,1,62,7,"POLR3F, POLR3A, IFNA5, POLR2E, RELA, POLR3D, IKBKG"
"Insulin resistance",0.057,0.49,1,107,10,"CRTC2, AKT1, MTOR, GYS1, PCK2, PTEN, RELA, RPS6KB1, OGT, CREB5"
"Insulin signaling pathway",0.06,0.494,1,137,12,"EIF4E, AKT1, MTOR, GCK, GRB2, RAPGEF1, GYS1, SHC4, PCK2, RPS6, RPS6KB1, PPP1R3F"
"Wnt signaling pathway",0.071,0.569,1,141,12,"CSNK2A2, NOTUM, DVL2, EP300, FBXW11, NFATC3, SENP2, WNT1, WNT11, WNT10A, FZD6, BTRC"
"Autophagy - other",0.08,0.619,1,31,4,"ATG7, GABARAPL2, MTOR, ATG12"
"Glucagon signaling pathway",0.087,0.658,1,101,9,"CRTC2, EP300, AKT1, GCK, GYS1, PCK2, PDHA2, LDHAL6B, CREB5"
"Other types of O-glycan biosynthesis",0.097,0.711,1,21,3,"ST6GAL1, OGT, PLOD3"
"AMPK signaling pathway",0.1,0.711,1,119,10,"ELAVL1, CRTC2, AKT1, MTOR, GYS1, PCK2, PPP2R2A, RAB2A, RPS6KB1, CREB5"
"Apelin signaling pathway",0.103,0.712,1,135,11,"GABARAPL2, AKT1, RRAS2, MTOR, MYLK4, MEF2C, GNG2, ACTA2, RPS6, RPS6KB1, SPHK1"
"Th17 cell differentiation",0.114,0.769,1,107,9,"MTOR, GATA3, JAK1, NFATC3, IL17D, RELA, TGFBR2, IKBKG, CD4"
"Protein export",0.12,0.772,1,23,3,"SEC61B, SEC61A1, SPCS3"
"Jak-STAT signaling pathway",0.121,0.772,1,155,12,"CSF2, EP300, AKT1, MTOR, GHR, IFNL1, GRB2, IFNA5, IL15RA, JAK1, IL17D, PTPN2"
"Endocytosis",0.126,0.785,1,237,17,"ARPC5, ARPC1A, ARAP1, AGAP2, AP2M1, EGFR, PIP5K1C, ARF1, PDGFRA, SH3GL3, TGFBR2, CXCR4, PARD6B, CAV2, GBF1, HGS, CDC42"
"Estrogen signaling pathway",0.149,0.902,1,98,8,"EGFR, AKT1, GABBR1, GRB2, KCNJ3, SHC4, OPRM1, CREB5"
"Proteasome",0.161,0.935,1,40,4,"PSMA7, PSMB2, PSMB7, PSME2"
"Hippo signaling pathway",0.163,0.935,1,148,11,"DVL2, FBXW11, PPP2R2A, TGFBR2, WNT1, WNT11, WNT10A, FZD6, PARD6B, AJUBA, BTRC"
"B cell receptor signaling pathway",0.166,0.935,1,70,6,"MALT1, AKT1, GRB2, NFATC3, RELA, IKBKG"
"Glyoxylate and dicarboxylate metabolism",0.171,0.935,1,27,3,"ACAT2, MDH1, MDH2"
"Purine metabolism",0.182,0.935,1,168,12,"POLR3F, POLR3A, AK7, TWISTNB, GMPR, ZNRD1, PDE2A, ENPP1, POLR2E, POLR2J, POLR3D, ENTPD3"
"Longevity regulating pathway",0.186,0.935,1,88,7,"EIF4E, AKT1, MTOR, RELA, RPS6KB1, EHMT1, CREB5"
"Fc gamma R-mediated phagocytosis",0.186,0.935,1,88,7,"ARPC5, ARPC1A, AKT1, PIP5K1C, RPS6KB1, SPHK1, CDC42"
"Ubiquitin mediated proteolysis",0.186,0.935,1,136,10,"HUWE1, UBE2J2, FBXW11, NHLRC1, ANAPC11, UBA6, UBE2D1, UBE2G2, CUL5, BTRC"
"Inositol phosphate metabolism",0.19,0.935,1,73,6,"PIP5K1C, INPP4A, ITPKA, INPP5E, PTEN, MTMR14"
"Signaling pathways regulating pluripotency of stem cells",0.191,0.935,1,137,10,"DVL2, AKT1, FGF2, GRB2, HOXB1, JAK1, WNT1, WNT11, WNT10A, FZD6"
"RNA degradation",0.199,0.951,1,74,6,"MPHOSPH6, LSM3, EXOSC3, EXOSC9, EXOSC5, LSM2"
"Neuroactive ligand-receptor interaction",0.205,0.959,1,274,18,"CHRM2, AGTR2, LPAR1, EDNRA, GABBR1, GABRA2, GABRP, GHR, NPBWR1, HRH2, HTR1F, MTNR1A, OPRM1, RXFP3, TSHB, TSHR, C5AR1, TAAR8"
"IL-17 signaling pathway",0.208,0.959,1,91,7,"CSF2, ELAVL1, MMP1, IL17D, RELA, S100A9, IKBKG"
"Antifolate resistance",0.212,0.959,1,30,3,"ABCC2, RELA, IKBKG"
"Th1 and Th2 cell differentiation",0.216,0.96,1,92,7,"GATA3, JAK1, NFATC3, RELA, IKBKG, CD4, MAML1"
"Longevity regulating pathway - multiple species",0.232,0.996,1,62,5,"EIF4EBP2, AKT1, MTOR, HDAC1, RPS6KB1"
"Mitophagy - animal",0.232,0.996,1,62,5,"GABARAPL2, CSNK2A2, RRAS2, RELA, EIF2AK3"
"Neomycin, kanamycin and gentamicin biosynthesis",0.239,0.997,1,5,1,"GCK"
"Propanoate metabolism",0.24,0.997,1,32,3,"DBT, ACAT2, LDHAL6B"
"cAMP signaling pathway",0.253,1,1,198,13,"CHRM2, EDNRA, EP300, AKT1, RRAS2, GABBR1, HTR1F, RAP1B, RELA, TIAM1, TNNI3, TSHR, CREB5"
"SNARE interactions in vesicular transport",0.255,1,1,33,3,"STX5, GOSR1, GOSR2"
"Starch and sucrose metabolism",0.269,1,1,34,3,"GCK, GYS1, ENPP1"
"Fc epsilon RI signaling pathway",0.273,1,1,66,5,"CSF2, AKT1, FCER1A, GRB2, LCP2"
"Glycolysis / Gluconeogenesis",0.273,1,1,66,5,"ALDH1B1, GCK, PCK2, PDHA2, LDHAL6B"
"Thyroid hormone signaling pathway",0.274,1,1,116,8,"EP300, AKT1, MTOR, KAT2A, MED4, HDAC1, MED14, MED27"
"Neurotrophin signaling pathway",0.298,1,1,119,8,"SH2B3, AKT1, GRB2, RAPGEF1, SHC4, RAP1B, RELA, CDC42"
"Adipocytokine signaling pathway",0.304,1,1,69,5,"AKT1, MTOR, PCK2, RELA, IKBKG"
"Prolactin signaling pathway",0.315,1,1,70,5,"AKT1, GCK, GRB2, SHC4, RELA"
"RIG-I-like receptor signaling pathway",0.315,1,1,70,5,"DDX3X, IFNA5, RELA, IKBKG, ATG12"
"Adherens junction",0.325,1,1,71,5,"CSNK2A2, EGFR, EP300, TGFBR2, CDC42"
"Antigen processing and presentation",0.325,1,1,71,5,"HSPA4, KLRC2, PSME2, CD4, CD8B"
"Protein processing in endoplasmic reticulum",0.344,1,1,160,10,"PDIA6, SEC61B, UBE2J2, DDOST, SEC61A1, DNAJB1, STT3A, UBE2D1, UBE2G2, EIF2AK3"
"Proximal tubule bicarbonate reclamation",0.348,1,1,23,2,"MDH1, PCK2"
"Riboflavin metabolism",0.354,1,1,8,1,"ENPP1"
"Chemokine signaling pathway",0.367,1,1,181,11,"AKT1, GRB2, SHC4, GNG2, RAP1B, RELA, XCL1, TIAM1, CXCR4, IKBKG, CDC42"
"Endocrine resistance",0.393,1,1,95,6,"EGFR, AKT1, MTOR, GRB2, SHC4, RPS6KB1"
"Carbon metabolism",0.394,1,1,113,7,"GCK, IDH1, ACAT2, MDH1, MDH2, PC, PDHA2"
"Synaptic vesicle cycle",0.396,1,1,60,4,"AP2M1, ATP6V1H, ATP6V0A1, ATP6V1E2"
"Maturity onset diabetes of the young",0.406,1,1,26,2,"GCK, IAPP"
"Cysteine and methionine metabolism",0.417,1,1,44,3,"MDH1, MDH2, LDHAL6B"
"Sphingolipid signaling pathway",0.421,1,1,116,7,"AKT1, FCER1A, PPP2R2A, PTEN, RELA, SPHK1, CERS5"
"Sulfur metabolism",0.421,1,1,10,1,"CYCS"
"Phosphatidylinositol signaling system",0.421,1,1,98,6,"PIP5K1C, INPP4A, ITPKA, INPP5E, PTEN, MTMR14"
"Synthesis and degradation of ketone bodies",0.421,1,1,10,1,"ACAT2"
"Collecting duct acid secretion",0.424,1,1,27,2,"ATP6V0A1, ATP6V1E2"
"AGE-RAGE signaling pathway in diabetic complications",0.431,1,1,99,6,"COL4A4, AKT1, VEGFD, RELA, TGFBR2, CDC42"
"Cytokine-cytokine receptor interaction",0.444,1,1,266,15,"CSF2, EGF, EGFR, VEGFD, FLT1, FLT4, GHR, IFNL1, IFNA5, IL15RA, PDGFRA, IL17D, XCL1, TGFBR2, CXCR4"
"Sphingolipid metabolism",0.445,1,1,46,3,"ACER3, SPHK1, CERS5"
"Hedgehog signaling pathway",0.445,1,1,46,3,"CSNK1G2, FBXW11, BTRC"
"Melanogenesis",0.45,1,1,101,6,"DVL2, EP300, WNT1, WNT11, WNT10A, FZD6"
"Cellular senescence",0.457,1,1,157,9,"AKT1, RRAS2, FBXW11, MTOR, NFATC3, PTEN, RELA, TGFBR2, BTRC"
"Intestinal immune network for IgA production",0.459,1,1,47,3,"IL15RA, ITGA4, CXCR4"
"Valine, leucine and isoleucine degradation",0.473,1,1,48,3,"DBT, ALDH1B1, ACAT2"
"Circadian rhythm",0.479,1,1,30,2,"FBXW11, BTRC"
"GABAergic synapse",0.495,1,1,87,5,"GABARAPL2, GABBR1, GABRA2, GABRP, GNG2"
"Gap junction",0.505,1,1,88,5,"LPAR1, EGF, EGFR, GRB2, PDGFRA"
"Leukocyte transendothelial migration",0.507,1,1,107,6,"CDH5, ITGA4, RAP1B, CXCR4, MYL10, CDC42"
"Osteoclast differentiation",0.508,1,1,126,7,"AKT1, GRB2, JAK1, LCP2, RELA, TGFBR2, IKBKG"
"PPAR signaling pathway",0.515,1,1,70,4,"CYP27A1, LPL, MMP1, PCK2"
"Cholinergic synapse",0.552,1,1,112,6,"CHRM2, AKT1, KCNJ3, KCNJ4, GNG2, CREB5"
"Regulation of lipolysis in adipocytes",0.553,1,1,54,3,"AKT1, TSHB, TSHR"
"Oxytocin signaling pathway",0.556,1,1,151,8,"EGFR, MYLK4, KCNJ3, KCNJ4, MEF2C, NFATC3, CACNG1, CAMK1"
"Thiamine metabolism",0.56,1,1,15,1,"AK7"
"Hematopoietic cell lineage",0.574,1,1,95,5,"CSF2, ITGA4, CD4, CD8B, CD34"
"Axon guidance",0.583,1,1,174,9,"SEMA3A, ARHGEF12, NFATC3, PAK2, SSH1, CXCR4, ABLIM2, PARD6B, CDC42"
"Apoptosis",0.598,1,1,137,7,"CTSZ, AKT1, CYCS, RELA, SPTAN1, IKBKG, EIF2AK3"
"VEGF signaling pathway",0.602,1,1,58,3,"AKT1, SPHK1, CDC42"
"Primary bile acid biosynthesis",0.605,1,1,17,1,"CYP27A1"
"2-Oxocarboxylic acid metabolism",0.605,1,1,17,1,"IDH1"
"Complement and coagulation cascades",0.612,1,1,79,4,"CFD, SERPINF2, C3, C5AR1"
"Ferroptosis",0.622,1,1,39,2,"ATG7, MAP1LC3A"
"Tryptophan metabolism",0.622,1,1,39,2,"ALDH1B1, ACAT2"
"Pantothenate and CoA biosynthesis",0.626,1,1,18,1,"ENPP1"
"mRNA surveillance pathway",0.641,1,1,82,4,"ETF1, NCBP2, PPP2R2A, PABPN1"
"TGF-beta signaling pathway",0.641,1,1,82,4,"EP300, TGIF2, RPS6KB1, TGFBR2"
"Aldosterone synthesis and secretion",0.641,1,1,82,4,"ATF1, PDE2A, CAMK1, CREB5"
"Natural killer cell mediated cytotoxicity",0.644,1,1,123,6,"CSF2, GRB2, IFNA5, KLRC2, LCP2, SHC4"
"Fat digestion and absorption",0.649,1,1,41,2,"ACAT2, PLA2G2A"
"Basal transcription factors",0.675,1,1,43,2,"TAF6L, ERCC3"
"Fatty acid degradation",0.675,1,1,43,2,"ALDH1B1, ACAT2"
"Phagosome",0.679,1,1,148,7,"SEC61B, SEC61A1, ATP6V1H, ATP6V0A1, C3, ATP6V1E2, HGS"
"Terpenoid backbone biosynthesis",0.683,1,1,21,1,"ACAT2"
"TNF signaling pathway",0.687,1,1,108,5,"CSF2, AKT1, RELA, IKBKG, CREB5"
"Nucleotide excision repair",0.687,1,1,44,2,"ERCC3, RPA2"
"Type II diabetes mellitus",0.71,1,1,46,2,"MTOR, GCK"
"Renin-angiotensin system",0.716,1,1,23,1,"AGTR2"
"Mismatch repair",0.716,1,1,23,1,"RPA2"
"NF-kappa B signaling pathway",0.729,1,1,92,4,"MALT1, CSNK2A2, RELA, IKBKG"
"Histidine metabolism",0.731,1,1,24,1,"ALDH1B1"
"alpha-Linolenic acid metabolism",0.731,1,1,24,1,"PLA2G2A"
"Arginine and proline metabolism",0.732,1,1,48,2,"ALDH1B1, OAT"
"Platinum drug resistance",0.745,1,1,72,3,"ABCC2, AKT1, CYCS"
"Calcium signaling pathway",0.749,1,1,180,8,"CHRM2, EDNRA, EGFR, HRH2, MYLK4, ITPKA, PDGFRA, SPHK1"
"Thyroid hormone synthesis",0.753,1,1,73,3,"TSHB, TSHR, CREB5"
"Folate biosynthesis",0.759,1,1,26,1,"SPR"
"Ascorbate and aldarate metabolism",0.759,1,1,26,1,"ALDH1B1"
"cGMP-PKG signaling pathway",0.76,1,1,161,7,"EDNRA, AKT1, MYLK4, MEF2C, NFATC3, PDE2A, CREB5"
"Vascular smooth muscle contraction",0.76,1,1,118,5,"EDNRA, ARHGEF12, MYLK4, PLA2G2A, ACTA2"
"Hippo signaling pathway - multiple species",0.772,1,1,27,1,"AJUBA"
"Butanoate metabolism",0.772,1,1,27,1,"ACAT2"
"Tight junction",0.777,1,1,164,7,"CTTN, HSPA4, PPP2R2A, TIAM1, PARD6B, ARHGEF2, CDC42"
"Adrenergic signaling in cardiomyocytes",0.78,1,1,143,6,"AGTR2, AKT1, PPP2R2A, TNNI3, CACNG1, CREB5"
"Nicotinate and nicotinamide metabolism",0.784,1,1,28,1,"ENPP1"
"Linoleic acid metabolism",0.784,1,1,28,1,"PLA2G2A"
"Platelet activation",0.785,1,1,122,5,"AKT1, ARHGEF12, MYLK4, LCP2, RAP1B"
"Toll-like receptor signaling pathway",0.799,1,1,102,4,"AKT1, IFNA5, RELA, IKBKG"
"Taste transduction",0.813,1,1,81,3,"GABBR1, GABRA2, HTR1F"
"Galactose metabolism",0.817,1,1,31,1,"GCK"
"beta-Alanine metabolism",0.817,1,1,31,1,"ALDH1B1"
"ECM-receptor interaction",0.819,1,1,82,3,"COL4A4, ITGA4, CD47"
"Dopaminergic synapse",0.824,1,1,129,5,"AKT1, KCNJ3, GNG2, PPP2R2A, CREB5"
"Apoptosis - multiple species",0.826,1,1,32,1,"CYCS"
"Glycerolipid metabolism",0.829,1,1,59,2,"ALDH1B1, LPL"
"Oocyte meiosis",0.844,1,1,110,4,"FBXW11, MOS, ANAPC11, BTRC"
"Progesterone-mediated oocyte maturation",0.854,1,1,88,3,"AKT1, MOS, ANAPC11"
"Protein digestion and absorption",0.854,1,1,88,3,"COL4A4, COL22A1, COL14A1"
"DNA replication",0.861,1,1,36,1,"RPA2"
"Cell adhesion molecules (CAMs)",0.869,1,1,139,5,"CDH5, ITGA4, CD4, CD8B, CD34"
"GnRH signaling pathway",0.87,1,1,91,3,"EGFR, GRB2, CDC42"
"NOD-like receptor signaling pathway",0.876,1,1,164,6,"GABARAPL2, IFNA5, JAK1, RELA, IKBKG, ATG12"
"Long-term potentiation",0.879,1,1,67,2,"EP300, RAP1B"
"p53 signaling pathway",0.884,1,1,68,2,"CYCS, PTEN"
"Non-alcoholic fatty liver disease (NAFLD)",0.888,1,1,144,5,"AKT1, CYCS, RELA, EIF2AK3, CDC42"
"Biosynthesis of amino acids",0.889,1,1,69,2,"IDH1, PC"
"Cell cycle",0.892,1,1,121,4,"EP300, HDAC1, ANAPC11, TFDP2"
"Circadian entrainment",0.892,1,1,96,3,"KCNJ3, MTNR1A, GNG2"
"Homologous recombination",0.894,1,1,41,1,"RPA2"
"Lysosome",0.896,1,1,122,4,"CTSZ, ATP6V1H, ATP6V0A1, LAPTM4A"
"Carbohydrate digestion and absorption",0.9,1,1,42,1,"AKT1"
"ABC transporters",0.91,1,1,44,1,"ABCC2"
"Ether lipid metabolism",0.91,1,1,44,1,"PLA2G2A"
"Vasopressin-regulated water reabsorption",0.91,1,1,44,1,"CREB5"
"Gastric acid secretion",0.911,1,1,74,2,"HRH2, MYLK4"
"Drug metabolism - other enzymes",0.915,1,1,45,1,"CDA"
"Oxidative phosphorylation",0.915,1,1,128,4,"ATP6V1H, ATP6V0A1, LHPP, ATP6V1E2"
"Cardiac muscle contraction",0.915,1,1,75,2,"TNNI3, CACNG1"
"Amino sugar and nucleotide sugar metabolism",0.924,1,1,47,1,"GCK"
"Fatty acid metabolism",0.924,1,1,47,1,"ACAT2"
"Endocrine and other factor-regulated calcium reabsorption",0.924,1,1,47,1,"AP2M1"
"Fanconi anemia pathway",0.928,1,1,48,1,"RPA2"
"Glutathione metabolism",0.939,1,1,51,1,"IDH1"
"Insulin secretion",0.94,1,1,83,2,"GCK, CREB5"
"Serotonergic synapse",0.94,1,1,111,3,"HTR1F, KCNJ3, GNG2"
"Retrograde endocannabinoid signaling",0.954,1,1,145,4,"GABRA2, GABRP, KCNJ3, GNG2"
"Long-term depression",0.961,1,1,59,1,"CRH"
"Arachidonic acid metabolism",0.963,1,1,60,1,"PLA2G2A"
"Glycerophospholipid metabolism",0.964,1,1,94,2,"LYPLA2, PLA2G2A"
"Pancreatic secretion",0.967,1,1,96,2,"PLA2G2A, RAP1B"
"Renin secretion",0.972,1,1,65,1,"EDNRA"
"Bile secretion",0.98,1,1,71,1,"ABCC2"
"Glutamatergic synapse",0.985,1,1,113,2,"KCNJ3, GNG2"
"Peroxisome",0.987,1,1,79,1,"IDH1"
"Metabolic pathways",0.993,1,1,1227,49,"PIGK, POLR3F, POLR3A, AK7, CYP27A1, DBT, DDOST, ALDH1B1, TWISTNB, PIP5K1C, GCK, ALG6, GYS1, ZNRD1, IDH1, INPP4A, STT3A, ITPKA, ACAT2, MAN2A1, MDH1, MDH2, MGAT1, OAT, PC, PCK2, ATP6V1H, PDHA2, ENPP1, CMPK1, PIGH, PLA2G2A, ATP6V0A1, CYCS, POLR2E, POLR2J, INPP5E, MTMR14, ST6GAL1, POLR3D, SPR, PIGY, GPAA1, DPM1, SPHK1, ATP6V1E2, CERS5, LDHAL6B, CDA"
"Olfactory transduction",0.997,1,1,107,1,"PDE2A"
"Necroptosis",0.998,1,1,157,2,"IFNA5, JAK1"
"Caffeine metabolism",1,1,1,5,0,""
"Base excision repair",1,1,1,33,0,""
"Aminoacyl-tRNA biosynthesis",1,1,1,42,0,""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,1,20,0,""
"Non-homologous end-joining",1,1,1,13,0,""
"Glycosaminoglycan biosynthesis - keratan sulfate",1,1,1,14,0,""
"Retinol metabolism",1,1,1,61,0,""
"Ubiquinone and other terpenoid-quinone biosynthesis",1,1,1,10,0,""
"Phenylalanine metabolism",1,1,1,17,0,""
"Glycosphingolipid biosynthesis - lacto and neolacto series",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,1,14,0,""
"Pentose and glucuronate interconversions",1,1,1,31,0,""
"Mannose type O-glycan biosynthesis",1,1,1,22,0,""
"Taurine and hypotaurine metabolism",1,1,1,11,0,""
"Phosphonate and phosphinate metabolism",1,1,1,6,0,""
"Fatty acid elongation",1,1,1,23,0,""
"Steroid biosynthesis",1,1,1,20,0,""
"Vitamin digestion and absorption",1,1,1,24,0,""
"Mineral absorption",1,1,1,47,0,""
"Selenocompound metabolism",1,1,1,17,0,""
"One carbon pool by folate",1,1,1,18,0,""
"Inflammatory mediator regulation of TRP channels",1,1,1,96,0,""
"Ovarian steroidogenesis",1,1,1,49,0,""
"Salivary secretion",1,1,1,86,0,""
"Steroid hormone biosynthesis",1,1,1,56,0,""
"Porphyrin and chlorophyll metabolism",1,1,1,40,0,""
"Metabolism of xenobiotics by cytochrome P450",1,1,1,69,0,""
"Drug metabolism - cytochrome P450",1,1,1,66,0,""
"Other glycan degradation",1,1,1,18,0,""
"Glycosaminoglycan degradation",1,1,1,19,0,""
"Biosynthesis of unsaturated fatty acids",1,1,1,21,0,""
"Glycine, serine and threonine metabolism",1,1,1,38,0,""
"Valine, leucine and isoleucine biosynthesis",1,1,1,4,0,""
"Lipoic acid metabolism",1,1,1,2,0,""
"Mucin type O-glycan biosynthesis",1,1,1,29,0,""
"Nitrogen metabolism",1,1,1,17,0,""
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,1,24,0,""
"Alanine, aspartate and glutamate metabolism",1,1,1,35,0,""
"Tyrosine metabolism",1,1,1,35,0,""
"Phototransduction",1,1,1,28,0,""
"Pentose phosphate pathway",1,1,1,29,0,""
"Type I diabetes mellitus",1,1,1,43,0,""
"Arginine biosynthesis",1,1,1,20,0,""
"D-Arginine and D-ornithine metabolism",1,1,1,1,0,""
"Fructose and mannose metabolism",1,1,1,33,0,""
"Fatty acid biosynthesis",1,1,1,13,0,""
"Aldosterone-regulated sodium reabsorption",1,1,1,37,0,""
"Glycosphingolipid biosynthesis - ganglio series",1,1,1,15,0,""
"Phenylalanine, tyrosine and tryptophan biosynthesis",1,1,1,5,0,""
"D-Glutamine and D-glutamate metabolism",1,1,1,4,0,""
"Sulfur relay system",1,1,1,8,0,""
"Vitamin B6 metabolism",1,1,1,5,0,""
"Biotin metabolism",1,1,1,3,0,""
