"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"11","AGE-RAGE signaling pathway in diabetic complications",0.001,0.013,0.141,99,9,9,"COL1A2, EGR1, ICAM1, JUN, KRAS, SMAD4, PLCE1, STAT1, PIK3R3","",0.545
"12","NOD-like receptor signaling pathway",0.002,0.042,0.506,166,11,11,"DNM1L, NAMPT, IRF9, TAB2, GBP2, JUN, MYD88, BCL2L1, STAT1, MAP3K7, TLR4","",0.533
"13","Lysine degradation",0.002,0.046,0.62,58,6,6,"EHMT2, ALDH3A2, SUV39H1, SUV39H2, EHMT1, PLOD3","",0.552
"14","Ras signaling pathway",0.003,0.046,0.64,223,13,13,"RASA4, CSF1R, FGF7, FGFR3, GNG4, KRAS, PLCE1, PDGFRB, RAP1A, BCL2L1, PIK3R3, JMJD7-PLA2G4B, RASAL2","",0.529
"15","Autophagy - animal",0.003,0.049,0.737,125,9,9,"EIF2S1, WIPI2, KRAS, STX17, PPP2CB, BCL2L1, MAP3K7, PIK3R3, CFLAR","",0.536
"16","Mitophagy - animal",0.004,0.055,0.944,63,6,6,"CSNK2A2, JUN, KRAS, BCL2L1, SP1, UBB","",0.548
"17","Jak-STAT signaling pathway",0.004,0.055,0.975,155,10,10,"IRF9, IL3, IL3RA, IL12A, BCL2L1, STAT1, THPO, PIK3R3, CCND2, CCND3","",0.532
"18","Leukocyte transendothelial migration",0.004,0.055,0.992,107,8,8,"CTNND1, CLDN14, ICAM1, ARHGAP5, PXN, RAP1A, CXCR4, PIK3R3","",0.537
"19","Regulation of actin cytoskeleton",0.004,0.058,1,210,12,12,"CFL1, FGF7, FGFR3, ITGB3, KRAS, MOS, PDGFRB, PXN, PIK3R3, MYLK2, CD14, ARHGEF6","",0.529
"20","Notch signaling pathway",0.005,0.063,1,47,5,5,"JAG1, DTX1, SNW1, NCSTN, HDAC2","",0.553
"21","IL-17 signaling pathway",0.006,0.067,1,90,7,7,"TAB2, JUN, S100A8, CCL7, SRSF1, MAP3K7, HSP90B1","",0.539
"22","cAMP signaling pathway",0.007,0.074,1,197,11,11,"CREB1, ADRB2, GRIA3, HTR1A, HTR6, JUN, ATP1B3, PLCE1, GHRL, RAP1A, PIK3R3","",0.528
"23","Focal adhesion",0.007,0.074,1,196,11,11,"COL1A2, ITGB3, JUN, ARHGAP5, PDGFRB, PXN, RAP1A, PIK3R3, MYLK2, CCND2, CCND3","",0.528
"24","Apoptosis - multiple species",0.007,0.074,1,32,4,4,"BIRC8, PMAIP1, BCL2L1, TNFRSF1A","",0.562
"25","Hematopoietic cell lineage",0.007,0.074,1,94,7,7,"CSF1R, HLA-DQA2, IL3, IL3RA, ITGB3, THPO, CD14","",0.537
"26","mRNA surveillance pathway",0.017,0.16,1,86,6,6,"NXF1, ACIN1, PCF11, PPP2CB, PPP2R5E, RBM8A","",0.535
"27","Longevity regulating pathway",0.019,0.171,1,88,6,6,"EHMT2, CREB1, SESN3, KRAS, EHMT1, PIK3R3","",0.534
"28","Rap1 signaling pathway",0.028,0.25,1,209,10,10,"CSF1R, CTNND1, FGF7, FGFR3, ITGB3, KRAS, PLCE1, PDGFRB, RAP1A, PIK3R3","",0.524
"29","Chemokine signaling pathway",0.03,0.252,1,182,9,9,"CCR8, GNG4, KRAS, PXN, RAP1A, CCL7, STAT1, CXCR4, PIK3R3","",0.525
"30","Estrogen signaling pathway",0.03,0.252,1,98,6,6,"CREB1, JUN, KRAS, SP1, HSP90B1, PIK3R3","",0.531
"31","EGFR tyrosine kinase inhibitor resistance",0.039,0.31,1,78,5,5,"FGFR3, KRAS, PDGFRB, BCL2L1, PIK3R3","",0.532
"32","Necroptosis",0.04,0.314,1,162,8,8,"DNM1L, IRF9, CYLD, STAT1, TLR4, TNFRSF1A, JMJD7-PLA2G4B, CFLAR","",0.525
