"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"38","p53 signaling pathway",0.011,0.075,1,66,9,5,"Bax, Igfbp3, Mdm2, Rrm2, Pmaip1","Cdk1, Trp53, Gadd45g, Sesn3",0.346
"39","Glucagon signaling pathway",0.013,0.079,1,92,11,8,"Acaca, Calm2, Gnas, Prkab1, Creb3l3, Creb3l1, Ep300, Sirt1","Crebbp, Itpr1, Calm4",0.423
"40","Insulin secretion",0.013,0.079,1,80,10,5,"Atp1b3, Gnas, Creb3l3, Stx1a, Creb3l1","Cacna1d, Cacna1s, Gip, Prkca, Abcc8",0.312
"41","Gap junction",0.013,0.079,1,80,10,6,"Gnas, Grb2, Hras, Htr2b, Pdgfb, Src","Cdk1, Itpr1, Prkca, Tuba1a",0.362
"42","Neurotrophin signaling pathway",0.013,0.079,1,116,13,6,"Bax, Calm2, Grb2, Hras, Nfkb1, Irak4","Fasl, Gab1, Nfkbib, Trp53, Sh2b2, Map2k7, Calm4",0.287
"43","Insulin signaling pathway",0.015,0.085,1,131,14,9,"Acaca, Calm2, Fasn, Grb2, Hras, Inppl1, Prkab1, Prkar1a, Exoc7","Eif4ebp1, Sh2b2, Rps6kb1, Rptor, Calm4",0.375
"44","Fc gamma R-mediated phagocytosis",0.016,0.089,1,82,10,3,"Dnm2, Inpp5d, Inppl1","Marcks, Prkca, Rps6kb1, Wasf1, Dock2",0.211
"45","Rap1 signaling pathway",0.018,0.099,1,202,19,7,"Calm2, Cnr1, Gnas, Hras, Id1, Pdgfb, Src","Prkd2, Actg1, Adora2a, Efna5, Fgf10, Fgf18, Fgf8, Prkca, Lpar5, Fgf21, Rapgef2, Calm4",0.231
"46","Endocrine and other factor-regulated calcium reabsorption",0.018,0.099,1,49,7,5,"Ap2m1, Atp1b3, Dnm2, Gnas, Ap2b1","Clta, Prkca",0.429
"47","Dopaminergic synapse",0.019,0.099,1,122,13,5,"Calm2, Gnas, Creb3l3, Creb3l1, Ppp2r2d","Cacna1d, Drd5, Fos, Gng4, Itpr1, Prkca, Caly, Calm4",0.246
"48","Intestinal immune network for IgA production",0.02,0.105,1,39,6,2,"Tnfrsf17, Tnfsf13","Cd80, Cd86, Cxcr4, Tnfrsf13c",0.244
"49","Hedgehog signaling pathway",0.025,0.123,1,41,6,2,"Sufu, Smurf1","Fbxw11, Gli1, Gli2, Gli3",0.24
"50","EGFR tyrosine kinase inhibitor resistance",0.025,0.123,1,76,9,5,"Bax, Grb2, Hras, Pdgfb, Src","Eif4ebp1, Gab1, Prkca, Rps6kb1",0.337
"51","Sphingolipid signaling pathway",0.025,0.123,1,114,12,7,"Adora1, Bax, Hras, Nfkb1, Traf2, Ppp2r2d, S1pr5","Nsmaf, Oprd1, Prkca, Tnf, Trp53",0.344
"52","RIG-I-like receptor signaling pathway",0.026,0.123,1,64,8,4,"Ifnb1, Nfkb1, Traf2, Map3k7","Nfkbib, Tnf, Azi2, Atg12",0.312
"53","RNA polymerase",0.027,0.128,1,21,4,3,"Polr2a, Polr2g, Polr2d","Polr2b",0.47
"54","Proteasome",0.028,0.131,1,42,6,4,"Psme4, Psmc5, Psme3, Psmd8","Psmb1, Psme1",0.405
"55","Ras signaling pathway",0.035,0.158,1,217,19,6,"Calm2, Grb2, Hras, Nfkb1, Pdgfb, Rgl1","Efna5, Fasl, Fgf10, Fgf18, Fgf8, Gab1, Gng4, Prkca, Rasgrp1, Foxo4, Shoc2, Fgf21, Calm4",0.202
"56","Cardiac muscle contraction",0.041,0.182,1,70,8,2,"Atp1b3, Tpm1","Cacna1d, Cacna1s, Cacna2d1, Cacnb4, Tnni3, Cacna2d2",0.182
"57","Longevity regulating pathway - multiple species",0.042,0.184,1,58,7,5,"Hdac2, Hras, Hspa8, Prkab1, Sirt1","Rps6kb1, Rptor",0.417
"58","Phospholipase D signaling pathway",0.043,0.185,1,137,13,7,"Grm2, Dnm2, Gnas, Grb2, Hras, Pdgfb, Cyth3","Arf1, Gab1, Prkca, Lpar5",0.317
"59","Arachidonic acid metabolism",0.047,0.2,1,72,8,3,"Tbxas1, Ptges, Cyp2c65","Cyp2c37, Ptgis, Ptgs2, Cyp2c70, Cyp2c44",0.243
