"","GeneSymbol","GeneMappingID","Group","EntrezID","Zscore","Pathway","Ntwrk.all","Allnet.count","Ntwrk.TLR","TLRnet.count","Ntwrk.PROT","PROTnet.count","Ntwrk.SPLICE","SPLICEnet.count","Ntwrk.TLR.hits","TLRhits.net.count","Ntwrk.PROT.hits","PROThits.net.count","Ntwrk.SPLICE.hits","SPLICEhits.net.count","Total_Path_Hits.net.count"
"51","BCL11B",331,"Novel","64919",-1.301,NA,"HDAC2",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"52","BCL2L1",191,"Novel","598",-2.336,"Toxoplasmosis ; Pathways in cancer ; Apoptosis ; Amyotrophic lateral sclerosis (ALS) ; Pancreatic cancer ; Jak-STAT signaling pathway ; Chronic myeloid leukemia","MAPK8, DNM1L, SPATA25, PMAIP1, CASP8, UBC, RAF1, PGAM5",8,"RAF1",1,"MAPK8, CASP8",2,"MAPK8, CASP8",2,"RAF1",1,NA,0,NA,0,1
"53","BCL3",358,"Novel","602",-1.697,NA,"RELA, NFKB1, CHUK, IKBKB, UBC",5,NA,0,"RELA, NFKB1, IKBKB, CHUK",4,"RELA, NFKB1, IKBKB, CHUK",4,NA,0,NA,0,"RELA, IKBKB",2,2
"54","BIRC5",380,"Novel","332",-1.758,"Pathways in cancer","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"55","BMP7",232,"Novel","655",-3.119,"Cytokine-cytokine receptor interaction","BMPR1B",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"56","BMPR1B",277,"Novel","658",-2,"Cytokine-cytokine receptor interaction","SMAD6, BMP7",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"57","BRAF",124,"Regulation of actin cytoskeleton","673",-1.617,"Regulation of actin cytoskeleton ; MAPK signaling pathway ; Chemokine signaling pathway ; Focal adhesion ; Hepatitis C ; Pathways in cancer ; Pancreatic cancer ; Prostate cancer ; Long-term depression ; Chronic myeloid leukemia ; Neurotrophin signaling pathway ; Melanoma ; Natural killer cell mediated cytotoxicity ; Progesterone-mediated oocyte maturation ; Renal cell carcinoma","RAF1, AKT1, ARAF, RAP1A, NRAS, CAPN3, MAPK1, MAPK3, UBC, HRAS, MAP2K2, SFN, MAP2K1, YWHAG, IQGAP1, YWHAH",16,"IQGAP1, RAF1, MAP2K2, MAP2K1, MAPK3, MAPK1, NRAS, HRAS, ARAF",9,"MAPK3, MAPK1, AKT1",3,"MAP2K2, MAP2K1, MAPK3, MAPK1, AKT1",5,"IQGAP1, RAF1, MAP2K2, MAP2K1, MAPK3, MAPK1, NRAS, HRAS, ARAF",9,NA,0,NA,0,9
"58","BRCA2",311,"Novel","675",-1.278,"Pathways in cancer ; Pancreatic cancer","PALB2, RAD51",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"59","BRK1",262,"Regulation of actin cytoskeleton","55845",1.254,NA,"WASF1, NCKAP1, ABI2, UBC",4,"NCKAP1, ABI2, WASF1",3,NA,0,NA,0,"NCKAP1, ABI2, WASF1",3,NA,0,NA,0,3
"60","BRSK2",420,"Novel","9024",-1.244,NA,"CDC25B, CDC25C, UBC",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"61","BUB1B",283,"Novel","701",-1.379,"Cell cycle","CDC20B, MIS12, UBC, PLK1",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"62","C1QA",319,"Chagas disease (American trypanosomiasis)","712",0.162,NA,"C1QB",1,NA,0,"C1QB",1,NA,0,NA,0,NA,0,NA,0,0
"63","C1QB",631,"Chagas disease (American trypanosomiasis)","713",0.104,NA,"C1QA",1,NA,0,"C1QA",1,NA,0,NA,0,NA,0,NA,0,0
"64","C3",422,"Chagas disease (American trypanosomiasis)","718",1.536,NA,"ITGAX, ITGAM",2,"ITGAX, ITGAM",2,NA,0,NA,0,"ITGAX, ITGAM",2,NA,0,NA,0,2
"65","C9orf172",293,"Novel","389813",-1.121,NA,"PARD6G, PDLIM7",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"66","CACNA1C",505,"Novel","775",-1.932,"MAPK signaling pathway ; GnRH signaling pathway ; Arrhythmogenic right ventricular cardiomyopathy (ARVC)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"67","CALCR",219,"Novel","799",-1.34,"Osteoclast differentiation","APOB",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"68","CALR",170,"Chagas disease (American trypanosomiasis)","811",-1.248,"Chagas disease (American trypanosomiasis) ; Phagosome","HSP90B1, LRP1, APOB, PDIA3, P4HB, UBC",6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"69","CAMLG",463,"Novel","819",-2.007,NA,"EGFR",1,"EGFR",1,NA,0,NA,0,"EGFR",1,NA,0,NA,0,1
"70","CAPN2",421,"Novel","824",-1.888,"Focal adhesion ; Apoptosis","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"71","CAPN3",527,"Novel","825",-2.3,NA,"BRAF",1,"BRAF",1,NA,0,NA,0,"BRAF",1,NA,0,NA,0,1
"72","CARD11",480,"Novel","84433",-1.812,"T cell receptor signaling pathway","UBC, CHUK, MAP3K7",3,NA,0,"CHUK",1,"MAP3K7, CHUK",2,NA,0,NA,0,"MAP3K7",1,1
"73","CASP8",60,"Toll-like receptor signaling pathway","841",-0.744,NA,"FADD, BCL2L1, CFLAR, TNFRSF1A, FAS, FASLG, RIPK1, UBC, TRAF6",9,NA,0,"CFLAR, FADD, TRAF6, TNFRSF1A, FASLG, FAS",6,"FADD, RIPK1, TRAF6",3,NA,0,"TNFRSF1A, CFLAR",2,"RIPK1",1,3
"74","CBR1",601,"Novel","873",-1.547,"Arachidonic acid metabolism","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"75","CCDC12",363,"Novel","151903",-2.624,"Spliceosome","CDC5L",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"76","CCDC94",378,"Novel","55702",-1.887,NA,"PLRG1, SNW1, XAB2, CDC5L",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"77","CCDC97",400,"Novel","90324",-1.018,NA,"SF3B1, SF3B6",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"78","CCNB2",129,"Novel","9133",-1.703,"Cell cycle ; Progesterone-mediated oocyte maturation","ATR, CKS2, UBC",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"79","CCND2",327,"Novel","894",-2.086,"Focal adhesion ; Cell cycle ; Jak-STAT signaling pathway","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"80","CCNE1",146,"Novel","898",-1.362,"Pathways in cancer ; Prostate cancer ; Cell cycle","E2F3, MYBL2, HIST1H1B, FBXW7, UBC",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"81","CCS",502,"Novel","9973",-1.575,"Amyotrophic lateral sclerosis (ALS)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"82","CD14",285,"Toll-like receptor signaling pathway","929",-2.638,"Regulation of actin cytoskeleton ; MAPK signaling pathway ; Toll-like receptor signaling pathway ; Amoebiasis ; Phagosome ; Hematopoietic cell lineage ; Pathogenic Escherichia coli infection","TLR2, LBP",2,NA,0,"TLR2",1,"TLR2, LBP",2,NA,0,NA,0,"TLR2",1,1
"83","CD247",168,"Chagas disease (American trypanosomiasis)","919",0.555,NA,"CD3E, CSK, UBC",3,"CSK",1,"CD3E",1,NA,0,"CSK",1,NA,0,NA,0,1
"84","CD28",269,"Novel","940",-1.227,"Rheumatoid arthritis ; Cell adhesion molecules (CAMs) ; T cell receptor signaling pathway","CD86, PIK3R2, CD80, VAV2",4,"VAV2, PIK3R2",2,"PIK3R2",1,"PIK3R2, CD86, CD80",3,"VAV2, PIK3R2",2,NA,0,NA,0,2
"85","CD2BP2",350,"Novel","10421",-1.061,NA,"PPP1CA, PRPF8",2,"PPP1CA",1,NA,0,NA,0,"PPP1CA",1,NA,0,NA,0,1
"86","CD3D",424,"Chagas disease (American trypanosomiasis)","915",-0.093,NA,"CD3E, VCP, UBC",3,NA,0,"CD3E",1,NA,0,NA,0,NA,0,NA,0,0
"87","CD3E",238,"Chagas disease (American trypanosomiasis)","916",1.27,NA,"CD3D, CD3G, CD247, SYK",4,NA,0,"CD247, CD3G, CD3D",3,NA,0,NA,0,NA,0,NA,0,0
"88","CD3G",624,"Chagas disease (American trypanosomiasis)","917",0.154,NA,"CD3E",1,NA,0,"CD3E",1,NA,0,NA,0,NA,0,NA,0,0
"89","CD40",213,"Toll-like receptor signaling pathway","958",1.718,NA,"MAP2K4, MAP3K7, IKBKB, TRAF6, CHUK, MAP2K7, TRAF3",7,NA,0,"TRAF6, MAP2K4, IKBKB, CHUK",4,"TRAF6, TRAF3, MAP3K7, MAP2K4, MAP2K7, IKBKB, CHUK",7,NA,0,NA,0,"MAP3K7, IKBKB",2,2
"90","CD80",556,"Toll-like receptor signaling pathway","941",0.609,NA,"CD28, CD86",2,NA,0,NA,0,"CD86",1,NA,0,NA,0,NA,0,0
"91","CD86",302,"Toll-like receptor signaling pathway","942",-0.748,NA,"CD80, CD28, UBC",3,NA,0,NA,0,"CD80",1,NA,0,NA,0,NA,0,0
"92","CDC20B",508,"Novel","166979",-1.899,NA,"BUB1B",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"93","CDC25B",234,"Novel","994",-1.728,"MAPK signaling pathway ; Cell cycle ; Progesterone-mediated oocyte maturation","BRSK2, YWHAG, SFN, MAPK14, YWHAH, UBC",6,NA,0,"MAPK14",1,"MAPK14",1,NA,0,NA,0,NA,0,0
"94","CDC25C",235,"Novel","995",-3.027,"Cell cycle ; Progesterone-mediated oocyte maturation","BRSK2, UBC, YWHAH, MAPK14, PLK1, PCNA",6,NA,0,"MAPK14",1,"MAPK14",1,NA,0,NA,0,NA,0,0
"95","CDC42",161,"Regulation of actin cytoskeleton","998",-1.64,"Regulation of actin cytoskeleton ; MAPK signaling pathway ; Leukocyte transendothelial migration ; Chemokine signaling pathway ; Endocytosis ; Focal adhesion ; Tight junction ; Fc gamma R-mediated phagocytosis ; Pathways in cancer ; Shigellosis ; Bacterial invasion of epithelial cells ; GnRH signaling pathway ; Pancreatic cancer ; Epithelial cell signaling in Helicobacter pylori infection ; T cell receptor signaling pathway ; Neurotrophin signaling pathway ; Pathogenic Escherichia coli infection ; VEGF signaling pathway ; Renal cell carcinoma","PIK3CB, MAPK8, PAK2, RAP1A, ARHGEF7, MAPK9, ARHGDIB, IQGAP2, ARHGEF6, BAIAP2, PARD6G, ARHGAP32, PAK6, CDC42EP3, PAK4, PAK7, WASL, UBC, PAK1, IQGAP1, VAV1",21,"PAK7, PAK6, IQGAP2, BAIAP2, PAK4, ARHGEF6, WASL, ARHGEF7, IQGAP1, VAV1, PIK3CB, PAK2, PAK1",13,"MAPK9, MAPK8, PIK3CB",3,"MAPK9, MAPK8, PIK3CB",3,"PAK7, PAK6, IQGAP2, BAIAP2, PAK4, ARHGEF6, WASL, ARHGEF7, IQGAP1, VAV1, PIK3CB, PAK2, PAK1",13,NA,0,NA,0,13
"96","CDC42EP3",567,"Novel","10602",-1.875,NA,"CDC42",1,"CDC42",1,NA,0,NA,0,"CDC42",1,NA,0,NA,0,1
"97","CDC5L",79,"Novel","988",-1.652,"Spliceosome","PRPF8, PLRG1, SNW1, SF3B1, XAB2, SF3B2, SNRPD3, EFTUD2, SRSF1, DYNC1H1, TOP2A, BCAS2, SRRM1, CCDC12, CCDC94, SFPQ, UBC, PPP1CA",18,"PPP1CA",1,NA,0,NA,0,"PPP1CA",1,NA,0,NA,0,1
"98","CDH5",268,"Novel","1003",-1.293,"Leukocyte transendothelial migration ; Cell adhesion molecules (CAMs)","CTNND1, PARD6G, PARD3",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"99","CDX2",324,"Novel","1045",-1.225,NA,"PSMD2, PSMA5, PSMC4",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"100","CFL1",214,"Regulation of actin cytoskeleton","1072",-2.126,"Regulation of actin cytoskeleton ; Fc gamma R-mediated phagocytosis","CFL2, SSH1, LIMK2, ACTB, UBC, ACTA2, ACTG1",7,"SSH1, LIMK2, CFL2, ACTG1, ACTB",5,NA,0,NA,0,"SSH1, LIMK2, CFL2, ACTG1, ACTB",5,NA,0,NA,0,5
"101","CFL2",394,"Regulation of actin cytoskeleton","1073",-1.655,"Regulation of actin cytoskeleton ; Fc gamma R-mediated phagocytosis","UBC, ACTB, CFL1, ACTG1",4,"CFL1, ACTG1, ACTB",3,NA,0,NA,0,"CFL1, ACTG1, ACTB",3,NA,0,NA,0,3
"102","CFLAR",261,"Chagas disease (American trypanosomiasis)","8837",-3.35,"Chagas disease (American trypanosomiasis) ; Apoptosis","FAS, RIPK1, CASP8, UBC, FADD, RAF1",6,"RAF1",1,"FADD, CASP8, FAS",3,"FADD, RIPK1, CASP8",3,"RAF1",1,NA,0,"RIPK1",1,2
"103","CHD4",253,"Novel","1108",-1.844,NA,"MBD3, UBC, HDAC2, MTA2",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"104","CHMP2A",348,"Novel","27243",-1.819,"Endocytosis","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"105","CHUK",61,"Toll-like receptor signaling pathway","1147",-0.492,NA,"IKBKB, MAP3K7, NFKB1, EIF2AK2, RELA, RAC3, COPS5, AKT1, AKT2, CD40, MAP3K3, BCL3, TNFRSF1A, CNTN2, CARD11, NFKBIB, NFKBIA, UBC",18,"RAC3",1,"TNFRSF1A, RELA, NFKBIA, NFKB1, IKBKB, AKT2, AKT1",7,"MAP3K7, RELA, NFKBIA, NFKB1, IKBKB, CD40, AKT2, AKT1",8,"RAC3",1,"TNFRSF1A",1,"RELA, MAP3K7, IKBKB",3,5
"106","CKS2",97,"Novel","1164",-1.092,NA,"CCNB2, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"107","CLINT1",497,"Novel","9685",-1.876,NA,"UBC, CLTC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"108","CLK1",458,"Novel","1195",-1.182,NA,"SRSF1",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"109","CLTA",440,"Novel","1211",-1.61,"Endocytosis ; Bacterial invasion of epithelial cells","CLTC, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"110","CLTC",249,"Novel","1213",-1.058,"Endocytosis ; Bacterial invasion of epithelial cells","SNX9, CLTA, CLINT1, EPN1, UBC, MAP3K7, WASL, IKBKB",8,"WASL",1,"IKBKB",1,"MAP3K7, IKBKB",2,"WASL",1,NA,0,"MAP3K7, IKBKB",2,3
"111","CNTN2",472,"Novel","6900",-2.347,"Cell adhesion molecules (CAMs)","CHUK, KAT2B, UBC, IKBKB",4,NA,0,"IKBKB, CHUK",2,"IKBKB, CHUK",2,NA,0,NA,0,"IKBKB",1,1
"112","COL1A2",543,"Novel","1278",-4.07,"Focal adhesion ; Amoebiasis ; ECM-receptor interaction","ITGA2",1,"ITGA2",1,NA,0,NA,0,"ITGA2",1,NA,0,NA,0,1
